Step,Value
1,5600000.0
2,1600000.0
3,400000.0
4,3800000.0
5,6200000.0
6,7400000.0
7,3200000.0
8,6000000.0
9,8200000.0
10,5600000.0
11,4000000.0
12,4800000.0
13,8400000.0
14,5000000.0
15,5600000.0
16,1400000.0
17,6000000.0
18,6600000.0
19,1000000.0
20,3800000.0
21,4600000.0
22,8200000.0
23,2200000.0
24,3400000.0
25,3400000.0
26,8000000.0
27,6200000.0
28,3200000.0
29,5600000.0
30,6600000.0
31,6600000.0
32,3000000.0
33,1400000.0
34,4400000.0
35,2400000.0
36,2600000.0
37,1400000.0
38,600000.0
39,5800000.0
40,800000.0
41,800000.0
42,4400000.0
43,400000.0
44,1400000.0
45,3200000.0
46,2800000.0
47,5000000.0
48,1000000.0
49,1800000.0
50,600000.0
51,200000.0
52,3000000.0
53,3200000.0
54,6000000.0
55,5400000.0
56,4600000.0
57,1800000.0
58,3400000.0
59,400000.0
60,1600000.0
61,1600000.0
62,1000000.0
63,7600000.0
64,400000.0
65,1000000.0
66,6000000.0
67,3800000.0
68,4000000.0
69,1000000.0
70,2800000.0
71,1800000.0
72,5600000.0
73,600000.0
74,800000.0
75,2200000.0
76,8200000.0
77,6800000.0
78,5000000.0
79,1200000.0
80,2000000.0
81,1800000.0
82,4200000.0
83,6200000.0
84,7000000.0
85,1400000.0
86,4200000.0
87,5600000.0
88,2200000.0
89,3000000.0
90,8600000.0
91,2800000.0
92,2400000.0
93,2000000.0
94,4600000.0
95,2600000.0
96,3800000.0
97,2200000.0
98,800000.0
99,1800000.0
100,7600000.0
101,800000.0
102,2000000.0
103,8600000.0
104,2800000.0
105,1600000.0
106,5800000.0
107,1400000.0
108,5400000.0
109,1600000.0
110,200000.0
111,1800000.0
112,1200000.0
113,5000000.0
114,1200000.0
115,2400000.0
116,7600000.0
117,5400000.0
118,2400000.0
119,2800000.0
120,4200000.0
121,5200000.0
122,8000000.0
123,5400000.0
124,3000000.0
125,1000000.0
126,4200000.0
127,1200000.0
128,400000.0
129,2000000.0
130,4200000.0
131,8600000.0
132,5000000.0
133,3600000.0
134,3800000.0
135,1000000.0
136,7600000.0
137,4800000.0
138,5000000.0
139,4200000.0
140,2400000.0
141,3400000.0
142,1200000.0
143,6000000.0
144,3600000.0
145,8000000.0
146,3800000.0
147,5000000.0
148,2200000.0
149,8600000.0
150,5200000.0
151,1400000.0
152,3600000.0
153,5400000.0
154,5000000.0
155,600000.0
156,2800000.0
157,4000000.0
158,3400000.0
159,5200000.0
160,2400000.0
161,7200000.0
162,1000000.0
163,800000.0
164,2000000.0
165,800000.0
166,6400000.0
167,5600000.0
168,1800000.0
169,4600000.0
170,6000000.0
171,6600000.0
172,400000.0
173,1200000.0
174,2200000.0
175,2400000.0
176,2000000.0
177,800000.0
178,2200000.0
179,1800000.0
180,1800000.0
181,2600000.0
182,200000.0
183,5200000.0
184,4400000.0
185,7800000.0
186,9000000.0
187,800000.0
188,7600000.0
189,3400000.0
190,5400000.0
191,5200000.0
192,7000000.0
193,800000.0
194,2600000.0
195,800000.0
196,1400000.0
197,1600000.0
198,5400000.0
199,5400000.0
200,1400000.0
201,2600000.0
202,400000.0
203,6200000.0
204,4000000.0
205,8200000.0
206,1200000.0
207,3400000.0
208,800000.0
209,1600000.0
210,5600000.0
211,4200000.0
212,2800000.0
213,1800000.0
214,5400000.0
215,5000000.0
216,1200000.0
217,2200000.0
218,3200000.0
219,4400000.0
220,1400000.0
221,2800000.0
222,3800000.0
223,8200000.0
224,2600000.0
225,600000.0
226,3600000.0
227,4400000.0
228,4600000.0
229,2000000.0
230,1000000.0
231,600000.0
232,6000000.0
233,4000000.0
234,1200000.0
235,1000000.0
236,2600000.0
237,600000.0
238,3400000.0
239,3800000.0
240,6800000.0
241,4800000.0
242,6400000.0
243,5400000.0
244,4800000.0
245,5400000.0
246,6000000.0
247,600000.0
248,5800000.0
249,2400000.0
250,7600000.0
251,2800000.0
252,5400000.0
253,3600000.0
254,3800000.0
255,2000000.0
256,1200000.0
257,5600000.0
258,4400000.0
259,3200000.0
260,2800000.0
261,1800000.0
262,2200000.0
263,3000000.0
264,3800000.0
265,3600000.0
266,5400000.0
267,4200000.0
268,5400000.0
269,3200000.0
270,2800000.0
271,5600000.0
272,2800000.0
273,4600000.0
274,5200000.0
275,2600000.0
276,3400000.0
277,5400000.0
278,2400000.0
279,6800000.0
280,800000.0
281,2800000.0
282,2000000.0
283,4400000.0
284,8600000.0
285,7400000.0
286,400000.0
287,6800000.0
288,5400000.0
289,600000.0
290,9200000.0
291,5400000.0
292,1400000.0
293,1000000.0
294,2000000.0
295,1000000.0
296,7800000.0
297,600000.0
298,7200000.0
299,5400000.0
300,5400000.0
301,2000000.0
302,2400000.0
303,200000.0
304,6000000.0
305,5000000.0
306,5400000.0
307,3800000.0
308,9200000.0
309,1000000.0
310,1600000.0
311,5400000.0
312,1400000.0
313,400000.0
314,4800000.0
315,1200000.0
316,3400000.0
317,200000.0
318,4800000.0
319,5400000.0
320,1800000.0
321,2000000.0
322,2000000.0
323,5600000.0
324,1200000.0
325,4600000.0
326,6600000.0
327,5400000.0
328,8200000.0
329,5800000.0
330,2400000.0
331,1800000.0
332,6400000.0
333,5400000.0
334,2600000.0
335,2800000.0
336,400000.0
337,2800000.0
338,2000000.0
339,2400000.0
340,4000000.0
341,1200000.0
342,3600000.0
343,3200000.0
344,1200000.0
345,200000.0
346,1000000.0
347,6400000.0
348,2000000.0
349,4600000.0
350,2000000.0
351,4000000.0
352,5400000.0
353,1400000.0
354,2400000.0
355,1800000.0
356,8400000.0
357,1800000.0
358,7800000.0
359,9000000.0
360,2400000.0
361,3000000.0
362,4400000.0
363,5400000.0
364,5600000.0
365,7800000.0
366,400000.0
367,400000.0
368,1800000.0
369,1600000.0
370,4200000.0
371,3200000.0
372,1400000.0
373,5400000.0
374,4600000.0
375,2400000.0
376,1600000.0
377,1400000.0
378,8200000.0
379,5400000.0
380,800000.0
381,5400000.0
382,3400000.0
383,5400000.0
384,5800000.0
385,4000000.0
386,3600000.0
387,2800000.0
388,5400000.0
389,7000000.0
390,2600000.0
391,4200000.0
392,5400000.0
393,1400000.0
394,5400000.0
395,1800000.0
396,6200000.0
397,6200000.0
398,1400000.0
399,1200000.0
400,7400000.0
401,2600000.0
402,800000.0
403,600000.0
404,5600000.0
405,6600000.0
406,3400000.0
407,5000000.0
408,400000.0
409,6800000.0
410,5200000.0
411,1400000.0
412,400000.0
413,4800000.0
414,4800000.0
415,5400000.0
416,5400000.0
417,400000.0
418,800000.0
419,1800000.0
420,5000000.0
421,200000.0
422,6800000.0
423,4200000.0
424,800000.0
425,800000.0
426,5400000.0
427,5400000.0
428,5400000.0
429,3200000.0
430,5400000.0
431,1600000.0
432,800000.0
433,7000000.0
434,5600000.0
435,8400000.0
436,2600000.0
437,3800000.0
438,1800000.0
439,3800000.0
440,400000.0
441,5800000.0
442,1400000.0
443,5400000.0
444,6000000.0
445,9400000.0
446,5000000.0
447,5400000.0
448,1800000.0
449,1800000.0
450,4400000.0
451,1200000.0
452,2000000.0
453,200000.0
454,5400000.0
455,1800000.0
456,4000000.0
457,1000000.0
458,3800000.0
459,2400000.0
460,4800000.0
461,6800000.0
462,3600000.0
463,5400000.0
464,3800000.0
465,5400000.0
466,1200000.0
467,5400000.0
468,4400000.0
469,5400000.0
470,5400000.0
471,2800000.0
472,7200000.0
473,400000.0
474,400000.0
475,1000000.0
476,1000000.0
477,5400000.0
478,1400000.0
479,5400000.0
480,1800000.0
481,5400000.0
482,7600000.0
483,2000000.0
484,1400000.0
485,4200000.0
486,3000000.0
487,3000000.0
488,2400000.0
489,5400000.0
490,6000000.0
491,2000000.0
492,1000000.0
493,400000.0
494,600000.0
495,3000000.0
496,2400000.0
497,2600000.0
498,5400000.0
499,5400000.0
500,5000000.0
501,5800000.0
502,5800000.0
503,1200000.0
504,6800000.0
505,600000.0
506,5400000.0
507,1400000.0
508,5000000.0
509,2200000.0
510,4000000.0
511,5400000.0
512,1200000.0
513,5400000.0
514,200000.0
515,1200000.0
516,2400000.0
517,2000000.0
518,8000000.0
519,8400000.0
520,3400000.0
521,3600000.0
522,3800000.0
523,6400000.0
524,1000000.0
525,1800000.0
526,1200000.0
527,5000000.0
528,800000.0
529,4000000.0
530,600000.0
531,3000000.0
532,5400000.0
533,800000.0
534,4200000.0
535,1800000.0
536,5600000.0
537,2200000.0
538,5400000.0
539,3200000.0
540,400000.0
541,4400000.0
542,3000000.0
543,5400000.0
544,2400000.0
545,4000000.0
546,5400000.0
547,2600000.0
548,1200000.0
549,5400000.0
550,1200000.0
551,600000.0
552,1400000.0
553,3800000.0
554,800000.0
555,5400000.0
556,200000.0
557,3200000.0
558,1800000.0
559,6600000.0
560,7800000.0
561,5400000.0
562,7400000.0
563,5400000.0
564,6600000.0
565,3000000.0
566,4000000.0
567,1200000.0
568,1000000.0
569,5400000.0
570,5400000.0
571,800000.0
572,5400000.0
573,3200000.0
574,7800000.0
575,2400000.0
576,4600000.0
577,5400000.0
578,2200000.0
579,1600000.0
580,2200000.0
581,200000.0
582,5400000.0
583,600000.0
584,3800000.0
585,3800000.0
586,5400000.0
587,8800000.0
588,5400000.0
589,1800000.0
590,7600000.0
591,5400000.0
592,5400000.0
593,4400000.0
594,5400000.0
595,800000.0
596,1000000.0
597,8600000.0
598,3400000.0
599,3000000.0
600,4000000.0
601,2800000.0
602,4200000.0
603,800000.0
604,4800000.0
605,2600000.0
606,5400000.0
607,6400000.0
608,4200000.0
609,5400000.0
610,7000000.0
611,1800000.0
612,1000000.0
613,5400000.0
614,5200000.0
615,2400000.0
616,7800000.0
617,8400000.0
618,5400000.0
619,600000.0
620,5400000.0
621,1000000.0
622,6600000.0
623,5400000.0
624,1200000.0
625,200000.0
626,2800000.0
627,1400000.0
628,5400000.0
629,1400000.0
630,5400000.0
631,3000000.0
632,2000000.0
633,5400000.0
634,5000000.0
635,5400000.0
636,1600000.0
637,2800000.0
638,5400000.0
639,1000000.0
640,200000.0
641,1000000.0
642,4000000.0
643,5400000.0
644,2400000.0
645,8600000.0
646,1800000.0
647,5400000.0
648,5400000.0
649,1600000.0
650,2600000.0
651,6200000.0
652,5400000.0
653,7600000.0
654,1200000.0
655,7000000.0
656,2400000.0
657,7600000.0
658,3800000.0
659,2600000.0
660,4000000.0
661,1600000.0
662,400000.0
663,1000000.0
664,2000000.0
665,2400000.0
666,3800000.0
667,5400000.0
668,1600000.0
669,3200000.0
670,2800000.0
671,600000.0
672,1000000.0
673,5400000.0
674,5400000.0
675,2200000.0
676,200000.0
677,7400000.0
678,5400000.0
679,2000000.0
680,3000000.0
681,7200000.0
682,5400000.0
683,4800000.0
684,400000.0
685,2600000.0
686,5400000.0
687,2800000.0
688,5400000.0
689,4400000.0
690,800000.0
691,5400000.0
692,8000000.0
693,3800000.0
694,7000000.0
695,3600000.0
696,1000000.0
697,7200000.0
698,1200000.0
699,7600000.0
700,5400000.0
701,2800000.0
702,2800000.0
703,7400000.0
704,5400000.0
705,5400000.0
706,5400000.0
707,5400000.0
708,2800000.0
709,4800000.0
710,600000.0
711,4800000.0
712,2400000.0
713,3000000.0
714,4200000.0
715,1200000.0
716,3200000.0
717,400000.0
718,1400000.0
719,8200000.0
720,7400000.0
721,1600000.0
722,1800000.0
723,5200000.0
724,1400000.0
725,5400000.0
726,3800000.0
727,2600000.0
728,200000.0
729,7200000.0
730,3800000.0
731,1600000.0
732,3400000.0
733,2400000.0
734,5400000.0
735,6600000.0
736,5400000.0
737,1200000.0
738,5400000.0
739,3600000.0
740,1400000.0
741,400000.0
742,5200000.0
743,5400000.0
744,1200000.0
745,4000000.0
746,4400000.0
747,2800000.0
748,5400000.0
749,2000000.0
750,7000000.0
751,1600000.0
752,5400000.0
753,2000000.0
754,7600000.0
755,5400000.0
756,400000.0
757,5400000.0
758,1400000.0
759,5200000.0
760,200000.0
761,2200000.0
762,5400000.0
763,4000000.0
764,5400000.0
765,3800000.0
766,8800000.0
767,200000.0
768,4200000.0
769,3200000.0
770,3000000.0
771,4200000.0
772,7000000.0
773,5200000.0
774,1600000.0
775,2000000.0
776,4400000.0
777,3800000.0
778,5400000.0
779,5400000.0
780,1400000.0
781,5400000.0
782,5400000.0
783,1800000.0
784,5400000.0
785,3000000.0
786,1000000.0
787,8400000.0
788,2600000.0
789,1200000.0
790,6600000.0
791,3600000.0
792,600000.0
793,2600000.0
794,5400000.0
795,4000000.0
796,1000000.0
797,1400000.0
798,5400000.0
799,4000000.0
800,8800000.0
801,6000000.0
802,3200000.0
803,5400000.0
804,9400000.0
805,800000.0
806,800000.0
807,200000.0
808,600000.0
809,1000000.0
810,1200000.0
811,5400000.0
812,5400000.0
813,5400000.0
814,2200000.0
815,600000.0
816,5400000.0
817,200000.0
818,5200000.0
819,5400000.0
820,5600000.0
821,5000000.0
822,5400000.0
823,200000.0
824,600000.0
825,5400000.0
826,1600000.0
827,5400000.0
828,2800000.0
829,5400000.0
830,3200000.0
831,4600000.0
832,9200000.0
833,5400000.0
834,200000.0
835,3800000.0
836,2800000.0
837,5400000.0
838,200000.0
839,1800000.0
840,4200000.0
841,1000000.0
842,1400000.0
843,600000.0
844,2600000.0
845,6800000.0
846,2600000.0
847,1800000.0
848,5400000.0
849,400000.0
850,5400000.0
851,2600000.0
852,5400000.0
853,2600000.0
854,400000.0
855,5400000.0
856,4400000.0
857,2600000.0
858,5400000.0
859,4600000.0
860,2200000.0
861,1200000.0
862,2200000.0
863,4400000.0
864,2400000.0
865,3800000.0
866,5400000.0
867,2000000.0
868,4800000.0
869,1400000.0
870,1800000.0
871,2600000.0
872,8000000.0
873,7200000.0
874,3400000.0
875,2400000.0
876,5400000.0
877,3200000.0
878,5000000.0
879,4800000.0
880,6000000.0
881,8000000.0
882,5400000.0
883,6600000.0
884,5400000.0
885,2000000.0
886,4000000.0
887,3000000.0
888,5800000.0
889,5400000.0
890,5400000.0
891,3200000.0
892,600000.0
893,1600000.0
894,4800000.0
895,5200000.0
896,5200000.0
897,5400000.0
898,5400000.0
899,3200000.0
900,4200000.0
901,200000.0
902,5400000.0
903,5400000.0
904,1800000.0
905,1800000.0
906,3400000.0
907,8200000.0
908,5600000.0
909,2800000.0
910,1400000.0
911,3800000.0
912,3400000.0
913,3600000.0
914,5800000.0
915,8200000.0
916,8400000.0
917,7800000.0
918,1600000.0
919,5400000.0
920,2800000.0
921,5400000.0
922,3000000.0
923,5400000.0
924,4600000.0
925,5400000.0
926,600000.0
927,1200000.0
928,5400000.0
929,4400000.0
930,5400000.0
931,6400000.0
932,5400000.0
933,4000000.0
934,400000.0
935,5400000.0
936,3000000.0
937,2000000.0
938,5400000.0
939,5800000.0
940,5400000.0
941,2200000.0
942,5400000.0
943,200000.0
944,1400000.0
945,2200000.0
946,5600000.0
947,2800000.0
948,3800000.0
949,4200000.0
950,7000000.0
951,7600000.0
952,5600000.0
953,3800000.0
954,5400000.0
955,5400000.0
956,1000000.0
957,7200000.0
958,5400000.0
959,5400000.0
960,3800000.0
961,5400000.0
962,200000.0
963,1800000.0
964,1000000.0
965,7200000.0
966,6200000.0
967,3600000.0
968,1600000.0
969,5400000.0
970,1600000.0
971,5400000.0
972,5400000.0
973,5400000.0
974,5200000.0
975,2000000.0
976,3800000.0
977,4200000.0
978,3400000.0
979,1800000.0
980,2000000.0
981,7200000.0
982,1200000.0
983,5400000.0
984,4800000.0
985,4400000.0
986,200000.0
987,5400000.0
988,5400000.0
989,1000000.0
990,5400000.0
991,3800000.0
992,5400000.0
993,5800000.0
994,400000.0
995,5400000.0
996,5800000.0
997,5400000.0
998,1800000.0
999,6600000.0
1000,4000000.0
1001,5400000.0
1002,5400000.0
1003,2400000.0
1004,200000.0
1005,5200000.0
1006,5400000.0
1007,5400000.0
1008,1600000.0
1009,5400000.0
1010,6400000.0
1011,400000.0
1012,2200000.0
1013,3400000.0
1014,200000.0
1015,8200000.0
1016,5400000.0
1017,5400000.0
1018,5400000.0
1019,4400000.0
1020,1400000.0
1021,8800000.0
1022,5400000.0
1023,200000.0
1024,5400000.0
1025,5400000.0
1026,4800000.0
1027,1200000.0
1028,5200000.0
1029,6000000.0
1030,4600000.0
1031,5400000.0
1032,7000000.0
1033,5400000.0
1034,5400000.0
1035,2200000.0
1036,600000.0
1037,1200000.0
1038,5400000.0
1039,5400000.0
1040,1400000.0
1041,3400000.0
1042,600000.0
1043,5000000.0
1044,5400000.0
1045,1000000.0
1046,5400000.0
1047,3400000.0
1048,6000000.0
1049,5400000.0
1050,5400000.0
1051,1400000.0
1052,5400000.0
1053,2000000.0
1054,2200000.0
1055,7200000.0
1056,1400000.0
1057,200000.0
1058,5400000.0
1059,1000000.0
1060,3200000.0
1061,4800000.0
1062,1800000.0
1063,1000000.0
1064,5400000.0
1065,5400000.0
1066,200000.0
1067,1200000.0
1068,5600000.0
1069,600000.0
1070,1800000.0
1071,1400000.0
1072,1000000.0
1073,2600000.0
1074,4600000.0
1075,1000000.0
1076,5600000.0
1077,3400000.0
1078,5400000.0
1079,4200000.0
1080,5400000.0
1081,5400000.0
1082,4000000.0
1083,200000.0
1084,400000.0
1085,5400000.0
1086,4600000.0
1087,8400000.0
1088,5400000.0
1089,2400000.0
1090,7000000.0
1091,1200000.0
1092,5400000.0
1093,1400000.0
1094,1000000.0
1095,5400000.0
1096,5400000.0
1097,5400000.0
1098,5400000.0
1099,6200000.0
1100,4000000.0
1101,400000.0
1102,1200000.0
1103,5200000.0
1104,3200000.0
1105,2800000.0
1106,5400000.0
1107,3000000.0
1108,5400000.0
1109,1400000.0
1110,3800000.0
1111,5400000.0
1112,5400000.0
1113,3800000.0
1114,200000.0
1115,4200000.0
1116,5400000.0
1117,4800000.0
1118,2200000.0
1119,3800000.0
1120,5400000.0
1121,5400000.0
1122,5400000.0
1123,3000000.0
1124,6400000.0
1125,5400000.0
1126,5400000.0
1127,800000.0
1128,5400000.0
1129,200000.0
1130,1400000.0
1131,5400000.0
1132,5000000.0
1133,5400000.0
1134,6800000.0
1135,3400000.0
1136,600000.0
1137,1000000.0
1138,5400000.0
1139,1600000.0
1140,1600000.0
1141,5400000.0
1142,1600000.0
1143,5000000.0
1144,200000.0
1145,5400000.0
1146,5400000.0
1147,3200000.0
1148,2000000.0
1149,5400000.0
1150,5400000.0
1151,4400000.0
1152,5400000.0
1153,5400000.0
1154,5400000.0
1155,1800000.0
1156,1800000.0
1157,1600000.0
1158,800000.0
1159,600000.0
1160,1200000.0
1161,5400000.0
1162,5400000.0
1163,3600000.0
1164,600000.0
1165,5400000.0
1166,5400000.0
1167,5400000.0
1168,5400000.0
1169,3200000.0
1170,5400000.0
1171,3400000.0
1172,1400000.0
1173,5400000.0
1174,600000.0
1175,5400000.0
1176,5400000.0
1177,4000000.0
1178,4200000.0
1179,1200000.0
1180,4000000.0
1181,1200000.0
1182,1200000.0
1183,4600000.0
1184,6200000.0
1185,5400000.0
1186,3200000.0
1187,5400000.0
1188,5400000.0
1189,4800000.0
1190,6400000.0
1191,5400000.0
1192,5400000.0
1193,2400000.0
1194,5400000.0
1195,5400000.0
1196,5000000.0
1197,3200000.0
1198,5400000.0
1199,9200000.0
1200,5400000.0
1201,5400000.0
1202,1000000.0
1203,200000.0
1204,2800000.0
1205,2200000.0
1206,5800000.0
1207,400000.0
1208,1400000.0
1209,5400000.0
1210,200000.0
1211,5000000.0
1212,5400000.0
1213,5400000.0
1214,1800000.0
1215,2400000.0
1216,5400000.0
1217,5400000.0
1218,400000.0
1219,1800000.0
1220,4400000.0
1221,5800000.0
1222,3400000.0
1223,4400000.0
1224,5400000.0
1225,6200000.0
1226,600000.0
1227,5400000.0
1228,800000.0
1229,5400000.0
1230,3400000.0
1231,2000000.0
1232,5400000.0
1233,5400000.0
1234,5400000.0
1235,7200000.0
1236,400000.0
1237,1600000.0
1238,5400000.0
1239,5400000.0
1240,1600000.0
1241,5400000.0
1242,400000.0
1243,3400000.0
1244,4400000.0
1245,5400000.0
1246,5400000.0
1247,5400000.0
1248,7800000.0
1249,1400000.0
1250,400000.0
1251,2800000.0
1252,4200000.0
1253,3600000.0
1254,1400000.0
1255,5400000.0
1256,2600000.0
1257,7400000.0
1258,5400000.0
1259,4400000.0
1260,5600000.0
1261,3600000.0
1262,6000000.0
1263,2600000.0
1264,5400000.0
1265,2600000.0
1266,7400000.0
1267,8000000.0
1268,2600000.0
1269,5800000.0
1270,1800000.0
1271,5400000.0
1272,5000000.0
1273,1600000.0
1274,5400000.0
1275,2200000.0
1276,1400000.0
1277,5400000.0
1278,3600000.0
1279,3400000.0
1280,3800000.0
1281,5400000.0
1282,5400000.0
1283,1200000.0
1284,5000000.0
1285,5400000.0
1286,5400000.0
1287,5400000.0
1288,5400000.0
1289,6600000.0
1290,3800000.0
1291,5400000.0
1292,3800000.0
1293,1400000.0
1294,600000.0
1295,4200000.0
1296,5400000.0
1297,3800000.0
1298,5400000.0
1299,400000.0
1300,5400000.0
1301,2800000.0
1302,5400000.0
1303,5400000.0
1304,4200000.0
1305,5400000.0
1306,7800000.0
1307,7000000.0
1308,9000000.0
1309,5000000.0
1310,4200000.0
1311,5400000.0
1312,5400000.0
1313,5400000.0
1314,1800000.0
1315,2000000.0
1316,5400000.0
1317,5400000.0
1318,4400000.0
1319,5400000.0
1320,5800000.0
1321,5600000.0
1322,3400000.0
1323,2400000.0
1324,7400000.0
1325,200000.0
1326,5400000.0
1327,5400000.0
1328,5400000.0
1329,1200000.0
1330,3600000.0
1331,2400000.0
1332,200000.0
1333,5800000.0
1334,7800000.0
1335,5400000.0
1336,5400000.0
