Step,Value
1,156480.0
2,156480.0
3,168960.0
4,173440.0
5,169600.0
6,175680.0
7,168960.0
8,172480.0
9,168320.0
10,173120.0
11,162560.0
12,160640.0
13,160960.0
14,167040.0
15,172480.0
16,158720.0
17,164160.0
18,157440.0
19,159680.0
20,155200.0
21,159040.0
22,164160.0
23,151680.0
24,160000.0
25,164480.0
26,152960.0
27,159360.0
28,160960.0
29,165120.0
30,161600.0
31,152000.0
32,145920.0
33,147520.0
34,162560.0
35,171520.0
36,184640.0
37,172800.0
38,168960.0
39,176320.0
40,172480.0
41,169600.0
42,173440.0
43,174400.0
44,162560.0
45,176960.0
46,184000.0
47,178560.0
48,194240.0
49,185280.0
50,184000.0
51,189120.0
52,174400.0
53,178240.0
54,178240.0
55,176960.0
56,168640.0
57,163520.0
58,182080.0
59,177280.0
60,184000.0
61,176000.0
62,180160.0
63,176960.0
64,174720.0
65,164480.0
66,173440.0
67,165760.0
68,172480.0
69,177920.0
70,181440.0
71,181760.0
72,188160.0
73,178240.0
74,188480.0
75,189760.0
76,190720.0
77,188800.0
78,209280.0
79,212160.0
80,202880.0
81,206400.0
82,198720.0
83,190080.0
84,206080.0
85,204160.0
86,215040.0
87,205440.0
88,205440.0
89,210880.0
90,205760.0
91,210560.0
92,215360.0
93,201280.0
94,216960.0
95,217920.0
96,208640.0
97,215680.0
98,216640.0
99,209600.0
100,210240.0
101,209280.0
102,204800.0
103,203200.0
104,206080.0
105,185920.0
106,186560.0
107,201920.0
108,185920.0
109,187200.0
110,193280.0
111,196160.0
112,199360.0
113,185280.0
114,185600.0
115,189760.0
116,182080.0
117,174720.0
118,184000.0
119,171520.0
120,181440.0
121,175680.0
122,174080.0
123,170880.0
124,177600.0
125,166400.0
126,171200.0
127,167680.0
128,167360.0
129,184320.0
130,173120.0
131,169280.0
132,184320.0
133,166080.0
134,168960.0
135,167680.0
136,171200.0
137,173760.0
138,162880.0
139,165440.0
140,169280.0
141,154240.0
142,165120.0
143,159680.0
144,155840.0
145,160640.0
146,162880.0
147,165440.0
148,156800.0
149,159040.0
150,156800.0
151,164800.0
152,166720.0
153,168960.0
154,163520.0
155,159360.0
156,157120.0
157,157440.0
158,149760.0
159,157440.0
160,163200.0
161,159360.0
162,165120.0
163,166720.0
164,165120.0
165,166400.0
166,167040.0
167,178240.0
168,169280.0
169,163840.0
170,167360.0
171,163840.0
172,170240.0
173,163840.0
174,158400.0
175,174720.0
176,158080.0
177,155200.0
178,152320.0
179,155840.0
180,156480.0
181,149120.0
182,150400.0
183,145600.0
184,158400.0
185,162560.0
186,153280.0
187,152640.0
188,151360.0
189,137280.0
190,142720.0
191,160000.0
192,150080.0
193,163200.0
194,154560.0
195,151040.0
196,157760.0
197,151680.0
198,135360.0
199,134720.0
200,148480.0
201,153600.0
202,151680.0
203,153280.0
204,155200.0
205,167680.0
206,158080.0
207,151040.0
208,147200.0
209,136960.0
210,144000.0
211,146560.0
212,143360.0
213,150080.0
214,136320.0
215,147840.0
216,143040.0
217,142080.0
218,145600.0
219,155520.0
220,168640.0
221,166080.0
222,164800.0
223,173120.0
224,179520.0
225,170240.0
226,171520.0
227,180800.0
228,181120.0
229,188160.0
230,188160.0
231,186560.0
232,192000.0
233,187520.0
234,190080.0
235,183040.0
236,185600.0
237,188480.0
238,179520.0
239,200960.0
240,192000.0
241,183040.0
242,195840.0
243,197120.0
244,199040.0
245,206080.0
246,198400.0
247,200960.0
248,200640.0
249,216000.0
250,210240.0
251,199680.0
252,205120.0
253,194240.0
254,199360.0
255,202880.0
256,206400.0
257,208000.0
258,198720.0
259,205120.0
260,208320.0
261,200640.0
262,204160.0
263,202240.0
264,188800.0
265,185920.0
266,186240.0
267,186560.0
268,194560.0
269,207680.0
270,202560.0
271,207040.0
272,205120.0
273,201600.0
274,198080.0
275,196480.0
276,202880.0
277,207680.0
278,201600.0
279,188160.0
280,190720.0
281,191040.0
282,201280.0
283,205760.0
284,202880.0
285,224320.0
