Step,Value
0,7911846.5
1,7911846.5
2,7628274.0
3,7971330.5
4,7683903.0
5,208790.5
6,6286856.5
7,194693.3125
8,5496009.5
9,6237495.0
10,187039.1875
11,5470597.5
12,7061943.5
13,7218963.5
14,7290226.5
15,6118247.5
16,6644636.0
17,5737969.5
18,158244.765625
19,14129.6337890625
20,4678562.5
21,222385.984375
22,6574629.0
23,202777.65625
24,5542509.0
25,7092070.0
26,7722601.0
27,7027804.5
28,6839252.5
29,7068550.5
30,209961.625
31,7972.4580078125
32,6508712.0
33,7721491.5
34,8256661.0
35,246168.125
36,19317.927734375
37,13051.1640625
38,6818625.0
39,8188901.0
40,6415107.0
41,6359669.5
42,5826035.0
43,6383480.0
44,6332735.5
45,209722.140625
46,5000159.5
47,173935.40625
48,5608339.0
49,6695786.0
50,6519129.0
51,7249725.0
52,226964.8125
53,6507651.0
54,7203908.0
55,8016244.5
56,8602326.0
57,274345.6875
58,6051516.5
59,8221442.5
60,7763163.5
61,198819.21875
62,6212321.0
63,7469168.0
64,7782504.0
65,8112777.0
66,8479052.0
67,8027092.0
68,8239188.0
69,7773439.5
70,7077921.5
71,6633696.5
72,6114251.0
73,182623.5
74,4592093.0
75,5212410.0
76,5216613.0
77,190594.96875
78,4929984.5
79,160573.921875
80,5179493.0
81,6529944.5
82,7028306.0
83,243268.953125
84,6278523.0
85,7506191.5
86,7726210.5
87,8338828.5
88,261453.21875
89,7740194.0
90,8621976.0
91,8382621.5
92,8153724.0
93,263662.375
94,6803529.0
95,7660617.0
96,181101.78125
97,5768173.5
98,202452.265625
99,5502459.0
100,6288874.5
101,6307261.5
102,200472.96875
103,5438686.5
104,5620076.5
105,5750592.0
106,6014782.5
107,169943.0
108,5388285.5
109,5168895.0
110,199742.109375
111,4423651.0
112,7020836.0
113,7732973.0
114,6283630.5
115,7725111.5
116,8487088.0
117,7908198.5
118,8058995.0
119,8302865.5
120,8264951.0
121,8047477.5
122,7795555.0
123,7796689.5
124,214267.953125
125,5721240.5
126,6196557.5
127,6529205.0
128,7034535.5
129,6374699.0
130,171472.34375
131,6120852.0
132,206925.203125
133,6225665.0
134,221476.9375
135,6323484.5
136,7536511.5
137,7604072.5
138,7735939.5
139,7875013.5
140,7565283.5
141,7596689.5
142,6236351.5
143,6653738.5
144,7409386.5
145,7728357.0
146,7040746.5
147,6670249.0
148,6591438.0
149,6191236.0
150,204021.78125
151,5415814.0
152,166278.96875
153,14398.28515625
154,4631965.5
155,191326.265625
156,4363369.5
157,166591.4375
158,31788.0859375
159,17542.943359375
160,4862965.5
161,5972162.0
162,6448807.5
163,7045971.5
164,7197100.5
165,7442499.0
166,8436155.0
167,8048803.0
168,256846.3125
169,7081895.5
170,7511675.0
171,7531831.5
172,7383095.5
173,6740203.5
174,6794469.5
175,6083216.0
176,5613740.0
177,6281371.0
178,6499982.0
179,6088205.0
180,5755543.0
181,6250896.5
182,6982142.5
183,7013375.0
184,211189.40625
185,5722375.5
186,174185.890625
187,5891511.5
188,6948255.0
189,7174649.0
190,6086554.0
191,138179.359375
192,4640122.5
193,6165981.0
194,5719537.0
195,6843282.0
196,6662435.5
197,6252738.5
198,6956407.0
199,7391322.5
200,7773030.5
201,7679632.0
202,6577058.5
203,6268209.5
204,6628384.0
205,6481766.0
206,6260880.5
207,5848773.0
208,5574337.0
209,5378017.0
210,6026354.0
211,194235.375
212,6306997.0
213,6152185.5
214,7184545.0
215,7878741.5
216,7508934.5
217,7833937.5
218,262194.96875
219,5796257.0
220,6504008.5
221,7397171.0
222,7367648.5
223,7434789.0
224,204462.53125
225,5415129.0
226,6090811.0
227,5014566.0
228,5692451.5
229,5576831.5
230,5393027.0
231,5365936.0
232,4913643.5
233,5511436.0
234,6015252.5
235,6413632.5
236,6965261.0
237,7205394.5
238,7328968.5
239,7756227.0
240,7413418.0
241,8453270.0
242,249946.5
243,6979972.5
244,229578.03125
245,7295811.5
246,250337.65625
247,6810566.0
248,7214669.0
249,7511888.0
250,7225891.5
251,6650640.0
252,7339002.5
253,6439042.0
254,7536618.0
255,7283066.5
256,6502322.0
257,6395441.5
258,6908118.5
259,7356408.5
260,6429289.5
261,6350355.0
262,5289604.0
263,6906560.5
264,7087031.5
265,6184070.0
266,7415342.5
267,7628928.5
268,8047533.0
269,8262370.0
270,9185965.0
271,9576086.0
272,9361687.0
273,9334672.0
274,9025561.0
275,9180276.0
276,8192606.5
277,7885020.5
278,7419732.0
279,6699930.0
280,6056335.0
281,6533352.5
282,6638086.0
283,5857640.0
284,5956277.5
285,5967666.0
286,6171398.5
287,5683262.5
288,7097342.0
289,7486144.5
290,6065626.0
291,7468017.5
292,7663264.0
293,7517323.0
294,7541532.0
295,6937083.0
296,7433134.5
297,6744445.5
298,6828808.0
299,7352741.5
300,7305553.0
301,7273853.0
302,6691727.0
303,6664324.0
304,6209794.0
305,6373853.5
306,6718422.5
307,6732389.5
308,6785046.0
309,7443728.5
310,7427723.5
311,7713288.0
312,7586657.5
313,7595005.5
314,7524433.0
315,7278661.5
316,7619143.0
317,7698723.5
318,8263402.5
319,8277405.0
320,7924436.5
321,8504879.0
322,9322767.0
323,9293692.0
324,8437268.0
325,8425470.0
326,8319357.5
327,8806482.0
328,6451020.0
329,7838897.5
330,7673704.0
331,242364.875
332,6285222.5
333,7501128.5
334,7311201.5
335,7412532.5
336,7410861.0
337,7720848.0
338,8074070.5
339,8635882.0
340,9169984.0
341,9488333.0
342,9049711.0
343,8639050.0
344,7827642.5
345,7313368.5
346,6876151.0
347,6516427.5
348,6280297.5
349,5838876.0
350,6728524.5
351,6748248.0
352,6330584.5
353,6770614.5
354,6391054.0
355,6265053.5
356,6893001.0
357,7033364.0
358,6826485.0
359,6679404.5
360,6881879.0
361,7140000.5
362,7171325.0
363,6625746.0
364,6546869.5
365,6328286.5
366,6144323.5
367,5937461.5
368,6172823.0
369,6440464.5
370,6961862.0
371,6495513.0
372,6563628.5
373,6941382.0
374,6614182.5
375,6568646.0
376,6490115.5
377,5983348.0
378,5436880.0
379,5728559.0
380,6436682.5
381,6245510.0
382,6516207.5
383,6221829.0
384,7147654.0
385,7049405.0
386,7133945.0
387,7999488.5
388,8535667.0
389,8831796.0
390,8848713.0
391,8299088.5
392,8201416.5
393,8497641.0
394,8460808.0
395,8970233.0
396,8795776.0
397,8600161.0
398,7780227.0
399,7556268.0
400,7449969.5
401,7540927.5
402,6987968.5
403,7024219.5
404,7109237.0
405,7540553.5
406,7373190.5
407,6910355.0
408,7545941.5
409,7588057.5
410,7728891.0
411,7952326.5
412,8221688.0
413,7793397.0
414,8057832.5
415,8229332.5
416,8325605.0
417,8203984.5
418,7794960.0
419,7928982.0
420,8220204.5
421,7678151.0
422,7382325.0
423,7253638.0
424,6851737.0
425,7845720.0
426,8021543.0
427,7962281.0
428,7959361.0
429,7952933.5
430,7317103.0
431,7208827.5
432,7615876.5
433,7609740.0
434,7670828.5
435,7790926.5
436,8163772.0
437,8336254.5
438,7499696.0
439,7610150.0
440,7311334.0
441,6786143.0
442,7314347.5
443,6609263.0
444,6281917.5
445,6514178.0
446,6326910.0
447,6236031.5
448,6145093.0
449,6555325.5
450,7132943.0
451,7170061.0
452,8120835.5
453,7229537.0
454,7419011.0
455,7861991.0
456,7717783.5
457,7719664.0
458,8113099.5
459,8271802.5
460,8144079.0
461,8051413.5
462,7982962.0
463,7506294.0
464,7361181.5
465,7070543.5
466,7058753.5
467,7164835.0
468,7469667.0
469,6876569.5
470,6419995.0
471,6546903.5
472,6675162.0
473,6932075.5
474,7254282.5
475,7763355.0
476,7649044.0
477,7838509.0
478,7361324.0
479,7359203.0
480,7005280.0
481,7561957.5
482,6946376.0
483,7469307.5
484,7951795.5
485,7948584.0
486,8559127.0
487,8550320.0
488,8466984.0
489,8486973.0
490,7906239.0
491,7363493.5
492,7473543.0
493,7923708.0
494,7543189.0
495,7930065.0
496,7671663.0
497,7408580.5
498,7222961.0
499,6738199.0
500,7010740.5
501,7232575.5
502,7934443.5
503,8307866.5
504,7747820.5
505,7187275.0
506,7821197.0
507,7917809.0
508,7828368.0
509,8093406.0
510,8198270.0
511,7840149.5
512,8371753.0
513,8588764.0
514,7891364.5
515,6928557.5
516,6981934.0
517,6899246.0
518,6395342.0
519,6490114.5
520,6736487.5
