Step,Value
0,3.0
1,21.0
2,0.0
3,53.0
4,12.0
5,42.0
6,35.0
7,34.0
8,30.0
9,52.0
10,42.0
11,38.0
12,0.0
13,99.0
14,0.0
15,38.0
16,22.0
17,28.0
18,0.0
19,37.0
20,0.0
21,0.0
22,139.0
23,34.0
24,38.0
25,36.0
26,0.0
27,68.0
28,0.0
29,91.0
30,0.0
31,66.0
32,0.0
33,0.0
34,0.0
35,52.0
36,0.0
37,0.0
38,30.0
39,18.0
40,0.0
41,33.0
42,14.0
43,0.0
44,0.0
45,66.0
46,27.0
47,16.0
48,23.0
49,0.0
50,77.0
51,0.0
52,114.0
53,0.0
54,135.0
55,0.0
56,109.0
57,0.0
58,0.0
59,146.0
60,0.0
61,102.0
62,37.0
63,32.0
64,45.0
65,0.0
66,25.0
67,30.0
68,21.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,40.0
75,9.0
76,19.0
77,0.0
78,0.0
79,0.0
80,53.0
81,22.0
82,0.0
83,67.0
84,34.0
85,0.0
86,118.0
87,50.0
88,0.0
89,136.0
90,71.0
91,70.0
92,0.0
93,118.0
94,87.0
95,55.0
96,0.0
97,97.0
98,75.0
99,73.0
100,0.0
101,0.0
102,76.0
103,39.0
104,0.0
105,35.0
106,17.0
107,0.0
108,29.0
109,0.0
110,0.0
111,71.0
112,0.0
113,23.0
114,0.0
115,66.0
116,0.0
117,38.0
118,33.0
119,19.0
120,35.0
121,35.0
122,0.0
123,67.0
124,51.0
125,56.0
126,0.0
127,101.0
128,0.0
129,116.0
130,0.0
131,108.0
132,0.0
133,122.0
134,57.0
135,0.0
136,17.0
137,55.0
138,0.0
139,56.0
140,23.0
141,0.0
142,0.0
143,0.0
144,0.0
145,42.0
146,24.0
147,19.0
148,0.0
149,72.0
150,0.0
151,0.0
152,78.0
153,0.0
154,42.0
155,0.0
156,129.0
157,115.0
158,97.0
159,64.0
160,0.0
161,123.0
162,67.0
163,73.0
164,50.0
165,0.0
166,19.0
167,0.0
168,20.0
169,0.0
