Step,Value
0,7919692.5
1,7919692.5
2,8013817.5
3,233258.28125
4,6500631.5
5,7599672.5
6,6983248.5
7,7243975.5
8,7028268.5
9,6971858.5
10,6572202.0
11,7119531.5
12,6687492.0
13,205995.4375
14,5543620.5
15,6972906.0
16,7324115.0
17,7219533.5
18,7122625.0
19,6064832.0
20,6662698.0
21,212146.53125
22,7993.37060546875
23,4899880.0
24,6286620.5
25,6540772.0
26,7183412.5
27,235252.0
28,6058907.0
29,194682.890625
30,5666831.5
31,214845.140625
32,6356425.0
33,222626.234375
34,3687.90771484375
35,5039039.0
36,6307559.0
37,207448.546875
38,5125381.0
39,7013988.5
40,8137282.5
41,234635.15625
42,7488187.5
43,8541319.0
44,262226.21875
45,9174.736328125
46,6037169.0
47,7223157.0
48,7647473.5
49,7694770.0
50,223294.328125
51,6004506.5
52,162809.75
53,5243359.5
54,188147.03125
55,4905092.0
56,176340.359375
57,5014843.5
58,194256.359375
59,0.0
60,4782530.0
61,178927.53125
62,5405511.0
63,6496464.0
64,7078890.5
65,7021230.5
66,6109767.5
67,7261920.5
68,7510853.5
69,8442184.0
70,8823302.0
71,240658.265625
72,6950.6328125
73,5739.4580078125
74,10255.08984375
75,6841622.5
76,7725501.5
77,7387123.0
78,215489.515625
79,14020.451171875
80,5917.45654296875
81,6284436.5
82,7818069.0
83,241626.265625
84,5726108.0
85,7211709.5
86,209960.28125
87,5287457.5
88,6461601.5
89,213420.1875
90,4908194.5
91,5412865.5
92,5636924.0
93,161909.703125
94,4921922.0
95,5374759.0
96,5807330.0
97,185845.171875
98,5252546.5
99,5637525.0
100,5634422.5
101,187512.28125
102,14865.958984375
103,5546387.5
104,6869203.0
105,6160464.0
106,7331923.5
107,7741933.5
108,232767.3125
109,7064592.0
110,256284.640625
111,0.0
112,6118919.5
113,7112774.0
114,7258485.5
115,216064.875
116,6344606.0
117,233411.3125
118,6994318.5
119,7379876.5
120,7399493.5
121,6845940.5
122,6845267.0
123,191667.484375
124,6005742.0
125,6119213.0
126,6265840.5
127,182467.40625
128,5182310.0
129,167256.859375
130,4961117.5
131,145188.3125
132,4930092.5
133,152839.96875
134,4904204.5
135,6009434.0
136,5034424.5
137,5452822.0
138,6101154.0
139,198663.640625
140,6245165.5
141,7376352.0
142,216136.1875
143,3512.3251953125
144,23244.111328125
145,5427151.0
146,6869136.0
147,7820356.0
148,7862642.5
149,286261.46875
150,6107590.5
151,6386767.5
152,150268.734375
153,5803720.5
154,6047854.5
155,6482113.0
156,186399.75
157,4729728.5
158,4909161.0
159,5219403.5
160,5761229.0
161,196386.0
162,4965637.0
163,5699583.0
164,5542328.0
165,5957964.5
166,6519483.0
167,7575268.0
168,7248167.0
169,7824303.5
170,7505343.5
171,7977498.0
172,6542709.0
173,7018468.0
174,7425506.5
175,7308375.5
176,205113.546875
177,15370.1728515625
178,5560454.0
179,6606774.0
180,6998633.5
181,7208442.0
182,7274084.0
183,6890246.0
184,6931394.0
185,6642733.5
186,6168244.5
187,6286592.0
188,5640642.5
189,5677782.0
190,5366352.0
191,4969589.0
192,4886486.0
193,5427327.0
194,5511470.0
195,5110298.5
196,5238159.5
