Step,Value
0,153280.0
1,153280.0
2,162560.0
3,165440.0
4,168000.0
5,160960.0
6,170240.0
7,67200.0
8,0.0
9,1600.0
10,163200.0
11,160640.0
12,161280.0
13,174080.0
14,168640.0
15,168000.0
16,64000.0
17,0.0
18,0.0
19,159360.0
20,154880.0
21,65600.0
22,0.0
23,3200.0
24,163520.0
25,152000.0
26,63680.0
27,0.0
28,158400.0
29,154880.0
30,152320.0
31,150720.0
32,158400.0
33,163200.0
34,172480.0
35,175360.0
36,67200.0
37,173120.0
38,169600.0
39,183680.0
40,174080.0
41,68800.0
42,3200.0
43,176960.0
44,178880.0
45,171520.0
46,73600.0
47,194240.0
48,191040.0
49,177920.0
50,178240.0
51,186240.0
52,179840.0
53,175360.0
54,70080.0
55,0.0
56,177600.0
57,73600.0
58,184640.0
59,178240.0
60,182400.0
61,72000.0
62,0.0
63,175680.0
64,70400.0
65,0.0
66,171200.0
67,182400.0
68,176000.0
69,186560.0
70,71680.0
71,181120.0
72,75200.0
73,0.0
74,185600.0
75,184000.0
76,197120.0
77,204800.0
78,200960.0
79,200320.0
80,207360.0
81,207040.0
82,78400.0
83,0.0
84,0.0
85,0.0
86,203840.0
87,212480.0
88,82880.0
89,216640.0
90,217280.0
91,214080.0
92,86400.0
93,217280.0
94,204160.0
95,86400.0
96,1600.0
97,215040.0
98,83200.0
99,3200.0
100,1600.0
101,209600.0
102,211520.0
103,200320.0
104,74880.0
105,182080.0
106,181760.0
107,73600.0
108,0.0
109,199360.0
110,76800.0
111,197760.0
112,201600.0
113,192960.0
114,186560.0
115,181440.0
116,185280.0
117,186560.0
118,70400.0
119,181120.0
120,176000.0
121,183680.0
122,70080.0
123,0.0
124,159360.0
125,170560.0
126,67200.0
127,168640.0
128,176960.0
129,167040.0
130,175680.0
131,175040.0
132,174400.0
133,174080.0
134,177280.0
135,174400.0
136,168640.0
137,165760.0
138,166400.0
139,65280.0
140,165120.0
141,161600.0
142,164480.0
143,64000.0
144,164800.0
145,66880.0
146,0.0
147,146880.0
148,160640.0
149,166080.0
150,157120.0
151,173760.0
152,174720.0
153,65600.0
154,164480.0
155,64000.0
156,162240.0
157,62080.0
158,148800.0
159,157440.0
160,158080.0
161,160640.0
162,65600.0
163,0.0
164,0.0
165,1600.0
166,171520.0
167,163840.0
168,169920.0
169,162880.0
170,158720.0
171,156480.0
172,65280.0
173,165440.0
174,159040.0
175,160640.0
176,164480.0
177,153600.0
178,62400.0
179,0.0
180,150080.0
181,157760.0
182,157120.0
183,155520.0
184,158080.0
185,157440.0
186,60800.0
187,1600.0
188,148160.0
189,153280.0
190,165440.0
191,157120.0
192,154240.0
193,62080.0
194,145920.0
195,155200.0
196,60480.0
197,0.0
198,0.0
199,141120.0
200,153600.0
201,151040.0
202,151680.0
203,160320.0
204,159040.0
205,165760.0
206,151360.0
207,152000.0
208,139200.0
209,146240.0
210,140160.0
211,144000.0
212,147520.0
213,136640.0
214,131520.0
215,143040.0
216,144320.0
217,151360.0
218,160320.0
219,159040.0
220,173760.0
221,164160.0
222,166720.0
223,171840.0
224,178240.0
225,169600.0
226,180800.0
227,172480.0
228,179200.0
229,185600.0
230,196160.0
231,184960.0
232,186880.0
233,73280.0
234,0.0
235,1600.0
236,0.0
237,1600.0
238,3200.0
239,3200.0
240,182400.0
241,192640.0
242,197760.0
243,206080.0
244,199360.0
245,193920.0
246,201280.0
247,198080.0
248,198400.0
249,205120.0
250,80000.0
251,1600.0
252,0.0
253,0.0
254,0.0
255,194880.0
256,201600.0
257,207040.0
258,198400.0
259,194880.0
260,198400.0
261,187520.0
262,193920.0
263,185920.0
264,189760.0
265,190400.0
266,190400.0
267,201920.0
268,81600.0
269,199360.0
270,207360.0
271,203200.0
272,196160.0
273,197440.0
274,200320.0
275,200640.0
276,209600.0
277,203200.0
278,196800.0
279,185920.0
280,186560.0
281,204480.0
282,196800.0
283,194880.0
284,212800.0
285,204800.0
286,220480.0
287,213760.0
288,217600.0
289,208640.0
290,215680.0
291,212160.0
292,210240.0
293,211840.0
294,192000.0
295,187520.0
296,184000.0
297,186560.0
298,190080.0
299,189440.0
300,190080.0
301,197120.0
302,196480.0
303,192640.0
304,190400.0
305,194240.0
306,190080.0
307,197760.0
308,192320.0
309,195520.0
310,186560.0
311,191360.0
312,194560.0
313,193600.0
314,179200.0
315,178240.0
316,185280.0
317,181440.0
318,181440.0
319,184320.0
320,175360.0
321,189120.0
322,184960.0
323,175360.0
324,156480.0
325,164160.0
326,165120.0
327,158720.0
328,162560.0
329,160000.0
330,156480.0
331,162240.0
332,152960.0
333,144640.0
334,165120.0
335,159040.0
336,155520.0
337,159680.0
338,153920.0
339,160320.0
340,167360.0
341,158400.0
342,164800.0
343,162240.0
344,168000.0
345,158720.0
346,157760.0
347,162240.0
348,156160.0
349,156160.0
350,154240.0
351,167360.0
352,157440.0
353,161920.0
354,156160.0
355,152000.0
356,157120.0
357,155840.0
358,146560.0
359,147200.0
360,138880.0
361,155200.0
362,148160.0
363,138240.0
364,142400.0
365,144320.0
366,145280.0
367,142400.0
368,153280.0
369,150400.0
370,152000.0
371,148480.0
372,154240.0
373,156480.0
374,151680.0
375,152000.0
376,150400.0
377,156800.0
378,143040.0
379,141440.0
380,151680.0
381,162880.0
382,154560.0
383,150720.0
384,143680.0
385,137920.0
386,156480.0
387,161600.0
388,157440.0
389,163840.0
390,168640.0
391,174080.0
392,180160.0
393,169600.0
394,188160.0
395,185920.0
396,202880.0
397,187840.0
398,195840.0
399,202880.0
400,192320.0
