Step,Value
0,2713600.0
1,2713600.0
2,4249600.0
3,2099200.0
4,2406400.0
5,6553600.0
6,4454400.0
7,5836800.0
8,7680000.0
9,4915200.0
10,5427200.0
11,8550400.0
12,5939200.0
13,1331200.0
14,7680000.0
15,6604800.0
16,6860800.0
17,6758400.0
18,9011200.0
19,7731200.0
20,5427200.0
21,6553600.0
22,3942400.0
23,3174400.0
24,1177600.0
25,2457600.0
26,4505600.0
27,5068800.0
28,5580800.0
29,3788800.0
30,4505600.0
31,6707200.0
32,4864000.0
33,6502400.0
34,8857600.0
35,6860800.0
36,5836800.0
37,8704000.0
38,4352000.0
39,5529600.0
40,8704000.0
41,5734400.0
42,9369600.0
43,6809600.0
44,870400.0
45,6809600.0
46,5017600.0
47,9523200.0
48,6963200.0
49,8601600.0
50,5836800.0
51,7168000.0
52,6400000.0
53,6246400.0
54,4710400.0
55,2457600.0
56,3686400.0
57,2508800.0
58,4198400.0
59,4915200.0
60,5529600.0
61,7577600.0
62,7424000.0
63,5990400.0
64,6912000.0
65,4761600.0
66,5324800.0
67,5427200.0
68,3174400.0
69,3481600.0
70,3174400.0
71,6195200.0
72,2867200.0
73,5888000.0
74,4710400.0
75,7219200.0
76,8038400.0
77,6707200.0
78,7116800.0
79,6809600.0
80,7372800.0
81,8806400.0
82,6758400.0
83,5222400.0
84,5273600.0
85,8960000.0
86,5478400.0
87,4300800.0
88,3584000.0
89,5683200.0
90,3788800.0
91,7424000.0
92,9011200.0
93,4300800.0
94,5376000.0
95,8345600.0
96,7475200.0
97,4556800.0
98,6092800.0
99,3840000.0
100,2816000.0
101,2764800.0
102,1689600.0
103,2508800.0
104,921600.0
105,2918400.0
106,2099200.0
107,3225600.0
108,3788800.0
109,4608000.0
110,4710400.0
111,5222400.0
112,6400000.0
113,4249600.0
114,9779200.0
115,8499200.0
116,8192000.0
117,7321600.0
118,5222400.0
119,7782400.0
120,5068800.0
121,4198400.0
122,8345600.0
123,7321600.0
124,4608000.0
125,3532800.0
126,3020800.0
127,2662400.0
128,4454400.0
129,2304000.0
130,460800.0
131,409600.0
132,5734400.0
133,6400000.0
134,3942400.0
135,3328000.0
136,2969600.0
137,3891200.0
138,4096000.0
139,5683200.0
140,3072000.0
141,1689600.0
142,2252800.0
143,3481600.0
144,2969600.0
145,2560000.0
146,2304000.0
147,3072000.0
148,1280000.0
149,2816000.0
150,1331200.0
151,3276800.0
152,6041600.0
153,5478400.0
154,4096000.0
155,5836800.0
156,8243200.0
157,9011200.0
158,7168000.0
159,4454400.0
160,5785600.0
161,3686400.0
162,3635200.0
163,2662400.0
164,3174400.0
165,5017600.0
166,4249600.0
167,4966400.0
168,7884800.0
169,5427200.0
170,870400.0
171,0.0
172,7526400.0
173,5888000.0
174,6963200.0
175,7116800.0
176,8448000.0
177,7577600.0
178,7731200.0
179,7680000.0
180,7936000.0
181,6041600.0
182,6604800.0
183,5017600.0
184,5222400.0
185,3532800.0
186,4352000.0
187,8448000.0
188,6912000.0
189,4761600.0
190,6860800.0
191,4864000.0
192,5785600.0
193,5580800.0
194,7116800.0
195,5120000.0
196,8294400.0
197,10649600.0
198,8652800.0
199,5017600.0
200,1024000.0
201,358400.0
202,5376000.0
203,3891200.0
204,2867200.0
205,4659200.0
206,7321600.0
207,5068800.0
208,4352000.0
209,9420800.0
210,7219200.0
211,6656000.0
212,6400000.0
213,7116800.0
214,5324800.0
215,5785600.0
216,3788800.0
217,1382400.0
218,7987200.0
219,3737600.0
220,4608000.0
221,3635200.0
222,6604800.0
223,7065600.0
224,3532800.0
225,5068800.0
226,5478400.0
227,5836800.0
228,4761600.0
229,8499200.0
230,6400000.0
231,6553600.0
232,6502400.0
233,5888000.0
234,4864000.0
235,5734400.0
236,6041600.0
237,10752000.0
238,5427200.0
239,4608000.0
240,7219200.0
241,6912000.0
242,5478400.0
243,7936000.0
244,9113600.0
245,9932800.0
246,7372800.0
247,6604800.0
248,5990400.0
249,6912000.0
250,6246400.0
251,8704000.0
252,8089600.0
253,5939200.0
254,4812800.0
255,5171200.0
256,4198400.0
257,4966400.0
258,2867200.0
259,5017600.0
260,5580800.0
261,4812800.0
262,3686400.0
263,8294400.0
264,5785600.0
265,4812800.0
266,6758400.0
267,4403200.0
268,2969600.0
269,6707200.0
270,9932800.0
271,5580800.0
272,7526400.0
273,6604800.0
274,6144000.0
275,5324800.0
276,1536000.0
277,8550400.0
278,7116800.0
279,6912000.0
280,7014400.0
281,6041600.0
282,7270400.0
283,7014400.0
284,4608000.0
285,4352000.0
286,3840000.0
287,6400000.0
288,3430400.0
289,3840000.0
290,1843200.0
291,3942400.0
292,2969600.0
293,51200.0
294,2764800.0
295,3635200.0
296,358400.0
297,4249600.0
298,4608000.0
299,6041600.0
300,7116800.0
301,5324800.0
302,8294400.0
303,7680000.0
304,8806400.0
305,8294400.0
306,8140800.0
307,7014400.0
308,4915200.0
309,6092800.0
310,5120000.0
311,4812800.0
312,6246400.0
313,5836800.0
314,5427200.0
315,3891200.0
316,6297600.0
317,6707200.0
318,6604800.0
319,7168000.0
320,6758400.0
321,10752000.0
322,8192000.0
323,9216000.0
324,11059200.0
325,9984000.0
326,5734400.0
327,3532800.0
328,7116800.0
329,6144000.0
330,4198400.0
331,2867200.0
332,7219200.0
333,5734400.0
334,4198400.0
335,7577600.0
336,7475200.0
337,6297600.0
338,1587200.0
339,3788800.0
340,4403200.0
341,6246400.0
342,4710400.0
343,7680000.0
344,4147200.0
345,5427200.0
346,5683200.0
347,3481600.0
348,4812800.0
349,3942400.0
350,4761600.0
351,4864000.0
352,3379200.0
353,4198400.0
354,3328000.0
355,6604800.0
356,6963200.0
357,7731200.0
358,9625600.0
359,7936000.0
360,10598400.0
361,5324800.0
362,4761600.0
363,4403200.0
364,7680000.0
365,5888000.0
366,6297600.0
367,6604800.0
368,6246400.0
369,7168000.0
370,4659200.0
371,5120000.0
372,3788800.0
373,5017600.0
374,7372800.0
375,8448000.0
376,9932800.0
377,10393600.0
378,8089600.0
379,7731200.0
380,5683200.0
381,4556800.0
382,3840000.0
383,3225600.0
384,4096000.0
385,4761600.0
386,4096000.0
387,5990400.0
388,5580800.0
389,5120000.0
390,6451200.0
391,3532800.0
392,7884800.0
393,5888000.0
394,5068800.0
395,8140800.0
396,4352000.0
397,2508800.0
398,7372800.0
399,5376000.0
400,4505600.0
401,5529600.0
402,7219200.0
403,7475200.0
404,7680000.0
405,7628800.0
406,6758400.0
407,3430400.0
408,6502400.0
409,7680000.0
410,6451200.0
411,6809600.0
412,5427200.0
413,6400000.0
414,4812800.0
415,3737600.0
416,3020800.0
417,4966400.0
418,4147200.0
419,7782400.0
420,5580800.0
421,3788800.0
422,5171200.0
423,5529600.0
424,3225600.0
425,4966400.0
426,5324800.0
427,6144000.0
428,2918400.0
429,5120000.0
430,7065600.0
431,5529600.0
432,7372800.0
433,5068800.0
434,7782400.0
435,4915200.0
436,4966400.0
437,4096000.0
438,4864000.0
439,6604800.0
440,7424000.0
441,4608000.0
442,6348800.0
443,8089600.0
444,6502400.0
445,5939200.0
446,5171200.0
447,6758400.0
448,8192000.0
449,5990400.0
450,3942400.0
451,3584000.0
452,3430400.0
453,5734400.0
454,5171200.0
455,4608000.0
456,4966400.0
457,4044800.0
458,3686400.0
459,2611200.0
460,4198400.0
461,6041600.0
462,12646400.0
463,11008000.0
464,16384000.0
465,10700800.0
466,13414400.0
467,12544000.0
468,11673600.0
469,8806400.0
470,8908800.0
471,5376000.0
472,4249600.0
473,5888000.0
474,7936000.0
475,4044800.0
476,1945600.0
477,5529600.0
478,4966400.0
479,2867200.0
480,6041600.0
481,6502400.0
482,6400000.0
483,9062400.0
484,8908800.0
485,8499200.0
486,9984000.0
487,11212800.0
488,8601600.0
489,8960000.0
490,4403200.0
491,6860800.0
492,4761600.0
493,4966400.0
494,4147200.0
495,5632000.0
496,6758400.0
497,8755200.0
498,4812800.0
499,8550400.0
500,5324800.0
501,7116800.0
502,9574400.0
503,8499200.0
504,6912000.0
505,7987200.0
506,8755200.0
507,9062400.0
508,4454400.0
509,5222400.0
510,8294400.0
511,5171200.0
