Step,Value
0,2.0
1,14.0
2,26.0
3,1555.0
4,1509.0
5,60.0
6,1506.0
7,1426.0
8,72.0
9,42.0
10,37.0
11,1535.0
12,1486.0
13,1496.0
14,59.0
15,40.0
16,37.0
17,28.0
18,32.0
19,34.0
20,1960.0
21,102.0
22,33.0
23,1496.0
24,1501.0
25,78.0
26,48.0
27,46.0
28,47.0
29,32.0
30,20.0
31,24.0
32,13.0
33,19.0
34,1960.0
35,44.0
36,32.0
37,19.0
38,9.0
39,18.0
40,1477.0
41,1493.0
42,37.0
43,0.0
44,10.0
45,13.0
46,17.0
47,14.0
48,1949.0
49,0.0
50,35.0
51,1.0
52,1481.0
53,60.0
54,48.0
55,37.0
56,46.0
57,38.0
58,1500.0
59,103.0
60,32.0
61,31.0
62,0.0
63,0.0
64,18.0
65,23.0
66,19.0
67,1516.0
68,1483.0
69,1493.0
70,1468.0
71,14.0
72,0.0
73,8.0
74,1955.0
75,15.0
76,20.0
77,11.0
78,16.0
79,1304.0
80,0.0
81,9.0
82,24.0
83,17.0
84,13.0
85,10.0
86,20.0
87,28.0
88,32.0
89,39.0
90,54.0
91,51.0
92,63.0
93,70.0
94,0.0
95,57.0
96,0.0
97,0.0
98,26.0
99,1420.0
100,41.0
101,0.0
102,26.0
103,15.0
104,4.0
105,16.0
106,8.0
107,15.0
108,13.0
109,8.0
110,5.0
111,0.0
112,1508.0
113,17.0
114,12.0
115,18.0
116,13.0
117,7.0
118,1961.0
119,45.0
120,25.0
121,1505.0
122,48.0
123,30.0
124,25.0
125,35.0
126,31.0
127,29.0
128,21.0
129,43.0
130,1476.0
131,5.0
132,48.0
133,49.0
134,39.0
135,66.0
136,59.0
137,42.0
138,0.0
139,22.0
140,12.0
141,24.0
142,22.0
143,7.0
144,7.0
145,14.0
146,8.0
147,17.0
148,1971.0
149,52.0
150,1976.0
151,39.0
152,10.0
153,14.0
154,19.0
155,0.0
156,23.0
157,36.0
158,40.0
159,27.0
160,14.0
161,0.0
162,0.0
163,24.0
164,34.0
165,16.0
166,15.0
167,21.0
168,19.0
169,17.0
170,12.0
171,1541.0
172,0.0
173,12.0
174,11.0
175,1.0
176,12.0
177,16.0
178,19.0
179,0.0
180,19.0
181,34.0
182,22.0
183,28.0
184,1959.0
185,60.0
186,0.0
187,66.0
188,0.0
189,64.0
190,60.0
191,63.0
192,38.0
193,33.0
194,1.0
195,43.0
196,50.0
197,55.0
198,3.0
199,34.0
200,31.0
201,20.0
202,19.0
203,12.0
204,12.0
205,11.0
206,11.0
207,7.0
208,0.0
209,0.0
210,0.0
211,11.0
212,21.0
213,21.0
214,0.0
215,28.0
216,28.0
217,0.0
218,26.0
219,23.0
220,44.0
221,27.0
222,26.0
223,40.0
224,51.0
225,38.0
226,19.0
227,24.0
228,7.0
229,20.0
230,21.0
231,12.0
232,0.0
233,13.0
234,17.0
235,12.0
236,20.0
237,24.0
238,20.0
239,29.0
240,22.0
241,46.0
242,27.0
243,28.0
244,19.0
245,42.0
246,23.0
247,17.0
248,7.0
249,6.0
250,12.0
251,22.0
252,31.0
253,23.0
254,17.0
255,20.0
256,19.0
257,32.0
258,22.0
259,39.0
260,48.0
261,38.0
262,30.0
263,17.0
264,18.0
265,13.0
266,14.0
267,12.0
268,16.0
269,9.0
270,17.0
271,18.0
272,9.0
273,9.0
274,11.0
275,12.0
276,13.0
277,10.0
278,25.0
279,15.0
280,28.0
281,28.0
282,37.0
283,59.0
284,49.0
285,35.0
286,33.0
287,69.0
288,69.0
289,62.0
290,50.0
291,33.0
292,28.0
293,12.0
294,13.0
295,13.0
296,0.0
297,0.0
298,20.0
299,0.0
300,0.0
301,0.0
302,9.0
303,5.0
304,9.0
305,14.0
306,7.0
307,6.0
308,13.0
309,15.0
310,15.0
311,18.0
312,18.0
313,18.0
314,19.0
315,0.0
316,12.0
317,11.0
318,14.0
319,32.0
320,36.0
321,22.0
322,20.0
323,20.0
324,37.0
325,26.0
326,50.0
327,31.0
328,24.0
329,19.0
330,18.0
331,1.0
332,14.0
333,17.0
