Step,Value
0,4506321.5
1,2517528.5
2,82881.8671875
3,775329.125
4,7002926.0
5,51610.921875
6,7302944.0
7,523076.8125
8,5015558.0
9,4972380.5
10,8897540.0
11,58600.078125
12,53059.6171875
13,7391008.0
14,315843.21875
15,4972381.5
16,59113.33984375
17,9615074.0
18,8120045.0
19,126799.03125
20,7650426.5
21,55165.37109375
22,3635838.75
23,6252412.0
24,5344369.5
25,4396793.0
26,375748.125
27,4223889.0
28,5364199.5
29,87742.6171875
30,9781017.0
31,80807.265625
32,472645.65625
33,4525387.5
34,4967479.5
35,9640428.0
36,9756984.0
37,3333333.5
38,54732.0703125
39,9144223.0
40,125909.1875
41,4868857.5
42,54502.953125
43,51558.53515625
44,2978279.0
45,54430.11328125
46,896913.9375
47,127281.921875
48,3266899.25
49,52915.02734375
50,1356518.625
51,9653459.0
52,4200466.0
53,54730.13671875
54,6320552.0
55,2111130.0
56,9704670.0
57,2721668.75
58,6357600.0
59,31541.146484375
60,2173422.25
61,469622.6875
62,8802049.0
63,1177932.375
64,69342.0546875
65,2888316.25
66,9269909.0
67,352748.75
68,380518.375
69,98401.2734375
70,4498704.5
71,93501.546875
72,9781963.0
73,126036.5
74,4468263.5
75,191953.890625
76,9782649.0
77,9112974.0
78,3368350.5
79,6179017.5
80,8360613.5
81,3333333.5
82,5571424.0
83,54293.91796875
84,5108762.5
85,4087091.5
86,55238.171875
87,7734790.0
88,8560190.0
89,74060.1171875
90,3977610.5
91,309177.59375
92,5442832.5
93,38699.80859375
94,9479932.0
95,6899110.0
96,73933.7890625
97,8356316.0
98,1595607.0
99,31770.197265625
100,6074731.0
101,7321481.5
102,7225531.5
103,88165.5546875
104,2097791.5
105,204241.578125
106,345316.65625
107,41704.2421875
108,3333333.5
109,9755024.0
110,4900600.5
111,7990051.0
112,50769.453125
113,9704778.0
114,5524335.5
115,6264483.5
116,6239627.5
117,108675.4296875
118,7163968.0
119,3001172.25
120,162155.609375
121,4972381.5
122,7172949.5
123,253781.4375
124,45013.14453125
125,3679447.25
126,126681.1953125
127,9085540.0
128,62259.2265625
129,108675.4296875
130,87149.6796875
131,8721591.0
132,487910.28125
133,7064864.5
134,2326756.5
135,92630.9296875
136,5681512.0
137,4628386.0
138,8046822.0
139,1717929.75
140,8686873.0
141,9352311.0
142,6226283.5
143,5300392.5
144,303018.15625
145,7365203.0
146,309619.59375
147,8316301.5
148,357553.28125
149,88857.6328125
150,439327.21875
151,3184782.25
152,1119815.875
153,5700346.0
154,213053.640625
155,8590880.0
156,3636840.0
157,483871.125
158,112469.4140625
159,4429078.5
160,95469.6796875
161,9233814.0
162,8516521.0
163,2482238.5
164,9632541.0
165,5549823.0
166,113331.03125
167,5413942.5
168,68083.3203125
169,77441.6640625
170,236244.859375
171,807684.3125
172,1090638.625
173,4140379.75
174,8280271.5
175,9425438.0
176,9193776.0
177,275378.75
178,6095206.5
179,1263490.125
180,306967.25
181,2758969.75
182,4883408.0
183,7759865.5
184,5791548.0
185,9688566.0
186,8455858.0
187,5097558.5
188,7397036.0
189,9584812.0
190,9517041.0
191,1181915.75
192,9452797.0
193,8027227.0
194,7287813.0
195,4838273.0
196,238016.5625
197,1545654.25
198,99813.984375
199,49997.703125
200,81529.1171875
201,831181.6875
202,1717712.625
203,8389704.0
204,4624811.5
205,2722130.5
206,7698787.0
207,1154498.875
208,6481333.0
209,2460671.0
210,9748573.0
211,7781769.0
212,9541804.0
213,69832.171875
214,633446.8125
215,84429.953125
216,84253.3984375
217,8319248.0
218,5922463.5
219,128881.953125
220,504985.9375
221,6426252.5
222,6697379.5
223,8956245.0
224,701392.375
225,4407624.5
226,251519.34375
227,858624.5
228,868340.5
229,44512.62890625
230,2307385.5
231,4829495.5
232,252983.125
233,224398.4375
234,6765128.5
235,334797.4375
236,3224164.5
237,7722755.5
238,242867.15625
239,1289446.5
240,3453221.0
241,9287959.0
242,143270.90625
243,8928682.0
244,5731114.5
245,430800.8125
246,1883616.625
247,50401.9765625
248,2645985.0
249,131301.71875
250,1484648.875
251,6690167.0
252,1479851.625
253,659139.25
254,2226097.25
255,1314329.375
256,2601863.25
257,2305381.25
258,504598.0625
259,4843808.0
260,1294452.875
261,913113.625
262,2708914.0
263,1213149.25
264,9142607.0
265,811017.0
266,73683.5234375
267,221461.578125
268,91031.7890625
269,892735.125
270,3298277.0
271,762591.375
272,633419.25
273,1850651.375
274,31709.765625
275,59569.85546875
276,472437.84375
277,36258.1171875
278,589134.75
279,431543.96875
280,1014315.6875
281,6402638.5
282,8558624.0
283,8985710.0
284,466565.1875
285,8285455.5
286,213891.859375
287,481599.0
288,2679160.5
289,7973233.0
290,2325559.75
291,174409.296875
292,147200.390625
293,1183095.75
294,162630.140625
295,38769.390625
296,483976.71875
297,144765.828125
298,1152839.25
299,2168279.0
300,158382.046875
301,571544.1875
302,1057836.5
303,537052.6875
304,4242201.0
305,1220738.25
306,918824.3125
307,90263.1484375
308,1142874.375
309,5370515.5
310,362987.96875
311,351363.125
312,3528293.25
313,4020244.75
314,1380466.625
315,2451839.25
316,1020742.125
317,2785785.5
318,277701.3125
319,652525.375
320,493456.875
321,1463120.625
322,1875257.375
323,809950.0
324,2565983.0
325,5838648.5
326,2350558.25
327,6034320.5
328,4620301.5
329,2549032.5
330,8495064.0
331,2182850.5
332,3645837.0
333,3062232.5
334,3335463.5
335,1312395.5
336,148294.015625
337,100752.3046875
338,277576.71875
339,2915569.0
340,7068517.0
341,2843753.75
342,7958515.5
343,5640418.0
344,1907763.75
345,1891060.75
346,1706342.5
347,3587900.0
348,1497517.125
349,3953590.5
350,1473830.0
351,1384366.75
352,2836762.75
353,496506.3125
354,3657387.75
355,3380520.0
356,2040572.5
357,6245098.0
358,3153908.25
359,1939586.875
360,3097463.5
361,2068243.0
362,4776050.0
363,2731800.0
364,668789.25
365,6578672.0
366,1597589.375
367,1898595.375
368,5264988.0
369,833026.375
370,6016342.0
371,7346436.5
372,1035113.4375
373,3114570.5
374,2230482.5
375,1703700.75
376,439979.09375
377,843398.0625
378,5067606.5
379,731994.9375
380,5138414.0
381,2293031.0
382,2155434.0
383,3417590.5
384,2140013.25
385,4695656.5
386,1389715.125
387,1809854.625
388,2753867.25
389,1057912.0
390,3503956.25
391,444901.0
392,4581991.5
393,1435439.625
394,4665650.5
395,4970610.0
396,2011576.75
397,4141558.75
398,3307122.0
399,4045842.5
400,2227354.75
401,2364221.0
402,1630082.375
403,2277399.25
404,647981.6875
405,2655718.25
406,2759141.25
407,7629275.5
408,5017524.0
409,3325408.0
410,4632804.0
411,4364787.5
412,5857633.0
413,1765968.375
414,1021432.9375
415,1097371.75
416,1424358.75
417,1142491.75
418,2341165.75
419,2407440.0
420,548905.0625
421,2066382.625
422,1057232.5
423,2661542.25
424,2960510.75
425,5452417.0
426,1802373.5
427,3373160.25
428,5114547.5
429,4242445.5
430,592304.5
431,2631009.25
432,1312905.75
433,4208542.5
434,665655.125
435,1610519.625
436,723182.9375
437,1873519.875
438,2265895.0
439,3802003.25
440,4885205.5
441,5014745.5
442,3530180.25
443,4381576.0
444,3723678.0
445,1792575.125
446,882652.5625
447,917978.875
448,4242301.5
449,640973.5
450,1462955.875
451,2586565.0
452,2806738.25
453,1214855.125
454,2835180.25
455,2177063.5
456,2067988.125
457,3369733.5
458,1970681.75
459,907614.375
460,1679321.125
461,1611766.375
462,2926615.25
463,3500840.0
464,3222259.25
465,3710939.25
466,2213481.25
467,1050383.875
468,837192.1875
469,3937088.0
470,615373.6875
471,1617424.75
472,837544.125
473,3900679.75
474,2483787.75
475,1887292.125
476,4358328.0
477,4544570.5
478,2485196.0
479,2658262.5
480,2747701.0
481,4370347.5
482,878809.25
483,837949.8125
484,1599975.625
485,2110719.0
486,1363897.875
487,5418569.0
488,2946241.5
489,1916074.0
490,2349742.0
491,1560800.25
492,2459021.0
493,2038320.25
494,1883503.375
495,4800936.0
496,5270819.0
497,2229016.5
498,2447324.75
499,2447449.0
500,2418886.75
501,3816099.25
502,1348298.0
503,1264386.75
504,2555247.25
505,843184.5
506,3629650.25
507,2070394.25
508,3462843.5
