Step,Value
0,9.0
1,15.0
2,1523.0
3,0.0
4,33.0
5,0.0
6,34.0
7,21.0
8,1519.0
9,1511.0
10,1472.0
11,1516.0
12,89.0
13,39.0
14,32.0
15,1966.0
16,69.0
17,1533.0
18,1495.0
19,99.0
20,76.0
21,56.0
22,1421.0
23,0.0
24,50.0
25,24.0
26,30.0
27,25.0
28,1522.0
29,115.0
30,1525.0
31,0.0
32,15.0
33,24.0
34,35.0
35,37.0
36,0.0
37,21.0
38,1962.0
39,1435.0
40,0.0
41,0.0
42,21.0
43,18.0
44,20.0
45,17.0
46,1448.0
47,1458.0
48,44.0
49,79.0
50,1458.0
51,1459.0
52,1485.0
53,75.0
54,49.0
55,44.0
56,38.0
57,0.0
58,46.0
59,1451.0
60,1.0
61,34.0
62,25.0
63,7.0
64,35.0
65,0.0
66,0.0
67,23.0
68,11.0
69,13.0
70,8.0
71,8.0
72,4.0
73,1442.0
74,25.0
75,0.0
76,1413.0
77,29.0
78,1417.0
79,70.0
80,29.0
81,15.0
82,0.0
83,1447.0
84,20.0
85,14.0
86,24.0
87,28.0
88,43.0
89,54.0
90,1369.0
91,1950.0
92,178.0
93,42.0
94,55.0
95,46.0
96,1401.0
97,101.0
98,1416.0
99,65.0
100,1411.0
101,102.0
102,48.0
103,1454.0
104,0.0
105,1465.0
106,1483.0
107,1454.0
108,1973.0
109,48.0
110,1384.0
111,52.0
112,11.0
113,8.0
114,1189.0
115,1515.0
116,22.0
117,1509.0
118,0.0
119,0.0
120,38.0
121,12.0
122,37.0
123,19.0
124,27.0
125,1542.0
126,48.0
127,58.0
128,48.0
129,43.0
130,58.0
131,71.0
132,62.0
133,61.0
134,75.0
135,88.0
136,95.0
137,69.0
138,40.0
139,36.0
140,22.0
141,34.0
142,21.0
143,14.0
144,13.0
145,20.0
146,14.0
147,10.0
148,5.0
149,10.0
150,18.0
151,16.0
152,15.0
153,15.0
154,25.0
155,30.0
156,52.0
157,42.0
158,49.0
159,36.0
160,25.0
161,12.0
162,21.0
163,0.0
164,1957.0
165,1972.0
166,39.0
167,1947.0
168,1947.0
169,1412.0
170,1962.0
171,1953.0
172,1957.0
173,1941.0
174,1946.0
175,1950.0
176,1953.0
177,1954.0
178,1965.0
179,1538.0
180,1952.0
181,1954.0
182,1973.0
183,1965.0
184,1466.0
185,1955.0
186,1959.0
187,1980.0
188,1970.0
189,1419.0
190,1967.0
191,1963.0
192,1566.0
193,141.0
194,1954.0
195,1553.0
196,195.0
197,75.0
198,25.0
199,1568.0
200,1578.0
201,85.0
202,16.0
203,1572.0
204,1566.0
205,0.0
206,21.0
207,10.0
208,1594.0
209,1616.0
210,37.0
211,1450.0
212,65.0
213,42.0
214,30.0
215,33.0
216,40.0
217,41.0
218,46.0
219,63.0
220,95.0
221,53.0
222,63.0
223,55.0
224,123.0
225,95.0
226,32.0
227,52.0
228,41.0
229,45.0
230,34.0
231,21.0
232,28.0
233,18.0
234,28.0
235,35.0
236,41.0
237,24.0
238,50.0
239,48.0
240,59.0
241,36.0
242,39.0
243,30.0
244,19.0
245,47.0
246,24.0
247,18.0
248,20.0
249,15.0
250,21.0
251,27.0
252,38.0
253,37.0
254,25.0
255,20.0
256,28.0
257,28.0
258,36.0
259,44.0
260,42.0
261,45.0
262,31.0
263,12.0
264,20.0
265,11.0
266,23.0
267,15.0
268,19.0
269,28.0
270,15.0
271,19.0
272,13.0
273,14.0
274,15.0
275,16.0
276,13.0
277,12.0
278,22.0
279,11.0
280,24.0
281,36.0
282,49.0
283,54.0
284,38.0
285,52.0
286,52.0
287,67.0
288,68.0
289,87.0
290,48.0
291,38.0
292,31.0
293,29.0
294,26.0
295,25.0
296,22.0
297,15.0
298,19.0
299,16.0
300,17.0
301,11.0
302,8.0
303,6.0
304,11.0
305,12.0
306,11.0
307,16.0
308,12.0
309,14.0
310,14.0
311,15.0
312,23.0
313,23.0
314,25.0
315,13.0
316,13.0
317,25.0
318,19.0
319,40.0
320,27.0
321,26.0
322,28.0
323,17.0
324,42.0
325,39.0
326,40.0
327,44.0
328,23.0
329,27.0
330,13.0
331,12.0
332,25.0
333,11.0
334,6.0
335,8.0
336,8.0
337,5.0
338,3.0
339,5.0
340,6.0
341,7.0
342,10.0
343,7.0
344,11.0
345,12.0
346,11.0
347,12.0
348,26.0
349,21.0
350,33.0
351,29.0
352,25.0
353,29.0
354,39.0
355,51.0
356,60.0
357,50.0
