Step,Value
0,153280.0
1,153280.0
2,163840.0
3,167360.0
4,168960.0
5,68480.0
6,163520.0
7,66880.0
8,171520.0
9,170560.0
10,165440.0
11,164160.0
12,160320.0
13,67200.0
14,175680.0
15,170560.0
16,63680.0
17,150720.0
18,148800.0
19,151680.0
20,65600.0
21,0.0
22,152960.0
23,156480.0
24,152000.0
25,151680.0
26,162240.0
27,62400.0
28,1600.0
29,167680.0
30,62400.0
31,148160.0
32,146240.0
33,154880.0
34,173120.0
35,171520.0
36,168640.0
37,171520.0
38,168320.0
39,70400.0
40,171520.0
41,68800.0
42,171200.0
43,70080.0
44,183360.0
45,72000.0
46,187840.0
47,190720.0
48,182720.0
49,184320.0
50,74880.0
51,180480.0
52,180800.0
53,181120.0
54,179840.0
55,169920.0
56,174400.0
57,177920.0
58,174400.0
59,178240.0
60,187200.0
61,179520.0
62,176000.0
63,70400.0
64,178560.0
65,67200.0
66,169280.0
67,170240.0
68,175040.0
69,191680.0
70,72000.0
71,189440.0
72,181760.0
73,178240.0
74,189760.0
75,187840.0
76,78400.0
77,204480.0
78,204800.0
79,205760.0
80,83200.0
81,1600.0
82,197760.0
83,78080.0
84,193920.0
85,200000.0
86,209920.0
87,212160.0
88,83200.0
89,3200.0
90,0.0
91,223040.0
92,86400.0
93,0.0
94,216000.0
95,215360.0
96,88000.0
97,214080.0
98,83200.0
99,214720.0
100,209600.0
101,209600.0
102,214720.0
103,81600.0
104,186560.0
105,73600.0
106,193920.0
107,193920.0
108,184960.0
109,188480.0
110,201600.0
111,198080.0
112,76800.0
113,180480.0
114,190080.0
115,174720.0
116,182080.0
117,173760.0
118,175360.0
119,175040.0
120,174400.0
121,70400.0
122,0.0
123,166080.0
124,168000.0
125,68800.0
126,167360.0
127,163840.0
128,169920.0
129,70400.0
130,175040.0
131,175360.0
132,168640.0
133,168960.0
134,171840.0
135,169280.0
136,164800.0
137,169600.0
138,164800.0
139,169280.0
140,65600.0
141,0.0
142,147520.0
143,164160.0
144,164800.0
145,171520.0
146,158080.0
147,62400.0
148,152960.0
149,63360.0
150,0.0
151,172160.0
152,173760.0
153,65600.0
154,166080.0
155,62400.0
156,0.0
157,155520.0
158,147200.0
159,61760.0
160,156800.0
161,160000.0
162,164160.0
163,174720.0
164,170880.0
165,68800.0
166,171200.0
167,172800.0
168,163840.0
169,162240.0
170,166080.0
171,165120.0
172,168000.0
173,167680.0
174,170240.0
175,64000.0
176,151680.0
177,160640.0
178,60800.0
179,145920.0
180,152640.0
181,62400.0
182,1600.0
183,158400.0
184,149440.0
185,152000.0
186,149120.0
187,151040.0
188,147200.0
189,149760.0
190,154880.0
191,149760.0
192,62400.0
193,160000.0
194,146560.0
195,156480.0
196,152320.0
197,56000.0
198,1600.0
199,143360.0
200,142400.0
201,156160.0
202,60480.0
203,168640.0
204,157120.0
205,162240.0
206,151360.0
207,149440.0
208,142080.0
209,142400.0
210,137280.0
211,143360.0
212,145280.0
213,146240.0
214,54400.0
215,147200.0
216,144960.0
217,59200.0
218,3200.0
219,152640.0
220,67200.0
221,163520.0
222,172800.0
223,179200.0
224,178240.0
225,175680.0
226,178240.0
227,178240.0
228,187840.0
229,74880.0
230,190400.0
231,73600.0
232,182720.0
233,186240.0
234,181440.0
235,75200.0
236,180480.0
237,180160.0
238,188160.0
239,192960.0
240,72960.0
241,3200.0
242,197440.0
243,196800.0
244,191040.0
245,205120.0
246,215360.0
247,199680.0
248,202240.0
249,202560.0
250,80000.0
251,199680.0
252,210240.0
253,81600.0
254,1600.0
255,205440.0
256,198720.0
257,203520.0
258,81600.0
259,206720.0
260,206080.0
261,192320.0
262,199040.0
263,193600.0
264,197120.0
265,188480.0
266,191040.0
267,193920.0
268,200320.0
269,204480.0
270,203200.0
271,198720.0
272,209600.0
273,204160.0
274,190080.0
275,202240.0
276,80000.0
277,197760.0
278,189120.0
279,74560.0
280,191680.0
281,198080.0
282,212160.0
283,191360.0
284,204480.0
285,216960.0
286,207040.0
287,210560.0
288,216000.0
289,209600.0
290,218880.0
291,210560.0
292,212800.0
293,214400.0
294,202240.0
295,195200.0
296,197440.0
297,190080.0
298,185920.0
299,182720.0
300,184320.0
301,197760.0
302,198400.0
303,196480.0
304,192320.0
305,190720.0
306,191360.0
307,201600.0
308,188160.0
309,189760.0
310,190080.0
311,198400.0
312,199040.0
313,192000.0
314,180800.0
315,184960.0
316,185600.0
317,182080.0
318,181760.0
319,176000.0
320,175040.0
321,189120.0
322,182400.0
323,171520.0
324,164800.0
325,164800.0
326,169280.0
327,167040.0
328,166400.0
329,159040.0
330,153920.0
331,162880.0
332,168000.0
333,145600.0
334,154560.0
335,165440.0
336,161600.0
337,164800.0
338,159040.0
339,159680.0
340,172480.0
341,155840.0
342,161600.0
343,161920.0
344,161600.0
345,164800.0
346,149120.0
347,152640.0
348,152320.0
349,159040.0
350,162880.0
351,168960.0
352,154560.0
353,159360.0
354,155200.0
355,155520.0
356,163520.0
357,151680.0
358,59200.0
359,139200.0
360,146880.0
361,157120.0
362,144640.0
363,148160.0
364,137920.0
365,136000.0
366,136640.0
367,149120.0
368,159680.0
369,147520.0
370,149760.0
371,148160.0
372,160320.0
373,154240.0
374,152960.0
375,149440.0
376,154880.0
377,159040.0
378,139200.0
379,153280.0
380,157120.0
381,155840.0
382,160320.0
383,143360.0
384,152960.0
385,146880.0
386,149760.0
387,165760.0
388,160000.0
389,172480.0
390,171840.0
391,181440.0
392,178560.0
393,182400.0
394,182400.0
395,187200.0
396,197120.0
397,186880.0
398,196800.0
