Step,Value
0,8288291.5
1,3192817.75
2,6692984.0
3,663927.4375
4,51428.70703125
5,795557.5
6,89706.7578125
7,1301413.125
8,9779074.0
9,8239874.0
10,9582261.0
11,3644391.25
12,55238.171875
13,2442325.75
14,216129.1875
15,69242.921875
16,2196930.0
17,3851348.5
18,267002.6875
19,104053.8828125
20,70656.2109375
21,4536157.0
22,9711691.0
23,5026223.0
24,6610064.5
25,585254.0625
26,40340.4453125
27,43555.0703125
28,1557709.25
29,51392.90234375
30,9239314.0
31,8007974.0
32,8625898.0
33,324957.1875
34,266944.5
35,3773062.75
36,254648.546875
37,2730116.5
38,108675.4296875
39,9747740.0
40,83650.21875
41,5727082.5
42,55238.171875
43,4810259.0
44,54280.953125
45,278215.71875
46,7070870.5
47,425333.78125
48,227392.0625
49,55232.0625
50,9351308.0
51,4014029.25
52,2066783.5
53,1267211.375
54,232005.3125
55,5427246.5
56,230782.546875
57,738592.9375
58,427984.90625
59,6406369.0
60,8928056.0
61,1089161.0
62,53309.5234375
63,356274.40625
64,85887.7578125
65,9569527.0
66,7441551.0
67,3448090.75
68,3425273.25
69,54963.0078125
70,1787549.125
71,1847642.375
72,747537.0625
73,5062078.0
74,723712.5
75,136065.40625
76,3529599.0
77,6520257.5
78,3044738.25
79,71290.890625
80,47997.71484375
81,4906317.5
82,43593.13671875
83,6317374.5
84,4157866.25
85,1446319.875
86,3970871.5
87,79148.1875
88,47873.46484375
89,115023.0703125
90,3423470.5
91,97727.3359375
92,38912.1484375
93,3375731.75
94,3099324.5
95,92161.328125
96,889928.25
97,89751.4296875
98,3538665.75
99,4681232.5
100,5723355.0
101,4368235.5
102,115745.6484375
103,445160.15625
104,48143.83203125
105,9781918.0
106,4972380.5
107,8262392.5
108,108675.4296875
109,2409697.0
110,9535961.0
111,97636.7265625
112,6083767.5
113,4972381.5
114,9752403.0
115,9772137.0
116,7803880.5
117,9782649.0
118,9738864.0
119,9706425.0
120,193316.0
121,9115999.0
122,192729.6875
123,4972381.5
124,598323.0
125,9782649.0
126,7738417.0
127,170538.171875
128,77791.578125
129,2573383.25
130,108675.4296875
131,168351.765625
132,112813.328125
133,111729.90625
134,38367.0
135,108675.4296875
136,108675.4296875
137,108675.4296875
138,1592589.875
139,32367.3125
140,54638.5859375
141,24387.947265625
142,108675.4296875
143,108675.4296875
144,71218.25
145,31446.857421875
146,108675.4296875
147,107852.265625
148,24679.66796875
149,54183.36328125
150,30954.19140625
151,55238.171875
152,55238.171875
153,55238.171875
154,55238.171875
155,55238.171875
156,41203.8984375
157,55238.171875
158,55238.171875
159,55238.171875
160,55238.171875
161,55238.171875
162,55238.171875
163,55238.171875
164,55238.171875
165,55238.171875
166,55238.171875
167,55238.171875
168,55227.703125
169,55238.171875
170,55238.171875
171,55238.171875
172,55238.171875
173,55238.171875
174,55228.3515625
175,55238.171875
176,55150.484375
177,55238.171875
178,55238.171875
179,55238.171875
180,55238.171875
181,55238.171875
182,55237.2734375
183,55238.171875
184,55238.171875
185,55238.171875
186,55238.171875
187,55238.171875
188,55238.171875
189,55238.171875
190,55238.171875
191,55238.171875
192,55230.87109375
193,55238.171875
194,55238.171875
195,55238.171875
196,55238.171875
197,55238.171875
198,55238.171875
199,55238.171875
200,55238.171875
201,55238.171875
202,55198.67578125
203,24005.607421875
204,72970.7265625
205,35450.33203125
206,45467.03125
207,108675.4296875
208,111586.9296875
209,108675.4296875
210,110768.015625
211,108675.4296875
212,104707.59375
213,108675.4296875
214,108675.4296875
215,108675.4296875
216,108675.4296875
217,108675.4296875
218,108675.4296875
219,108675.4296875
220,108675.4296875
221,108675.4296875
222,108675.4296875
223,106933.78125
224,108675.4296875
225,108675.4296875
226,108675.4296875
227,103288.421875
228,108675.4296875
229,108675.4296875
230,108675.4296875
231,108675.4296875
232,108675.4296875
233,108675.4296875
234,108675.4296875
235,108675.4296875
236,108675.4296875
237,106138.0625
238,108675.4296875
239,108116.140625
240,102220.90625
241,108675.4296875
242,108675.4296875
243,108675.4296875
244,108675.4296875
245,108675.4296875
246,108675.4296875
247,108675.4296875
248,108675.4296875
249,108675.4296875
250,108675.4296875
251,108675.4296875
252,117526.8671875
253,108675.4296875
254,108675.4296875
255,108675.4296875
256,108675.4296875
257,108675.4296875
258,108675.4296875
259,108675.4296875
260,108675.4296875
261,108675.4296875
262,108675.4296875
263,108675.4296875
264,108675.4296875
265,108675.4296875
266,118257.84375
267,108675.4296875
268,108675.4296875
269,108675.4296875
270,108675.4296875
271,109381.265625
272,108675.4296875
273,108675.4296875
274,108675.4296875
275,108675.4296875
276,108675.4296875
277,108675.4296875
278,108675.4296875
279,108675.4296875
280,108675.4296875
281,108675.4296875
282,108675.4296875
283,108675.4296875
284,108675.4296875
285,108675.4296875
286,108675.4296875
287,108675.4296875
288,108675.4296875
289,108675.4296875
290,108675.4296875
291,108675.4296875
292,108675.4296875
293,113316.484375
294,108675.4296875
295,108675.4296875
296,108675.4296875
297,108675.4296875
298,108675.4296875
299,108675.4296875
300,107246.40625
301,108675.4296875
302,108675.4296875
303,108675.4296875
304,109873.25
305,108675.4296875
306,116089.3046875
307,108675.4296875
308,108675.4296875
309,108675.4296875
310,108675.4296875
311,108675.4296875
312,108675.4296875
313,108675.4296875
314,108675.4296875
315,108675.4296875
316,108675.4296875
317,108675.4296875
318,108675.4296875
319,108675.4296875
320,114641.8984375
321,108675.4296875
322,103910.6640625
323,108675.4296875
324,108359.7734375
325,110728.3125
326,108675.4296875
327,108675.4296875
328,108675.4296875
329,108675.4296875
330,108675.4296875
331,108675.4296875
332,108675.4296875
333,108675.4296875
334,108675.4296875
335,108675.4296875
336,108675.4296875
337,108675.4296875
338,108675.4296875
339,108675.4296875
340,108675.4296875
341,108675.4296875
342,108675.4296875
343,108675.4296875
344,118679.015625
345,108675.4296875
346,108675.4296875
347,108675.4296875
348,108675.4296875
349,189064.125
350,108675.4296875
351,108675.4296875
352,108675.4296875
353,108675.4296875
354,108675.4296875
355,108675.4296875
356,108675.4296875
357,100073.6875
358,108675.4296875
359,108675.4296875
360,108675.4296875
361,108675.4296875
362,108675.4296875
363,100794.5546875
364,107325.9765625
365,108675.4296875
366,113342.203125
367,108675.4296875
368,108675.4296875
369,108675.4296875
370,108675.4296875
371,108675.4296875
372,108675.4296875
373,104918.9609375
374,108675.4296875
375,108675.4296875
376,108675.4296875
377,108675.4296875
378,105352.921875
379,108675.4296875
380,108675.4296875
381,108675.4296875
382,108675.4296875
383,108675.4296875
384,108675.4296875
385,101614.8671875
386,108675.4296875
387,108675.4296875
388,108675.4296875
389,117823.078125
390,108675.4296875
391,108675.4296875
392,108675.4296875
393,108675.4296875
394,108675.4296875
395,108675.4296875
396,108675.4296875
397,108675.4296875
398,108675.4296875
399,108675.4296875
400,108675.4296875
401,108675.4296875
402,108675.4296875
403,108675.4296875
404,108675.4296875
405,108789.4375
406,108675.4296875
407,108675.4296875
408,108675.4296875
409,108675.4296875
410,108675.4296875
411,108675.4296875
412,101292.53125
413,108675.4296875
414,108675.4296875
415,108675.4296875
416,108675.4296875
417,108675.4296875
418,108675.4296875
419,108675.4296875
420,108675.4296875
421,108675.4296875
422,108675.4296875
423,108675.4296875
424,108675.4296875
425,108675.4296875
426,108675.4296875
427,108675.4296875
428,108675.4296875
429,108675.4296875
430,108675.4296875
431,108675.4296875
432,108675.4296875
433,108675.4296875
434,108675.4296875
435,108675.4296875
436,108675.4296875
437,108675.4296875
438,108675.4296875
439,108675.4296875
440,117242.3984375
441,118980.109375
442,108675.4296875
443,108675.4296875
444,108675.4296875
445,108675.4296875
446,108675.4296875
447,108675.4296875
448,108675.4296875
449,108675.4296875
450,108675.4296875
451,108675.4296875
452,108675.4296875
453,108675.4296875
454,108675.4296875
455,108675.4296875
456,108675.4296875
457,108675.4296875
458,108675.4296875
459,108675.4296875
460,112212.90625
461,108675.4296875
462,106182.7421875
463,108675.4296875
464,108675.4296875
465,108675.4296875
466,108675.4296875
467,112114.4375
468,108675.4296875
469,108675.4296875
470,108675.4296875
471,108675.4296875
472,108675.4296875
473,108675.4296875
474,108675.4296875
475,108675.4296875
476,106584.7890625
477,108675.4296875
478,108675.4296875
479,108675.4296875
480,108675.4296875
481,102584.1640625
482,108675.4296875
483,117094.3046875
484,108675.4296875
485,108675.4296875
486,111947.8359375
487,108675.4296875
488,108675.4296875
489,108675.4296875
490,108675.4296875
491,108675.4296875
492,108675.4296875
493,108675.4296875
494,108675.4296875
495,108675.4296875
496,108675.4296875
497,95074.4296875
498,108675.4296875
499,108675.4296875
500,108675.4296875
501,108675.4296875
502,108675.4296875
503,108675.4296875
504,108675.4296875
505,108675.4296875
506,108675.4296875
507,108675.4296875
508,108675.4296875
509,108675.4296875
510,108675.4296875
511,108675.4296875
512,108675.4296875
513,108675.4296875
514,108675.4296875
515,108675.4296875
516,108675.4296875
517,108675.4296875
518,108675.4296875
519,108675.4296875
520,108675.4296875
521,108675.4296875
522,108675.4296875
523,108675.4296875
524,108675.4296875
525,101999.75
526,113580.078125
527,108675.4296875
528,108675.4296875
529,108675.4296875
530,108675.4296875
531,108675.4296875
532,108675.4296875
533,108675.4296875
534,108675.4296875
535,108675.4296875
536,108675.4296875
537,108675.4296875
538,108675.4296875
539,108675.4296875
540,108675.4296875
541,108675.4296875
542,108675.4296875
543,108794.1015625
544,108675.4296875
545,108675.4296875
546,108675.4296875
547,108675.4296875
548,108675.4296875
549,108675.4296875
550,108675.4296875
551,108675.4296875
552,108675.4296875
553,108675.4296875
554,108675.4296875
555,108675.4296875
556,108675.4296875
557,108675.4296875
558,108675.4296875
559,108675.4296875
560,109099.4375
561,108675.4296875
562,108675.4296875
563,108675.4296875
564,108675.4296875
565,108675.4296875
566,108675.4296875
567,108675.4296875
568,108675.4296875
569,108675.4296875
570,108675.4296875
571,108675.4296875
572,108675.4296875
573,108675.4296875
574,108675.4296875
575,108675.4296875
576,108675.4296875
577,108675.4296875
578,108675.4296875
579,108675.4296875
580,108675.4296875
581,108675.4296875
582,108675.4296875
583,108675.4296875
584,108675.4296875
585,108675.4296875
586,108675.4296875
587,108675.4296875
588,108675.4296875
589,108675.4296875
590,108675.4296875
591,102745.1015625
592,108675.4296875
593,108675.4296875
594,108675.4296875
595,108675.4296875
596,108675.4296875
597,99505.4375
598,108675.4296875
599,108675.4296875
600,108675.4296875
601,108675.4296875
602,108675.4296875
603,108675.4296875
604,108675.4296875
605,108675.4296875
606,108675.4296875
607,108675.4296875
608,108675.4296875
609,108675.4296875
610,108675.4296875
611,108675.4296875
612,108675.4296875
613,108675.4296875
614,108675.4296875
615,108675.4296875
616,108675.4296875
617,107813.625
618,108675.4296875
619,108675.4296875
620,108675.4296875
621,110810.375
622,108675.4296875
623,107259.65625
624,108675.4296875
625,108675.4296875
626,108675.4296875
627,108675.4296875
628,108675.4296875
629,108675.4296875
630,108675.4296875
631,103681.1875
632,108675.4296875
633,108675.4296875
634,108675.4296875
635,108675.4296875
636,108675.4296875
637,108675.4296875
638,108675.4296875
639,108675.4296875
640,107427.59375
641,108675.4296875
642,108675.4296875
643,108675.4296875
644,108675.4296875
645,108675.4296875
646,108675.4296875
647,108675.4296875
648,108675.4296875
649,108675.4296875
650,108675.4296875
651,108675.4296875
652,108675.4296875
653,108675.4296875
654,108675.4296875
655,108675.4296875
656,108675.4296875
657,108675.4296875
658,108675.4296875
659,108675.4296875
660,108675.4296875
661,108675.4296875
662,108675.4296875
663,108675.4296875
664,108675.4296875
665,108675.4296875
666,107205.2734375
667,117472.0546875
668,108675.4296875
669,108675.4296875
670,108675.4296875
671,108675.4296875
672,108675.4296875
673,108675.4296875
674,108675.4296875
675,108675.4296875
676,108675.4296875
677,108675.4296875
678,108675.4296875
679,108675.4296875
680,108675.4296875
681,108675.4296875
682,108675.4296875
683,108675.4296875
684,108675.4296875
685,108675.4296875
686,108675.4296875
687,108675.4296875
688,122092.1875
689,108675.4296875
690,108675.4296875
691,108675.4296875
692,108675.4296875
693,108675.4296875
694,108675.4296875
695,103512.859375
696,108675.4296875
697,108675.4296875
698,108675.4296875
699,108675.4296875
700,108675.4296875
701,108675.4296875
702,108675.4296875
703,108675.4296875
704,108353.140625
705,108675.4296875
706,110831.3828125
707,108675.4296875
708,108675.4296875
709,108675.4296875
710,108675.4296875
711,108675.4296875
712,108675.4296875
713,108675.4296875
714,108675.4296875
715,108675.4296875
716,108675.4296875
717,108675.4296875
718,108675.4296875
719,108675.4296875
720,108675.4296875
721,108675.4296875
722,108675.4296875
723,108675.4296875
724,108675.4296875
725,108675.4296875
726,108675.4296875
727,108675.4296875
728,108675.4296875
729,96861.875
730,108675.4296875
731,108675.4296875
732,108675.4296875
733,121948.25
734,108675.4296875
735,108675.4296875
736,108675.4296875
737,108675.4296875
738,108675.4296875
739,108675.4296875
740,108675.4296875
741,108675.4296875
742,108675.4296875
743,108675.4296875
744,108675.4296875
745,108675.4296875
746,108675.4296875
747,108675.4296875
748,106881.7734375
749,108675.4296875
750,108675.4296875
751,105219.53125
752,108675.4296875
753,108675.4296875
754,108675.4296875
755,108675.4296875
756,108675.4296875
757,108675.4296875
758,108675.4296875
759,108675.4296875
760,108675.4296875
761,108675.4296875
762,108675.4296875
763,108675.4296875
764,108675.4296875
765,108675.4296875
766,108675.4296875
767,108675.4296875
768,108675.4296875
769,110549.6484375
770,108675.4296875
771,108675.4296875
772,108675.4296875
773,108675.4296875
774,108675.4296875
775,108675.4296875
776,108675.4296875
777,108675.4296875
778,108675.4296875
779,108675.4296875
780,108675.4296875
781,108675.4296875
782,104778.71875
783,108675.4296875
784,108675.4296875
785,109289.3203125
786,103125.09375
787,108675.4296875
788,106788.6875
789,111521.046875
790,108675.4296875
791,108675.4296875
792,108675.4296875
793,108675.4296875
794,108675.4296875
795,108675.4296875
796,108675.4296875
797,120684.484375
798,108675.4296875
799,108675.4296875
800,108675.4296875
801,108675.4296875
802,108675.4296875
803,108675.4296875
804,110839.421875
805,108675.4296875
806,105107.578125
807,108675.4296875
808,108675.4296875
809,108675.4296875
810,108675.4296875
811,108675.4296875
812,108675.4296875
813,108675.4296875
814,108675.4296875
815,108675.4296875
816,108675.4296875
817,108675.4296875
818,108675.4296875
819,107527.1484375
820,108675.4296875
821,108675.4296875
822,108675.4296875
823,108675.4296875
824,108675.4296875
825,108675.4296875
826,108675.4296875
827,108675.4296875
828,108675.4296875
829,108675.4296875
830,108675.4296875
831,108675.4296875
832,108675.4296875
833,108675.4296875
834,108675.4296875
835,108675.4296875
836,108675.4296875
837,108675.4296875
838,108675.4296875
839,108675.4296875
840,104429.9140625
841,108675.4296875
842,108675.4296875
843,108675.4296875
844,108675.4296875
845,108675.4296875
846,108675.4296875
847,138613.984375
848,3333333.5
849,3333333.5
850,2831518.25
851,3333333.5
852,3333333.5
853,3333333.5
854,3333333.5
855,3333333.5
856,3333333.5
857,3333333.5
858,3333333.5
859,3333333.5
860,3333333.5
861,3333333.5
862,3333333.5
863,3333333.5
864,3333333.5
865,3333333.5
866,3689759.25
867,3333333.5
868,3678527.5
869,3333333.5
870,3333333.5
871,3333333.5
872,3333333.5
873,3333333.5
874,3333333.5
875,3333333.5
876,3333333.5
877,3333333.5
878,3333333.5
879,3333333.5
880,3333333.5
881,3333333.5
882,3333333.5
883,3333333.5
884,3333333.5
885,3333333.5
886,3333333.5
887,3909105.0
888,3333333.5
889,3333333.5
890,3333333.5
891,3333333.5
892,3333333.5
893,3333333.5
894,3333333.5
895,3333333.5
896,3032513.75
897,3333333.5
898,3333333.5
899,3686450.5
900,3333333.5
901,3333333.5
902,3394095.25
903,3333333.5
904,3333333.5
905,3333333.5
906,3045031.5
907,3333333.5
908,3079383.75
909,3333333.5
910,3333333.5
911,3333333.5
912,3333333.5
913,3333333.5
914,3333333.5
915,3333333.5
916,3333333.5
917,3333333.5
918,3333333.5
919,3333333.5
920,3333333.5
921,3333333.5
922,3333333.5
923,3333333.5
924,3237516.5
925,3333333.5
926,3333333.5
927,3333333.5
928,3333333.5
929,3333333.5
930,3333333.5
931,3333333.5
932,3333333.5
933,3333333.5
934,3333333.5
935,3333333.5
936,3333333.5
937,3333333.5
938,3333333.5
939,3333333.5
940,3333333.5
941,3333333.5
942,3333333.5
943,3333333.5
944,3333333.5
945,3333333.5
946,3262307.0
947,3333333.5
948,3333333.5
949,3333333.5
950,3146251.25
951,3904656.5
952,3333333.5
953,3333333.5
954,3569451.0
955,3333333.5
956,3333333.5
957,3333333.5
958,3333333.5
959,3333333.5
960,3333333.5
961,3333333.5
962,3333333.5
963,3333333.5
964,3333333.5
965,3333333.5
966,3333333.5
967,3333333.5
968,3333333.5
969,3333333.5
970,3333333.5
971,3333333.5
972,3333333.5
973,3490744.5
974,3333333.5
975,3333333.5
976,3333333.5
977,3333333.5
978,3333333.5
979,3333333.5
980,3333333.5
981,3333333.5
982,3333333.5
983,3294727.5
984,3333333.5
985,3333333.5
986,3333333.5
987,3333333.5
988,3333333.5
989,3150215.25
990,3333333.5
991,3333333.5
992,3333333.5
993,3430760.75
994,3333333.5
995,3333333.5
996,3333333.5
997,3333333.5
998,3333333.5
999,3333333.5
1000,3333333.5
1001,3333333.5
1002,3333333.5
1003,3333333.5
1004,3333333.5
1005,3333333.5
1006,3333333.5
1007,3333333.5
1008,2959524.75
1009,3333333.5
1010,3333333.5
1011,3333333.5
1012,3333333.5
1013,3337598.75
1014,3333333.5
1015,3333333.5
1016,3408144.75
1017,3333333.5
1018,3333333.5
1019,3333333.5
1020,3219330.5
1021,3333333.5
1022,3333333.5
1023,3333333.5
1024,3333333.5
1025,3333333.5
1026,3042827.75
1027,3333333.5
1028,3333333.5
1029,3333333.5
1030,3333333.5
1031,3489661.25
1032,3333333.5
1033,3333333.5
1034,3333333.5
1035,3333333.5
1036,3333333.5
1037,3333333.5
1038,3333333.5
1039,3333333.5
1040,3333333.5
1041,3333333.5
1042,3333333.5
1043,3333333.5
1044,3099067.0
1045,3333333.5
1046,3333333.5
1047,3333333.5
1048,3333333.5
1049,3333333.5
1050,3333333.5
1051,3333333.5
1052,3333333.5
1053,3333333.5
1054,3333333.5
1055,3333333.5
1056,3333333.5
1057,3333333.5
1058,3333333.5
1059,3333333.5
1060,3319290.25
1061,3333333.5
1062,3333333.5
1063,3333333.5
1064,3333333.5
1065,3333333.5
1066,3333333.5
1067,3333333.5
1068,3333333.5
1069,3333333.5
1070,3333333.5
1071,3333333.5
1072,3333333.5
1073,3333333.5
1074,3333333.5
1075,3333333.5
1076,3333333.5
1077,3333333.5
1078,3333333.5
1079,3333333.5
1080,3058134.5
1081,3333333.5
1082,3333333.5
1083,3333333.5
1084,3333333.5
1085,3333333.5
1086,3333333.5
1087,3333333.5
1088,3333333.5
1089,3333333.5
1090,3333333.5
1091,3333333.5
1092,3333333.5
1093,3333333.5
1094,3333333.5
1095,3333333.5
1096,3333333.5
1097,3333333.5
1098,3333333.5
1099,3333333.5
1100,3333333.5
1101,3333333.5
1102,3601572.5
1103,3333333.5
1104,3333333.5
1105,3333333.5
1106,3333333.5
1107,3333333.5
1108,3583701.25
1109,3333333.5
1110,3333333.5
1111,3065549.75
1112,3333333.5
1113,3333333.5
1114,3333333.5
1115,3333333.5
1116,3333333.5
1117,3333333.5
1118,3333333.5
1119,3333333.5
1120,3508244.75
1121,3802860.0
1122,3333333.5
1123,3333333.5
1124,3333333.5
1125,3333333.5
1126,3333333.5
1127,3333333.5
1128,3333333.5
1129,3333333.5
1130,3333333.5
1131,3333333.5
1132,3333333.5
1133,3333333.5
1134,3338883.25
1135,3333333.5
1136,3333333.5
1137,3333333.5
1138,3340172.5
1139,3333333.5
1140,3333333.5
1141,3333333.5
1142,3333333.5
1143,3333333.5
1144,3333333.5
1145,3333333.5
1146,3333333.5
1147,3333333.5
1148,3333333.5
1149,3333333.5
1150,3333333.5
1151,2820445.0
1152,3333333.5
