Step,Value
0,153280.0
1,153280.0
2,163840.0
3,167360.0
4,168960.0
5,68480.0
6,163520.0
7,66880.0
8,171520.0
9,170560.0
10,165440.0
11,164160.0
12,160320.0
13,67200.0
14,175680.0
15,170560.0
16,63680.0
17,150720.0
18,148800.0
19,151680.0
20,65600.0
21,0.0
22,152960.0
23,156480.0
24,152000.0
25,151680.0
26,162240.0
27,62400.0
28,1600.0
29,167680.0
30,62400.0
31,148160.0
32,146240.0
33,154880.0
34,173120.0
35,171520.0
36,168640.0
37,171520.0
38,168320.0
39,70400.0
40,171520.0
41,68800.0
42,171200.0
43,70080.0
44,183360.0
45,72000.0
46,187840.0
47,190720.0
48,182720.0
49,184320.0
50,74880.0
51,180480.0
52,180800.0
53,181120.0
54,179840.0
55,169920.0
56,174400.0
57,177920.0
58,174400.0
59,178240.0
60,187200.0
61,179520.0
62,176000.0
63,70400.0
64,178560.0
65,67200.0
66,169280.0
67,170240.0
68,175040.0
69,191680.0
70,72000.0
71,189440.0
72,181760.0
73,178240.0
74,189760.0
75,187840.0
76,78400.0
77,204480.0
78,204800.0
79,205760.0
80,83200.0
81,1600.0
82,197760.0
83,78080.0
84,193920.0
85,200000.0
86,209920.0
87,212160.0
88,83200.0
89,3200.0
90,0.0
91,223040.0
92,86400.0
93,0.0
94,216000.0
95,215360.0
96,88000.0
97,214080.0
98,83200.0
99,214720.0
100,209600.0
101,209600.0
102,214720.0
103,81600.0
104,184000.0
105,73280.0
106,192640.0
107,180480.0
108,186240.0
109,185600.0
110,182080.0
111,192960.0
112,76800.0
113,180480.0
114,197440.0
115,176320.0
116,178880.0
117,186560.0
118,168960.0
119,178240.0
120,182400.0
121,70400.0
122,0.0
123,169600.0
124,164160.0
125,68800.0
126,166400.0
127,163840.0
128,179200.0
129,70080.0
130,177920.0
131,177920.0
132,167680.0
133,179840.0
134,173760.0
135,166080.0
136,164480.0
137,163200.0
138,158400.0
139,162560.0
140,65600.0
141,0.0
142,162240.0
143,164800.0
144,161920.0
145,176000.0
146,160000.0
147,62400.0
148,159360.0
149,63680.0
150,0.0
151,165760.0
152,170560.0
153,65600.0
154,155520.0
155,153280.0
156,64000.0
157,152320.0
158,167680.0
159,62400.0
160,152000.0
161,164800.0
162,164160.0
163,167360.0
164,168640.0
165,68800.0
166,169280.0
167,168320.0
168,161600.0
169,166400.0
170,164800.0
171,158080.0
172,65600.0
173,162240.0
174,166080.0
175,64000.0
176,167040.0
177,155520.0
178,60800.0
179,155200.0
180,158080.0
181,156160.0
182,150720.0
183,152640.0
184,154880.0
185,146880.0
186,155520.0
187,159360.0
188,159040.0
189,145280.0
190,155520.0
191,142720.0
192,62400.0
193,158720.0
194,149120.0
195,154240.0
196,149760.0
197,56000.0
198,1600.0
199,0.0
200,154240.0
201,154560.0
202,60800.0
203,157440.0
204,154240.0
205,163200.0
206,144960.0
207,140800.0
208,141120.0
209,145280.0
210,145600.0
211,143680.0
212,141440.0
213,139520.0
214,54400.0
215,146560.0
216,142720.0
217,59200.0
218,3200.0
219,160320.0
220,66880.0
221,167680.0
222,170240.0
223,172480.0
224,185920.0
225,70400.0
226,181760.0
227,174080.0
228,182400.0
229,75200.0
230,199040.0
231,73600.0
232,180480.0
233,181760.0
234,188480.0
235,75200.0
236,180480.0
237,188800.0
238,195200.0
239,196160.0
240,73280.0
241,3200.0
242,202240.0
243,198080.0
244,199040.0
245,195840.0
246,204160.0
247,195520.0
248,201920.0
249,193600.0
250,79680.0
251,205120.0
252,201280.0
253,81600.0
254,1600.0
255,200960.0
256,203840.0
257,206720.0
258,81280.0
259,205440.0
260,201600.0
261,195840.0
262,193920.0
263,182720.0
264,186880.0
265,189760.0
266,189760.0
267,194240.0
268,204800.0
269,207360.0
270,206080.0
271,205120.0
272,199360.0
273,198080.0
274,80000.0
275,191680.0
276,79680.0
277,200960.0
278,194560.0
279,75200.0
280,196160.0
281,206720.0
282,204160.0
283,192000.0
284,213760.0
285,200960.0
286,204480.0
287,230400.0
288,213440.0
289,219840.0
290,216320.0
291,217280.0
292,212160.0
293,209920.0
294,80000.0
295,192320.0
296,183680.0
297,180480.0
298,189760.0
299,185920.0
300,189440.0
301,192320.0
302,192320.0
303,186240.0
304,192000.0
305,188480.0
306,204480.0
307,192960.0
308,201920.0
309,187840.0
310,197440.0
311,199680.0
312,189760.0
313,200640.0
314,184640.0
315,185280.0
316,189760.0
317,179200.0
318,196800.0
319,183040.0
320,177600.0
321,178880.0
322,179840.0
323,168320.0
324,168960.0
325,160320.0
326,161920.0
327,157440.0
328,168640.0
329,158400.0
330,156800.0
331,166720.0
332,158080.0
333,150080.0
334,151360.0
335,161920.0
336,171520.0
337,167680.0
338,165440.0
339,155840.0
340,166720.0
341,160320.0
342,157760.0
343,173760.0
344,168960.0
345,165120.0
346,152640.0
347,156800.0
348,156800.0
349,156480.0
350,164800.0
351,160000.0
352,153600.0
353,161920.0
354,156800.0
355,162240.0
356,162560.0
357,60800.0
358,0.0
359,147520.0
360,146240.0
361,148160.0
362,146240.0
363,146560.0
364,144640.0
365,143360.0
366,146560.0
367,144640.0
368,144640.0
369,148160.0
370,59200.0
371,147520.0
372,156160.0
373,152960.0
374,140160.0
375,148800.0
376,149440.0
377,156800.0
378,139840.0
379,146560.0
380,153280.0
381,159680.0
382,156480.0
383,146240.0
384,144320.0
385,57600.0
386,156160.0
387,161920.0
388,162880.0
389,163520.0
390,179200.0
391,174400.0
392,179520.0
393,178880.0
394,186560.0
395,183360.0
396,198720.0
397,190080.0
398,202880.0
