Step,Value
0,4403200.0
1,4403200.0
2,2201600.0
3,2355200.0
4,3020800.0
5,4454400.0
6,6656000.0
7,5376000.0
8,7936000.0
9,5990400.0
10,6758400.0
11,5324800.0
12,7475200.0
13,9932800.0
14,5888000.0
15,6860800.0
16,8652800.0
17,8294400.0
18,9420800.0
19,8294400.0
20,6400000.0
21,5120000.0
22,4608000.0
23,1177600.0
24,2201600.0
25,3123200.0
26,5324800.0
27,3942400.0
28,7731200.0
29,3993600.0
30,6246400.0
31,5120000.0
32,5171200.0
33,6348800.0
34,5785600.0
35,4608000.0
36,5376000.0
37,6656000.0
38,3891200.0
39,4761600.0
40,4710400.0
41,6451200.0
42,8755200.0
43,6656000.0
44,8806400.0
45,10393600.0
46,6348800.0
47,7884800.0
48,9164800.0
49,7884800.0
50,7219200.0
51,8396800.0
52,6400000.0
53,4352000.0
54,2304000.0
55,3020800.0
56,2816000.0
57,1536000.0
58,4812800.0
59,7270400.0
60,7168000.0
61,9881600.0
62,9523200.0
63,7270400.0
64,6348800.0
65,4556800.0
66,4352000.0
67,4864000.0
68,3225600.0
69,2764800.0
70,4966400.0
71,7014400.0
72,3942400.0
73,5171200.0
74,6963200.0
75,5990400.0
76,8345600.0
77,7680000.0
78,5580800.0
79,7526400.0
80,8396800.0
81,9574400.0
82,7475200.0
83,6297600.0
84,8601600.0
85,8448000.0
86,5376000.0
87,5120000.0
88,3328000.0
89,5427200.0
90,3737600.0
91,8550400.0
92,8192000.0
93,4352000.0
94,7526400.0
95,7782400.0
96,7372800.0
97,5734400.0
98,6246400.0
99,2867200.0
100,1638400.0
101,4249600.0
102,972800.0
103,1433600.0
104,1792000.0
105,1638400.0
106,1382400.0
107,2918400.0
108,3584000.0
109,6860800.0
110,5120000.0
111,4608000.0
112,7270400.0
113,5222400.0
114,6195200.0
115,10342400.0
116,7782400.0
117,8294400.0
118,7526400.0
119,4556800.0
120,5478400.0
121,7065600.0
122,6963200.0
123,6707200.0
124,3788800.0
125,5017600.0
126,5580800.0
127,3174400.0
128,2867200.0
129,2508800.0
130,1894400.0
131,4198400.0
132,4915200.0
133,5478400.0
134,3225600.0
135,3891200.0
136,3942400.0
137,409600.0
138,4505600.0
139,4352000.0
140,5529600.0
141,4096000.0
142,3123200.0
143,2713600.0
144,1177600.0
145,3379200.0
146,2560000.0
147,2457600.0
148,1126400.0
149,2150400.0
150,1689600.0
151,3072000.0
152,5068800.0
153,7168000.0
154,5939200.0
155,3225600.0
156,6604800.0
157,7219200.0
158,6553600.0
159,5017600.0
160,6144000.0
161,3276800.0
162,3532800.0
163,3123200.0
164,4044800.0
165,4608000.0
166,3686400.0
167,3635200.0
168,9369600.0
169,8601600.0
170,6297600.0
171,5222400.0
172,5222400.0
173,9164800.0
174,7680000.0
175,6348800.0
176,9011200.0
177,6348800.0
178,3788800.0
179,5529600.0
180,8038400.0
181,8755200.0
182,6912000.0
183,7116800.0
184,5836800.0
185,3993600.0
186,5222400.0
187,6553600.0
188,3532800.0
189,4966400.0
190,6912000.0
191,5427200.0
192,4761600.0
193,4864000.0
194,6656000.0
195,5068800.0
196,7628800.0
197,6297600.0
198,7475200.0
199,5171200.0
200,5632000.0
201,6758400.0
202,7065600.0
203,5120000.0
204,4608000.0
205,3942400.0
206,4300800.0
207,6502400.0
208,4249600.0
209,8908800.0
210,8499200.0
211,4864000.0
212,9574400.0
213,6451200.0
214,5632000.0
215,6297600.0
216,5888000.0
217,5683200.0
218,8755200.0
219,6604800.0
220,5068800.0
221,5222400.0
222,6144000.0
223,7321600.0
224,3788800.0
225,5017600.0
226,6195200.0
227,5376000.0
228,5529600.0
229,6912000.0
230,9267200.0
231,7884800.0
232,9113600.0
233,6604800.0
234,7782400.0
235,5222400.0
236,6809600.0
237,5939200.0
238,5888000.0
239,7936000.0
240,7219200.0
241,7270400.0
242,6144000.0
243,8960000.0
244,8448000.0
245,9318400.0
246,6912000.0
247,6195200.0
248,8038400.0
249,7680000.0
250,9881600.0
251,8960000.0
252,6451200.0
253,4505600.0
254,3788800.0
255,6451200.0
256,3993600.0
257,6041600.0
258,2918400.0
259,4147200.0
260,4710400.0
261,4147200.0
262,4454400.0
263,7014400.0
264,5734400.0
265,4454400.0
266,7526400.0
267,5632000.0
268,4198400.0
269,7372800.0
270,7116800.0
271,6963200.0
272,7833600.0
273,5632000.0
274,8908800.0
275,8038400.0
276,7065600.0
277,7577600.0
278,9779200.0
279,9984000.0
280,7577600.0
281,8396800.0
282,6297600.0
283,6348800.0
284,4198400.0
285,4659200.0
286,5324800.0
287,6553600.0
288,6656000.0
289,3174400.0
290,2099200.0
291,2816000.0
292,4249600.0
293,3788800.0
294,3686400.0
295,4915200.0
296,3635200.0
297,5785600.0
298,8755200.0
299,4454400.0
300,8448000.0
301,8294400.0
302,9472000.0
303,5990400.0
304,10137600.0
305,6451200.0
306,8140800.0
307,6348800.0
308,6041600.0
309,4403200.0
310,4044800.0
311,5427200.0
312,6144000.0
313,5171200.0
314,5222400.0
315,4556800.0
316,5478400.0
317,5222400.0
318,7628800.0
319,6604800.0
320,6912000.0
321,11212800.0
322,10035200.0
323,10137600.0
324,8448000.0
325,7680000.0
326,11110400.0
327,6144000.0
328,7372800.0
329,7475200.0
330,5580800.0
331,4966400.0
332,6400000.0
333,6707200.0
334,7065600.0
335,6656000.0
336,5734400.0
337,9164800.0
338,6860800.0
339,6809600.0
340,6400000.0
341,4608000.0
342,6860800.0
343,6656000.0
344,5120000.0
345,5222400.0
346,4556800.0
347,3532800.0
348,5478400.0
349,5427200.0
350,3328000.0
351,7270400.0
352,4198400.0
353,4556800.0
354,5324800.0
355,6604800.0
356,7321600.0
357,6092800.0
358,7884800.0
359,6451200.0
360,7680000.0
361,6041600.0
362,5017600.0
363,5836800.0
364,8038400.0
365,6860800.0
366,5939200.0
367,5120000.0
368,6246400.0
369,5990400.0
370,4505600.0
371,4915200.0
372,4915200.0
373,5376000.0
374,7014400.0
375,6707200.0
376,9523200.0
377,8960000.0
378,6758400.0
379,8857600.0
380,5120000.0
381,3072000.0
382,4044800.0
383,2816000.0
384,4608000.0
385,3328000.0
386,3737600.0
387,4096000.0
388,5273600.0
389,5171200.0
390,7526400.0
391,3840000.0
392,5683200.0
393,5632000.0
394,5273600.0
395,6246400.0
396,4659200.0
397,4096000.0
398,6809600.0
399,4761600.0
400,4198400.0
401,6297600.0
402,6400000.0
403,2662400.0
404,8038400.0
405,6604800.0
406,4403200.0
407,3686400.0
408,5836800.0
409,6348800.0
410,7168000.0
411,4710400.0
412,7782400.0
413,3788800.0
414,4198400.0
415,2867200.0
416,1536000.0
417,2150400.0
418,2252800.0
419,6860800.0
420,5939200.0
421,5376000.0
422,6195200.0
423,3942400.0
424,2355200.0
425,5120000.0
426,5836800.0
427,4403200.0
428,3686400.0
429,6656000.0
430,7628800.0
431,7065600.0
432,5683200.0
433,5273600.0
434,9369600.0
435,5990400.0
436,4556800.0
437,4608000.0
438,6246400.0
439,6400000.0
440,6144000.0
441,5529600.0
442,9574400.0
443,7475200.0
444,8652800.0
445,4966400.0
446,7475200.0
447,7526400.0
448,5990400.0
449,6707200.0
450,4044800.0
451,2252800.0
452,5427200.0
453,5734400.0
454,4864000.0
455,4966400.0
456,3174400.0
457,3379200.0
458,2764800.0
459,5068800.0
460,7014400.0
461,7168000.0
462,8806400.0
463,12032000.0
464,9369600.0
465,14950400.0
466,14336000.0
467,12697600.0
468,10547200.0
469,8652800.0
470,6502400.0
471,7168000.0
472,3225600.0
473,4352000.0
474,4966400.0
475,3430400.0
476,1689600.0
477,4198400.0
478,4505600.0
479,3379200.0
480,5990400.0
481,6604800.0
482,8755200.0
483,6809600.0
484,11520000.0
485,11468800.0
486,8345600.0
487,9984000.0
488,8960000.0
489,7168000.0
490,4812800.0
491,5529600.0
492,4198400.0
493,4454400.0
494,3481600.0
495,4454400.0
496,7680000.0
497,7014400.0
498,5836800.0
499,7014400.0
500,5836800.0
501,5529600.0
502,7628800.0
503,8704000.0
504,8806400.0
505,8396800.0
506,9830400.0
507,6400000.0
508,6041600.0
509,7731200.0
510,7372800.0
511,6297600.0
512,4915200.0
513,5888000.0
514,4505600.0
515,4608000.0
516,5580800.0
517,4915200.0
518,5580800.0
519,3020800.0
520,2099200.0
521,5632000.0
522,5734400.0
523,10035200.0
524,8755200.0
525,7782400.0
526,6246400.0
527,7475200.0
528,8652800.0
529,8089600.0
530,10649600.0
531,6400000.0
532,3686400.0
533,2918400.0
534,2252800.0
535,5785600.0
536,4403200.0
537,4761600.0
538,7116800.0
539,3532800.0
540,6553600.0
541,3840000.0
542,6297600.0
543,6707200.0
544,3993600.0
545,4710400.0
546,4300800.0
547,4044800.0
548,4505600.0
549,6400000.0
550,5683200.0
551,8448000.0
552,5683200.0
553,3788800.0
554,3840000.0
555,4147200.0
556,6451200.0
557,5120000.0
558,7321600.0
559,8243200.0
560,9113600.0
561,9011200.0
562,9062400.0
563,5734400.0
564,4966400.0
565,7270400.0
566,3788800.0
567,6348800.0
568,5580800.0
569,5939200.0
570,5785600.0
571,6912000.0
572,6656000.0
573,5888000.0
574,6707200.0
575,3584000.0
576,4096000.0
577,2816000.0
578,4249600.0
579,5939200.0
580,5734400.0
581,3686400.0
582,4608000.0
583,6502400.0
584,8140800.0
585,4300800.0
586,6348800.0
587,3942400.0
588,4403200.0
589,7577600.0
590,5273600.0
591,9932800.0
592,7321600.0
593,6912000.0
594,8089600.0
595,7526400.0
596,4352000.0
597,8243200.0
598,4352000.0
599,6041600.0
600,7731200.0
601,5376000.0
602,6041600.0
603,7116800.0
604,8448000.0
605,6809600.0
606,8396800.0
607,8806400.0
608,7526400.0
609,8960000.0
610,7577600.0
611,8396800.0
612,5273600.0
613,7936000.0
614,5529600.0
615,6297600.0
616,6246400.0
617,5427200.0
618,3020800.0
619,4659200.0
620,7065600.0
621,8089600.0
622,8908800.0
623,6963200.0
624,7577600.0
625,7731200.0
626,7731200.0
627,7628800.0
628,4556800.0
629,8345600.0
630,5939200.0
631,8806400.0
632,3686400.0
633,7116800.0
634,4915200.0
635,5529600.0
636,6451200.0
637,5632000.0
638,6553600.0
639,3481600.0
640,3225600.0
641,3788800.0
642,2918400.0
643,5683200.0
644,6144000.0
645,3276800.0
646,7475200.0
647,6604800.0
648,5017600.0
649,4812800.0
650,7014400.0
651,7372800.0
652,6656000.0
653,7680000.0
654,8294400.0
655,7731200.0
656,7116800.0
657,3788800.0
658,3020800.0
659,3584000.0
660,2662400.0
661,4812800.0
662,6246400.0
663,7987200.0
664,6195200.0
665,7782400.0
666,5632000.0
667,8089600.0
668,8550400.0
669,5580800.0
670,6092800.0
671,4608000.0
672,3532800.0
673,3840000.0
674,4300800.0
675,4147200.0
676,2867200.0
677,1996800.0
678,3584000.0
679,5324800.0
680,5580800.0
681,8192000.0
682,6195200.0
683,5888000.0
684,8089600.0
685,9932800.0
686,10649600.0
687,10086400.0
688,10188800.0
689,6195200.0
690,9369600.0
691,8448000.0
692,6297600.0
693,5785600.0
694,2355200.0
695,3379200.0
696,4864000.0
697,8908800.0
698,7014400.0
699,6144000.0
700,6912000.0
701,5734400.0
702,7680000.0
703,7526400.0
704,8550400.0
705,8806400.0
706,8294400.0
707,5836800.0
708,4044800.0
709,5120000.0
710,5785600.0
711,3532800.0
712,4454400.0
713,4864000.0
714,6400000.0
715,3686400.0
716,5888000.0
717,7731200.0
718,8038400.0
719,7321600.0
720,7219200.0
721,9216000.0
722,6860800.0
723,5171200.0
724,3942400.0
725,9881600.0
726,4710400.0
727,4761600.0
728,5939200.0
729,7168000.0
730,4915200.0
731,6604800.0
732,8396800.0
733,9728000.0
734,9369600.0
735,7731200.0
736,8601600.0
737,4403200.0
738,3840000.0
739,7116800.0
740,5632000.0
741,8345600.0
742,6553600.0
743,6758400.0
744,4198400.0
745,4096000.0
746,5580800.0
747,7321600.0
748,10291200.0
749,7833600.0
750,10649600.0
751,9625600.0
