Step,Value
0,1.0
1,42.0
2,0.0
3,0.0
4,59.0
5,0.0
6,75.0
7,35.0
8,0.0
9,0.0
10,0.0
11,0.0
12,111.0
13,82.0
14,55.0
15,0.0
16,76.0
17,0.0
18,0.0
19,133.0
20,67.0
21,45.0
22,0.0
23,0.0
24,104.0
25,34.0
26,38.0
27,41.0
28,0.0
29,126.0
30,0.0
31,0.0
32,58.0
33,0.0
34,44.0
35,41.0
36,0.0
37,86.0
38,0.0
39,0.0
40,0.0
41,0.0
42,49.0
43,22.0
44,0.0
45,25.0
46,0.0
47,0.0
48,0.0
49,126.0
50,0.0
51,0.0
52,0.0
53,144.0
54,0.0
55,103.0
56,57.0
57,0.0
58,145.0
59,0.0
60,0.0
61,0.0
62,44.0
63,30.0
64,38.0
65,0.0
66,0.0
67,0.0
68,26.0
69,17.0
70,11.0
71,19.0
72,4.0
73,0.0
74,22.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,34.0
81,24.0
82,0.0
83,0.0
84,21.0
85,15.0
86,38.0
87,44.0
88,35.0
89,60.0
90,0.0
91,0.0
92,148.0
93,67.0
94,64.0
95,62.0
96,0.0
97,65.0
98,0.0
99,0.0
100,0.0
101,71.0
102,52.0
103,0.0
104,38.0
105,0.0
106,11.0
107,0.0
108,0.0
109,13.0
110,0.0
111,27.0
112,10.0
113,16.0
114,0.0
115,0.0
116,27.0
117,0.0
118,0.0
119,0.0
120,112.0
121,0.0
122,117.0
123,46.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,56.0
130,0.0
131,75.0
132,58.0
133,0.0
134,0.0
135,257.0
136,99.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,52.0
146,39.0
147,0.0
148,51.0
149,27.0
150,28.0
151,0.0
152,66.0
153,3.0
154,0.0
155,79.0
156,53.0
157,63.0
158,52.0
159,0.0
160,0.0
161,0.0
162,37.0
163,0.0
164,0.0
165,0.0
166,98.0
167,0.0
168,86.0
169,0.0
170,15.0
171,0.0
172,63.0
173,0.0
174,75.0
175,0.0
176,88.0
177,36.0
178,0.0
179,0.0
180,73.0
181,0.0
182,82.0
183,0.0
184,107.0
185,0.0
186,0.0
187,175.0
188,0.0
189,0.0
190,135.0
191,0.0
192,0.0
193,189.0
194,0.0
195,36.0
196,127.0
197,78.0
198,84.0
199,91.0
200,5.0
201,0.0
202,5.0
203,0.0
204,0.0
205,0.0
206,0.0
207,20.0
208,0.0
209,0.0
210,8.0
211,0.0
212,0.0
213,65.0
214,0.0
215,0.0
216,142.0
217,0.0
218,116.0
219,98.0
220,99.0
221,0.0
222,98.0
223,0.0
224,110.0
225,0.0
226,0.0
227,0.0
228,154.0
229,5.0
230,0.0
231,0.0
232,0.0
233,6.0
234,31.0
235,23.0
236,27.0
237,0.0
238,0.0
239,54.0
240,36.0
241,0.0
242,0.0
243,88.0
244,0.0
245,128.0
246,0.0
247,0.0
248,0.0
249,11.0
250,30.0
251,42.0
252,45.0
253,69.0
254,31.0
255,0.0
256,108.0
257,58.0
258,43.0
259,1.0
260,0.0
261,0.0
262,0.0
263,31.0
264,0.0
265,57.0
266,23.0
267,0.0
268,41.0
269,0.0
270,0.0
271,49.0
272,0.0
273,75.0
274,43.0
275,0.0
276,0.0
277,0.0
278,102.0
279,0.0
280,183.0
281,90.0
282,0.0
283,167.0
284,90.0
285,0.0
286,0.0
287,0.0
288,214.0
289,67.0
290,79.0
291,0.0
292,79.0
293,57.0
294,0.0
295,64.0
296,0.0
297,57.0
298,0.0
299,0.0
300,0.0
301,57.0
302,0.0
303,39.0
304,0.0
305,49.0
306,0.0
307,14.0
308,33.0
309,26.0
310,0.0
311,0.0
312,36.0
313,43.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,123.0
320,0.0
321,44.0
322,0.0
323,0.0
324,57.0
325,56.0
326,0.0
327,0.0
328,51.0
329,37.0
330,0.0
331,58.0
332,28.0
333,3.0
334,0.0
335,79.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,30.0
342,0.0
343,39.0
344,26.0
345,0.0
346,26.0
347,37.0
348,51.0
349,0.0
350,0.0
351,0.0
352,100.0
353,0.0
354,97.0
355,0.0
356,185.0
357,102.0
358,65.0
359,56.0
360,0.0
361,0.0
362,117.0
363,52.0
364,55.0
365,55.0
366,0.0
367,0.0
368,49.0
369,37.0
370,0.0
371,49.0
372,50.0
373,23.0
374,0.0
375,29.0
376,0.0
377,127.0
378,0.0
379,0.0
380,0.0
381,0.0
382,178.0
383,0.0
384,110.0
385,0.0
386,27.0
387,28.0
388,0.0
389,16.0
390,19.0
391,27.0
392,0.0
393,0.0
394,37.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,24.0
402,23.0
403,9.0
404,0.0
405,89.0
406,30.0
407,8.0
408,20.0
409,0.0
410,0.0
411,58.0
412,0.0
413,38.0
414,0.0
415,0.0
416,17.0
417,31.0
418,22.0
419,31.0
420,0.0
421,55.0
422,18.0
423,0.0
424,41.0
425,14.0
426,22.0
427,0.0
428,41.0
429,22.0
430,43.0
431,42.0
432,0.0
433,164.0
434,108.0
435,0.0
436,100.0
437,52.0
438,0.0
439,134.0
440,82.0
441,0.0
442,0.0
443,0.0
444,34.0
445,0.0
446,0.0
447,75.0
448,45.0
449,0.0
450,68.0
451,27.0
452,0.0
453,0.0
454,100.0
455,0.0
456,50.0
457,63.0
458,0.0
459,54.0
460,45.0
461,56.0
462,55.0
463,0.0
464,0.0
465,99.0
466,61.0
467,55.0
468,54.0
469,53.0
470,89.0
471,70.0
472,101.0
473,61.0
474,68.0
475,0.0
476,105.0
477,56.0
478,0.0
479,65.0
480,0.0
481,41.0
482,25.0
483,13.0
484,0.0
485,15.0
486,10.0
487,0.0
488,22.0
489,24.0
490,20.0
491,15.0
492,14.0
493,11.0
494,11.0
495,11.0
496,0.0
497,14.0
498,33.0
499,29.0
500,33.0
501,0.0
502,29.0
503,27.0
504,30.0
505,31.0
506,26.0
507,0.0
508,0.0
509,28.0
510,3.0
511,26.0
512,19.0
513,19.0
514,20.0
515,22.0
516,18.0
517,0.0
518,17.0
519,7.0
520,15.0
521,18.0
522,15.0
523,22.0
524,21.0
525,18.0
526,22.0
527,23.0
528,40.0
529,30.0
530,15.0
531,0.0
532,19.0
533,0.0
534,0.0
535,24.0
536,23.0
537,25.0
538,19.0
539,15.0
540,20.0
541,0.0
542,0.0
543,36.0
544,10.0
545,0.0
546,25.0
547,23.0
548,0.0
549,76.0
550,40.0
551,41.0
552,0.0
553,0.0
554,132.0
555,0.0
556,27.0
557,46.0
558,77.0
559,64.0
560,0.0
561,21.0
562,31.0
563,35.0
564,7.0
565,19.0
566,30.0
567,22.0
568,16.0
