Step,Value
0,1575.0
1,1548.0
2,1539.0
3,1526.0
4,0.0
5,1544.0
6,0.0
7,1530.0
8,1519.0
9,1543.0
10,1551.0
11,1550.0
12,1.0
13,1525.0
14,1468.0
15,0.0
16,1562.0
17,1582.0
18,1525.0
19,1.0
20,0.0
21,1568.0
22,1559.0
23,1571.0
24,1575.0
25,1556.0
26,2.0
27,0.0
28,1538.0
29,9.0
30,1566.0
31,1602.0
32,1561.0
33,1459.0
34,1464.0
35,1532.0
36,1464.0
37,1536.0
38,1.0
39,1536.0
40,1.0
41,1519.0
42,0.0
43,1496.0
44,3.0
45,1368.0
46,1482.0
47,1498.0
48,1425.0
49,0.0
50,1503.0
51,1500.0
52,1505.0
53,1512.0
54,1471.0
55,1511.0
56,1444.0
57,1520.0
58,1505.0
59,1482.0
60,1513.0
61,1514.0
62,1.0
63,1398.0
64,18.0
65,1531.0
66,1528.0
67,1517.0
68,1492.0
69,1.0
70,1480.0
71,1515.0
72,1517.0
73,1474.0
74,1479.0
75,1.0
76,1446.0
77,1456.0
78,1443.0
79,1.0
80,0.0
81,1470.0
82,0.0
83,1479.0
84,1470.0
85,1446.0
86,1438.0
87,1.0
88,0.0
89,0.0
90,1399.0
91,1.0
92,0.0
93,1422.0
94,1436.0
95,2.0
96,1434.0
97,4.0
98,1435.0
99,1441.0
100,1432.0
101,1428.0
102,2.0
103,1370.0
104,0.0
105,1482.0
106,1471.0
107,1502.0
108,1411.0
109,1463.0
110,1457.0
111,2.0
112,1478.0
113,1491.0
114,1513.0
115,1514.0
116,1507.0
117,1519.0
118,1518.0
119,1518.0
120,3.0
121,0.0
122,1439.0
123,1538.0
124,8.0
125,1532.0
126,1552.0
127,1469.0
128,4.0
129,1502.0
130,1453.0
131,1535.0
132,1524.0
133,1462.0
134,1471.0
135,1545.0
136,1470.0
137,1541.0
138,1530.0
139,1.0
140,0.0
141,1579.0
142,1547.0
143,1552.0
144,1538.0
145,1557.0
146,1.0
147,1580.0
148,0.0
149,0.0
150,1540.0
151,1515.0
152,1.0
153,1539.0
154,0.0
155,0.0
156,1583.0
157,1588.0
158,0.0
159,1562.0
160,1554.0
161,1540.0
162,1528.0
163,1535.0
164,2.0
165,1513.0
166,1523.0
167,1553.0
168,1557.0
169,1547.0
170,1540.0
171,1476.0
172,1477.0
173,1527.0
174,1.0
175,1486.0
176,1555.0
177,0.0
178,1561.0
179,1575.0
180,1.0
181,0.0
182,1552.0
183,1590.0
184,1577.0
185,1581.0
186,1588.0
187,1576.0
188,1589.0
189,1574.0
190,1578.0
191,6.0
192,1565.0
193,1583.0
194,1566.0
195,1578.0
196,4.0
197,0.0
198,1516.0
199,1597.0
200,1571.0
201,0.0
202,1532.0
203,1559.0
204,1555.0
205,1587.0
206,1581.0
207,1610.0
208,1601.0
209,1614.0
210,1596.0
211,1588.0
212,1591.0
213,0.0
214,1580.0
215,1611.0
216,1.0
217,0.0
218,1482.0
219,7.0
220,1539.0
221,1520.0
222,1512.0
223,1505.0
224,1450.0
225,1513.0
226,1493.0
227,1487.0
228,0.0
229,1483.0
230,5.0
231,1493.0
232,1502.0
233,1504.0
234,5.0
235,1483.0
236,1439.0
237,1487.0
238,1471.0
239,0.0
240,0.0
241,1454.0
242,1484.0
243,1474.0
244,1429.0
245,1427.0
246,1454.0
247,1461.0
248,1466.0
249,8.0
250,1451.0
251,1436.0
252,2.0
253,0.0
254,1449.0
255,1473.0
256,1452.0
257,3.0
258,1445.0
259,1435.0
260,1472.0
261,1471.0
262,1486.0
263,1471.0
264,1480.0
265,1404.0
266,1394.0
267,1455.0
268,1458.0
269,1451.0
270,1457.0
271,1448.0
272,1445.0
273,1407.0
274,1455.0
275,1.0
276,1465.0
277,1478.0
278,0.0
279,1485.0
280,1460.0
281,1437.0
282,1481.0
283,1450.0
284,1415.0
285,1449.0
286,1434.0
287,1423.0
288,1428.0
289,1417.0
290,1441.0
291,1435.0
292,1422.0
293,1368.0
294,1392.0
295,1456.0
296,1483.0
297,1492.0
298,1504.0
299,1494.0
300,1458.0
301,1462.0
302,1478.0
303,1477.0
304,1487.0
305,1487.0
306,1452.0
307,1485.0
308,1482.0
309,1490.0
310,1469.0
311,1451.0
312,1483.0
313,1501.0
314,1488.0
315,1501.0
316,1489.0
317,1498.0
318,1517.0
319,1515.0
320,1485.0
321,1493.0
322,1525.0
323,1552.0
324,1530.0
325,1535.0
326,1547.0
327,1543.0
328,1560.0
329,1569.0
330,1544.0
331,1531.0
332,1588.0
333,1572.0
334,1541.0
335,1545.0
336,1541.0
337,1556.0
338,1550.0
339,1531.0
340,1569.0
341,1562.0
342,1556.0
343,1553.0
344,1536.0
345,1585.0
346,1578.0
347,1576.0
348,1558.0
349,1538.0
350,1528.0
351,1573.0
352,1563.0
353,1556.0
354,1577.0
355,1546.0
356,1525.0
357,5.0
358,1613.0
359,1577.0
360,1564.0
361,1590.0
362,1575.0
363,1615.0
364,1616.0
365,1611.0
366,1592.0
367,1554.0
368,1596.0
369,1532.0
370,1585.0
371,1553.0
372,1566.0
373,1570.0
374,1589.0
375,1565.0
376,1549.0
377,1603.0
378,1590.0
379,1574.0
380,1571.0
381,1560.0
382,1602.0
383,1574.0
384,1590.0
385,1578.0
386,1546.0
387,1561.0
388,1527.0
389,1519.0
390,1513.0
391,1515.0
392,1506.0
393,1504.0
394,1489.0
395,1475.0
396,1504.0
397,1463.0
398,1461.0
399,1475.0
400,1479.0
401,1512.0
402,1485.0
403,1460.0
404,1445.0
405,1480.0
406,1461.0
407,1452.0
408,1440.0
409,1446.0
410,1488.0
411,1386.0
412,1452.0
413,1461.0
414,1435.0
415,1454.0
416,1459.0
417,1457.0
418,1421.0
419,1452.0
420,1435.0
421,1469.0
422,1458.0
423,1449.0
424,1465.0
425,1487.0
426,1471.0
427,1498.0
428,1492.0
429,1478.0
430,1470.0
431,1475.0
432,1486.0
433,1490.0
434,1470.0
435,1494.0
436,1490.0
437,1520.0
438,1545.0
439,1515.0
440,1535.0
441,1512.0
442,1526.0
443,1536.0
444,1526.0
445,1532.0
446,1553.0
447,1567.0
448,1545.0
449,1562.0
450,1554.0
451,1569.0
452,1582.0
453,1594.0
454,1592.0
455,1602.0
456,1605.0
457,1629.0
458,1627.0
459,1635.0
460,1629.0
461,1594.0
462,1620.0
463,1613.0
464,1605.0
465,1626.0
466,1622.0
467,1617.0
468,1603.0
469,1589.0
470,1591.0
471,1607.0
472,1600.0
473,1592.0
474,1623.0
475,1607.0
476,1632.0
477,1607.0
478,1633.0
479,1642.0
480,1636.0
481,1648.0
482,1653.0
483,1656.0
484,1639.0
485,1617.0
486,1642.0
487,1615.0
488,1589.0
489,1603.0
490,1585.0
491,1602.0
492,1569.0
493,1559.0
494,1543.0
495,1550.0
496,1541.0
497,1511.0
498,1548.0
499,1512.0
500,1502.0
501,1459.0
502,1464.0
503,1486.0
504,1462.0
505,1475.0
506,1442.0
507,1477.0
508,1478.0
509,1497.0
510,1513.0
511,1441.0
512,1454.0
513,1463.0
514,1431.0
515,1435.0
516,1419.0
517,1434.0
518,1432.0
519,1436.0
520,1445.0
521,1468.0
522,1429.0
523,1383.0
524,1474.0
525,1466.0
526,1433.0
527,1447.0
528,1394.0
529,1441.0
530,1423.0
531,1416.0
532,1425.0
533,1460.0
534,1431.0
535,1465.0
536,1451.0
537,1417.0
538,1435.0
539,1430.0
540,1435.0
541,1449.0
542,1429.0
543,1434.0
544,1450.0
545,1430.0
546,1479.0
547,1457.0
548,1465.0
549,1444.0
550,1429.0
551,1327.0
552,1430.0
553,1457.0
554,1436.0
555,1430.0
556,1433.0
557,1459.0
558,1444.0
559,1468.0
560,1451.0
561,1492.0
562,1486.0
563,1467.0
564,1489.0
565,1494.0
566,1461.0
567,1499.0
568,1518.0
569,1514.0
570,1519.0
571,1527.0
572,1517.0
573,1486.0
574,1531.0
575,1520.0
576,1521.0
577,1532.0
578,1526.0
579,1535.0
580,1567.0
581,1574.0
582,1551.0
583,1520.0
584,1561.0
585,1562.0
586,1535.0
587,1555.0
588,1556.0
589,1556.0
590,1536.0
591,1531.0
592,1582.0
593,1567.0
594,1562.0
595,1542.0
596,1589.0
597,1564.0
598,1578.0
599,1558.0
600,1561.0
601,1557.0
602,1570.0
603,1547.0
604,1568.0
605,1555.0
606,1539.0
607,1611.0
608,1592.0
609,1549.0
610,1560.0
611,1569.0
612,1559.0
613,1551.0
614,1546.0
615,1542.0
616,1554.0
617,1558.0
618,1542.0
619,1564.0
620,1540.0
621,1520.0
622,1533.0
623,1522.0
624,1508.0
625,1523.0
626,1506.0
627,1440.0
628,1511.0
629,1523.0
630,1509.0
631,1520.0
632,1514.0
633,1494.0
634,1542.0
635,1496.0
636,1490.0
637,1501.0
638,1491.0
639,1474.0
640,1488.0
641,1508.0
642,1524.0
643,1489.0
644,1497.0
645,1488.0
646,1489.0
647,1507.0
648,1504.0
649,1524.0
650,1513.0
651,1520.0
652,1517.0
653,1532.0
654,1529.0
655,1552.0
656,1541.0
657,1524.0
658,1553.0
659,1531.0
660,1556.0
661,1524.0
662,1529.0
663,1531.0
664,1517.0
665,1480.0
666,1503.0
667,1490.0
668,1506.0
669,1507.0
670,1501.0
671,1510.0
672,1497.0
673,1482.0
674,1468.0
675,1466.0
676,1506.0
677,1485.0
678,1478.0
679,1483.0
680,1508.0
681,1478.0
682,1474.0
683,1488.0
684,1501.0
685,1533.0
686,1490.0
687,1518.0
688,1552.0
689,1527.0
690,1567.0
691,1577.0
692,1583.0
693,1616.0
694,1594.0
695,1622.0
696,1630.0
697,1618.0
698,1580.0
699,1610.0
700,1632.0
701,1633.0
702,1629.0
703,1640.0
704,1637.0
705,1613.0
706,1589.0
707,1577.0
708,1582.0
709,1572.0
710,1590.0
711,1608.0
712,1588.0
713,1607.0
714,1593.0
715,1594.0
716,1587.0
717,1559.0
718,1577.0
719,1578.0
720,1615.0
721,1570.0
722,1612.0
723,1607.0
724,1599.0
725,1620.0
726,1621.0
727,1570.0
728,1600.0
729,1592.0
730,1578.0
731,1590.0
732,1572.0
733,1574.0
734,1541.0
735,1545.0
736,1553.0
737,1571.0
738,1577.0
739,1525.0
740,1541.0
741,1522.0
742,1535.0
743,1513.0
744,1527.0
745,1537.0
746,1516.0
747,1542.0
748,1557.0
749,1567.0
750,1554.0
751,1553.0
752,1566.0
753,1535.0
754,1533.0
755,1553.0
756,1542.0
757,1535.0
758,1531.0
759,1510.0
760,1530.0
761,1521.0
762,1484.0
763,1506.0
764,1508.0
765,1535.0
766,1510.0
767,1570.0
768,1533.0
769,1520.0
770,1501.0
771,1507.0
772,1506.0
773,1520.0
774,1518.0
775,1515.0
776,1508.0
777,1495.0
778,1513.0
779,1532.0
780,1538.0
781,1536.0
782,1532.0
783,1530.0
784,1547.0
785,1548.0
786,1560.0
787,1558.0
788,1556.0
789,1562.0
790,1586.0
791,1565.0
792,1541.0
793,1547.0
794,1538.0
795,1558.0
796,1565.0
797,1544.0
798,1525.0
799,1522.0
800,1487.0
801,1482.0
802,1512.0
803,1498.0
804,1524.0
805,1541.0
806,1517.0
807,1502.0
808,1521.0
809,1550.0
810,1570.0
811,1571.0
812,1587.0
813,1560.0
814,1573.0
815,1571.0
816,1566.0
817,1563.0
818,1545.0
819,1514.0
820,1514.0
821,1513.0
822,1499.0
823,1509.0
824,1526.0
825,1529.0
826,1541.0
827,1520.0
828,1529.0
829,1535.0
830,1539.0
831,1549.0
832,1579.0
833,1556.0
834,1575.0
835,1538.0
836,1576.0
837,1571.0
838,1594.0
839,1574.0
840,1537.0
841,1531.0
842,1440.0
843,1524.0
844,1498.0
845,1524.0
846,1549.0
847,1534.0
848,1520.0
849,1511.0
850,1500.0
851,1492.0
852,1473.0
853,1490.0
854,1472.0
855,1431.0
856,1491.0
857,1488.0
858,1495.0
859,1506.0
860,1504.0
861,1456.0
862,1473.0
863,1457.0
864,1466.0
865,1462.0
866,1470.0
867,1465.0
868,1472.0
869,1465.0
870,1462.0
871,1492.0
872,1477.0
873,1495.0
874,1493.0
875,1475.0
876,1493.0
877,1467.0
878,1508.0
879,1512.0
880,1509.0
881,1508.0
882,1468.0
883,1490.0
884,1510.0
885,1507.0
886,1509.0
887,1505.0
888,1487.0
889,1455.0
890,1493.0
891,1448.0
892,1474.0
893,1437.0
894,1469.0
895,1432.0
896,1433.0
897,1459.0
898,1441.0
899,1435.0
900,1450.0
901,1423.0
902,1493.0
903,1468.0
904,1491.0
905,1431.0
906,1432.0
907,1472.0
908,1391.0
909,1493.0
910,1460.0
911,1446.0
912,1446.0
913,1448.0
914,1447.0
915,1426.0
916,1455.0
917,1456.0
918,1463.0
919,1469.0
920,1444.0
921,1433.0
922,1447.0
923,1477.0
924,1471.0
925,1484.0
926,1500.0
927,1496.0
928,1509.0
929,1504.0
930,1510.0
931,1534.0
932,1495.0
933,1534.0
934,1554.0
935,1513.0
936,1522.0
937,1526.0
938,1540.0
939,1506.0
940,1491.0
941,1506.0
942,1492.0
943,1468.0
944,1481.0
945,1520.0
946,1496.0
947,1513.0
948,1531.0
949,1519.0
950,1530.0
951,1532.0
952,1527.0
953,1512.0
954,1533.0
955,1502.0
956,1503.0
957,1512.0
958,1529.0
959,1542.0
960,1577.0
961,1579.0
962,1582.0
963,1575.0
964,1568.0
965,1595.0
966,1578.0
967,1577.0
968,1584.0
969,1592.0
970,1589.0
971,1591.0
972,1574.0
973,1587.0
974,1587.0
975,1593.0
976,1604.0
977,1540.0
978,1542.0
979,1540.0
980,1555.0
981,1564.0
982,1560.0
983,1534.0
984,1534.0
985,1474.0
986,1482.0
987,1472.0
988,1520.0
989,1484.0
990,1509.0
991,1540.0
992,1531.0
993,1521.0
994,1520.0
995,1527.0
996,1560.0
997,1543.0
998,1560.0
999,1551.0
1000,1528.0
1001,1538.0
1002,1532.0
1003,1552.0
1004,1570.0
1005,1527.0
1006,1531.0
1007,1545.0
1008,1501.0
1009,1499.0
1010,1521.0
1011,1526.0
1012,1525.0
1013,1527.0
1014,1530.0
1015,1479.0
1016,1502.0
1017,1475.0
1018,1484.0
1019,1513.0
1020,1479.0
1021,1492.0
1022,1478.0
1023,1497.0
1024,1461.0
1025,1484.0
1026,1470.0
1027,1491.0
1028,1506.0
1029,1533.0
1030,1485.0
1031,1508.0
1032,1504.0
1033,1522.0
1034,1538.0
1035,1522.0
1036,1497.0
1037,1535.0
1038,1548.0
1039,1532.0
1040,1513.0
1041,1533.0
1042,1535.0
1043,1544.0
1044,1505.0
1045,1511.0
1046,1476.0
1047,1510.0
1048,1495.0
