Step,Value
0,7919692.5
1,7919692.5
2,7966368.0
3,243589.15625
4,5307409.0
5,7488841.0
6,6866517.5
7,7189777.0
8,6998908.0
9,213247.578125
10,9600.029296875
11,16150.87890625
12,10747.8818359375
13,5010306.0
14,6014964.5
15,6642030.5
16,197407.65625
17,5819456.0
18,207117.09375
19,15482.9091796875
20,5261300.0
21,5706343.5
22,6069399.0
23,164715.859375
24,4906730.5
25,6010406.0
26,6903366.0
27,6824015.0
28,6680801.0
29,195877.015625
30,5130613.5
31,194154.5
32,5638963.5
33,7225990.0
34,6886078.5
35,6628428.5
36,6746394.0
37,6104381.0
38,7063892.0
39,215109.875
40,21191.875
41,5600891.5
42,6437296.5
43,8014220.0
44,8134454.5
45,8292307.5
46,7687071.5
47,235170.359375
48,12113.83203125
49,5934838.5
50,5357397.5
51,188347.8125
52,14651.2275390625
53,8557.9130859375
54,5286264.5
55,5600884.5
56,6006823.5
57,6079793.5
58,5912260.0
59,5717277.5
60,204513.09375
61,5618123.0
62,6369852.5
63,6989208.5
64,7278354.5
65,7490567.0
66,6326316.5
67,7497249.0
68,7734914.0
69,8093863.5
70,8740155.0
71,8694164.0
72,9200029.0
73,9220226.0
74,261106.359375
75,7560384.5
76,6566103.0
77,161542.5
78,6252449.5
79,240829.96875
80,6157069.5
81,7293625.0
82,7690905.5
83,6675412.0
84,169041.375
85,7153352.0
86,7834554.5
87,7247931.5
88,7038099.0
89,6750622.5
90,6377791.0
91,167678.078125
92,8041.5078125
93,4629205.5
94,5412034.0
95,5486756.5
96,5972673.5
97,205438.46875
98,5216996.0
99,180161.1875
100,4658173.0
101,198645.828125
102,5189302.5
103,6625017.0
104,7316332.5
105,7395127.0
106,241075.625
107,6801674.5
108,6425741.0
109,6637822.5
110,8143208.5
111,271647.125
112,7029059.5
113,8321566.0
114,8563597.0
115,259092.09375
116,7482746.5
117,8637539.0
118,234798.875
119,6778346.0
120,7212406.5
121,6731081.0
122,6092545.5
123,6358321.5
124,7023154.0
125,6789189.5
126,205023.875
127,5808808.5
128,6474653.5
129,6598073.5
130,6365530.0
131,5824149.5
132,6143971.0
133,5975482.0
134,5842862.5
135,5980596.0
136,5494059.0
137,5581253.5
138,5566646.5
139,5713847.0
140,166352.78125
141,5958515.5
142,6796411.5
143,7678721.0
144,8002253.5
145,8255617.0
146,7995487.5
147,8251918.5
148,8536699.0
149,8759393.0
150,8534076.0
151,8493674.0
152,8263027.5
153,8031917.0
154,7983449.5
155,246367.796875
156,6258452.0
157,6572613.0
158,6366256.0
159,6548089.5
160,216273.984375
161,6531851.0
162,193326.984375
163,5696532.0
164,151923.9375
165,8724.98828125
166,23789.927734375
167,6438650.5
168,7063192.0
169,7781751.5
170,231076.015625
171,7119170.5
172,224653.78125
173,6040633.5
174,7458190.0
175,7384177.0
176,7341251.0
177,7513676.0
178,7899211.0
179,7181873.0
180,7532094.0
181,7641135.0
182,7469238.0
183,7132954.0
184,7107704.0
185,6523110.5
186,6292993.0
187,6136595.0
188,5742420.0
189,5395915.0
190,5321216.0
191,5143683.5
192,5376978.0
193,5253612.5
194,5734831.0
195,169176.953125
196,14925.576171875
