Step,Value
1,0.998062014579773
2,1.0
3,1.0
4,0.9981784820556641
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,0.9980506896972656
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,0.9980040192604065
20,1.0
21,0.9978723526000977
22,1.0
23,1.0
24,0.9981273412704468
25,1.0
26,1.0
27,1.0
28,1.0
29,0.9963099360466003
30,1.0
31,1.0
32,1.0
33,0.9982110857963562
34,1.0
35,1.0
36,1.0
37,1.0
38,0.998251736164093
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,0.9981343150138855
45,1.0
46,1.0
47,1.0
48,0.9982905983924866
49,1.0
50,0.998275876045227
51,1.0
52,1.0
53,1.0
54,1.0
55,0.9981481432914734
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,0.9983333349227905
63,1.0
64,0.9983221292495728
65,1.0
66,1.0
67,1.0
68,1.0
69,0.9984325766563416
70,1.0
71,1.0
72,1.0
73,0.9984894394874573
74,1.0
75,1.0
76,0.9984543919563293
77,1.0
78,1.0
79,1.0
80,1.0
81,0.9984894394874573
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,0.9984325766563416
89,1.0
90,1.0
91,0.9984779357910156
92,1.0
93,0.9968602657318115
94,1.0
95,0.9982993006706238
96,1.0
97,1.0
98,1.0
99,0.9983792304992676
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,0.9982174634933472
112,1.0
113,1.0
114,0.998039186000824
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,0.9980000257492065
127,1.0
128,0.9980657696723938
129,1.0
130,1.0
131,1.0
132,1.0
133,0.9980040192604065
134,1.0
135,0.998039186000824
136,1.0
137,1.0
138,1.0
139,1.0
140,0.9979757070541382
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,0.9979633688926697
147,1.0
148,1.0
