Step,Value
1,1.0
2,0.9979550242424011
3,1.0
4,1.0
5,1.0
6,0.9979466199874878
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,0.9946523904800415
14,1.0
15,1.0
16,1.0
17,1.0
18,0.9981982111930847
19,1.0
20,1.0
21,0.998084306716919
22,1.0
23,1.0
24,0.9982486963272095
25,1.0
26,0.9984177350997925
27,1.0
28,0.9954198598861694
29,1.0
30,1.0
31,1.0
32,1.0
33,0.998516321182251
34,1.0
35,1.0
36,1.0
37,0.99842768907547
38,1.0
39,1.0
40,1.0
41,1.0
42,0.9980695247650146
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,0.9980657696723938
49,1.0
50,1.0
51,1.0
52,0.9979798197746277
53,1.0
54,0.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,0.0
63,0.9977678656578064
64,0.997863233089447
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,0.9980806112289429
75,1.0
76,0.9982728958129883
77,1.0
78,0.9982935190200806
79,1.0
80,0.9982206225395203
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,0.9983579516410828
88,1.0
89,1.0
90,0.9984802603721619
91,1.0
92,1.0
93,1.0
94,1.0
95,0.9984591603279114
96,1.0
97,0.9984709620475769
98,1.0
99,1.0
100,1.0
101,0.9983277320861816
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,0.9978768825531006
111,1.0
112,1.0
113,1.0
114,0.9959999918937683
115,1.0
116,0.9979209899902344
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,0.0
124,1.0
125,0.9978586435317993
126,1.0
127,0.9979381561279297
128,0.9976525902748108
129,1.0
130,0.998106062412262
131,1.0
132,1.0
133,0.9984025359153748
134,1.0
135,0.998420238494873
136,1.0
137,1.0
138,1.0
139,0.9984126687049866
140,1.0
141,1.0
142,0.9984050989151001
143,1.0
144,0.9983498454093933
145,1.0
146,0.9983136653900146
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,0.9976470470428467
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,0.9982014298439026
167,1.0
168,1.0
169,0.9983333349227905
170,1.0
171,1.0
172,1.0
173,1.0
174,0.9984399080276489
175,1.0
176,0.9985007643699646
177,1.0
178,1.0
179,0.9984756112098694
180,1.0
181,0.9984939694404602
182,1.0
183,1.0
184,0.9984848499298096
185,1.0
186,1.0
187,1.0
188,1.0
189,0.998305082321167
190,1.0
191,1.0
192,1.0
193,1.0
194,1.0
195,0.9980276226997375
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,0.9959999918937683
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,0.9981883764266968
215,1.0
216,0.9981949329376221
217,1.0
218,0.9981481432914734
219,1.0
