Step,Value
1,7400000.0
2,1800000.0
3,400000.0
4,1000000.0
5,6200000.0
6,16200000.0
7,1600000.0
8,18200000.0
9,5400000.0
10,3400000.0
11,8600000.0
12,10200000.0
13,6600000.0
14,18200000.0
15,9000000.0
16,6000000.0
17,1600000.0
18,400000.0
19,800000.0
20,7200000.0
21,4600000.0
22,200000.0
23,2400000.0
24,9000000.0
25,6400000.0
26,13800000.0
27,4200000.0
28,8000000.0
29,1400000.0
30,9600000.0
31,15400000.0
32,10000000.0
33,8200000.0
34,3000000.0
35,5000000.0
36,11200000.0
37,4800000.0
38,15200000.0
39,1800000.0
40,4000000.0
41,10400000.0
42,1200000.0
43,1400000.0
44,15000000.0
45,12600000.0
46,800000.0
47,6600000.0
48,4000000.0
49,10600000.0
50,6000000.0
51,1200000.0
52,8000000.0
53,4600000.0
54,200000.0
55,6400000.0
56,5200000.0
57,2800000.0
58,15400000.0
59,2600000.0
60,5400000.0
61,4400000.0
62,3200000.0
63,1800000.0
64,5400000.0
65,1400000.0
66,12600000.0
67,16600000.0
68,200000.0
69,2200000.0
70,12200000.0
71,4800000.0
72,9600000.0
73,10600000.0
74,4000000.0
75,19600000.0
76,8400000.0
77,6000000.0
78,4200000.0
79,19600000.0
80,2800000.0
81,10600000.0
82,9600000.0
83,600000.0
84,10800000.0
85,7400000.0
86,11200000.0
87,4200000.0
88,8000000.0
89,14000000.0
90,14000000.0
91,6400000.0
92,4600000.0
93,13800000.0
94,12200000.0
95,7400000.0
96,16800000.0
97,800000.0
98,13000000.0
99,200000.0
100,4200000.0
101,10800000.0
102,9200000.0
103,3600000.0
104,17400000.0
105,6400000.0
106,1400000.0
107,1600000.0
108,3000000.0
109,200000.0
110,1600000.0
111,7600000.0
112,3600000.0
113,13600000.0
114,10200000.0
115,1600000.0
116,5200000.0
117,15200000.0
118,8200000.0
119,7400000.0
120,600000.0
121,8600000.0
122,2200000.0
123,19600000.0
124,10800000.0
125,11600000.0
126,200000.0
127,200000.0
128,200000.0
129,6600000.0
130,4800000.0
131,3800000.0
132,2400000.0
133,14000000.0
134,6800000.0
135,4800000.0
136,14200000.0
137,9800000.0
138,9800000.0
139,800000.0
140,14600000.0
141,10800000.0
142,9200000.0
143,2000000.0
144,19600000.0
145,3400000.0
146,200000.0
147,7600000.0
148,3400000.0
149,1600000.0
150,17200000.0
151,7200000.0
152,8000000.0
153,12600000.0
154,8000000.0
155,12600000.0
156,800000.0
157,3400000.0
158,7000000.0
159,19600000.0
160,600000.0
161,6200000.0
162,3400000.0
163,10400000.0
164,19600000.0
165,800000.0
166,4800000.0
167,6600000.0
168,9600000.0
169,1800000.0
170,9200000.0
171,5800000.0
172,4600000.0
173,1600000.0
174,12200000.0
175,6200000.0
176,5600000.0
177,1400000.0
178,2600000.0
179,400000.0
180,7800000.0
181,1600000.0
182,8600000.0
183,17400000.0
184,1200000.0
185,8000000.0
186,600000.0
187,10800000.0
188,5400000.0
189,11600000.0
190,12200000.0
191,3400000.0
192,3200000.0
193,10000000.0
194,16200000.0
195,19600000.0
196,6400000.0
197,4000000.0
198,1600000.0
199,1400000.0
200,3200000.0
201,3600000.0
202,2600000.0
203,6800000.0
204,8600000.0
205,6000000.0
206,200000.0
207,2000000.0
208,2000000.0
209,2800000.0
210,12600000.0
211,13200000.0
212,17400000.0
213,10800000.0
214,1200000.0
215,7000000.0
216,7600000.0
217,200000.0
218,2800000.0
219,13000000.0
220,3800000.0
221,1400000.0
222,12600000.0
223,4200000.0
224,2000000.0
225,10800000.0
226,14400000.0
227,13200000.0
228,7800000.0
229,14800000.0
230,19600000.0
231,2000000.0
232,19600000.0
233,4000000.0
234,200000.0
235,1000000.0
236,7800000.0
237,8200000.0
238,11000000.0
239,13400000.0
240,600000.0
241,2200000.0
242,1800000.0
243,10800000.0
244,10600000.0
245,3400000.0
246,15400000.0
247,800000.0
248,1400000.0
249,4000000.0
250,16200000.0
251,16000000.0
252,8400000.0
253,200000.0
254,6000000.0
255,19600000.0
256,8400000.0
257,3200000.0
258,6800000.0
259,200000.0
260,9800000.0
261,19600000.0
262,4800000.0
263,5800000.0
264,3200000.0
265,400000.0
266,4200000.0
267,12600000.0
268,14200000.0
269,13400000.0
270,9000000.0
271,6000000.0
272,13000000.0
273,14000000.0
274,6600000.0
275,19600000.0
276,2400000.0
277,2000000.0
278,5600000.0
279,19600000.0
280,7000000.0
281,19600000.0
282,6000000.0
283,600000.0
284,8200000.0
285,16200000.0
286,1200000.0
287,9200000.0
288,6000000.0
289,8600000.0
290,13400000.0
291,4600000.0
292,3000000.0
293,600000.0
294,5000000.0
295,8400000.0
296,19600000.0
297,3800000.0
298,19600000.0
299,8000000.0
300,800000.0
301,4200000.0
302,12000000.0
303,14200000.0
304,5600000.0
305,12200000.0
306,400000.0
307,4800000.0
308,11400000.0
309,5000000.0
310,11200000.0
311,3800000.0
312,3200000.0
313,200000.0
314,9600000.0
315,1600000.0
316,5200000.0
317,19600000.0
318,2600000.0
319,19600000.0
320,3200000.0
321,11400000.0
322,11200000.0
323,12400000.0
324,10000000.0
325,1600000.0
326,15000000.0
327,400000.0
328,3200000.0
329,5600000.0
330,1200000.0
331,11000000.0
332,7800000.0
333,800000.0
334,600000.0
335,12200000.0
336,9200000.0
337,3600000.0
338,7800000.0
339,9200000.0
340,2600000.0
341,2600000.0
342,19600000.0
343,8200000.0
344,19600000.0
345,7800000.0
346,2400000.0
347,10800000.0
348,7200000.0
349,10000000.0
350,2000000.0
351,15400000.0
352,9800000.0
353,7800000.0
354,17800000.0
355,3200000.0
356,5200000.0
357,9000000.0
358,6400000.0
359,10400000.0
360,15600000.0
361,9000000.0
362,6400000.0
363,6000000.0
364,10000000.0
365,19600000.0
366,2200000.0
367,19600000.0
368,9400000.0
369,3000000.0
370,14400000.0
371,7800000.0
372,16600000.0
373,1000000.0
374,9200000.0
375,2800000.0
376,9800000.0
377,4200000.0
378,8600000.0
379,1200000.0
380,19600000.0
381,5000000.0
382,8800000.0
383,2200000.0
384,7600000.0
385,6400000.0
386,3600000.0
387,9800000.0
388,2400000.0
389,5200000.0
390,19600000.0
391,6800000.0
392,3600000.0
393,4800000.0
394,3600000.0
395,8200000.0
396,4000000.0
397,8600000.0
398,400000.0
399,19600000.0
400,6000000.0
401,10000000.0
402,10400000.0
403,11200000.0
404,6000000.0
405,7400000.0
406,5600000.0
407,3200000.0
408,4800000.0
409,200000.0
410,8400000.0
411,4200000.0
412,1800000.0
413,6600000.0
414,2000000.0
415,10200000.0
416,3600000.0
417,10000000.0
418,6000000.0
419,2200000.0
420,1000000.0
421,6800000.0
422,11400000.0
423,12400000.0
424,15000000.0
425,4000000.0
426,1400000.0
427,11400000.0
428,15000000.0
429,10200000.0
430,12400000.0
431,3400000.0
432,10000000.0
433,3200000.0
434,6600000.0
435,8400000.0
436,600000.0
437,3200000.0
438,8000000.0
439,7200000.0
440,9400000.0
441,8200000.0
442,17200000.0
443,2000000.0
444,600000.0
445,8800000.0
446,14800000.0
447,5200000.0
448,4400000.0
449,15200000.0
450,11200000.0
451,8800000.0
452,3000000.0
453,6000000.0
454,13400000.0
455,3200000.0
456,19600000.0
457,19600000.0
458,6800000.0
459,2400000.0
460,19600000.0
461,8600000.0
462,11400000.0
463,15800000.0
464,10400000.0
465,9600000.0
466,1600000.0
467,19600000.0
468,1600000.0
469,19600000.0
470,3800000.0
471,16800000.0
472,1200000.0
473,3400000.0
474,19600000.0
475,3600000.0
476,4600000.0
477,17000000.0
478,4000000.0
479,10400000.0
480,8400000.0
481,8800000.0
482,1000000.0
483,5800000.0
484,12200000.0
485,2800000.0
486,9800000.0
487,6400000.0
488,13800000.0
489,18000000.0
490,1800000.0
491,6400000.0
492,4000000.0
493,10600000.0
494,5200000.0
495,11600000.0
496,5400000.0
497,3200000.0
498,19600000.0
499,1200000.0
500,5400000.0
501,4600000.0
502,19600000.0
503,15000000.0
504,3600000.0
505,19600000.0
506,6000000.0
507,19600000.0
508,14200000.0
509,19600000.0
510,2800000.0
511,4400000.0
512,1600000.0
513,14200000.0
514,4000000.0
515,17400000.0
516,10600000.0
517,1200000.0
518,5600000.0
519,19600000.0
520,19600000.0
521,5400000.0
522,10600000.0
523,19600000.0
524,6000000.0
525,6400000.0
526,1400000.0
527,2600000.0
528,6600000.0
529,14800000.0
530,19600000.0
531,9400000.0
532,19600000.0
533,11600000.0
534,7600000.0
535,1000000.0
536,19600000.0
537,11200000.0
538,5200000.0
539,1200000.0
540,5200000.0
541,4600000.0
542,4600000.0
543,12000000.0
544,2000000.0
545,4600000.0
546,6000000.0
547,15200000.0
548,4600000.0
549,5000000.0
550,1800000.0
551,1400000.0
552,3200000.0
553,16800000.0
554,6200000.0
555,5800000.0
556,1200000.0
557,6400000.0
558,9000000.0
559,8600000.0
560,13800000.0
561,19600000.0
562,5000000.0
563,600000.0
564,2200000.0
565,10600000.0
566,19600000.0
567,19600000.0
568,8800000.0
569,7000000.0
570,19600000.0
571,6000000.0
572,13000000.0
573,19600000.0
574,4200000.0
575,19600000.0
576,4600000.0
577,200000.0
578,6400000.0
579,7200000.0
580,19600000.0
581,1400000.0
582,13800000.0
583,5800000.0
584,4200000.0
585,600000.0
586,19600000.0
587,7400000.0
588,3400000.0
589,800000.0
590,13000000.0
591,9600000.0
592,8800000.0
593,19600000.0
594,12000000.0
595,2000000.0
596,19600000.0
597,1800000.0
598,2400000.0
599,2800000.0
600,2400000.0
601,1800000.0
602,8000000.0
603,13200000.0
604,2000000.0
605,5200000.0
606,9400000.0
607,3000000.0
608,12400000.0
609,11000000.0
610,19600000.0
611,1000000.0
612,600000.0
613,10000000.0
614,7000000.0
615,4600000.0
616,3000000.0
617,15600000.0
618,11200000.0
619,13800000.0
620,2800000.0
621,14000000.0
622,5600000.0
623,1600000.0
624,18000000.0
625,11600000.0
626,8400000.0
627,5400000.0
628,7000000.0
629,15800000.0
630,8400000.0
631,19600000.0
632,19600000.0
633,4000000.0
634,19600000.0
635,12200000.0
636,600000.0
637,3400000.0
638,15000000.0
639,19600000.0
640,10600000.0
641,6400000.0
642,4200000.0
643,9200000.0
644,4800000.0
645,16400000.0
646,18800000.0
647,19600000.0
648,1400000.0
649,4400000.0
650,6000000.0
651,12000000.0
652,7000000.0
653,5400000.0
654,1800000.0
655,5800000.0
656,19600000.0
657,15200000.0
658,7600000.0
659,11600000.0
660,12600000.0
661,9600000.0
662,400000.0
663,19600000.0
664,1800000.0
665,4600000.0
666,800000.0
667,1200000.0
668,5800000.0
669,19600000.0
670,9200000.0
671,7400000.0
672,19600000.0
673,5600000.0
674,19600000.0
675,13000000.0
676,4600000.0
677,10000000.0
678,12400000.0
679,14800000.0
680,14000000.0
681,6000000.0
682,2600000.0
683,19600000.0
684,14200000.0
685,15000000.0
686,12000000.0
687,5600000.0
688,5800000.0
689,3800000.0
690,8400000.0
691,2600000.0
692,200000.0
693,19600000.0
694,3000000.0
695,12400000.0
696,19600000.0
697,4600000.0
698,1000000.0
699,600000.0
700,8000000.0
701,12800000.0
702,1000000.0
703,9800000.0
704,10200000.0
705,9000000.0
706,10200000.0
707,2000000.0
708,16800000.0
709,1400000.0
710,19600000.0
711,3400000.0
712,6200000.0
713,11800000.0
714,19600000.0
715,19600000.0
716,10800000.0
717,9200000.0
718,19600000.0
719,4600000.0
720,5000000.0
721,12400000.0
722,19600000.0
723,12000000.0
724,19600000.0
725,3800000.0
726,200000.0
727,4000000.0
728,19600000.0
729,7800000.0
730,400000.0
731,19600000.0
732,5800000.0
733,4400000.0
734,400000.0
735,14200000.0
736,7200000.0
