Step,Value
0,3541637.75
1,52079.0546875
2,1086666.25
3,2565682.75
4,7790834.5
5,4567567.0
6,55238.17578125
7,2533954.75
8,9782649.0
9,52986.48828125
10,260404.90625
11,2170833.0
12,143541.796875
13,80795.6953125
14,5010586.5
15,138223.65625
16,533352.75
17,3202379.25
18,4409535.5
19,27712.9140625
20,9332074.0
21,388868.78125
22,949365.1875
23,107564.3359375
24,79847.125
25,219611.546875
26,304869.625
27,7132969.5
28,9696534.0
29,418133.8125
30,8753793.0
31,266642.0625
32,102998.6953125
33,8516653.0
34,9782647.0
35,29743.443359375
36,1048063.9375
37,7495660.0
38,4070862.5
39,9765592.0
40,7138846.5
41,8416438.0
42,54960.8671875
43,4920386.5
44,378749.125
45,805632.9375
46,2795186.0
47,4972380.5
48,54116.08203125
49,256564.09375
50,3364796.25
51,3396685.0
52,1278156.875
53,3333333.5
54,9085269.0
55,60669.3359375
56,262007.078125
57,54516.33203125
58,3224646.25
59,1708602.875
60,5433038.0
61,106694.625
62,9671770.0
63,108675.3671875
64,840888.8125
65,56005.66015625
66,9753667.0
67,9597949.0
68,55238.171875
69,9782649.0
70,138180.90625
71,9422796.0
72,108675.4296875
73,8990266.0
74,168115.6875
75,9764407.0
76,9782617.0
77,7872352.0
78,3057630.0
79,7144364.5
80,265134.65625
81,466207.625
82,1063514.75
83,8328868.0
84,140642.984375
85,3333333.5
86,8034928.0
87,443320.9375
88,8883187.0
89,8860200.0
90,304949.40625
91,4321949.0
92,4079516.25
93,9372264.0
94,87048.4609375
95,70784.2109375
96,107159.3359375
97,8755401.0
98,4972381.5
99,7972895.0
100,2834150.0
101,8103695.0
102,419974.5625
103,478456.71875
104,927442.3125
105,7021428.0
106,3315270.0
107,1783998.875
108,9370135.0
109,54958.6640625
110,358907.53125
111,184499.03125
112,4415099.5
113,5823701.5
114,3186508.5
115,2854711.0
116,9674188.0
117,108675.4296875
118,2858659.0
119,9782649.0
120,4486492.5
121,1519403.75
122,82911.703125
123,9730620.0
124,830138.75
125,1842899.875
126,106318.078125
127,8685285.0
128,8148227.5
129,3401595.75
130,8653777.0
131,6848475.5
132,108675.4296875
133,5994522.5
134,242345.1875
135,1095912.625
136,126664.6640625
137,9779637.0
138,6606470.5
139,204168.90625
140,1523453.25
141,740917.875
142,144818.515625
143,4972381.5
144,132056.65625
