Step,Value
0,1432.0
1,58.0
2,1396.0
3,1460.0
4,102.0
5,1439.0
6,48.0
7,32.0
8,1915.0
9,87.0
10,17.0
11,25.0
12,1579.0
13,23.0
14,24.0
15,1580.0
16,18.0
17,17.0
18,20.0
19,0.0
20,0.0
21,1531.0
22,40.0
23,1569.0
24,19.0
25,7.0
26,4.0
27,6.0
28,0.0
29,13.0
30,23.0
31,19.0
32,12.0
33,0.0
34,1965.0
35,50.0
36,7.0
37,35.0
38,1466.0
39,1958.0
40,127.0
41,102.0
42,52.0
43,49.0
44,49.0
45,51.0
46,3.0
47,1414.0
48,76.0
49,29.0
50,25.0
51,34.0
52,16.0
53,13.0
54,1.0
55,12.0
56,1281.0
57,47.0
58,24.0
59,16.0
60,29.0
61,1477.0
62,1373.0
63,1466.0
64,72.0
65,67.0
66,0.0
67,1349.0
68,55.0
69,1968.0
70,10.0
71,0.0
72,1501.0
73,53.0
74,21.0
75,1943.0
76,1947.0
77,39.0
78,15.0
79,1426.0
80,30.0
81,17.0
82,11.0
83,16.0
84,1.0
85,15.0
86,11.0
87,22.0
88,21.0
89,1466.0
90,1362.0
91,1469.0
92,56.0
93,1436.0
94,0.0
95,35.0
96,1477.0
97,172.0
98,83.0
99,0.0
100,70.0
101,1474.0
102,88.0
103,40.0
104,1460.0
105,49.0
106,25.0
107,17.0
108,0.0
109,21.0
110,1418.0
111,92.0
112,23.0
113,31.0
114,0.0
115,16.0
116,0.0
117,26.0
118,16.0
119,1960.0
120,36.0
121,13.0
122,7.0
123,0.0
124,9.0
125,15.0
126,1470.0
127,11.0
128,32.0
129,0.0
130,1485.0
131,1478.0
132,69.0
133,20.0
134,31.0
135,28.0
136,56.0
137,1977.0
138,202.0
139,97.0
140,85.0
141,70.0
142,75.0
143,82.0
144,81.0
145,81.0
146,51.0
147,51.0
148,60.0
149,1454.0
150,103.0
151,0.0
152,54.0
153,52.0
154,0.0
155,27.0
156,0.0
157,27.0
158,30.0
159,34.0
160,0.0
161,25.0
162,15.0
163,16.0
164,1.0
165,1951.0
166,45.0
167,23.0
168,0.0
169,0.0
170,21.0
171,23.0
172,20.0
173,25.0
174,21.0
175,18.0
176,25.0
177,27.0
178,1940.0
179,88.0
180,58.0
181,89.0
182,1493.0
183,1483.0
184,139.0
185,62.0
186,90.0
187,67.0
188,1511.0
189,104.0
190,62.0
191,80.0
192,41.0
193,53.0
194,1535.0
195,70.0
196,28.0
197,20.0
198,15.0
199,1522.0
200,70.0
201,16.0
202,12.0
203,2.0
204,0.0
205,21.0
206,15.0
207,0.0
208,22.0
209,41.0
210,31.0
211,39.0
212,36.0
213,59.0
214,50.0
215,57.0
216,40.0
217,57.0
218,35.0
219,0.0
220,35.0
221,0.0
222,34.0
223,0.0
224,32.0
225,23.0
226,9.0
227,6.0
228,8.0
229,8.0
230,9.0
231,9.0
232,7.0
233,23.0
234,30.0
235,10.0
236,16.0
237,0.0
238,14.0
239,18.0
240,15.0
241,20.0
242,24.0
243,30.0
244,23.0
245,27.0
246,22.0
247,29.0
248,39.0
249,53.0
250,59.0
251,63.0
252,44.0
253,38.0
254,23.0
255,25.0
256,20.0
257,18.0
258,11.0
259,14.0
260,14.0
261,5.0
262,17.0
263,10.0
264,20.0
265,13.0
266,11.0
267,13.0
268,23.0
269,17.0
270,24.0
271,11.0
272,16.0
273,29.0
274,20.0
275,19.0
276,31.0
277,28.0
278,23.0
279,21.0
280,23.0
281,19.0
282,15.0
283,11.0
284,17.0
285,11.0
286,1515.0
287,36.0
288,17.0
289,16.0
290,16.0
291,11.0
292,9.0
293,5.0
294,4.0
295,1.0
296,6.0
297,3.0
298,17.0
299,19.0
300,24.0
301,31.0
302,17.0
303,34.0
304,40.0
305,33.0
306,36.0
307,36.0
308,22.0
309,36.0
310,31.0
311,25.0
312,21.0
313,19.0
314,35.0
315,28.0
316,30.0
317,40.0
318,16.0
319,10.0
320,16.0
321,18.0
322,8.0
323,8.0
324,14.0
325,12.0
326,13.0
327,14.0
328,14.0
329,18.0
330,24.0
331,31.0
332,33.0
333,37.0
334,55.0
335,37.0
336,41.0
337,44.0
338,78.0
339,73.0
340,60.0
341,46.0
342,63.0
343,66.0
344,59.0
345,68.0
346,61.0
347,35.0
348,29.0
349,21.0
350,24.0
351,24.0
352,21.0
353,18.0
354,20.0
355,23.0
356,25.0
357,18.0
358,23.0
359,23.0
360,15.0
361,26.0
362,15.0
363,20.0
364,21.0
365,34.0
366,29.0
367,22.0
368,22.0
369,46.0
370,40.0
371,36.0
372,20.0
373,24.0
374,24.0
375,21.0
376,30.0
377,22.0
378,0.0
379,20.0
380,15.0
381,20.0
382,16.0
383,12.0
384,11.0
385,22.0
386,15.0
387,6.0
388,4.0
389,18.0
390,27.0
391,21.0
392,25.0
393,21.0
394,31.0
395,32.0
396,36.0
397,53.0
398,45.0
399,51.0
400,30.0
401,46.0
402,29.0
403,27.0
404,22.0
405,17.0
406,15.0
407,13.0
408,7.0
409,15.0
410,18.0
411,22.0
412,17.0
413,16.0
414,10.0
415,16.0
416,14.0
417,16.0
418,13.0
419,14.0
420,17.0
421,27.0
422,25.0
423,23.0
424,9.0
425,25.0
426,18.0
427,21.0
428,17.0
429,22.0
430,21.0
431,14.0
432,24.0
433,19.0
434,23.0
435,16.0
436,20.0
437,21.0
438,30.0
439,24.0
440,12.0
441,12.0
442,11.0
443,22.0
444,14.0
445,16.0
446,9.0
447,24.0
448,15.0
449,15.0
450,14.0
451,20.0
452,32.0
453,23.0
454,27.0
455,14.0
456,26.0
457,12.0
458,15.0
459,18.0
460,58.0
461,32.0
462,42.0
463,31.0
464,42.0
465,37.0
466,31.0
467,24.0
468,22.0
469,16.0
470,6.0
471,10.0
472,11.0
473,6.0
474,10.0
475,5.0
476,3.0
477,12.0
478,5.0
479,10.0
480,9.0
481,2.0
482,10.0
483,8.0
484,2.0
485,9.0
486,18.0
487,16.0
488,18.0
489,18.0
490,21.0
491,24.0
492,15.0
493,26.0
494,18.0
495,29.0
496,22.0
497,26.0
498,27.0
499,34.0
500,29.0
501,37.0
502,40.0
503,35.0
504,30.0
505,34.0
506,23.0
507,17.0
508,21.0
509,18.0
510,29.0
511,23.0
512,16.0
513,9.0
514,15.0
515,7.0
516,14.0
517,16.0
518,14.0
519,20.0
520,25.0
521,13.0
522,29.0
523,26.0
524,40.0
525,23.0
526,15.0
527,22.0
528,22.0
529,19.0
530,28.0
531,34.0
532,18.0
533,37.0
534,40.0
535,46.0
536,34.0
537,30.0
538,28.0
539,44.0
540,38.0
541,26.0
542,27.0
543,31.0
544,19.0
545,50.0
546,47.0
547,32.0
548,24.0
549,29.0
550,21.0
551,16.0
552,35.0
553,21.0
554,20.0
555,12.0
556,23.0
557,39.0
558,31.0
559,28.0
560,27.0
561,26.0
562,23.0
563,18.0
564,23.0
565,24.0
566,10.0
567,16.0
568,11.0
569,8.0
570,17.0
571,33.0
572,24.0
573,27.0
574,34.0
575,28.0
576,43.0
577,24.0
578,21.0
579,34.0
580,35.0
581,34.0
582,32.0
583,16.0
584,18.0
585,11.0
586,21.0
587,17.0
588,25.0
589,20.0
590,23.0
591,33.0
592,24.0
593,32.0
594,21.0
595,25.0
596,15.0
597,13.0
598,14.0
599,13.0
600,17.0
601,14.0
602,21.0
603,18.0
604,22.0
605,19.0
606,14.0
607,12.0
608,17.0
609,25.0
610,17.0
611,19.0
612,18.0
613,21.0
614,22.0
615,13.0
616,18.0
617,18.0
618,15.0
619,11.0
620,16.0
621,22.0
622,29.0
623,31.0
624,21.0
625,33.0
626,30.0
627,31.0
628,35.0
629,23.0
630,31.0
631,33.0
632,41.0
633,32.0
634,36.0
635,23.0
636,14.0
637,24.0
638,22.0
639,29.0
640,27.0
641,18.0
642,16.0
643,23.0
644,23.0
645,17.0
646,26.0
647,28.0
648,46.0
649,38.0
650,26.0
651,32.0
652,30.0
653,21.0
654,37.0
655,42.0
656,52.0
657,34.0
658,28.0
659,25.0
660,30.0
661,30.0
662,45.0
663,30.0
664,21.0
665,29.0
666,35.0
667,18.0
668,22.0
669,31.0
670,21.0
671,11.0
672,5.0
673,11.0
674,6.0
675,14.0
676,17.0
677,19.0
678,21.0
679,24.0
680,21.0
681,19.0
682,13.0
683,17.0
684,13.0
685,12.0
686,20.0
687,16.0
688,14.0
689,16.0
690,16.0
691,22.0
692,12.0
693,32.0
694,21.0
695,28.0
696,30.0
697,24.0
698,20.0
699,28.0
700,21.0
701,20.0
702,29.0
703,30.0
704,20.0
705,17.0
706,22.0
707,25.0
708,15.0
709,18.0
710,14.0
711,14.0
712,23.0
713,22.0
714,23.0
715,25.0
716,22.0
717,43.0
718,31.0
719,40.0
720,51.0
721,40.0
722,35.0
723,43.0
724,40.0
725,28.0
726,26.0
727,34.0
728,38.0
729,32.0
730,23.0
731,33.0
732,22.0
733,23.0
734,20.0
735,21.0
736,24.0
737,32.0
738,26.0
739,12.0
740,13.0
741,19.0
742,19.0
743,28.0
744,18.0
745,9.0
746,12.0
747,16.0
748,10.0
749,15.0
750,23.0
751,15.0
752,16.0
753,30.0
754,50.0
755,64.0
756,37.0
757,42.0
758,64.0
759,44.0
760,42.0
761,38.0
762,45.0
763,53.0
764,44.0
765,37.0
766,26.0
767,28.0
768,12.0
769,16.0
770,13.0
771,16.0
772,11.0
773,12.0
774,6.0
775,8.0
776,6.0
777,7.0
778,5.0
779,10.0
780,12.0
781,5.0
782,3.0
783,9.0
784,13.0
785,18.0
786,22.0
787,22.0
788,22.0
789,27.0
790,26.0
791,24.0
792,47.0
793,35.0
794,36.0
795,27.0
796,32.0
797,30.0
798,27.0
799,25.0
800,22.0
801,26.0
802,28.0
803,25.0
804,35.0
805,25.0
806,19.0
807,30.0
808,33.0
809,23.0
810,31.0
811,38.0
812,25.0
813,24.0
814,18.0
815,25.0
816,30.0
817,23.0
818,22.0
819,16.0
820,18.0
821,20.0
822,26.0
823,39.0
824,30.0
825,16.0
826,16.0
827,14.0
828,26.0
829,20.0
830,36.0
831,41.0
832,13.0
833,13.0
834,17.0
835,24.0
836,29.0
837,32.0
838,31.0
839,29.0
840,31.0
841,32.0
842,45.0
843,42.0
844,29.0
845,36.0
846,30.0
847,29.0
848,26.0
849,18.0
850,24.0
851,25.0
852,17.0
853,12.0
854,12.0
855,8.0
856,3.0
857,11.0
858,13.0
859,3.0
860,7.0
861,10.0
862,9.0
863,9.0
864,13.0
865,10.0
866,0.0
867,17.0
868,14.0
869,6.0
870,17.0
871,22.0
872,19.0
873,14.0
874,24.0
875,43.0
876,34.0
877,25.0
878,54.0
879,46.0
880,42.0
881,19.0
882,41.0
883,44.0
884,25.0
885,23.0
886,26.0
887,17.0
888,39.0
889,24.0
890,26.0
891,28.0
892,39.0
893,53.0
894,46.0
895,20.0
896,20.0
897,20.0
898,13.0
899,22.0
900,12.0
901,7.0
902,23.0
903,20.0
904,31.0
905,10.0
906,24.0
907,15.0
908,34.0
909,21.0
910,17.0
911,43.0
912,26.0
913,25.0
914,12.0
915,27.0
916,12.0
917,22.0
918,13.0
919,20.0
920,20.0
921,17.0
922,13.0
923,16.0
924,16.0
925,12.0
926,14.0
927,7.0
928,11.0
929,7.0
930,12.0
931,12.0
932,10.0
933,15.0
934,20.0
935,25.0
936,45.0
937,51.0
938,40.0
939,35.0
940,15.0
941,27.0
942,17.0
943,15.0
944,28.0
945,23.0
946,16.0
947,36.0
948,33.0
949,32.0
950,26.0
951,17.0
952,12.0
953,12.0
954,11.0
955,14.0
956,8.0
957,6.0
958,4.0
959,9.0
960,16.0
961,9.0
962,10.0
963,17.0
964,19.0
965,20.0
966,7.0
967,11.0
968,16.0
969,23.0
970,27.0
971,34.0
972,40.0
973,47.0
974,36.0
975,46.0
976,65.0
977,74.0
978,92.0
979,34.0
980,34.0
981,32.0
982,26.0
983,30.0
984,32.0
985,20.0
986,26.0
987,9.0
988,16.0
989,14.0
990,12.0
991,12.0
992,19.0
993,18.0
994,13.0
995,10.0
996,10.0
997,11.0
998,15.0
999,16.0
1000,16.0
1001,18.0
1002,24.0
1003,18.0
1004,14.0
1005,21.0
1006,34.0
1007,23.0
1008,14.0
1009,10.0
1010,17.0
1011,9.0
1012,12.0
1013,7.0
1014,5.0
1015,9.0
1016,12.0
1017,3.0
1018,5.0
1019,19.0
1020,15.0
1021,23.0
1022,15.0
1023,14.0
1024,15.0
1025,22.0
1026,9.0
1027,18.0
1028,27.0
1029,22.0
1030,24.0
1031,27.0
1032,32.0
1033,16.0
1034,14.0
1035,16.0
1036,14.0
1037,9.0
1038,18.0
1039,31.0
1040,30.0
1041,27.0
1042,13.0
1043,15.0
1044,25.0
1045,33.0
1046,29.0
1047,44.0
