Step,Value
0,1441.0
1,1435.0
2,1423.0
3,1492.0
4,1482.0
5,1480.0
6,1455.0
7,2.0
8,0.0
9,1506.0
10,1522.0
11,1454.0
12,1579.0
13,1578.0
14,0.0
15,1580.0
16,1569.0
17,1544.0
18,1.0
19,1560.0
20,1531.0
21,1565.0
22,1586.0
23,1569.0
24,1558.0
25,1.0
26,0.0
27,1565.0
28,1.0
29,1563.0
30,1.0
31,1547.0
32,1568.0
33,1582.0
34,1.0
35,1523.0
36,1498.0
37,0.0
38,1497.0
39,0.0
40,0.0
41,0.0
42,1473.0
43,10.0
44,1428.0
45,1480.0
46,1452.0
47,1427.0
48,1450.0
49,1459.0
50,1429.0
51,0.0
52,1485.0
53,1439.0
54,1.0
55,1375.0
56,1516.0
57,1413.0
58,1.0
59,1454.0
60,1471.0
61,1477.0
62,1412.0
63,1466.0
64,1499.0
65,1496.0
66,1.0
67,1369.0
68,1490.0
69,16.0
70,1493.0
71,2.0
72,1501.0
73,0.0
74,1500.0
75,1.0
76,0.0
77,0.0
78,1462.0
79,1455.0
80,1466.0
81,1488.0
82,1490.0
83,2.0
84,1500.0
85,1510.0
86,1500.0
87,11.0
88,0.0
89,1495.0
90,1478.0
91,1498.0
92,1484.0
93,1487.0
94,1480.0
95,1486.0
96,1477.0
97,2.0
98,0.0
99,1496.0
100,2.0
101,1501.0
102,1527.0
103,1554.0
104,1512.0
105,1526.0
106,1506.0
107,1525.0
108,1.0
109,1543.0
110,1549.0
111,0.0
112,1517.0
113,0.0
114,1511.0
115,1515.0
116,0.0
117,0.0
118,1534.0
119,2.0
120,1444.0
121,1530.0
122,1563.0
123,0.0
124,0.0
125,1514.0
126,1470.0
127,1531.0
128,0.0
129,1527.0
130,1525.0
131,1511.0
132,0.0
133,1518.0
134,1528.0
135,1500.0
136,2.0
137,0.0
138,0.0
139,0.0
140,1565.0
141,1526.0
142,1.0
143,0.0
144,1515.0
145,1.0
146,1544.0
147,1476.0
148,1541.0
149,1503.0
150,1562.0
151,1542.0
152,1526.0
153,1441.0
154,1533.0
155,1521.0
156,1511.0
157,1483.0
158,1501.0
159,0.0
160,0.0
161,0.0
162,1539.0
163,1504.0
164,1478.0
165,2.0
166,1507.0
167,1501.0
168,1516.0
169,1513.0
170,1496.0
171,1488.0
172,1495.0
173,1483.0
174,1484.0
175,1506.0
176,4.0
177,1479.0
178,10.0
179,1531.0
180,1544.0
181,1559.0
182,1531.0
183,1522.0
184,1537.0
185,1532.0
186,1548.0
187,1574.0
188,1553.0
189,1542.0
190,1535.0
191,4.0
192,1543.0
193,1.0
194,1564.0
195,1561.0
196,1535.0
197,1533.0
198,0.0
199,1541.0
200,5.0
201,1549.0
202,1499.0
203,1515.0
204,1521.0
205,1491.0
206,1505.0
207,1466.0
208,1473.0
209,1501.0
210,1413.0
211,1478.0
212,1451.0
213,1407.0
214,1486.0
215,1492.0
216,1442.0
217,1351.0
218,1433.0
219,1464.0
220,1474.0
221,1455.0
222,1389.0
223,1489.0
224,1462.0
225,1.0
226,1367.0
227,1484.0
228,1468.0
229,1479.0
230,1459.0
231,1469.0
232,1457.0
233,4.0
234,0.0
235,1447.0
236,1449.0
237,0.0
238,1468.0
239,0.0
240,1465.0
241,1459.0
242,3.0
243,1371.0
244,1494.0
245,1381.0
246,1467.0
247,1481.0
248,1453.0
249,1483.0
250,1469.0
251,1431.0
252,1478.0
253,1458.0
254,1473.0
255,1488.0
256,1489.0
257,1439.0
258,1455.0
259,0.0
260,0.0
261,1308.0
262,10.0
263,0.0
264,0.0
265,1463.0
266,0.0
