Step,Value
0,1792000.0
1,1792000.0
2,2508800.0
3,4864000.0
4,4864000.0
5,10956800.0
6,10240000.0
7,8448000.0
8,12851200.0
9,12748800.0
10,8448000.0
11,7680000.0
12,5888000.0
13,3225600.0
14,0.0
15,409600.0
16,665600.0
17,3993600.0
18,2508800.0
19,4198400.0
20,3788800.0
21,4096000.0
22,4556800.0
23,6195200.0
24,3840000.0
25,563200.0
26,4608000.0
27,5683200.0
28,5222400.0
29,6041600.0
30,5785600.0
31,6553600.0
32,8908800.0
33,4096000.0
34,7577600.0
35,8652800.0
36,5990400.0
37,2816000.0
38,4147200.0
39,1587200.0
40,3993600.0
41,4352000.0
42,4505600.0
43,4044800.0
44,7475200.0
45,7833600.0
46,11059200.0
47,10700800.0
48,10854400.0
49,7321600.0
50,7987200.0
51,5324800.0
52,5120000.0
53,3328000.0
54,2252800.0
55,3635200.0
56,3686400.0
57,7577600.0
58,7884800.0
59,6195200.0
60,6604800.0
61,7526400.0
62,5427200.0
63,8294400.0
64,5427200.0
65,5632000.0
66,3584000.0
67,4147200.0
68,2150400.0
69,2099200.0
70,8243200.0
71,6707200.0
72,6092800.0
73,5529600.0
74,6092800.0
75,6451200.0
76,8396800.0
77,8345600.0
78,8448000.0
79,9062400.0
80,5939200.0
81,10496000.0
82,7782400.0
83,6963200.0
84,8243200.0
85,4915200.0
86,7475200.0
87,5427200.0
88,4454400.0
89,6246400.0
90,3942400.0
91,3584000.0
92,5017600.0
93,5734400.0
94,5939200.0
95,5478400.0
96,307200.0
97,2252800.0
98,4505600.0
99,4966400.0
100,8960000.0
101,9318400.0
102,9318400.0
103,8140800.0
104,8192000.0
105,9728000.0
106,7526400.0
107,5683200.0
108,6041600.0
109,6860800.0
110,3584000.0
111,2252800.0
112,5580800.0
113,2560000.0
114,4659200.0
115,5171200.0
116,10240000.0
117,10598400.0
118,7116800.0
119,13824000.0
120,10291200.0
121,9420800.0
122,7475200.0
123,3123200.0
124,3225600.0
125,4505600.0
126,1536000.0
127,2816000.0
128,4044800.0
129,8601600.0
130,7270400.0
131,8294400.0
132,7065600.0
133,5888000.0
134,9625600.0
135,10649600.0
136,6400000.0
137,6400000.0
138,7526400.0
139,5427200.0
140,8960000.0
141,7782400.0
142,5324800.0
143,8908800.0
144,11878400.0
145,4966400.0
146,7884800.0
147,9216000.0
148,5222400.0
149,1536000.0
150,8448000.0
151,7116800.0
152,6144000.0
153,12236800.0
154,4454400.0
155,5068800.0
156,7219200.0
157,4812800.0
158,3788800.0
159,3020800.0
160,2048000.0
161,5017600.0
162,5120000.0
163,4198400.0
164,6348800.0
165,6451200.0
166,5836800.0
167,10240000.0
168,6809600.0
169,768000.0
170,7219200.0
171,8601600.0
172,6758400.0
173,4812800.0
174,4147200.0
175,3891200.0
176,2662400.0
177,3584000.0
178,2764800.0
179,6860800.0
180,5427200.0
181,3225600.0
182,5120000.0
183,5632000.0
184,3225600.0
185,2355200.0
186,3532800.0
187,4249600.0
188,3328000.0
189,7936000.0
190,4966400.0
191,8345600.0
192,9625600.0
193,9011200.0
194,7014400.0
195,7219200.0
196,5324800.0
197,6400000.0
198,7168000.0
199,8806400.0
200,6502400.0
201,5376000.0
