Step,Value
0,105823.4765625
1,16043999.0
2,67204.875
3,90489.25
4,2236104.75
5,213532.25
6,10216391.0
7,14905379.0
8,217350.859375
9,7881313.0
10,9786447.0
11,15270745.0
12,170703.546875
13,3577938.5
14,10076606.0
15,176708.375
16,14580473.0
17,2895378.75
18,10927396.0
19,739761.3125
20,672440.0
21,217679.78125
22,12709724.0
23,219506.90625
24,9180786.0
25,19462010.0
26,19318964.0
27,4387460.5
28,523424.8125
29,17835072.0
30,2661580.5
31,18229398.0
32,2019511.0
33,951399.0625
34,219530.34375
35,19176236.0
36,1582407.5
37,4971186.0
38,241966.78125
39,145376.28125
40,5336541.5
41,3090123.5
42,8947714.0
43,9838832.0
44,7708146.5
45,16430292.0
46,1161302.0
47,110476.328125
48,17946142.0
49,1907303.5
50,11256806.0
51,12851944.0
52,5700342.0
53,6666667.0
54,1525675.75
55,19491642.0
56,89280.84375
57,19461676.0
58,13456451.0
59,14199899.0
60,4603940.0
61,222102.484375
62,79668.859375
63,217350.96875
64,17766128.0
65,17399322.0
66,363842.5625
67,202969.375
68,9944763.0
69,200898.40625
70,1148152.25
71,997840.25
72,217350.859375
73,2021203.5
74,3325085.25
75,329599.5
76,217350.859375
77,4031813.25
78,6945868.0
79,125736.7734375
80,18299230.0
81,2717808.75
82,8091352.5
83,3056403.75
84,1928362.5
85,6666667.0
86,1792803.75
87,19022270.0
88,2074924.25
89,265110.59375
90,289174.53125
91,109421.7578125
92,3889633.0
93,95567.890625
94,697661.0625
95,18936816.0
96,217350.859375
97,2411475.75
98,9944763.0
99,987733.0
100,14219937.0
101,86075.4609375
102,18579970.0
103,18461760.0
104,117570.0390625
105,3913268.25
106,12128897.0
107,8856319.0
108,1332827.625
109,9944763.0
110,237985.65625
111,19515046.0
112,8739852.0
113,8325801.0
114,1000740.6875
115,6965939.0
116,1267789.125
117,19565294.0
118,8096942.5
119,217350.859375
120,11390040.0
121,14878441.0
122,7141683.5
123,440246.25
124,18298442.0
125,2865415.75
126,219088.53125
127,1923285.875
128,3114073.25
129,851397.125
130,283648.375
131,416304.25
132,19565298.0
133,10215486.0
134,18830686.0
135,16555080.0
136,19563878.0
137,208041.828125
138,7757265.5
139,19526434.0
140,19225184.0
141,18982494.0
142,19546566.0
143,9944763.0
144,12307733.0
145,17446138.0
146,11787082.0
147,19383592.0
148,18410746.0
149,114686.625
150,18493520.0
151,288173.75
152,1081195.375
153,12244545.0
154,446628.90625
155,6957212.5
156,315190.84375
157,4333944.5
158,5173614.0
159,6741405.0
160,1943330.125
161,5928005.5
162,7803982.0
163,16220316.0
164,3944845.5
165,295354.09375
166,18318278.0
167,16868326.0
168,7723152.0
169,3655301.75
170,3526335.25
171,17175918.0
172,17232404.0
173,4361026.5
174,11455921.0
175,10059047.0
176,18002476.0
177,16030608.0
178,123440.0703125
179,3453755.0
180,17714290.0
181,14292161.0
182,130301.90625
183,485381.90625
184,2812830.75
185,16296054.0
186,19262028.0
187,10680979.0
188,151099.234375
189,5034645.0
190,15610107.0
191,12096024.0
192,892934.875
193,18749138.0
194,124598.9375
195,1327415.75
196,1013342.0
197,1238629.75
198,12487608.0
199,991591.0
200,18962616.0
201,18611712.0
202,19564532.0
203,15239754.0
204,13661865.0
205,16045096.0
206,11354835.0
207,1943569.125
208,7240633.0
209,10015718.0
210,18564960.0
211,10078633.0
212,7211251.5
213,18845374.0
214,1668242.125
215,9760144.0
216,17886332.0
217,18754142.0
218,16179621.0
219,518053.25
220,15267829.0
221,392894.03125
222,6681710.5
223,267694.0
224,10763140.0
225,18805166.0
226,8472439.0
227,15817959.0
228,3252812.25
229,10449517.0
230,9327960.0
231,14322900.0
232,17011174.0
233,18102016.0
234,19493622.0
235,2707102.25
236,14889333.0
237,2212543.25
238,4428201.5
239,14641825.0
240,13590794.0
241,2041239.75
242,4024852.75
243,4257256.5
244,833621.0
245,4942730.5
246,485161.6875
247,7450595.5
248,4337401.5
249,15933836.0
250,8246791.5
251,473737.59375
252,13088655.0
253,6287394.0
254,4599081.5
255,10299020.0
256,9835904.0
257,17806454.0
258,8653058.0
259,16710089.0
260,11560922.0
261,10580928.0
262,18335380.0
263,10605863.0
264,18280690.0
265,11358238.0
266,17583382.0
267,8756003.0
268,17652262.0
269,7213867.5
270,12703333.0
271,400492.5625
272,8135370.0
273,13247993.0
274,4125683.0
275,11061484.0
276,12784158.0
277,13785635.0
278,8685558.0
279,5649390.0
280,14493886.0
281,17392730.0
282,17030784.0
283,17506004.0
284,14122578.0
285,15951881.0
286,1495488.875
287,9106337.0
288,7414537.0
289,6394763.5
290,3794183.75
291,4279826.5
292,6581492.5
293,12685664.0
294,17680446.0
295,3445679.5
296,6747372.0
297,3538131.75
298,8538936.0
299,1724691.0
300,3593830.5
301,14321957.0
302,3224429.25
303,1365127.125
304,14243834.0
305,17093720.0
306,14551395.0
307,10668855.0
308,12038527.0
309,18782536.0
310,18213520.0
311,14723606.0
312,12633477.0
313,7503869.0
314,13179256.0
315,7576956.5
316,18537954.0
317,15634264.0
318,4092487.75
319,6262970.5
320,12063637.0
321,1893545.25
322,7536985.5
323,3668697.25
324,6113274.5
325,11648214.0
326,13837539.0
327,9561147.0
328,17323256.0
329,14646202.0
330,18008366.0
331,10197461.0
332,6645636.5
333,8733215.0
334,12822437.0
335,5558221.5
336,14434512.0
337,7691677.0
338,13718737.0
339,12996588.0
340,9565399.0
341,10146488.0
342,17230052.0
343,5570926.0
344,13273218.0
345,15944113.0
346,10926727.0
347,8675247.0
348,9308268.0
349,4526127.5
350,10923296.0
351,11060920.0
352,6749654.5
353,9070320.0
354,12643890.0
355,13318015.0
356,7096848.5
357,8898063.0
358,11025732.0
359,6101441.0
360,4677111.0
361,8129687.5
362,5661806.0
363,11357933.0
364,6891009.0
365,10664480.0
366,17189644.0
367,18044048.0
368,16129141.0
369,5988031.5
370,12430793.0
371,6665873.0
372,6350522.5
373,8176121.0
374,6758722.5
375,4246186.0
376,6243056.0
377,9665699.0
378,1177848.75
379,3566924.75
380,5812213.5
381,14058452.0
382,9747078.0
383,12570726.0
384,7059067.0
385,4738253.5
386,3673853.25
387,4113742.0
388,6326072.0
389,8387423.0
390,7510184.5
391,6277286.0
392,11455433.0
393,4635310.0
394,16415396.0
395,12075530.0
396,7836005.0
397,10665557.0
398,3189075.5
399,9578404.0
400,5890110.0
401,13521180.0
402,2584285.5
403,3377346.5
404,3884848.75
405,5571850.0
406,6373346.5
407,12462680.0
408,10293533.0
409,12476635.0
410,16959568.0
411,11890264.0
412,16032414.0
413,16596377.0
414,14132717.0
415,11001108.0
416,11169165.0
417,10886339.0
418,15548781.0
419,3362906.0
420,7577947.0
421,7342177.5
422,3557963.75
423,3503023.75
424,12146753.0
425,9964675.0
426,13733495.0
427,11138421.0
428,12706329.0
429,15495528.0
430,15419739.0
431,12974191.0
432,9158357.0
433,5563352.0
434,12320200.0
435,10693733.0
436,7485147.0
437,7522336.0
438,6206349.5
439,6865037.0
440,13820854.0
441,5142278.0
442,11518536.0
443,9237428.0
444,10828422.0
445,15005974.0
446,8028851.5
447,10054328.0
448,12396917.0
449,12882879.0
450,6688955.5
451,13130996.0
452,13308641.0
453,15520626.0
454,12063596.0
455,9164683.0
456,11428078.0
457,11728209.0
458,12135626.0
459,11997679.0
460,12718806.0
461,15418416.0
462,13840362.0
463,10977734.0
464,6500289.0
465,12858727.0
466,12147127.0
467,12750301.0
468,4840159.0
469,5379255.5
470,2165651.0
471,5378086.5
472,6164706.0
473,3229677.0
474,5875556.0
475,8215631.0
