Step,Value
0,39939.78125
1,138145.1875
2,49514.63671875
3,55044.171875
4,879129.75
5,108675.4296875
6,4439446.5
7,6343140.0
8,108675.4296875
9,933451.8125
10,346872.71875
11,53831.5390625
12,5571887.5
13,1728148.5
14,60529.04296875
15,192421.578125
16,3063912.5
17,9256447.0
18,1816090.75
19,1683241.875
20,697117.3125
21,126625.609375
22,39484.29296875
23,6714419.5
24,1450864.25
25,51090.3046875
26,145474.6875
27,201429.40625
28,5273922.0
29,444742.5625
30,9471965.0
31,54532.68359375
32,2778326.25
33,4958204.0
34,6036997.5
35,4030690.0
36,1011148.8125
37,1435751.375
38,9782627.0
39,219052.078125
40,1521448.75
41,105304.03125
42,152197.28125
43,2047874.875
44,251575.15625
45,161241.90625
46,324791.375
47,3570414.25
48,75572.890625
49,573404.3125
50,108675.4296875
51,195583.59375
52,4507041.5
53,6530656.0
54,196776.796875
55,9632982.0
56,1411245.375
57,6994198.0
58,7876779.5
59,1277049.0
60,52096.3671875
61,4191811.0
62,43995.7421875
63,98018.0625
64,9467106.0
65,37944.5
66,1206470.75
67,6037988.5
68,337349.25
69,4112669.75
70,6786070.0
71,185369.53125
72,7336207.0
73,9175143.0
74,1297565.0
75,81571.2109375
76,139308.171875
77,8715476.0
78,6872827.0
79,6904914.5
80,4972381.5
81,90286.71875
82,9782649.0
83,4972381.5
84,9769899.0
85,956259.5625
86,54900.4453125
87,4797633.5
88,162096.0
89,2438505.25
90,55238.1640625
91,5462256.5
92,3333333.5
93,9465635.0
94,93531.5625
95,167042.03125
96,682962.5625
97,910004.3125
98,9619666.0
99,4492671.0
100,8608667.0
101,9726315.0
102,177920.734375
103,8332373.0
104,9782286.0
105,5305191.5
106,8195534.5
107,1084648.625
108,40793.84375
109,9664959.0
110,4970470.0
111,9105635.0
112,3150011.25
113,9782649.0
114,8319370.5
115,8991244.0
116,9782649.0
117,125420.171875
118,2820769.0
119,9780506.0
120,1433668.625
121,3013207.5
122,390979.0
123,3072627.75
124,4937026.0
125,88790.4765625
126,504370.8125
127,1160166.625
128,2005334.0
129,504895.21875
130,166894.140625
131,1151317.75
132,4419992.0
133,239306.546875
134,3156569.25
135,7895733.5
136,4090982.5
137,9748834.0
138,7244103.0
139,159230.15625
140,3042806.75
141,7697158.0
142,9762329.0
143,1808629.375
144,1020356.625
145,3867368.75
146,3281789.0
147,2959500.75
148,202302.0
149,2539874.5
150,6697078.5
151,2873404.25
152,80905.0234375
153,139412.59375
154,6626377.0
155,2543385.5
156,1211427.875
157,4879738.0
158,4950383.5
159,5444600.0
160,2338790.25
161,9738231.0
162,5102280.5
163,7743490.5
164,896479.875
165,3325616.75
166,197388.796875
167,4552661.0
168,4999496.5
169,6774816.0
170,6204716.5
171,6341822.5
172,394927.84375
173,2539055.0
174,1941480.0
175,8281978.5
176,153375.0625
177,374391.21875
178,1571244.5
179,9429365.0
180,5302669.0
181,7644846.0
182,3847716.25
183,4511594.0
184,7675985.5
185,9494677.0
186,303785.8125
187,121339.96875
188,8298827.5
189,202129.3125
190,1209245.5
191,7902022.0
192,9738268.0
193,3664285.5
194,7007456.0
195,2731748.25
196,798422.625
197,6767814.0
198,6706063.0
199,7836672.0
200,6458871.0
201,9080925.0
202,680319.375
203,473667.90625
204,4880893.0
205,217878.9375
206,6832393.5
207,1861015.75
208,6439286.0
209,8026871.5
210,9510272.0
211,6759200.0
212,1408507.625
213,9080630.0
214,7810201.5
215,2059750.25
216,3504052.75
217,6203570.0
218,275411.78125
219,436197.59375
220,2968861.25
221,3815192.0
222,6667258.0
223,3488830.0
224,6732195.5
225,5762859.5
226,5876704.5
227,8399922.0
228,7831154.5
229,8760476.0
230,5208586.0
231,5368343.0
232,6744194.0
233,9400314.0
234,4891794.5
235,337369.875
236,3302916.5
237,853114.0
238,1690451.25
239,172606.75
240,1320260.375
241,6467813.5
242,531352.6875
243,9449838.0
244,9613470.0
245,6334449.5
246,9567570.0
247,9409231.0
248,8244823.0
249,9765800.0
250,3967736.0
251,5407575.5
252,8064005.5
253,9024835.0
254,8618093.0
255,6776243.0
256,1903805.125
257,8684674.0
258,2150701.5
259,6097779.5
260,4971455.5
261,190914.515625
262,9776502.0
263,1217463.25
264,8569121.0
265,1774409.375
266,6936552.5
267,7742417.0
268,7685166.0
269,2305206.5
270,4848633.0
271,7282839.5
272,9158471.0
273,8375497.0
274,4864562.0
275,1762605.75
276,7932756.0
277,4456305.5
278,3828590.5
279,3633068.25
280,5503413.5
281,1220687.375
282,4296541.5
283,2549322.5
284,8039900.5
285,3028747.5
286,6668865.5
287,9069342.0
288,1986900.0
289,4550856.0
290,9504130.0
291,2048011.875
292,4995508.0
293,9047576.0
294,5493937.0
295,9737092.0
296,830175.8125
297,4599074.0
298,3154433.0
299,8216383.5
300,6774033.5
301,9365394.0
302,8880457.0
303,4053288.75
304,2357855.25
305,3952203.75
306,1673463.0
307,5167277.0
308,7619071.5
309,555863.5
310,1144834.25
311,3817694.5
312,228971.203125
313,2542089.0
314,2646008.5
315,7436177.0
316,9412813.0
317,4681641.0
318,9497942.0
319,9652162.0
320,5216388.0
321,8451842.0
322,3040755.75
323,8856568.0
324,8604828.0
325,1183025.375
326,679908.5
327,2512120.5
328,2879526.0
329,156284.109375
330,7554209.0
331,4734849.0
332,9133596.0
333,5258377.0
334,6719581.0
335,3205945.5
336,5208162.5
337,677130.75
338,6105372.5
339,5484248.0
340,7341119.5
341,5624185.0
342,6050516.0
343,612892.1875
344,8464564.0
345,7828055.5
346,7568074.5
347,1799398.625
348,4638135.5
349,1562663.875
350,3011352.75
351,2203030.25
352,1091909.375
353,158573.40625
354,4129010.5
355,1163579.125
356,5887468.0
357,1799259.0
358,4333715.0
359,755932.375
360,8879629.0
361,5314754.0
362,9163084.0
363,8607808.0
364,5768736.5
365,2501990.0
366,7371995.0
367,7364313.5
368,6948771.0
369,6237239.0
370,5397212.5
371,2972645.25
372,6095476.0
373,4657816.5
374,1577038.0
375,6122688.0
376,5956100.0
377,7589867.0
378,6755044.0
379,3176806.0
