Step,Value
0,1441.0
1,1340.0
2,1451.0
3,1482.0
4,1488.0
5,0.0
6,1466.0
7,1483.0
8,1469.0
9,1525.0
10,1555.0
11,1540.0
12,6.0
13,1557.0
14,1570.0
15,1570.0
16,1569.0
17,1.0
18,1516.0
19,1562.0
20,1.0
21,1566.0
22,1578.0
23,1557.0
24,1557.0
25,1556.0
26,1.0
27,0.0
28,1561.0
29,1554.0
30,1570.0
31,1569.0
32,1560.0
33,1556.0
34,1499.0
35,1545.0
36,1521.0
37,1487.0
38,2.0
39,1367.0
40,1506.0
41,1502.0
42,1443.0
43,1464.0
44,3.0
45,1448.0
46,1482.0
47,1432.0
48,1454.0
49,1472.0
50,5.0
51,0.0
52,1473.0
53,1.0
54,1482.0
55,1379.0
56,1490.0
57,1478.0
58,0.0
59,0.0
60,1495.0
61,1485.0
62,1423.0
63,1501.0
64,1395.0
65,1470.0
66,1468.0
67,0.0
68,1488.0
69,2.0
70,0.0
71,0.0
72,1486.0
73,1404.0
74,1.0
75,1482.0
76,1518.0
77,1.0
78,0.0
79,1459.0
80,1478.0
81,1.0
82,0.0
83,1481.0
84,0.0
85,1494.0
86,1503.0
87,1540.0
88,1441.0
89,1477.0
90,1496.0
91,1463.0
92,1489.0
93,1427.0
94,1525.0
95,1477.0
96,1488.0
97,3.0
98,1393.0
99,1497.0
100,1512.0
101,0.0
102,1437.0
103,1532.0
104,0.0
105,0.0
106,1519.0
107,1516.0
108,1511.0
109,4.0
110,1541.0
111,1490.0
112,1537.0
113,9.0
114,1500.0
115,1508.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,1561.0
123,1527.0
124,15.0
125,0.0
126,1506.0
127,1521.0
128,1.0
129,1500.0
130,2.0
131,1501.0
132,0.0
133,0.0
134,1515.0
135,1488.0
136,2.0
137,0.0
138,1533.0
139,1558.0
140,1.0
141,1533.0
142,1.0
143,1499.0
144,1515.0
145,1528.0
146,0.0
147,0.0
148,1534.0
149,3.0
150,1536.0
151,1540.0
152,1536.0
153,1556.0
154,2.0
155,1539.0
156,2.0
157,1499.0
158,1493.0
159,1.0
160,1513.0
161,0.0
162,1543.0
163,1507.0
164,1479.0
165,1513.0
166,1521.0
167,1503.0
168,1512.0
169,1500.0
170,1491.0
171,1491.0
172,1504.0
173,1484.0
174,1490.0
175,1512.0
176,1483.0
177,1514.0
178,1496.0
179,10.0
180,1553.0
181,1513.0
182,1548.0
183,1527.0
184,1515.0
185,1490.0
186,1506.0
187,1505.0
188,1529.0
189,1550.0
190,1496.0
191,1539.0
192,1481.0
193,1542.0
194,1560.0
195,1550.0
196,1566.0
197,1531.0
198,1528.0
199,1559.0
200,1570.0
201,1492.0
202,0.0
203,0.0
204,0.0
205,1501.0
206,2.0
207,1524.0
208,1477.0
209,1484.0
210,1411.0
211,1475.0
212,1452.0
213,1488.0
214,1454.0
215,1467.0
216,1433.0
217,1466.0
218,1460.0
219,1462.0
220,1439.0
221,1490.0
222,1476.0
223,1485.0
224,1459.0
225,1487.0
226,1463.0
227,1485.0
228,1434.0
229,1453.0
230,1459.0
231,1459.0
232,1443.0
233,0.0
234,1336.0
235,0.0
236,1440.0
237,2.0
238,1326.0
239,1367.0
240,3.0
241,1467.0
242,0.0
243,0.0
244,1383.0
245,1500.0
246,1488.0
247,1454.0
248,2.0
249,0.0
250,1492.0
251,1485.0
252,1492.0
253,3.0
254,1459.0
255,1475.0
256,1500.0
257,0.0
258,0.0
259,1458.0
260,1460.0
261,1463.0
262,0.0
263,1481.0
264,1475.0
265,1471.0
266,1448.0
267,1510.0
268,1508.0
269,1504.0
270,1474.0
271,1419.0
272,1478.0
273,1497.0
274,1494.0
275,1477.0
276,1460.0
277,1509.0
278,1466.0
279,1467.0
280,1496.0
281,1474.0
282,1449.0
283,1496.0
284,1508.0
285,1521.0
286,1507.0
287,1555.0
288,1563.0
289,1522.0
290,1481.0
291,1537.0
292,1513.0
293,1533.0
294,1519.0
295,1.0
296,1511.0
297,1437.0
298,1490.0
299,1495.0
300,1490.0
301,1506.0
302,1479.0
303,1496.0
304,1502.0
305,1490.0
306,1482.0
307,1505.0
308,1477.0
309,1475.0
310,1449.0
311,1450.0
312,1496.0
313,1480.0
314,1394.0
315,1489.0
316,1511.0
317,1505.0
318,1508.0
319,4.0
320,1476.0
321,1492.0
322,1522.0
323,1529.0
324,1519.0
325,1511.0
326,1475.0
327,1481.0
328,1459.0
329,1457.0
330,1438.0
331,1448.0
332,1464.0
333,1449.0
334,1468.0
335,1485.0
336,1466.0
337,1467.0
338,1396.0
339,1470.0
340,1485.0
341,1467.0
342,1502.0
343,1480.0
344,1528.0
345,1475.0
346,1454.0
347,1466.0
348,1458.0
349,1468.0
350,1485.0
351,1461.0
352,1477.0
353,4.0
354,1463.0
355,1452.0
356,1465.0
357,1464.0
358,1491.0
359,1501.0
360,1514.0
361,1497.0
362,1488.0
363,1508.0
364,1498.0
365,1431.0
366,1527.0
367,1537.0
368,1525.0
369,1515.0
370,1551.0
371,1534.0
372,1568.0
373,1563.0
374,1544.0
375,1568.0
376,1570.0
377,1555.0
378,1551.0
379,1483.0
380,1520.0
381,1533.0
382,1558.0
383,1561.0
384,1543.0
385,1571.0
386,1570.0
387,1574.0
388,1565.0
389,1587.0
390,1560.0
391,1559.0
392,1546.0
393,1514.0
394,1528.0
395,1529.0
396,1530.0
397,1547.0
398,1538.0
399,1559.0
400,1513.0
401,1498.0
402,1536.0
403,1537.0
404,1548.0
405,1566.0
406,1577.0
407,1553.0
408,1592.0
409,1620.0
410,1603.0
411,1613.0
412,1575.0
413,1582.0
414,1532.0
415,1552.0
416,1518.0
417,1526.0
418,1494.0
419,1487.0
420,1488.0
421,1498.0
422,1480.0
423,1469.0
424,1488.0
425,1464.0
426,1481.0
427,1441.0
428,1411.0
429,1428.0
430,1394.0
431,1427.0
432,1412.0
433,1443.0
434,1426.0
435,1391.0
436,1427.0
437,1419.0
438,1390.0
439,1435.0
440,1438.0
441,1459.0
442,1464.0
443,1460.0
444,1471.0
445,1482.0
446,1488.0
447,1524.0
448,1516.0
449,1518.0
450,1525.0
451,1499.0
452,1526.0
453,1523.0
454,1509.0
455,1513.0
456,1507.0
457,1514.0
458,1549.0
459,1540.0
460,1549.0
461,1544.0
462,1538.0
463,1580.0
464,1546.0
465,1520.0
466,1529.0
467,1547.0
468,1514.0
469,1516.0
470,1567.0
471,1518.0
472,1542.0
473,1511.0
474,1525.0
475,1521.0
476,1540.0
477,1583.0
478,1558.0
479,1518.0
480,1525.0
