Step,Value
0,52911.73828125
1,8021028.0
2,34618.7578125
3,48304.66015625
4,1105763.375
5,95389.96875
6,4972982.5
7,7398885.5
8,108675.4296875
9,3927148.5
10,4884155.0
11,7644027.0
12,82355.90625
13,1273573.5
14,4970751.5
15,85265.3203125
16,7278299.5
17,1357808.25
18,4943090.0
19,397518.65625
20,330569.1875
21,93507.3203125
22,6261103.0
23,109539.1875
24,4635870.0
25,9738850.0
26,9657444.0
27,2048134.0
28,258760.921875
29,9052186.0
30,1176901.125
31,9041110.0
32,979298.25
33,458711.53125
34,108977.6328125
35,9508823.0
36,830497.6875
37,2402711.0
38,118829.078125
39,72853.4140625
40,2623272.0
41,1486560.875
42,4437838.0
43,4920434.5
44,4370388.5
45,8182769.5
46,571489.4375
47,55238.1640625
48,8970859.0
49,959252.8125
50,4981648.5
51,6425037.0
52,2513647.75
53,3333333.5
54,750005.75
55,9746119.0
56,44281.421875
57,9741338.0
58,6724496.0
59,6294808.0
60,2289762.0
61,110773.984375
62,40034.78125
63,111154.6640625
64,8520884.0
65,8704513.0
66,181617.265625
67,80498.5234375
68,4972381.5
69,108675.4296875
70,458530.625
71,470776.75
72,108675.4296875
73,963259.25
74,1557627.375
75,164105.21875
76,108675.4296875
77,2025741.75
78,3471211.25
79,61897.65234375
80,9158494.0
81,1264482.625
82,4020157.25
83,1856813.375
84,958962.4375
85,3333333.5
86,888555.9375
87,9518777.0
88,975091.4375
89,131601.125
90,145319.234375
91,54766.05078125
92,1840799.75
93,46671.58203125
94,310207.4375
95,9494539.0
96,7267713.0
97,5451044.0
98,117740.78125
99,3782324.75
100,1729031.25
101,45978.2890625
102,73471.6484375
103,37072.75390625
104,881666.9375
105,7195158.5
106,3197491.75
107,53434.83203125
108,638925.3125
109,3406539.0
110,9389639.0
111,263840.75
112,98020.7265625
113,337098.28125
114,38328.05078125
115,283746.9375
116,305954.03125
117,7013210.5
118,9662867.0
119,54741.62890625
120,6332797.0
121,4691659.0
122,46767.21484375
123,9782249.0
124,108675.3671875
125,196404.796875
126,9713884.0
127,2756622.5
128,8940338.0
129,55238.1640625
130,4021405.5
131,7593785.0
132,1761745.25
133,163149.78125
134,643978.625
135,55238.1640625
136,52339.6484375
137,1495836.5
138,2694777.75
139,9776291.0
140,1714086.625
141,237365.5
142,41808.31640625
143,848152.0625
144,4594736.0
145,42590.37890625
146,1938117.25
147,3901103.5
148,4504286.0
149,1817414.875
150,754284.625
151,2735527.5
152,41144.30859375
153,1506485.625
154,8794008.0
155,97302.5078125
156,174988.75
157,55238.1640625
158,3734130.75
159,28648.923828125
160,5181264.5
161,2422001.25
162,2342612.25
163,210022.015625
164,9609445.0
165,9758601.0
166,4709055.5
167,300025.03125
168,170815.84375
169,9372566.0
170,9782649.0
171,1250820.5
172,1941792.125
173,4279519.5
174,366296.8125
175,5255504.5
176,1980293.25
177,6017894.5
178,25759.96875
179,309342.5625
180,1060884.125
181,1269561.625
182,4374417.0
183,9740427.0
184,9782066.0
185,170658.640625
186,9782649.0
187,7120315.0
188,309823.8125
189,4486261.5
190,9780325.0
191,971337.1875
192,2621027.75
193,80074.2265625
194,7177227.5
195,7692390.5
196,5279705.5
197,5150514.0
198,1859551.125
199,227827.609375
200,2311418.25
201,2837813.0
202,2621450.75
203,166631.75
204,5397926.0
205,7042645.0
206,1804958.75
207,6103183.5
208,9781600.0
209,4090041.5
210,9213639.0
211,644507.25
212,3452339.5
213,5792587.0
214,180653.109375
215,123767.1015625
216,3249758.75
217,6547291.5
218,1403733.5
219,482642.34375
220,530163.1875
221,9172360.0
222,77570.796875
223,1566255.5
224,7823258.0
225,5242086.0
226,9126242.0
227,4624741.5
228,3804391.25
229,3159842.75
230,589085.4375
231,8776068.0
232,101030.671875
233,1398293.25
234,5190897.5
235,939012.5625
236,167359.703125
237,522815.1875
238,445863.59375
239,3522837.5
240,1282764.125
241,7160187.5
242,3882809.25
243,3094168.5
244,3701985.25
245,5508981.0
246,9346697.0
247,9583941.0
248,8727766.0
249,762577.1875
250,1450512.25
251,7700690.5
252,5848205.5
253,451535.90625
254,85556.046875
255,203403.484375
256,45595.5703125
257,5704716.0
258,2395700.75
259,29065.732421875
260,9235333.0
261,204007.921875
262,4753425.5
263,4627544.5
264,9149269.0
265,9702139.0
266,8131860.5
267,7012211.5
268,541490.375
269,9511221.0
270,412290.28125
