Step,Value
0,3541637.75
1,52115.66015625
2,1094760.5
3,2556792.5
4,7788473.5
5,4384154.0
6,55238.15625
7,2533604.5
8,9782649.0
9,54009.48828125
10,231690.984375
11,2132582.5
12,143166.703125
13,80653.1953125
14,4974011.0
15,138335.859375
16,526412.125
17,3196637.75
18,4943090.0
19,28456.48828125
20,9334284.0
21,390087.6875
22,954313.375
23,107818.4140625
24,79961.140625
25,203684.703125
26,304791.46875
27,7156715.5
28,9696398.0
29,319277.15625
30,8787374.0
31,265888.0
32,103740.9609375
33,8403426.0
34,9782648.0
35,26671.951171875
36,1050165.375
37,7486089.5
38,4072334.5
39,9765599.0
40,7328021.5
41,8474011.0
42,54919.640625
43,4920434.5
44,481698.375
45,800802.9375
46,2794883.0
47,4972380.5
48,54135.64453125
49,256481.53125
50,3365940.75
51,3397179.75
52,1268751.0
53,3333333.5
54,9088066.0
55,60671.62890625
56,261889.9375
57,58509.37109375
58,3223781.25
59,1852596.375
60,5420476.0
61,106615.7578125
62,9671621.0
63,106250.28125
64,942225.0
65,56825.05859375
66,9753738.0
67,9547105.0
68,55238.171875
69,9782649.0
70,138361.265625
71,9431018.0
72,108675.4296875
73,8979018.0
74,152701.328125
75,9764198.0
76,9782649.0
77,7881410.0
78,3057578.25
79,7144319.0
80,265168.875
81,468319.78125
82,1066039.0
83,8064459.0
84,140887.640625
85,3333333.5
86,8222887.5
87,445218.34375
88,8992015.0
89,8859366.0
90,354928.03125
91,4322095.5
92,4079600.0
93,9371520.0
94,86555.2890625
95,70626.1171875
96,108675.4296875
97,8699381.0
98,4579941.5
99,7424612.5
100,2716976.0
101,4796190.5
102,218648.046875
103,160465.375
104,96834.9296875
105,4647555.0
106,1577689.0
107,185664.203125
108,6550418.5
109,55238.171875
110,40105.640625
111,87072.828125
112,3790817.0
113,639670.625
114,120802.5703125
115,55201.71484375
116,99259.296875
117,55123.09765625
118,55238.171875
119,9665484.0
120,574700.875
121,342350.46875
122,53684.5703125
123,9311823.0
124,287240.9375
125,386661.9375
126,96884.484375
127,6683522.5
128,4678159.0
129,805010.75
130,87807.0234375
131,478991.09375
132,108675.4296875
133,272767.5625
134,27427.529296875
135,35731.78125
136,103287.0
137,3285505.5
138,4366362.5
139,35772.8828125
140,110781.3671875
141,160939.828125
142,94605.9375
143,2814547.0
144,61343.15234375
145,212219.5
146,70278.5234375
147,46523.19140625
148,34569.578125
149,7660491.5
150,55997.3046875
151,1883618.25
152,269377.8125
153,41802.69140625
154,40850.09375
155,27505.916015625
156,94080.328125
157,98532.8828125
158,75983.359375
159,416812.90625
160,512511.3125
161,115631.0078125
162,114317.1015625
163,37696.55859375
164,164437.671875
165,2040983.75
166,43823.33203125
167,44190.1171875
168,45214.48046875
169,205233.984375
170,184986.375
171,109359.5234375
172,71026.578125
173,4323095.0
174,60696.70703125
175,27994.419921875
176,67950.1171875
177,31117.810546875
178,5177705.5
179,54733.4140625
180,36868.65234375
181,71150.2734375
182,86929.921875
183,772999.3125
184,48550.12890625
185,54196.3515625
186,112628.3125
187,32070.0546875
188,3854452.75
189,42503.59375
190,33252.5625
191,39074.30078125
192,74645.953125
193,51519.703125
194,1196665.5
195,35546.75390625
196,73197.9375
197,32566.232421875
198,88582.671875
199,886420.0
200,49897.8828125
201,33552.078125
202,24470.30078125
203,47499.52734375
204,46160.4296875
205,38284.43359375
206,46010.0390625
207,38453.1953125
208,60861.73046875
209,28328.171875
210,26804.74609375
211,31026.298828125
212,37613.80078125
213,26956.193359375
214,29455.720703125
215,40547.3046875
216,35705.83984375
217,43566.7734375
218,44420.96875
219,342026.375
220,37599.7734375
221,111156.0859375
222,67488.6875
223,952084.75
224,29636.42578125
