Step,Value
0,1050570.625
1,4635105.0
2,7541429.0
3,216384.515625
4,9758252.0
5,1358765.25
6,108675.4296875
7,2609249.25
8,6290663.5
9,3989962.75
10,9779302.0
11,34324.3125
12,62014.03125
13,2327229.0
14,9716237.0
15,7165261.0
16,38573.2109375
17,9352700.0
18,3610573.75
19,3228250.5
20,6947612.0
21,59087.86328125
22,952233.3125
23,1069027.125
24,87438.21875
25,3432764.75
26,1558058.75
27,2321717.5
28,382141.0625
29,5949850.5
30,5876904.5
31,4003065.25
32,48330.97265625
33,9782625.0
34,138747.625
35,425826.375
36,190946.359375
37,255004.359375
38,9773172.0
39,903588.0
40,5396366.5
41,124048.359375
42,49024.87109375
43,5836844.5
44,7834077.0
45,292899.4375
46,1499223.375
47,485541.375
48,342720.90625
49,113184.3671875
50,5392475.5
51,4664426.0
52,9039186.0
53,6092338.5
54,524355.1875
55,78846.9609375
56,130974.4765625
57,321871.03125
58,9764931.0
59,914870.75
60,75200.6875
61,9270179.0
62,7878996.0
63,96815.5859375
64,6652680.5
65,72613.3203125
66,136106.5
67,328280.03125
68,263379.3125
69,2905888.0
70,1453566.5
71,786801.5
72,5309868.0
73,55005.93359375
74,54091.828125
75,215855.234375
76,9780825.0
77,716952.4375
78,4972380.5
79,355544.65625
80,9468104.0
81,93415.515625
82,9745761.0
83,5843903.0
84,9355249.0
85,9057820.0
86,4941781.5
87,3174972.5
88,7238303.0
89,101780.4140625
90,5085013.0
91,2061314.25
92,4224740.5
93,4932553.5
94,9777753.0
95,484476.34375
96,3419833.25
97,4792202.5
98,6839108.5
99,2406354.0
100,25446.158203125
101,2969852.75
102,9142378.0
103,5780921.0
104,149541.25
105,173262.75
106,4253470.5
107,3116782.25
108,4439304.0
109,4646956.5
110,40216.6796875
111,115712.8515625
112,7092150.5
113,30312.337890625
114,4514329.0
115,84328.1796875
116,262977.625
117,5207267.0
118,5115804.5
119,1460745.625
120,2864127.25
121,5007075.5
122,2295674.5
123,400160.25
124,108675.4296875
125,110669.1640625
126,69592.1171875
127,4660795.0
128,167850.4375
129,108675.4296875
130,861268.9375
131,111361.7265625
132,202508.03125
133,5093534.0
134,4972381.5
135,3147745.75
136,4972381.5
137,70976.5078125
138,4376153.5
139,4972381.5
140,4437373.5
141,2115168.75
142,5702893.5
143,4972381.5
144,4955818.5
145,4865590.0
146,4972381.5
147,4972381.5
148,4972381.5
149,4972381.5
150,5057825.5
151,5490252.5
152,9702910.0
153,4972381.5
154,5241404.0
155,4972381.5
