Step,Value
0,1441.0
1,1421.0
2,1469.0
3,1447.0
4,7.0
5,1451.0
6,1443.0
7,1366.0
8,1479.0
9,2.0
10,0.0
11,1550.0
12,1559.0
13,1548.0
14,1.0
15,1471.0
16,1555.0
17,1.0
18,1523.0
19,1550.0
20,1.0
21,1538.0
22,1597.0
23,1563.0
24,1537.0
25,1571.0
26,1550.0
27,1574.0
28,1578.0
29,1.0
30,1572.0
31,1552.0
32,1510.0
33,10.0
34,1554.0
35,1541.0
36,1529.0
37,1466.0
38,0.0
39,1507.0
40,0.0
41,0.0
42,1481.0
43,1460.0
44,0.0
45,1477.0
46,1454.0
47,1438.0
48,7.0
49,1439.0
50,1392.0
51,1448.0
52,1485.0
53,4.0
54,1473.0
55,1444.0
56,1508.0
57,1485.0
58,0.0
59,1459.0
60,1479.0
61,1477.0
62,1401.0
63,3.0
64,0.0
65,1470.0
66,1485.0
67,1482.0
68,1504.0
69,1487.0
70,1481.0
71,1463.0
72,1473.0
73,1483.0
74,1490.0
75,1502.0
76,1.0
77,1325.0
78,1464.0
79,1460.0
80,1487.0
81,1495.0
82,7.0
83,1493.0
84,1431.0
85,1485.0
86,1493.0
87,1509.0
88,1505.0
89,1482.0
90,1498.0
91,2.0
92,1478.0
93,1498.0
94,6.0
95,1460.0
96,1471.0
97,0.0
98,1503.0
99,1440.0
100,1510.0
101,1529.0
102,8.0
103,0.0
104,0.0
105,0.0
106,1499.0
107,2.0
108,1491.0
109,0.0
110,1571.0
111,1539.0
112,1521.0
113,1529.0
114,1542.0
115,1522.0
116,1518.0
117,1527.0
118,1467.0
119,1523.0
120,6.0
121,0.0
122,1551.0
123,1537.0
124,1523.0
125,1519.0
126,1501.0
127,1511.0
128,1432.0
129,1512.0
130,0.0
131,1515.0
132,0.0
133,0.0
134,0.0
135,1519.0
136,8.0
137,1536.0
138,1532.0
139,1527.0
140,1552.0
141,1541.0
142,1534.0
143,1537.0
144,1513.0
145,1509.0
146,1541.0
147,1526.0
148,1563.0
149,1560.0
150,1529.0
151,0.0
152,1537.0
153,5.0
154,1549.0
155,0.0
156,0.0
157,0.0
158,1484.0
159,2.0
160,1493.0
161,1502.0
162,1557.0
163,0.0
164,1478.0
165,1525.0
166,1519.0
167,1505.0
168,1441.0
169,1483.0
170,1489.0
171,4.0
172,1384.0
173,1499.0
174,3.0
175,1494.0
176,14.0
177,1478.0
178,1.0
179,0.0
180,1513.0
181,1539.0
182,1543.0
183,1.0
184,1530.0
185,1523.0
186,1542.0
187,1539.0
188,1566.0
189,1551.0
190,1535.0
191,4.0
192,1548.0
193,1514.0
194,1559.0
195,1483.0
196,1528.0
197,2.0
198,0.0
199,1487.0
200,1556.0
201,1556.0
202,0.0
203,1485.0
204,1504.0
205,0.0
206,1406.0
207,1436.0
208,1509.0
209,1476.0
210,1471.0
211,1514.0
212,0.0
213,0.0
214,0.0
215,1460.0
216,1458.0
217,1450.0
218,0.0
219,1484.0
220,1437.0
221,1475.0
222,3.0
223,0.0
224,0.0
225,1333.0
226,1443.0
227,1476.0
228,0.0
229,1432.0
230,1458.0
231,1446.0
232,1445.0
233,1432.0
234,1446.0
235,1440.0
236,1465.0
237,1484.0
238,1461.0
239,3.0
240,1455.0
241,1450.0
