Step,Value
0,1638400.0
1,1638400.0
2,1638400.0
3,4352000.0
4,4864000.0
5,4812800.0
6,8755200.0
7,9472000.0
8,14899200.0
9,12441600.0
10,13926400.0
11,9779200.0
12,6041600.0
13,1843200.0
14,5017600.0
15,5478400.0
16,5171200.0
17,2406400.0
18,768000.0
19,512000.0
20,1638400.0
21,2508800.0
22,2560000.0
23,5324800.0
24,3481600.0
25,3225600.0
26,4454400.0
27,6963200.0
28,6041600.0
29,8755200.0
30,7782400.0
31,3584000.0
32,4198400.0
33,3481600.0
34,6758400.0
35,3942400.0
36,6400000.0
37,7936000.0
38,7833600.0
39,8294400.0
40,5580800.0
41,4608000.0
42,4659200.0
43,358400.0
44,7833600.0
45,6707200.0
46,6604800.0
47,3737600.0
48,4659200.0
49,2150400.0
50,2355200.0
51,3942400.0
52,4044800.0
53,5990400.0
54,4966400.0
55,6195200.0
56,6502400.0
57,2406400.0
58,9011200.0
59,11212800.0
60,9369600.0
61,6912000.0
62,9676800.0
63,6348800.0
64,2918400.0
65,3891200.0
66,3174400.0
67,665600.0
68,3584000.0
69,3993600.0
70,5529600.0
71,8089600.0
72,8806400.0
73,11315200.0
74,7424000.0
75,1280000.0
76,6400000.0
77,7116800.0
78,6860800.0
79,7372800.0
80,5939200.0
81,8960000.0
82,5529600.0
83,2867200.0
84,2918400.0
85,2764800.0
86,4608000.0
87,6092800.0
88,6963200.0
89,8038400.0
90,5120000.0
91,4966400.0
92,6041600.0
93,8857600.0
94,5836800.0
95,9574400.0
96,11008000.0
97,7168000.0
98,8601600.0
99,8652800.0
100,8038400.0
101,6963200.0
102,8499200.0
103,4659200.0
104,7577600.0
105,5939200.0
106,2252800.0
107,4864000.0
108,4198400.0
109,4044800.0
110,4505600.0
111,2355200.0
112,1228800.0
113,4096000.0
114,4249600.0
115,5683200.0
116,5324800.0
117,4761600.0
118,4096000.0
119,5888000.0
120,4352000.0
121,9011200.0
122,7424000.0
123,5427200.0
124,4966400.0
125,1945600.0
126,1536000.0
127,0.0
128,10291200.0
129,6809600.0
130,1177600.0
131,9164800.0
132,6348800.0
133,5734400.0
134,5734400.0
135,7884800.0
136,4812800.0
137,4556800.0
138,3123200.0
139,3430400.0
140,3328000.0
141,3174400.0
142,4300800.0
143,6912000.0
144,5734400.0
145,8294400.0
146,10700800.0
147,9523200.0
148,10291200.0
149,10956800.0
150,9676800.0
151,8550400.0
152,8448000.0
153,5836800.0
154,5632000.0
155,3225600.0
156,5068800.0
157,2867200.0
158,6400000.0
159,2150400.0
160,5529600.0
161,6553600.0
162,8652800.0
163,7731200.0
164,8857600.0
165,7014400.0
166,8908800.0
167,7014400.0
168,8448000.0
169,10905600.0
170,6963200.0
171,9472000.0
172,7219200.0
173,6758400.0
174,6451200.0
175,7424000.0
176,9676800.0
177,7116800.0
178,8908800.0
179,9574400.0
180,8806400.0
181,6400000.0
182,7731200.0
183,9267200.0
184,8806400.0
185,4915200.0
186,8345600.0
187,8038400.0
188,7526400.0
189,8601600.0
190,7116800.0
191,10700800.0
192,6502400.0
193,7475200.0
194,7475200.0
195,6809600.0
196,4659200.0
197,1945600.0
198,3225600.0
199,3481600.0
200,1126400.0
201,4198400.0
202,5580800.0
203,3737600.0
204,2713600.0
205,6656000.0
206,9369600.0
207,5632000.0
208,5836800.0
209,9676800.0
210,8243200.0
211,11212800.0
212,10137600.0
213,9113600.0
214,6758400.0
215,5529600.0
216,5376000.0
217,6144000.0
218,4198400.0
219,1894400.0
220,2304000.0
221,4352000.0
222,4198400.0
223,4352000.0
224,5580800.0
225,7116800.0
226,4915200.0
227,4300800.0
228,4966400.0
229,2867200.0
230,2611200.0
231,4403200.0
232,4454400.0
233,3891200.0
234,3942400.0
235,4864000.0
236,3481600.0
237,6963200.0
238,6502400.0
239,6656000.0
240,8089600.0
241,5683200.0
242,8294400.0
243,8345600.0
244,6604800.0
245,6092800.0
246,6041600.0
247,5478400.0
248,8038400.0
249,8550400.0
250,5427200.0
251,6604800.0
252,7372800.0
253,6246400.0
254,6092800.0
255,5171200.0
256,7116800.0
257,3840000.0
258,3635200.0
259,3379200.0
260,4454400.0
261,5376000.0
262,4659200.0
263,8601600.0
264,3481600.0
265,5529600.0
266,6860800.0
267,9011200.0
268,5222400.0
269,10752000.0
270,6860800.0
271,4403200.0
272,4966400.0
273,3481600.0
274,3993600.0
275,4659200.0
276,6553600.0
277,5376000.0
278,4044800.0
279,5120000.0
280,3942400.0
281,6451200.0
282,6912000.0
283,7475200.0
284,7936000.0
285,6451200.0
286,6758400.0
287,8448000.0
288,9011200.0
289,11520000.0
290,8755200.0
291,7731200.0
292,6451200.0
293,2969600.0
294,3891200.0
295,2150400.0
296,1331200.0
297,3020800.0
298,3532800.0
299,2764800.0
300,3481600.0
301,4403200.0
302,6707200.0
303,6400000.0
304,10342400.0
305,8908800.0
306,7270400.0
307,7219200.0
308,6758400.0
309,9881600.0
310,8192000.0
311,10342400.0
312,9676800.0
313,6604800.0
314,8396800.0
315,4044800.0
316,6400000.0
317,4147200.0
318,3993600.0
319,3174400.0
320,3737600.0
321,6912000.0
322,7731200.0
323,7628800.0
324,7065600.0
325,6707200.0
326,6092800.0
327,10086400.0
328,9779200.0
329,5888000.0
330,4249600.0
331,6246400.0
332,6912000.0
333,6809600.0
334,5990400.0
335,5017600.0
336,5734400.0
337,3532800.0
338,6041600.0
339,6144000.0
340,6758400.0
341,7372800.0
342,8192000.0
343,8089600.0
344,12083200.0
345,9523200.0
346,11315200.0
347,11468800.0
348,9318400.0
349,10086400.0
350,7424000.0
351,4403200.0
352,5273600.0
353,5478400.0
354,3020800.0
355,4403200.0
356,2816000.0
357,4249600.0
358,4147200.0
359,4147200.0
360,4198400.0
361,4198400.0
362,6809600.0
363,6809600.0
364,8294400.0
365,7014400.0
366,9625600.0
367,10854400.0
368,8294400.0
369,6912000.0
370,10393600.0
371,7014400.0
372,7116800.0
373,7116800.0
374,4659200.0
375,8038400.0
376,6348800.0
377,6502400.0
378,6246400.0
379,8243200.0
380,8960000.0
381,8192000.0
382,3481600.0
383,5376000.0
384,5580800.0
385,4198400.0
386,4710400.0
387,2508800.0
388,5427200.0
389,8652800.0
390,5478400.0
391,3225600.0
392,4505600.0
393,5478400.0
394,3276800.0
395,2150400.0
396,4864000.0
397,5324800.0
398,6502400.0
399,6707200.0
400,7219200.0
401,7884800.0
402,8601600.0
403,8448000.0
404,10803200.0
405,7424000.0
406,7577600.0
407,5273600.0
408,5529600.0
409,6809600.0
410,5478400.0
411,4556800.0
412,6604800.0
413,6348800.0
414,6246400.0
415,6195200.0
416,4300800.0
417,3328000.0
418,2764800.0
419,4659200.0
420,2611200.0
421,4352000.0
422,4096000.0
423,5427200.0
424,6092800.0
425,3225600.0
426,4608000.0
427,5273600.0
428,6963200.0
429,9420800.0
430,5888000.0
431,12339200.0
432,12646400.0
