Step,Value
0,1456.0
1,1439.0
2,0.0
3,1453.0
4,1484.0
5,1450.0
6,1461.0
7,1479.0
8,1505.0
9,1510.0
10,1486.0
11,1529.0
12,1497.0
13,1544.0
14,1560.0
15,1568.0
16,1536.0
17,0.0
18,1531.0
19,1551.0
20,0.0
21,1557.0
22,1572.0
23,1547.0
24,1550.0
25,1551.0
26,1568.0
27,1554.0
28,1551.0
29,1.0
30,1564.0
31,1585.0
32,1547.0
33,4.0
34,1545.0
35,1560.0
36,1512.0
37,1499.0
38,6.0
39,1494.0
40,3.0
41,0.0
42,1456.0
43,1455.0
44,2.0
45,1475.0
46,1469.0
47,1446.0
48,1442.0
49,1451.0
50,5.0
51,1441.0
52,1454.0
53,5.0
54,1350.0
55,1479.0
56,1493.0
57,1485.0
58,0.0
59,1488.0
60,1473.0
61,0.0
62,0.0
63,1353.0
64,2.0
65,0.0
66,1451.0
67,1483.0
68,1476.0
69,1513.0
70,1496.0
71,1472.0
72,1492.0
73,1487.0
74,1509.0
75,1496.0
76,3.0
77,1492.0
78,1446.0
79,1463.0
80,1472.0
81,1501.0
82,5.0
83,1511.0
84,1502.0
85,1521.0
86,1499.0
87,1526.0
88,1482.0
89,1499.0
90,1482.0
91,4.0
92,1486.0
93,1499.0
94,2.0
95,1450.0
96,1492.0
97,1.0
98,1513.0
99,0.0
100,0.0
101,1517.0
102,0.0
103,0.0
104,1419.0
105,4.0
106,1525.0
107,1461.0
108,1462.0
109,16.0
110,1541.0
111,1555.0
112,0.0
113,1519.0
114,1517.0
115,1524.0
116,11.0
117,1499.0
118,1522.0
119,1521.0
120,2.0
121,1414.0
122,1558.0
123,1519.0
124,1532.0
125,1506.0
126,1508.0
127,1507.0
128,1.0
129,1509.0
130,1454.0
131,1506.0
132,0.0
133,0.0
134,0.0
135,1520.0
136,1.0
137,1516.0
138,1535.0
139,1530.0
140,1552.0
141,1546.0
142,1533.0
143,1522.0
144,1511.0
145,1525.0
146,1528.0
147,7.0
148,0.0
149,0.0
150,1556.0
151,3.0
152,1549.0
153,3.0
154,1530.0
155,0.0
156,1399.0
157,1401.0
158,1494.0
159,1490.0
160,1495.0
161,1435.0
162,0.0
163,0.0
164,1522.0
165,1448.0
166,1518.0
167,1526.0
168,1490.0
169,1509.0
170,1486.0
171,1513.0
172,1511.0
173,1498.0
174,1405.0
175,1413.0
176,4.0
177,1496.0
178,1.0
179,1506.0
180,1555.0
181,1556.0
182,1580.0
183,1456.0
184,1455.0
185,1.0
186,1532.0
187,1567.0
188,1549.0
189,1535.0
190,1482.0
191,1533.0
192,1549.0
193,1.0
194,1554.0
195,1577.0
196,1539.0
197,1490.0
198,1559.0
199,1491.0
200,1545.0
201,1504.0
202,1.0
203,1412.0
204,1503.0
205,1500.0
206,1516.0
207,1429.0
208,1408.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,1469.0
216,3.0
217,0.0
218,0.0
219,1434.0
220,0.0
221,1477.0
222,1412.0
223,0.0
224,1455.0
225,1.0
226,1476.0
227,1464.0
228,3.0
229,1424.0
230,1467.0
231,1472.0
232,1448.0
233,0.0
234,1448.0
235,2.0
236,1470.0
237,1445.0
238,2.0
239,0.0
240,1445.0
241,1464.0
242,1406.0
243,1498.0
244,0.0
245,0.0
246,0.0
247,1375.0
248,1457.0
249,0.0
250,1464.0
251,1491.0
252,1.0
253,1462.0
254,1482.0
255,1396.0
256,1482.0
257,1422.0
258,2.0
259,1345.0
260,1460.0
261,1.0
262,1439.0
263,1468.0
264,1462.0
265,5.0
266,1468.0
267,7.0
268,1462.0
269,1510.0
270,1483.0
271,1496.0
272,1470.0
273,2.0
274,1475.0
275,1474.0
276,2.0
277,1468.0
278,2.0
279,1466.0
280,1393.0
281,1486.0
282,1499.0
283,1492.0
284,1524.0
285,0.0
286,1504.0
287,5.0
288,0.0
289,1526.0
290,1527.0
291,1522.0
292,1474.0
293,1517.0
294,0.0
295,1490.0
296,1522.0
297,1434.0
298,0.0
299,0.0
300,0.0
301,0.0
302,1490.0
303,9.0
304,1472.0
305,3.0
306,0.0
307,1496.0
308,1472.0
309,3.0
310,0.0
311,0.0
312,0.0
313,0.0
314,1465.0
315,1494.0
316,1516.0
317,1511.0
318,1522.0
319,1514.0
320,1516.0
321,3.0
322,1525.0
323,2.0
324,1430.0
325,1544.0
326,0.0
327,1379.0
328,1501.0
329,1464.0
330,1459.0
331,0.0
332,0.0
