Step,Value
0,539.2167358398438
1,0.0
2,528.7770385742188
3,543.4053955078125
4,0.0
5,485.7315368652344
6,0.0
7,472.6373596191406
8,516.4962158203125
9,496.0555419921875
10,0.0
11,544.0590209960938
12,485.64727783203125
13,514.3908081054688
14,544.9828491210938
15,507.0677795410156
16,0.0
17,516.6537475585938
18,537.6503295898438
19,0.0
20,523.6139526367188
21,502.73004150390625
22,491.427734375
23,0.0
24,0.0
25,490.94049072265625
26,505.6336364746094
27,483.0863952636719
28,539.7905883789062
29,506.91558837890625
30,538.1029663085938
31,510.2989807128906
32,483.6126403808594
33,0.0
34,484.88494873046875
35,0.0
36,0.0
37,503.8052673339844
38,0.0
39,480.02691650390625
40,492.1282043457031
41,478.7226867675781
42,491.40484619140625
43,515.4371337890625
44,534.4159545898438
45,0.0
46,0.0
47,0.0
48,484.701171875
49,0.0
50,503.7977600097656
51,533.1774291992188
52,541.0892944335938
53,509.8642272949219
54,491.1224365234375
55,486.7117614746094
56,0.0
57,525.823974609375
58,0.0
59,491.66119384765625
60,487.8367614746094
61,547.6561889648438
62,492.445556640625
63,485.4580383300781
64,522.4078369140625
65,481.25634765625
66,0.0
67,505.5080261230469
68,0.0
69,494.07879638671875
70,539.8701171875
71,0.0
72,541.4525146484375
73,491.63433837890625
74,504.76116943359375
75,500.18231201171875
76,0.0
77,473.5303649902344
78,0.0
79,505.49908447265625
80,0.0
81,500.27996826171875
82,554.2169189453125
83,522.0742797851562
84,546.0808715820312
85,0.0
86,554.1824340820312
87,552.4317626953125
88,534.64306640625
89,0.0
90,500.2471008300781
91,483.6668701171875
92,498.7668151855469
93,542.1087036132812
94,0.0
95,480.0664367675781
96,501.6824951171875
97,499.62615966796875
98,0.0
99,496.1610412597656
100,477.9930419921875
101,506.8664855957031
102,541.4197387695312
103,492.85394287109375
104,473.7588195800781
105,472.1375732421875
106,514.8922729492188
107,496.79156494140625
108,542.2284545898438
109,494.663818359375
110,0.0
111,491.3072814941406
112,546.6046142578125
113,496.9093322753906
114,544.1145629882812
115,539.2445678710938
116,522.5435180664062
117,0.0
118,537.2210083007812
119,537.0580444335938
120,499.4418640136719
121,0.0
122,502.73040771484375
123,0.0
124,0.0
125,526.4165649414062
126,0.0
127,0.0
128,548.8201904296875
129,526.0364990234375
130,0.0
131,482.4097595214844
132,504.2420654296875
133,0.0
134,493.367431640625
135,0.0
136,488.4843444824219
137,543.155517578125
138,499.00238037109375
139,535.247314453125
140,508.0798034667969
141,0.0
142,536.484130859375
143,0.0
144,469.8137512207031
145,0.0
146,0.0
147,452.66754150390625
148,533.5244750976562
149,480.4080810546875
150,536.7153930664062
151,540.6331176757812
152,0.0
153,472.4159851074219
154,539.2462768554688
155,478.05914306640625
156,482.55389404296875
157,546.0421752929688
158,503.1382751464844
159,494.96685791015625
160,509.2627258300781
161,539.328369140625
162,544.0680541992188
163,494.2356262207031
164,0.0
165,0.0
166,498.0992431640625
167,496.058837890625
168,513.5330200195312
169,497.8256530761719
170,495.4565124511719
171,493.1484375
172,544.7821044921875
173,540.7869262695312
174,0.0
175,510.1882019042969
176,0.0
177,530.9385375976562
178,474.9798278808594
179,467.2423095703125
180,480.8993835449219
181,521.7338256835938
182,482.4441833496094
183,492.51171875
184,486.14337158203125
185,481.79327392578125
186,509.4382019042969
187,498.88800048828125
188,467.74383544921875
189,474.842529296875
190,473.9206237792969
191,476.8751525878906
192,496.8780822753906
193,490.5587158203125
194,528.0359497070312
195,491.67144775390625
196,548.3895263671875
197,482.4209289550781
198,497.9257507324219
199,498.64971923828125
200,496.5787658691406
201,483.0150451660156
202,505.2057189941406
203,487.79339599609375
204,495.48516845703125
205,502.29852294921875
206,499.7647399902344
207,502.1116638183594
208,487.0332946777344
209,525.7527465820312
210,489.20294189453125
211,473.7123718261719
212,480.6371765136719
213,471.9804992675781
214,502.8930358886719
215,473.1305847167969
216,478.2837829589844
217,472.8360900878906
218,481.8570556640625
219,514.00634765625
220,479.2809143066406
221,499.920166015625
222,544.3598022460938
223,481.6046142578125
224,497.0743103027344
225,499.25811767578125
226,510.271240234375
227,510.7401123046875
228,493.92742919921875
229,525.440673828125
230,543.7451782226562
231,546.5009155273438
232,511.9931945800781
233,500.9687805175781
234,510.0531311035156
235,497.81146240234375
236,506.85174560546875
237,503.5064697265625
238,489.9288024902344
239,508.9180603027344
240,485.2071838378906
241,493.5187683105469
242,486.7015075683594
243,547.3429565429688
244,520.972900390625
245,520.5680541992188
246,496.2300720214844
247,491.1208190917969
248,483.466796875
249,483.39227294921875
250,492.1916198730469
251,509.4391174316406
252,483.8651123046875
253,507.8954162597656
254,544.444091796875
255,482.48577880859375
256,541.966064453125
257,540.7914428710938
258,482.05072021484375
259,481.86077880859375
260,486.5486755371094
261,487.9815979003906
262,495.7847900390625
263,513.1047973632812
264,508.2879333496094
265,492.50244140625
266,546.9650268554688
