Step,Value
0,5956702.5
1,5956702.5
2,138526.015625
3,4940564.5
4,5834902.5
5,196651.21875
6,5651081.0
7,197796.296875
8,5044104.5
9,6467913.0
10,6602143.0
11,220511.453125
12,6519554.0
13,8082863.5
14,8168292.0
15,6403272.0
16,7707554.5
17,242441.265625
18,6703947.5
19,7640030.0
20,241818.0625
21,6701010.0
22,7341410.5
23,7334805.0
24,237177.640625
25,44134.1953125
26,7064445.5
27,8041894.0
28,8631808.0
29,6610882.5
30,7225733.5
31,7248652.5
32,7815971.0
33,7521123.0
34,212980.875
35,5927076.0
36,201793.125
37,17402.814453125
38,5259675.5
39,200677.578125
40,5695240.0
41,6328177.5
42,5978185.0
43,6810472.0
44,6307597.0
45,6439214.5
46,177555.0
47,11949.4892578125
48,14558.912109375
49,5044020.5
50,172946.5625
51,5184367.0
52,6162473.5
53,7161034.5
54,7453721.5
55,7691010.0
56,7699096.0
57,241225.65625
58,6484914.0
59,223282.328125
60,5450459.0
61,5885759.5
62,6241220.0
63,6102096.0
64,6375599.5
65,6634698.5
66,5444026.0
67,190982.84375
68,5553935.5
69,184071.3125
70,5826858.0
71,6448636.5
72,198216.515625
73,6018514.0
74,7304785.5
75,7206080.0
76,7691607.5
77,230176.015625
78,6914665.5
79,233915.921875
80,7151311.0
81,241599.15625
82,7244870.5
83,6452846.5
84,7936051.0
85,8186366.0
86,226740.96875
87,5382657.0
88,6608035.0
89,7450907.0
90,227198.515625
91,5854284.0
92,6909206.5
93,6415634.0
94,6978558.0
95,213260.75
96,5165384.5
97,6270281.0
98,5675964.5
99,188067.734375
100,4923800.5
101,5831660.5
102,6125804.0
103,5955407.5
104,6430186.5
105,6787055.5
106,7302312.5
107,7046947.5
108,6982923.0
109,6606493.5
110,6962631.0
111,203573.59375
112,5476517.5
113,6356532.5
114,6747668.5
115,7065801.0
116,7549177.5
117,7298990.0
118,223250.5625
119,7142511.0
120,6890056.0
121,7770337.5
122,248882.5
123,6590433.0
124,242783.953125
125,22795.744140625
126,6881741.0
127,259322.546875
128,9692.3984375
129,5652660.5
130,7686997.5
131,218098.09375
132,6435099.0
133,6594560.5
134,205912.234375
135,5491589.0
136,178272.796875
137,3664292.0
138,4222661.0
139,4722942.5
140,5117816.5
141,5344371.0
142,175307.828125
143,4728464.5
144,119736.4375
145,4322130.0
146,165045.5
147,18989.05859375
148,4373368.5
149,5225942.5
150,5315385.0
151,5296849.0
152,5116599.5
153,122626.09375
154,5075082.0
155,5883224.5
156,6499670.0
157,6580434.5
158,6653312.5
159,6501596.5
160,7104632.5
161,7766158.0
162,7746150.5
163,6538358.5
164,7449335.0
165,239795.1875
166,10525.6796875
167,6495809.5
168,7333323.0
169,7312541.5
170,7363697.5
171,7128181.5
172,6712982.5
173,5858129.5
174,5679281.5
175,158539.21875
176,6434898.0
177,225686.28125
178,4313958.0
179,4450837.5
180,5144845.5
181,5052954.5
182,4997298.0
183,4473043.0
184,4716741.0
185,4864644.5
186,5224970.5
187,5004554.5
188,5435747.0
189,5660038.5
190,5613243.5
191,5591836.5
192,5864575.5
193,6007046.0
194,5963089.0
195,6138368.5
196,6665359.0
197,7038356.5
198,7811182.0
199,8068807.5
200,7903698.0
201,7941885.0
202,8544401.0
203,8189657.0
204,8137713.5
205,7787850.5
206,7012006.0
207,7139498.0
208,6820358.0
209,6482679.0
210,6391363.0
211,6755694.0
212,6011045.0
213,5577493.0
214,5636249.5
215,5425928.0
216,5333103.0
217,5644976.0
218,5400058.0
219,5770125.0
220,5956194.5
221,6038809.5
222,6145286.5
223,5923029.5
224,6966970.0
225,7414266.0
226,7946812.0
227,8554418.0
228,8316921.0
229,8915524.0
230,9269642.0
231,8487338.0
232,8700317.0
233,8495463.0
234,8013750.0
235,7916738.5
236,7381506.5
237,7325057.5
238,8280472.0
239,8412976.0
240,8054270.5
241,8011521.0
242,7689669.0
243,7443863.0
244,5779765.0
245,6440329.5
246,6575814.5
247,6481053.5
248,6713327.5
249,5787520.5
250,6007185.5
251,5712378.5
252,5718675.0
253,6004608.5
254,6531908.0
255,6282503.0
256,7234623.0
257,6264987.5
258,6599936.5
259,8304037.0
260,8329269.0
261,8449608.0
262,8519844.0
263,8208103.0
264,8255526.0
265,8036612.0
266,8127912.5
267,7844095.5
268,7686873.0
269,7903646.5
270,7684194.5
271,8443055.0
272,239770.90625
273,6434484.5
274,7222860.0
275,6765754.0
276,6696146.0
277,6479557.0
278,6392446.5
279,7080238.5
280,218186.078125
281,5984482.0
282,7261234.0
283,7106553.0
284,7700689.0
285,7816787.0
286,7725135.5
287,7844139.0
288,7983377.0
289,8192662.5
290,7868661.0
291,7735578.0
292,8574681.0
293,8844680.0
294,8777343.0
295,9254383.0
296,9640198.0
297,9106489.0
298,8766200.0
299,7329904.5
300,7787207.5
301,7368595.0
302,7298029.5
303,7411634.5
304,6496300.0
305,6553884.0
306,6888538.0
307,6084598.0
308,6167664.5
309,6838962.5
310,6633759.5
311,7067374.5
312,7382292.5
313,7112966.5
314,7016747.0
315,7104395.5
316,7198328.5
317,7335391.0
318,6976471.0
319,6972993.0
320,7025350.5
321,7513732.0
322,7969569.5
323,8379536.0
324,8416202.0
325,8006139.0
326,8140430.5
327,8337515.5
328,8324222.5
329,7834590.5
330,7723497.0
331,7139258.5
332,6968148.0
333,6703185.5
334,6309510.5
335,5843577.0
336,5888883.5
337,5781162.0
338,5954091.5
339,5021200.0
340,5115420.0
341,5135917.0
342,5844866.0
343,5330087.0
344,5185105.5
345,5172588.5
346,5084967.0
347,5536960.5
348,5938158.5
349,6382621.0
350,7280054.5
351,7216104.5
352,7505451.5
353,6850936.5
354,7057407.0
355,6991536.0
356,6842074.5
357,6937063.0
358,7766289.5
359,7134208.5
360,6876503.5
361,7314722.5
362,7566093.5
363,7371975.5
364,7538934.5
365,7213936.0
366,6793456.0
367,7233089.0
368,7392376.5
369,6506806.0
370,6361988.5
371,6345672.0
372,6622682.0
373,6951441.5
374,7059153.0
375,6681509.0
376,7238454.0
377,7024767.5
378,7435285.5
379,8255380.0
380,8207390.5
381,7985900.5
382,8230218.0
383,7792209.5
384,7857676.5
385,8285170.0
386,7775976.5
387,8109578.0
388,8744869.0
389,9150973.0
390,8098510.5
391,7243337.0
392,7709045.5
393,6922357.0
394,6895163.5
395,6793933.0
396,6660024.0
397,6420848.0
398,5984750.5
399,6235643.5
400,6482370.0
401,7071972.0
402,6695595.0
403,7250938.0
404,7121447.5
405,7412702.0
406,7979361.5
407,7501092.0
408,7649902.0
409,7724516.0
410,8065479.5
411,7655101.5
412,7256934.5
413,7439367.0
414,7754540.0
415,8672726.0
416,8083361.0
417,8160906.0
418,8066096.0
419,8293250.5
420,7838661.5
421,7609954.5
422,7377608.5
423,7131977.5
424,7189614.5
425,7312711.0
426,7253345.5
427,7743187.5
428,7240672.5
429,6975561.5
430,6985941.5
431,7340678.0
432,7468809.0
433,6877348.5
434,6551405.5
435,6736476.5
436,7240509.0
437,6982763.0
438,6810808.5
439,6957905.0
440,7030393.5
441,7440407.5
442,7760252.0
443,7983823.0
