Step,Value
0,210560.0
1,210560.0
2,213760.0
3,212160.0
4,196800.0
5,198080.0
6,188800.0
7,200320.0
8,197760.0
9,185600.0
10,69760.0
11,0.0
12,160320.0
13,154560.0
14,155520.0
15,155520.0
16,155840.0
17,158720.0
18,67200.0
19,166720.0
20,153280.0
21,63680.0
22,155520.0
23,151360.0
24,151360.0
25,167040.0
26,163200.0
27,165120.0
28,155520.0
29,147840.0
30,62400.0
31,152320.0
32,150400.0
33,150400.0
34,62080.0
35,154880.0
36,166080.0
37,173760.0
38,192640.0
39,73280.0
40,190720.0
41,74560.0
42,0.0
43,196800.0
44,201280.0
45,79680.0
46,197760.0
47,189120.0
48,204160.0
49,81600.0
50,199040.0
51,80000.0
52,193280.0
53,196800.0
54,78400.0
55,188480.0
56,192320.0
57,185600.0
58,197120.0
59,74880.0
60,196160.0
61,192960.0
62,76800.0
63,185280.0
64,75200.0
65,1600.0
66,195840.0
67,186880.0
68,198400.0
69,188800.0
70,186880.0
71,193920.0
72,186560.0
73,191680.0
74,184640.0
75,184320.0
76,185280.0
77,73600.0
78,193600.0
79,192320.0
80,198400.0
81,197760.0
82,188800.0
83,73600.0
84,182720.0
85,184320.0
86,191360.0
87,185280.0
88,183040.0
89,187840.0
90,188160.0
91,185280.0
92,73600.0
93,183680.0
94,192000.0
95,74880.0
96,203840.0
97,200320.0
98,75200.0
99,173760.0
100,72000.0
101,170240.0
102,171200.0
103,68480.0
104,0.0
105,3200.0
106,0.0
107,172480.0
108,68800.0
109,175040.0
110,66880.0
111,172480.0
112,164160.0
113,168960.0
114,178880.0
115,176640.0
116,178560.0
117,184320.0
118,175680.0
119,171200.0
120,173440.0
121,67200.0
122,169920.0
123,166080.0
124,173440.0
125,167680.0
126,176640.0
127,185600.0
128,178240.0
129,178560.0
130,176640.0
131,172480.0
132,175680.0
133,70400.0
134,0.0
135,0.0
136,181760.0
137,68480.0
138,173440.0
139,160640.0
140,158400.0
141,157760.0
142,162880.0
143,174720.0
144,177280.0
145,172160.0
146,165120.0
147,163840.0
148,158400.0
149,167360.0
150,162240.0
151,169920.0
152,65600.0
153,164160.0
154,68800.0
155,169280.0
156,66880.0
157,1600.0
158,1600.0
159,190720.0
160,181760.0
161,182720.0
162,178880.0
163,168960.0
164,178880.0
165,186240.0
166,175040.0
167,177920.0
168,170560.0
169,176320.0
170,185600.0
171,191680.0
172,75200.0
173,177280.0
174,196160.0
175,181760.0
176,183360.0
177,186560.0
178,179840.0
179,70400.0
180,175040.0
181,163840.0
182,160320.0
183,165120.0
184,180480.0
185,162240.0
186,165760.0
187,163520.0
188,150400.0
189,161920.0
190,161600.0
191,160320.0
192,161920.0
193,164800.0
194,174080.0
195,160960.0
196,160000.0
197,166080.0
198,65280.0
199,169920.0
200,65280.0
201,168000.0
202,166400.0
203,165440.0
204,180800.0
205,179520.0
206,175040.0
207,184000.0
208,184960.0
209,187200.0
210,185280.0
211,76800.0
212,191680.0
213,78080.0
214,0.0
215,1600.0
216,195840.0
217,205760.0
218,202880.0
219,81600.0
220,199040.0
221,202240.0
222,188800.0
223,78400.0
224,0.0
225,188160.0
226,78400.0
227,202560.0
228,199360.0
229,80000.0
230,205120.0
231,203200.0
232,202240.0
233,200640.0
234,204480.0
235,201920.0
236,81600.0
237,200000.0
238,208960.0
239,80000.0
240,0.0
241,199040.0
242,195200.0
243,199040.0
244,185280.0
245,183360.0
246,192960.0
247,190080.0
248,187520.0
249,197440.0
250,193920.0
251,198400.0
252,183680.0
253,78400.0
254,190080.0
255,191680.0
256,195200.0
257,192960.0
258,212160.0
259,82880.0
260,196160.0
261,204800.0
262,205440.0
263,197120.0
264,208320.0
265,185280.0
266,192960.0
267,187840.0
268,181440.0
269,182080.0
270,185280.0
271,189760.0
272,190080.0
273,195840.0
274,187520.0
275,193920.0
276,193920.0
277,184960.0
278,195200.0
279,78400.0
280,198080.0
281,195840.0
282,199680.0
283,186560.0
284,191040.0
285,180160.0
286,174400.0
287,176640.0
288,169920.0
289,154560.0
290,167040.0
291,172800.0
292,162240.0
293,159040.0
294,171840.0
295,169920.0
296,180480.0
297,188160.0
298,183360.0
299,185280.0
300,170880.0
301,172480.0
302,73600.0
303,180480.0
304,72000.0
305,188800.0
306,188800.0
307,184000.0
308,188480.0
309,196800.0
310,200000.0
311,201600.0
312,203520.0
313,200000.0
314,192640.0
315,194880.0
316,189440.0
317,189760.0
318,181120.0
319,184320.0
320,177600.0
321,172800.0
322,186240.0
323,162240.0
324,169280.0
325,162880.0
326,180800.0
327,192640.0
328,181760.0
329,195840.0
330,206400.0
331,200320.0
332,196480.0
333,196160.0
334,195520.0
335,197440.0
336,190080.0
337,203520.0
338,194880.0
339,187520.0
340,191360.0
341,192960.0
342,194240.0
343,184640.0
344,193280.0
345,175040.0
346,181120.0
347,193920.0
348,202880.0
349,197760.0
350,207040.0
351,191360.0
352,196160.0
353,192000.0
354,192960.0
355,202240.0
356,204160.0
357,201600.0
358,182720.0
359,182400.0
360,183680.0
361,180160.0
362,182400.0
363,181120.0
364,180480.0
365,172800.0
366,180800.0
367,170880.0
368,167360.0
369,174400.0
370,166720.0
371,168640.0
372,154240.0
373,160000.0
374,163200.0
375,156160.0
376,158720.0
377,157440.0
378,161600.0
379,161920.0
380,167360.0
381,166400.0
382,169280.0
383,165760.0
384,176640.0
385,165440.0
386,153920.0
387,158720.0
388,155520.0
389,148160.0
390,149440.0
391,161920.0
392,152320.0
393,160320.0
394,163200.0
395,168960.0
396,174400.0
397,165440.0
398,163840.0
399,160640.0
400,164800.0
401,175680.0
402,173440.0
403,168640.0
404,170880.0
405,163200.0
406,158720.0
407,159360.0
408,164800.0
409,140800.0
410,149120.0
411,144000.0
412,142400.0
413,147200.0
414,165440.0
415,161280.0
416,162240.0
417,170880.0
418,180800.0
419,188800.0
420,179200.0
421,185920.0
422,194240.0
423,187520.0
424,195200.0
425,206080.0
426,199680.0
427,194240.0
428,210560.0
429,223360.0
430,219840.0
431,222080.0
432,216640.0
433,216640.0
434,210240.0
435,214080.0
436,218560.0
437,216960.0
438,223040.0
439,205440.0
440,207360.0
441,212800.0
442,212800.0
443,202560.0
444,201280.0
445,196800.0
446,184640.0
447,185920.0
448,183040.0
449,174400.0
450,177280.0
451,168640.0
452,175680.0
453,182720.0
454,172800.0
455,172800.0
456,172800.0
457,186880.0
458,169600.0
459,166720.0
460,165760.0
461,162240.0
462,165440.0
463,177280.0
464,154560.0
465,174720.0
466,175680.0
467,172480.0
468,178240.0
469,181120.0
470,170560.0
471,165120.0
472,161600.0
473,165440.0
474,167360.0
475,170880.0
476,170240.0
477,168640.0
478,161920.0
479,169600.0
480,176320.0
481,171200.0
482,178560.0
483,168000.0
484,170240.0
485,164160.0
486,165760.0
487,171840.0
488,158720.0
489,156800.0
490,156480.0
491,158720.0
492,154240.0
493,170560.0
494,164480.0
495,169600.0
496,180480.0
497,173760.0
498,175040.0
499,170880.0
500,174080.0
501,188480.0
502,184960.0
503,195840.0
504,191360.0
505,185920.0
506,190080.0
507,198720.0
508,186880.0
509,201600.0
510,196160.0
511,207680.0
512,209600.0
513,205440.0
514,200960.0
515,192000.0
516,187200.0
517,189120.0
518,192320.0
519,185920.0
520,175040.0
521,183040.0
522,192000.0
523,193280.0
524,189120.0
525,180160.0
526,185600.0
527,190400.0
528,193280.0
529,192640.0
530,190720.0
531,194880.0
532,196160.0
533,190400.0
534,200000.0
535,193600.0
536,196480.0
537,193280.0
538,206400.0
539,217600.0
540,208000.0
541,221760.0
542,222080.0
543,213120.0
544,221120.0
545,220800.0
