Step,Value
0,3541637.75
1,50234.40625
2,866700.5
3,2173838.75
4,7708138.0
5,4216629.5
6,55232.28125
7,2412648.75
8,9782649.0
9,54143.6796875
10,186190.90625
11,2047681.125
12,128107.421875
13,73544.09375
14,4980744.5
15,118042.8515625
16,487704.625
17,3120924.25
18,4940718.0
19,26190.18359375
20,9292607.0
21,364698.53125
22,736259.9375
23,106847.875
24,71290.8828125
25,217665.171875
26,267064.28125
27,6521352.0
28,9687688.0
29,291906.125
30,8082114.0
31,244020.28125
32,82631.7109375
33,8262627.0
34,9782557.0
35,28904.765625
36,872155.25
37,7245369.5
38,4019238.0
39,9763694.0
40,7192713.0
41,8314274.0
42,55099.875
43,4917423.0
44,424528.15625
45,740820.625
46,2615142.75
47,4972380.5
48,52832.0859375
49,247212.421875
50,3314230.25
51,3359399.5
52,1222157.25
53,3333333.5
54,9018971.0
55,60169.93359375
56,254281.765625
57,54064.66015625
58,3203824.5
59,1744327.125
60,5305636.0
61,105371.875
62,9662495.0
63,108675.4296875
64,720693.3125
65,45733.77734375
66,9750085.0
67,9552684.0
68,55238.171875
69,9782649.0
70,128756.7578125
71,9385836.0
72,108675.4296875
73,8637199.0
74,108994.3671875
75,9760185.0
76,9782171.0
77,7776072.0
78,3029258.25
79,7118792.0
80,259581.75
81,392268.90625
82,964401.375
83,7850271.0
84,128419.78125
85,3333333.5
86,8277955.5
87,416507.3125
88,8581358.0
89,8767311.0
90,336704.21875
91,4274964.5
92,4065261.25
93,9308994.0
94,68437.4921875
95,66940.7578125
96,108675.4296875
97,8370758.5
98,4972381.5
99,7267329.0
100,2819548.5
101,7538982.0
102,307960.21875
103,302720.40625
104,603819.0625
105,6199713.0
106,3175930.0
107,1360457.0
108,9223902.0
109,55238.171875
110,344646.71875
111,177450.203125
112,4389908.5
113,5967563.0
114,3000795.75
115,3333333.5
116,9687641.0
117,108675.4296875
118,2791530.75
119,9782649.0
120,4712545.0
121,1376358.0
122,74817.8125
123,9716419.0
124,787933.25
125,1758521.75
126,105057.1015625
127,9258325.0
128,8086043.0
129,3681729.75
130,8435413.0
131,3976017.5
132,108675.3671875
133,4184977.75
134,112728.0390625
135,299312.84375
136,121612.5859375
137,9777060.0
138,7213379.0
139,161378.0625
140,3645628.75
141,2575032.75
142,154591.46875
143,4972381.5
144,203797.5625
145,2469916.25
146,1074675.0
147,106632.0859375
148,42475.97265625
149,9780514.0
150,80067.6171875
151,8745420.0
152,3197507.25
153,682129.8125
154,51427.42578125
155,148614.15625
156,613475.25
157,1656517.125
158,256122.71875
159,7018739.5
160,8282475.0
161,6438472.5
162,843641.4375
163,566358.75
164,8768567.0
165,9776339.0
166,1284693.625
167,45475.71875
168,486788.21875
169,9166051.0
170,8649961.0
171,2038644.5
172,426976.78125
173,9220979.0
174,279062.84375
175,122098.6953125
176,1180867.0
177,531399.875
178,9444172.0
179,951373.1875
180,4458124.5
181,5412912.5
182,8661771.0
183,9727474.0
184,734738.8125
185,2648183.75
186,1401500.25
187,1825041.875
188,8945792.0
189,4809157.5
190,669759.5625
191,545957.375
192,374461.90625
193,242977.75
194,4417218.5
195,1101080.875
196,2072809.5
197,6424374.0
198,8308155.0
199,9512711.0
200,3192197.0
201,1293868.125
202,4586474.5
203,510655.3125
204,1495774.5
205,3726634.75
206,5712567.5
207,5537265.5
208,6211626.5
209,109200.609375
210,147859.84375
211,286016.9375
212,4971328.0
213,77787.140625
214,4071643.25
215,6417822.0
216,2005078.5
217,942929.625
218,1510021.375
219,8152209.5
220,3714755.0
221,9354412.0
222,7245892.5
223,9346244.0
224,2412370.75
225,785557.375
226,6858303.0
227,2975136.75
228,4246981.0
229,314435.375
230,330321.59375
231,1623555.25
232,697726.625
233,2383549.25
234,169887.15625
235,4591905.0
236,758915.75
237,8867996.0
238,1741032.5
239,4182988.75
240,1280225.375
241,7363999.0
242,6266360.5
243,7877193.5
244,8155957.5
245,6749833.0
246,6919408.5
247,2646869.75
248,1390530.75
249,680743.8125
250,1428036.5
251,8957291.0
252,1373983.375
253,3034537.75
254,5567503.5
255,3761923.25
256,2647493.5
257,484901.34375
258,6487400.5
259,3338039.0
260,7509734.5
261,7038007.0
262,1325279.75
263,6063438.5
264,1203427.875
265,5809911.0
266,948803.0625
267,1805719.0
268,449253.96875
269,540368.75
270,1464583.75
271,8875629.0
272,1595171.75
273,1954105.5
274,5218825.5
275,3285168.0
276,2020355.0
277,3234511.0
278,5288625.5
279,1163391.625
280,6794040.0
281,1200491.5
282,5052161.0
283,3975638.5
284,5084157.5
285,2496549.0
286,4478967.0
287,6525578.0
288,4234695.5
289,5563482.0
290,5246256.0
291,5821102.5
292,4182342.25
293,2036845.25
294,700415.4375
295,2317244.75
296,5689270.0
297,2542778.5
298,1548433.125
299,973509.75
300,1295492.75
301,1148910.625
302,4215552.5
303,4054046.25
304,1318222.625
305,2190046.5
306,2361217.25
307,1470788.625
308,5026192.0
309,1477277.125
310,2317078.75
311,6093669.0
312,5616517.5
313,6401313.0
314,3911909.25
315,4945112.0
316,861463.5625
317,705916.75
318,4859215.5
319,2422555.75
320,1118324.375
321,5730521.0
322,2462846.75
323,2673788.0
324,4672042.5
325,3963837.0
326,2425111.75
327,1507444.625
328,1974167.625
329,4689102.0
330,835031.1875
331,4833629.0
332,4748207.0
333,4159819.25
334,3555866.75
335,6191212.5
336,1596763.875
337,6053763.5
338,1829819.875
339,3331909.75
340,5076896.5
341,4890413.5
342,769073.4375
343,4524818.5
344,1871200.75
345,718971.5
346,1765093.0
347,1989417.875
348,2778542.0
349,2665478.5
350,3118776.75
351,2091843.375
352,4801095.5
353,1751749.125
354,4161773.5
355,4597078.5
356,6593170.0
357,6054859.0
358,5019637.5
359,3852121.5
360,4841758.5
361,3348915.75
362,5967201.0
363,2827552.75
364,3559464.5
365,2799430.0
366,1554921.25
367,868764.625
368,2565313.25
369,5814283.0
370,3122791.0
371,3462719.0
372,4609772.5
373,1012842.9375
374,3008215.75
375,3673525.75
376,2576506.5
377,1907761.75
378,4529623.5
379,5382290.0
380,4651831.5
381,1081968.0
382,4338914.0
383,4268661.5
384,5422157.0
385,5506973.5
386,4834143.5
387,5601850.0
388,3888044.0
389,2439526.25
390,2763207.25
391,2340208.5
392,1611445.25
393,2459436.25
394,1309871.875
395,2332816.75
396,4971150.0
397,1534671.125
398,5612006.0
399,3768963.0
400,4041989.75
401,2191406.5
402,1421701.75
403,5219714.0
404,4169780.25
405,4600527.5
406,3115091.5
407,593182.125
408,1646563.75
409,1359941.125
410,1101455.0
411,3390523.5
412,2747532.5
413,1936077.125
414,3649120.25
415,4308611.5
416,2829824.0
417,3951175.25
418,1972828.5
419,4681469.0
420,3215221.75
421,2622682.75
422,5941764.5
423,4580208.5
424,2350812.5
425,4029949.5
426,2915808.5
427,4684546.5
428,3720123.5
429,2458823.75
430,2313309.25
431,1936154.375
432,2787441.5
433,5336368.0
434,1378761.25
435,2366507.75
436,3033218.75
437,3802666.25
438,2380569.75
439,3752545.0
440,2293976.0
441,4622128.5
442,4862076.0
443,4044913.75
444,5617388.0
445,1444224.875
446,5580173.0
447,4203976.0
448,3031246.0
449,3245714.5
450,2828800.75
451,1716873.25
452,1916746.0
453,1595841.375
454,2969129.75
455,3628687.25
456,3216656.5
457,2618586.5
458,3187077.25
459,2969365.5
460,1842192.5
461,2102055.75
462,2578643.5
463,2675536.0
464,5286858.5
465,1822686.625
466,3401103.25
