Step,Value
0,6405450.5
1,1926855.5
2,8870621.0
3,7394903.5
4,1105763.375
5,5520456.0
6,4971779.5
7,67509.75
8,108675.4296875
9,6018842.0
10,4884155.0
11,223390.71875
12,9774477.0
13,8645773.0
14,55238.1484375
15,9776398.0
16,2195288.25
17,5445555.0
18,113820.0859375
19,9574025.0
20,335146.1875
21,9516405.0
22,2784583.25
23,9782642.0
24,5284169.5
25,57465.37890625
26,37763.44921875
27,795150.5625
28,44840.64453125
29,628536.875
30,35725.171875
31,693002.5
32,8916961.0
33,1137861.25
34,108374.0234375
35,464505.8125
36,8119337.5
37,111199.609375
38,5808836.0
39,161546.59375
40,48706.8359375
41,39428.54296875
42,5507242.5
43,159130.3125
44,5147913.0
45,1016427.1875
46,6633627.5
47,4972380.5
48,975005.5
49,8784266.0
50,1652411.25
51,177783.46875
52,6217601.5
53,3333333.5
54,161927.421875
55,193209.09375
56,9693829.0
57,200152.6875
58,51723.42578125
59,1852596.375
60,2289762.0
61,9782611.0
62,288343.84375
63,9782594.0
64,536891.75
65,1238661.625
66,64644.9609375
67,372396.25
68,4972381.5
69,108675.4296875
70,9403107.0
71,98204.7421875
72,9782649.0
73,57722.2421875
74,8289671.5
75,71696.90625
76,108675.4296875
77,92848.2109375
78,3471211.25
79,2793783.0
80,576337.1875
81,8267198.0
82,4913804.0
83,78727.2578125
84,8900151.0
85,3333333.5
86,888555.9375
87,36004.63671875
88,32894.69921875
89,1009032.875
90,9499752.0
91,5623138.5
92,4079600.0
93,581808.0625
94,9603237.0
95,434834.09375
96,9782649.0
97,110508.5703125
98,55238.171875
99,1699561.125
100,49606.0390625
101,3141392.25
102,785242.1875
103,1344373.5
104,9465378.0
105,1920642.0
106,792393.4375
107,8158975.0
108,45260.21875
109,8857514.0
110,9672369.0
111,66030.1015625
112,1645758.25
113,93743.96875
114,5812489.5
115,3333333.5
116,108675.4296875
117,217677.640625
118,3295717.75
119,108675.4296875
120,581037.3125
121,2420150.25
122,9782649.0
123,113804.78125
124,194744.65625
125,6520546.0
126,9782638.0
127,125295.84375
128,92874.703125
129,6784994.0
130,2608345.25
131,8586732.0
132,108675.4296875
133,2425340.75
134,921912.5625
135,2300129.75
136,108675.4296875
137,2363998.5
138,4601147.0
139,4176003.75
140,8925139.0
141,2894483.0
142,168153.015625
143,63156.7109375
144,9063448.0
145,4312554.0
146,4972381.5
147,1469104.125
148,4671901.0
149,345904.1875
150,1297982.5
151,7129152.0
152,7922187.5
153,4795452.0
154,9428913.0
155,4149382.5
156,7491292.0
157,4365200.0
158,6971608.5
159,1531231.375
160,3050067.25
161,6314959.5
162,4242774.0
163,5384660.5
164,6445634.5
165,4517863.5
166,5337572.5
167,5591902.0
168,7412200.5
169,7012283.0
170,5459262.0
171,2420596.75
172,5304043.5
173,1107848.5
174,6399824.5
175,4575245.0
176,1897149.625
177,3544578.25
178,6987530.5
179,7967379.5
180,5161345.5
181,4796952.0
182,7472539.0
183,4388330.5
184,5165808.0
185,2777033.25
186,896540.3125
187,3396149.75
188,4323735.5
189,2456168.0
190,5449958.5
191,3057015.75
192,6068064.0
193,792892.0625
194,9118619.0
195,3388513.5
196,5358884.5
197,2696188.75
198,441911.96875
199,1650579.25
200,362016.15625
201,1345867.125
202,579850.25
203,3289767.25
204,4642865.0
205,4702780.5
206,2114507.5
207,3635347.75
208,1270609.5
209,3416681.25
210,1313875.625
211,1662958.875
212,1103240.25
213,1192274.875
214,2214774.25
215,2256630.75
216,1814940.375
217,1989291.75
218,1931876.125
219,6789581.0
220,2960708.5
221,1434749.25
222,478729.53125
223,5421272.5
224,4419729.0
225,1381360.25
226,2284054.0
227,4512339.0
228,3889146.25
229,3418556.5
230,4389276.0
231,5462087.0
232,3374078.25
233,498987.59375
234,1560504.875
235,4732272.0
236,4382145.0
237,2580456.25
238,3281911.25
239,3338733.5
240,5618208.5
241,5192239.5
242,1224670.5
243,4526334.0
244,4814057.0
245,4580124.5
246,6405895.5
247,4347065.5
248,7368263.0
249,5616970.0
250,5110070.5
251,1434026.75
252,2389569.5
253,7450998.5
254,5919747.5
255,5429302.0
256,4931932.5
257,4262807.5
258,5503259.5
259,1865843.25
260,2727050.75
261,2571420.0
262,1498376.625
263,645257.4375
264,995402.6875
265,2297743.0
266,398645.5
267,3113706.75
268,1278762.375
269,3242142.75
270,1555944.125
271,4699475.0
272,2853101.5
273,1690778.625
274,3475339.75
275,1056831.125
276,592630.6875
277,596640.9375
278,601825.0
279,1541868.625
280,659218.8125
281,925933.1875
282,708982.8125
283,555913.8125
284,1434787.375
285,532308.8125
286,3945478.25
287,534718.4375
288,2012233.75
289,1181171.25
290,1283074.75
291,2113954.75
292,1185479.5
293,723449.5
294,594088.1875
295,1008138.0625
296,2015492.125
297,1019980.8125
298,463575.90625
299,1626542.625
300,1417610.75
301,792283.1875
302,1511176.125
303,1255698.25
304,709694.125
305,364319.34375
306,454376.125
307,929269.8125
308,1187494.25
309,532409.9375
310,709424.1875
311,654489.25
312,797431.9375
313,881366.875
314,331122.4375
315,197107.03125
316,348405.3125
317,453816.6875
318,1041047.0625
319,903212.4375
320,778923.75
321,3174714.5
322,977109.125
323,2184326.75
324,866272.375
325,419072.125
326,427638.78125
327,1437048.75
328,523477.65625
329,358414.9375
330,421007.09375
331,748438.625
332,1674747.125
333,1078336.625
334,569763.875
335,785024.4375
336,662634.25
337,582414.1875
338,729659.8125
339,453986.4375
340,635082.0
341,460037.46875
342,451540.75
343,1630851.5
344,676721.875
345,472755.5
346,577311.9375
347,755623.25
348,690868.75
349,1016652.1875
350,667283.625
351,666972.1875
352,1144026.75
353,767714.0
354,512270.9375
355,398563.4375
356,1006597.375
