Step,Value
1,2200000.0
2,4200000.0
3,800000.0
4,9000000.0
5,14600000.0
6,3800000.0
7,4200000.0
8,8200000.0
9,7800000.0
10,2000000.0
11,9000000.0
12,3800000.0
13,2600000.0
14,1400000.0
15,6600000.0
16,1000000.0
17,6600000.0
18,5600000.0
19,2000000.0
20,6200000.0
21,9600000.0
22,5000000.0
23,5400000.0
24,12200000.0
25,3600000.0
26,11400000.0
27,10800000.0
28,8200000.0
29,8400000.0
30,400000.0
31,6400000.0
32,15400000.0
33,17200000.0
34,3000000.0
35,6400000.0
36,3800000.0
37,18000000.0
38,11600000.0
39,7800000.0
40,10600000.0
41,2200000.0
42,3600000.0
43,13400000.0
44,7200000.0
45,5800000.0
46,200000.0
47,800000.0
48,1400000.0
49,4000000.0
50,6000000.0
51,6200000.0
52,5800000.0
53,4200000.0
54,2800000.0
55,14400000.0
56,5000000.0
57,3800000.0
58,7000000.0
59,19200000.0
60,6400000.0
61,1000000.0
62,10400000.0
63,600000.0
64,13200000.0
65,8600000.0
66,2800000.0
67,11800000.0
68,4400000.0
69,7400000.0
70,800000.0
71,15600000.0
72,13400000.0
73,5800000.0
74,4400000.0
75,11600000.0
76,4200000.0
77,11000000.0
78,1800000.0
79,7200000.0
80,7600000.0
81,3600000.0
82,2600000.0
83,10400000.0
84,3200000.0
85,9200000.0
86,4400000.0
87,3600000.0
88,12000000.0
89,12800000.0
90,15800000.0
91,4200000.0
92,1600000.0
93,6200000.0
94,16800000.0
95,13600000.0
96,7400000.0
97,1800000.0
98,7000000.0
99,1000000.0
100,2800000.0
101,10400000.0
102,800000.0
103,3400000.0
104,5800000.0
105,6000000.0
106,400000.0
107,13200000.0
108,5400000.0
109,10400000.0
110,200000.0
111,7000000.0
112,2000000.0
113,11400000.0
114,5600000.0
115,9800000.0
116,3400000.0
117,3200000.0
118,5600000.0
119,8800000.0
120,2600000.0
121,5000000.0
122,4600000.0
123,600000.0
124,1600000.0
125,9400000.0
126,13400000.0
127,3600000.0
128,14800000.0
129,8800000.0
130,11000000.0
131,4000000.0
132,10000000.0
133,15200000.0
134,5600000.0
135,9600000.0
136,4600000.0
137,12600000.0
138,11000000.0
139,2400000.0
140,3200000.0
141,800000.0
142,1200000.0
143,2800000.0
144,12800000.0
145,3000000.0
146,600000.0
147,5000000.0
148,5200000.0
149,10800000.0
150,15200000.0
151,2800000.0
152,9000000.0
153,1200000.0
154,13000000.0
155,4400000.0
156,6000000.0
157,800000.0
158,1200000.0
159,6800000.0
160,2000000.0
161,3000000.0
162,1600000.0
163,400000.0
164,2600000.0
165,5000000.0
166,3600000.0
167,12600000.0
168,1800000.0
169,10000000.0
170,2200000.0
171,600000.0
172,200000.0
173,1000000.0
174,7000000.0
175,6200000.0
176,9400000.0
177,2200000.0
178,6400000.0
179,400000.0
180,6600000.0
181,200000.0
182,8200000.0
183,3400000.0
184,12000000.0
185,9400000.0
186,11000000.0
187,4800000.0
188,16800000.0
189,12000000.0
190,2400000.0
191,1200000.0
192,17400000.0
193,8400000.0
194,13000000.0
195,5000000.0
196,2800000.0
197,5400000.0
198,3000000.0
199,11000000.0
200,800000.0
201,9200000.0
202,17800000.0
203,7800000.0
204,2200000.0
205,9800000.0
206,11200000.0
207,12000000.0
208,10600000.0
209,1600000.0
210,4200000.0
211,2000000.0
212,2800000.0
213,800000.0
214,5000000.0
215,3600000.0
216,2800000.0
217,1000000.0
218,1200000.0
219,4000000.0
220,7400000.0
221,4600000.0
222,600000.0
223,5400000.0
224,1400000.0
225,8200000.0
226,1000000.0
227,3400000.0
228,12000000.0
229,16000000.0
230,3600000.0
231,14200000.0
232,3200000.0
233,1600000.0
234,12600000.0
235,4400000.0
236,12800000.0
237,5400000.0
238,4200000.0
239,7000000.0
240,6200000.0
241,5800000.0
242,2000000.0
243,11800000.0
244,1200000.0
245,8000000.0
246,7000000.0
247,2600000.0
248,2800000.0
249,10000000.0
250,2600000.0
251,14600000.0
252,14400000.0
253,18600000.0
254,1200000.0
255,1400000.0
256,3200000.0
257,1200000.0
258,1600000.0
259,3600000.0
260,11800000.0
261,2400000.0
262,2200000.0
263,9000000.0
264,2000000.0
265,4200000.0
266,4400000.0
267,11800000.0
268,9800000.0
269,2000000.0
270,11800000.0
271,1000000.0
272,4600000.0
273,1200000.0
274,4200000.0
275,3400000.0
276,6800000.0
277,13200000.0
278,8800000.0
279,7400000.0
280,8600000.0
281,11400000.0
282,11200000.0
283,12000000.0
284,13000000.0
285,2800000.0
286,5400000.0
287,14400000.0
288,14000000.0
289,4800000.0
290,2800000.0
291,12400000.0
292,9800000.0
293,10800000.0
294,9800000.0
295,1800000.0
296,13800000.0
297,5800000.0
298,1800000.0
299,8000000.0
300,1000000.0
301,17000000.0
302,13400000.0
303,4800000.0
304,7400000.0
305,14800000.0
306,2800000.0
307,8200000.0
308,400000.0
309,2800000.0
310,2800000.0
311,5600000.0
312,4800000.0
313,17200000.0
314,3400000.0
315,6200000.0
316,2600000.0
317,12400000.0
318,5600000.0
319,13600000.0
320,9800000.0
321,2600000.0
322,7800000.0
323,14000000.0
324,17400000.0
325,4000000.0
326,9200000.0
327,600000.0
328,3600000.0
329,11200000.0
330,2200000.0
331,2400000.0
332,3600000.0
333,8000000.0
334,1800000.0
335,5200000.0
336,200000.0
337,2000000.0
338,13600000.0
339,3200000.0
340,1200000.0
341,4600000.0
342,16600000.0
343,2000000.0
344,800000.0
345,2400000.0
346,1400000.0
347,3200000.0
348,9600000.0
349,1400000.0
350,2200000.0
351,2000000.0
352,6400000.0
353,6800000.0
354,10200000.0
355,14800000.0
356,400000.0
357,4400000.0
358,6600000.0
359,9400000.0
360,9800000.0
361,3400000.0
362,2400000.0
363,2600000.0
364,6200000.0
365,8000000.0
366,11400000.0
367,13000000.0
368,7200000.0
369,3600000.0
370,1800000.0
371,2800000.0
372,3800000.0
373,2400000.0
374,10800000.0
375,7200000.0
376,6000000.0
377,400000.0
378,15600000.0
379,2000000.0
380,3400000.0
381,2800000.0
382,12000000.0
383,4800000.0
384,2400000.0
385,13400000.0
386,2000000.0
387,4400000.0
388,5800000.0
389,16600000.0
390,12800000.0
391,10200000.0
392,2200000.0
393,5400000.0
394,10800000.0
395,600000.0
396,1800000.0
397,3600000.0
398,11600000.0
399,9600000.0
400,1800000.0
401,4200000.0
402,1000000.0
403,2200000.0
404,15400000.0
405,3800000.0
406,1400000.0
407,5200000.0
408,11800000.0
409,12800000.0
410,9400000.0
411,800000.0
412,3200000.0
413,12000000.0
414,7600000.0
415,3200000.0
416,8600000.0
417,2200000.0
418,1000000.0
419,1000000.0
420,2400000.0
421,8600000.0
422,3000000.0
423,9400000.0
424,6400000.0
425,1600000.0
426,1000000.0
427,200000.0
428,5000000.0
429,15000000.0
430,6400000.0
431,3000000.0
432,4200000.0
433,8000000.0
434,3600000.0
435,5400000.0
436,10000000.0
437,2000000.0
438,11000000.0
439,11200000.0
440,5200000.0
441,3200000.0
442,6600000.0
443,5400000.0
444,15200000.0
445,9000000.0
446,400000.0
447,5000000.0
448,10400000.0
449,3400000.0
450,4800000.0
451,2400000.0
452,3400000.0
453,6600000.0
454,1000000.0
455,3000000.0
456,5600000.0
457,6600000.0
458,3200000.0
459,5000000.0
460,5000000.0
461,14200000.0
462,8200000.0
463,13400000.0
464,7800000.0
465,9000000.0
466,9000000.0
467,6800000.0
468,11400000.0
469,10400000.0
470,5200000.0
471,800000.0
472,2800000.0
473,800000.0
474,7800000.0
475,1000000.0
476,8400000.0
477,15200000.0
478,4400000.0
479,17600000.0
480,7000000.0
481,5400000.0
482,6400000.0
483,2800000.0
484,7400000.0
485,14600000.0
486,10400000.0
487,8000000.0
488,2800000.0
489,4200000.0
490,5600000.0
491,6800000.0
492,1000000.0
493,2200000.0
494,6800000.0
495,4800000.0
496,2800000.0
497,5000000.0
498,9000000.0
499,600000.0
500,4000000.0
501,8200000.0
502,14400000.0
503,9000000.0
504,3200000.0
505,11000000.0
506,5400000.0
507,6200000.0
508,7200000.0
509,7200000.0
510,2200000.0
511,1200000.0
512,3000000.0
513,6000000.0
514,5200000.0
515,10200000.0
516,3000000.0
517,1400000.0
518,9800000.0
