Step,Value
1,4101112.5
2,4343764.5
3,4377077.0
4,4471381.5
5,4524696.0
6,4517011.5
7,4622625.5
8,4627618.0
9,4709830.5
10,4890696.0
11,4562425.0
12,4920886.5
13,4888647.0
14,5373180.0
15,5018272.5
16,5167381.0
17,5144339.5
18,5170632.0
19,5358840.5
20,5190115.5
21,5185108.0
22,4937345.5
23,4612338.0
24,4812014.0
25,4569415.5
26,4744947.5
27,4155043.25
28,4041208.5
29,4360646.0
30,4391907.5
31,4291952.5
32,4270242.0
33,4823610.5
34,4579683.0
35,4556667.0
36,4602360.0
37,4300271.0
38,4558484.0
39,4200272.5
40,4313851.5
41,4802427.5
42,4655794.5
43,4963343.5
44,5320664.0
45,5397647.0
46,5328946.0
47,5527207.0
48,5379609.0
49,5486156.0
50,5319039.5
51,4986269.0
52,5069862.5
53,4753594.0
54,4539239.5
55,4388944.5
56,4583052.5
57,4018710.25
58,4547999.5
59,4942391.5
60,5033299.0
61,4702647.0
62,4387318.5
63,4826669.0
64,4965288.5
65,4966405.5
66,4954470.5
67,5316231.5
68,5783225.0
69,5275660.0
70,4832998.5
71,5004008.0
72,5170109.5
73,5065083.5
74,4785150.5
75,5107688.0
76,5035698.5
77,5660486.5
78,5681275.5
79,6135463.5
80,5610000.0
81,5304955.5
82,4855711.0
83,4461297.0
84,4552463.5
85,4534981.5
86,4239329.0
87,3827313.25
88,3851892.0
89,4102541.5
90,4222283.0
91,3989028.25
92,3807126.25
93,3437921.0
94,4127115.5
95,4634745.5
96,4835431.0
97,4482533.0
98,4657033.0
99,4911627.0
100,4668739.0
101,4417161.0
102,4302407.0
103,4302754.0
104,4222691.0
105,3979569.25
106,3902115.75
107,4320373.5
108,4132320.5
109,4624727.0
110,5131423.0
111,4707416.5
112,4703176.5
113,4568674.0
114,4843802.5
115,4666093.0
116,5308911.5
117,4906149.0
118,5691270.5
119,5106931.0
120,5324584.0
121,5124879.5
122,5368335.5
123,5269458.5
124,5339743.5
125,5518421.5
126,5950730.0
127,5332840.5
128,5547714.0
129,5449858.5
130,5395154.0
131,5638387.0
132,6031828.0
133,5938452.0
134,5623268.0
135,5628299.0
136,5671051.5
137,5369572.0
138,5922892.0
139,5970650.5
140,6256621.5
141,6379903.0
142,5889417.0
143,5480817.5
144,5126701.5
145,5280738.5
146,5102953.5
147,4955989.5
148,4684482.0
149,4590506.0
150,4364527.5
151,4554812.5
152,4738126.5
153,4358236.0
154,4163508.25
155,4089469.25
156,4401773.0
157,4673017.5
158,4769040.5
159,4793897.0
160,4840988.0
161,5460657.0
162,5511664.5
163,5917538.5
164,6065522.5
165,5951213.5
166,6104620.5
167,6222040.0
168,6106329.0
169,5872337.0
170,5724541.0
171,6062550.0
172,5730481.0
173,5268906.5
174,5233778.0
175,5429286.0
176,5269511.0
177,5105643.0
178,5015947.0
179,4460684.0
180,4196889.0
181,3677084.5
182,3756499.5
183,3813411.5
184,3626116.25
185,4531001.0
186,4398965.5
187,4012704.5
188,4106959.25
189,4174288.25
190,4155128.25
191,4818192.0
192,5091028.5
193,4988006.5
194,5368412.0
195,5313081.5
196,5351001.0
197,5354755.5
198,5868267.0
199,5749393.5
200,6067719.0
201,6261366.0
202,6253042.5
203,6205585.0
204,5395243.5
205,4708619.5
206,4742771.0
207,4445669.0
208,4183504.75
209,4591204.0
210,4292510.5
211,4789431.0
212,4694335.5
213,4807117.5
214,4264623.5
215,4404704.5
216,4420762.0
217,4057630.75
218,3890543.25
219,3798240.25
220,3212884.0
221,3779465.0
222,3978519.25
223,4108153.0
224,4369326.0
225,4325546.5
226,4522302.0
227,4752590.0
228,4814081.5
229,5118795.5
230,5226119.5
231,5225682.5
232,5122991.5
233,5205940.0
234,5335706.0
235,5619212.0
236,5654874.5
237,5697028.0
238,5888877.5
239,5563391.0
240,5632695.5
241,5403765.0
242,4938335.5
243,4996141.5
244,5728562.5
245,5955384.0
246,5596165.0
247,5548464.5
248,5481073.0
249,5319633.5
250,4775805.5
251,4967232.0
252,5306067.5
253,5295131.5
254,5506383.5
255,5079340.0
256,5287016.5
257,5198208.0
258,4991436.0
259,5127274.5
260,5365151.5
261,5426176.0
262,5022536.0
263,5442734.5
264,5408590.0
265,5424219.5
266,5952140.5
267,6093344.5
268,6016218.0
269,5995133.5
270,5239640.0
271,5328959.5
272,4879378.0
273,4799304.0
274,5188115.0
275,5083044.0
276,5686868.0
277,5199201.5
278,5483327.0
279,5769571.5
280,5321516.0
281,5256660.0
282,5785063.0
283,5939344.0
284,5556405.5
285,5728872.5
286,5918393.5
287,5503591.5
288,5464177.5
289,5201687.0
290,5177851.0
291,5279411.0
292,5415093.0
293,5120703.0
294,5100391.5
295,4801467.5
296,4958987.5
297,5142136.0
298,4991595.5
299,5117832.5
300,4635519.5
301,4579425.0
302,4573061.5
303,4108683.75
304,4921018.5
305,4954955.5
306,5381941.0
307,4929546.0
308,4970747.5
309,5174537.5
310,5090280.5
311,5274495.5
312,5522452.0
313,5539998.0
314,5237976.5
315,4622008.0
316,4954627.0
317,4548137.5
318,5048651.5
319,4957578.5
320,4761680.0
321,4647046.5
322,4815228.0
323,4605500.0
324,4086999.75
325,3942104.0
326,4048467.0
327,4281028.0
328,4129155.0
329,3681360.0
330,3982637.5
331,4042912.5
332,3822437.0
333,4150005.0
334,3916786.25
335,4443737.5
336,4688306.0
337,4994330.5
338,4578881.5
339,4348095.5
340,4300821.0
341,4290709.0
342,4431848.0
343,4282696.0
344,4051690.0
345,3998121.5
346,3946829.75
347,4306861.0
348,4833853.5
349,4738599.0
350,4540641.0
351,4898461.5
352,4906871.0
353,4577913.5
354,4408025.5
355,4475734.0
356,4187872.75
357,4540342.0
358,4207180.0
359,4527195.5
360,4772434.5
361,4983621.0
362,5393678.5
363,5807153.0
364,5707493.0
365,6039544.5
366,5766526.0
367,4941420.5
368,5146318.5
369,5210817.5
370,5025950.5
371,5295549.5
372,5676982.5
373,5511784.5
374,5572009.5
375,5421024.5
376,5776568.5
377,5300854.0
378,4836519.5
379,4665606.0
380,4078928.25
381,4191640.0
382,4066935.0
383,3467144.5
384,4196360.5
385,4764056.5
386,4584694.5
387,4911264.0
388,4308115.5
389,4364937.5
390,4494012.0
391,4246238.0
392,3868627.0
393,3725192.5
394,4384718.0
395,4542389.5
396,4656890.5
397,4950967.0
398,4454835.5
399,4236371.0
400,4397051.5
401,4712825.0
402,5148811.0
403,5036469.5
404,5262145.5
405,4526505.5
406,5304762.5
407,5069141.5
408,5047722.5
409,5508691.5
410,4723852.5
411,4474022.0
412,4172531.5
413,4294515.0
414,4590611.0
415,4996177.5
416,5009794.5
417,5462522.5
418,5347884.0
419,5458220.5
420,5636158.0
421,5393957.5
422,5059804.5
423,5133540.5
424,4934028.5
425,5781812.0
426,5712527.0
427,6370587.5
428,6536572.0
429,5934862.5
430,5900616.0
431,5791085.0
432,5751755.0
433,5271559.0
434,5274473.0
435,5510427.0
436,5458783.0
437,5801050.0
438,5349440.5
439,5303374.0
440,4570897.5
441,4857649.5
442,4784025.5
443,4967218.0
444,4546152.5
445,4521598.5
446,4965132.5
447,4765982.5
448,5076071.0
449,4857044.5
450,4706504.5
451,4419784.0
452,4806486.0
453,4213123.5
454,4557447.5
455,4800176.0
456,5829672.0
457,6206484.0
458,6325067.0
459,6690942.5
460,6874560.5
461,6903489.5
462,6448994.5
463,6284134.0
464,7193677.5
465,7044560.0
466,7333379.5
467,6955675.5
468,6931138.5
469,6811302.5
470,6735966.5
471,6196162.5
472,5946073.0
473,5379523.0
474,5190177.0
475,5050390.5
476,5224359.0
477,4890657.0
478,4542565.0
479,4339507.0
480,4565438.5
481,4382760.5
482,4200858.0
483,4107127.25
484,3438655.75
485,3606576.0
486,3587877.25
487,4021522.75
488,4034964.0
489,4223608.0
490,4174956.5
491,4285661.0
492,4049999.5
493,3696919.25
494,3993318.25
495,4058277.0
496,4062759.75
497,4258422.0
498,4170751.25
499,4267996.0
500,4718631.5
501,5085391.0
502,4786264.0
503,4573278.0
504,4847550.5
505,4959239.0
506,4815442.5
507,5069930.0
508,5159676.5
509,5390177.0
510,5838344.0
511,5629437.5
512,5969997.0
513,5738575.5
514,5710651.5
515,5905475.0
516,5548250.0
517,5199355.0
518,5503970.5
519,4867994.0
520,5556085.5
521,5518813.5
522,5029043.0
523,5066760.5
524,4697772.0
525,4949727.5
526,4118474.25
527,4192557.25
528,4681870.0
529,4670463.0
530,5172929.5
531,5261380.5
532,5134539.5
533,4830275.5
534,4924484.0
535,4775550.0
536,5351928.5
537,5706333.0
538,5482469.0
539,5577782.0
540,5220372.0
541,4892236.5
542,5139935.0
543,5144276.0
544,5193380.0
545,5206716.5
546,5761279.5
547,5668111.5
548,5461233.5
549,5812929.5
550,5560340.0
551,5022787.5
552,5231147.0
553,5672862.0
554,5637274.5
555,5780599.5
556,5086141.5
557,5023796.0
558,4719606.5
559,4410456.0
560,4424360.5
561,4648726.5
562,4120528.5
563,4035254.75
564,4212529.0
565,4305925.5
566,4288109.0
567,4629747.5
568,4803914.0
569,5222320.5
570,5672998.0
571,5384653.5
572,4970733.0
573,5306416.0
574,5715272.5
575,5508285.5
576,5583668.0
577,5568882.5
578,6215502.0
579,6317978.5
580,6820720.0
581,6563574.0
582,6188314.0
583,5918416.0
584,5710569.0
585,5597366.5
586,5079653.5
587,5431631.0
588,6099919.5
589,5840609.5
590,6178620.5
591,5860180.0
592,5331159.0
593,4853938.5
594,4812890.0
595,4844188.0
596,4689043.0
597,4126136.5
598,3651555.5
599,4084184.25
600,3789869.75
601,4511190.5
602,4988097.0
603,4976193.0
604,5134016.0
605,4926763.5
606,5557846.0
607,5460861.5
608,5186871.5
609,4798781.0
610,5141427.5
611,4928219.5
612,4758420.5
613,4738699.5
614,4641747.0
615,4697563.0
616,4942509.0
617,4885444.5
618,4576367.5
619,4886029.0
620,4949760.0
621,5188367.5
622,4525502.0
623,4423939.0
624,4105748.25
625,3863578.0
626,4066104.0
627,4624073.5
628,4318360.0
629,4311472.0
630,4201607.0
631,4985409.0
632,5105075.5
633,5193218.5
634,4931786.5
635,5255278.0
636,5088857.5
637,4882739.5
638,5755797.5
639,5248091.5
640,4871385.5
641,4452126.5
642,4709908.5
643,4536252.5
644,4814438.0
645,5030415.5
646,5221204.5
647,5235614.0
648,5038072.0
649,5363691.5
650,5453832.5
651,5032180.5
652,4704965.5
653,4865060.5
654,4689208.0
655,4877758.5
656,5111204.5
657,4911017.0
658,4584581.5
659,5291597.5
660,5419760.0
661,4867817.0
662,5251644.5
663,5066348.5
664,5248150.0
665,4886175.0
666,4094294.25
667,4713225.5
668,5249373.0
669,5116112.0
670,4722905.0
671,4468593.5
672,5379052.0
673,5632357.5
674,5705696.5
675,5631361.5
676,5706749.5
677,5414446.5
678,5247397.0
679,5289565.0
680,5506270.5
681,5729729.5
682,5572961.5
683,5419681.0
684,5454623.0
685,4998244.5
686,5660571.5
687,5632812.0
688,5479794.5
689,5572054.0
690,5839765.0
691,5875018.0
692,5650527.0
693,5769955.5
694,5605077.0
695,5568049.0
696,5563476.5
697,5490446.0
698,5386373.5
699,5414976.5
700,5308820.5
701,5889724.5
702,6226522.5
703,6140206.0
704,5831871.5
705,5551562.5
706,5524003.0
707,5267693.5
708,5131380.5
709,4516069.0
710,4535860.0
711,4558706.5
712,4736570.5
713,4956748.0
714,4835682.0
715,5014955.0
716,4783879.5
717,4475369.5
718,4120558.25
719,4825023.5
720,4677077.0
721,4646359.5
722,4456072.0
723,4711458.5
724,4932212.0
725,4495511.5
726,4572240.0
727,4506772.5
728,4949136.5
729,5088053.0
730,5588829.5
731,5007256.0
732,5251001.0
733,4697917.5
734,4413242.0
735,4377544.5
736,4222904.5
737,4397258.0
738,4480118.5
739,4465162.5
740,4449756.5
741,4558742.5
742,4719333.0
743,4677699.0
744,4481725.0
745,4613766.0
746,4404173.0
747,4498066.5
748,4394422.0
749,4649031.5
750,4570617.5
751,5017531.0
752,5189931.0
753,5269454.0
754,5888219.5
755,5785693.5
756,6169462.0
757,6230981.5
758,6211489.0
759,6274559.0
760,5970189.5
761,5978419.5
762,6016035.5
763,6380506.5
764,6637560.0
765,6525629.5
766,6646549.5
767,5834683.5
768,6052066.5
769,5836943.0
770,5399285.5
771,5142211.0
772,5204420.5
773,4953542.5
774,4886118.5
775,4501251.0
776,4635691.0
777,4339832.5
778,4126974.75
