Step,Value
1,1726.2313232421875
2,5053.46044921875
3,2448683.5
4,1537202.625
5,4575301.5
6,8728555.0
7,188901.921875
8,4586928.0
9,134885.75
10,151228.15625
11,13698.1435546875
12,1825.75439453125
13,244088.171875
14,6594.24658203125
15,100201.125
16,290.50860595703125
17,747.447509765625
18,9812849.0
19,1943257.875
20,46098.578125
21,8047.10009765625
22,3512692.75
23,9956203.0
24,232644.734375
25,509826.3125
26,7337244.0
27,817682.6875
28,983.181884765625
29,8707559.0
30,3331922.5
31,48860.19921875
32,504020.34375
33,4149014.25
34,147315.140625
35,242522.921875
36,351775.03125
37,9193405.0
38,123028.375
39,144923.546875
40,7844403.0
41,783847.9375
42,4844364.0
43,110518.421875
44,7927820.0
45,4520065.0
46,813395.1875
47,6464472.5
48,6375840.5
49,8426.1259765625
50,757454.625
51,1645921.125
52,137052.984375
53,6598487.5
54,609240.125
55,74551.96875
56,704334.625
57,413635.625
58,3736953.25
59,3724176.5
60,9140900.0
61,1650.2147216796875
62,6598850.5
63,8049311.5
64,6984899.0
65,7618168.0
66,5211280.0
67,115221.2421875
68,180838.765625
69,48788.1171875
70,192209.171875
71,8024873.0
72,6556149.0
73,53695.01953125
74,8551235.0
75,7556510.0
76,1867907.75
77,2526522.75
78,59025.9921875
79,44925.859375
80,259178.1875
81,4808044.0
82,65469.30078125
83,4482518.5
84,8508312.0
85,503255.28125
86,311166.6875
87,3811645.25
88,1504249.0
89,1064142.25
90,9234275.0
91,2712.341552734375
92,9932778.0
93,861.79150390625
94,464979.40625
95,2747790.0
96,591572.5625
97,7681733.0
98,157406.4375
99,9847888.0
100,69704.6875
101,779741.5625
102,23190.501953125
103,6041.30615234375
104,1099320.0
105,514558.8125
106,19667.029296875
107,6418.44970703125
108,118390.6640625
109,1320.3270263671875
110,986.531005859375
111,33329.46875
112,821326.375
113,172.81333923339844
114,6793.3486328125
115,42.137638092041016
116,97.0156021118164
117,585.5991821289062
118,925.2015380859375
119,2096.2607421875
120,26.18443489074707
121,3260.74658203125
122,1761.0401611328125
123,118.02838897705078
124,10538.0595703125
125,583463.4375
126,1261.966552734375
127,19.42203140258789
128,89978.546875
129,5275194.0
130,19318.123046875
131,301516.8125
132,1976938.375
133,1211708.375
134,35466.23828125
135,3464269.25
136,8900691.0
137,9480987.0
138,9641065.0
139,6814291.5
140,1889834.875
141,9973014.0
142,9998358.0
143,9624431.0
144,9998980.0
145,9936830.0
146,9997129.0
147,9994441.0
148,9996898.0
149,9883989.0
150,9997818.0
151,9899544.0
152,9967166.0
153,8697540.0
154,9874566.0
155,9999089.0
156,10000000.0
157,9994423.0
158,9995691.0
159,9999954.0
160,9983523.0
161,9999574.0
162,9990314.0
163,9998431.0
164,9999902.0
165,9999809.0
166,9999999.0
167,9999928.0
168,9999986.0
169,9999825.0
170,9999986.0
171,9999729.0
172,9999999.0
173,9999964.0
174,9996452.0
175,9999995.0
176,9909473.0
177,9999993.0
178,9999908.0
179,9994960.0
180,9999975.0
181,9994562.0
182,8252110.0
183,9999623.0
184,9992571.0
185,9999180.0
186,9958791.0
187,9986110.0
188,9875326.0
189,2182066.5
190,6879061.0
191,1589484.625
192,1872374.625
193,159580.078125
194,534828.3125
195,2287.032958984375
196,12192.66015625
197,4100.83203125
198,1684.251953125
199,4976647.0
200,38.35472106933594
201,7.6274237632751465
202,7.6810760498046875
203,8.684471130371094
204,4885158.0
205,0.005888309329748154
206,4157543.5
207,0.02276594378054142
208,0.4432762861251831
209,6.756453037261963
210,0.05580655112862587
211,0.06813971698284149
212,1.1915841102600098
213,0.07775507867336273
214,0.00024868539185263216
215,0.013901685364544392
216,3.689869481604546e-05
217,0.004526864271610975
218,3.630391802289523e-05
219,0.015372480265796185
220,6.320080046862131e-06
221,0.0023890549782663584
222,0.0016380994347855449
223,0.0012253876775503159
224,1.4179249774315394e-06
225,0.003430162090808153
226,0.0001651676866458729
227,9.984772623283789e-05
228,1.0455767551320605e-05
229,0.0007539234939031303
230,0.00012010992941213772
231,0.1923055350780487
232,1.0990355014801025
233,24808.26953125
234,0.00036354659823700786
235,3.889029176207259e-05
236,0.004531433805823326
237,4.8522688302909955e-05
238,0.2866732180118561
239,1.4619459420828207e-08
240,0.0011495348298922181
241,0.8454384803771973
242,0.023831669241189957
243,0.5478713512420654
244,1.4354838132858276
245,5.609864274447318e-06
246,0.42179447412490845
247,27288.57421875
248,0.005110975354909897
249,0.6061709523200989
250,0.0002224593044957146
251,2.636051654815674
252,0.020470023155212402
253,8.614969253540039
254,4.963449669048714e-07
255,0.0002509463229216635
256,0.36299216747283936
257,1.2454310655593872
258,0.00862500537186861
259,0.10861269384622574
260,0.003570330096408725
261,1.5294897556304932
262,0.5559282898902893
263,5.419867992401123
264,6.9217047691345215
265,0.025316670536994934
266,9.185686111450195
267,3.8125808238983154
268,3.0166049003601074
269,21.920867919921875
270,100.14873504638672
271,27.654783248901367
272,41.458656311035156
273,25864.73046875
274,0.767764151096344
275,32321.875
276,64.3545150756836
277,2.1494808197021484
278,88199.3515625
279,5.987849712371826
280,2.2571094036102295
281,75.6392822265625
282,29639.798828125
283,656.7520751953125
284,51.233062744140625
285,20.590131759643555
286,112.65795135498047
287,68.73350524902344
288,604.8385620117188
289,117.76261901855469
290,43.500186920166016
291,451150.625
292,0.0034418143332004547
293,1.0306892395019531
294,15.763405799865723
295,31.233915328979492
296,1.1824983358383179
297,1289.4207763671875
298,380294.4375
299,0.12521222233772278
300,9.788052558898926
301,191.745361328125
302,159.51324462890625
303,1722.9219970703125
304,726.4254150390625
305,224.8832244873047
306,100260.8203125
307,1557.395263671875
308,344.96435546875
309,2339.841796875
310,1088149.0
311,48.216033935546875
312,118.98735809326172
313,44.38661193847656
314,4130.919921875
315,225.845458984375
316,35939.45703125
317,60351.59765625
318,642.1473999023438
319,10583.60546875
320,122696.7265625
321,2210563.75
322,1930784.75
323,47.7758903503418
324,142.1892852783203
325,207.76426696777344
326,409.4272155761719
327,185.84347534179688
328,42.14947509765625
329,10298.693359375
330,17441.55859375
331,689.6057739257812
332,4562211.5
333,138.3134307861328
334,1461.2467041015625
335,1527.416748046875
336,106.69805145263672
337,1831.6785888671875
338,175688.90625
339,125671.8515625
340,18843.36328125
341,35385.3046875
342,124401.859375
343,1751796.625
344,4860.9501953125
345,12148.4541015625
346,44717.4375
347,7485.15380859375
348,419647.78125
349,3378.61328125
350,31156.162109375
351,153328.953125
352,429650.90625
353,6520.9482421875
354,23328.279296875
355,153360.40625
356,139415.109375
357,2228332.75
358,88594.875
359,104078.015625
360,122265.2421875
361,397509.15625
362,69963.0546875
363,151248.6875
364,8183241.5
365,426991.84375
366,936778.125
367,1123857.25
368,167936.265625
369,1301612.875
370,999088.5
371,877140.75
372,1066249.125
373,3239610.25
374,2618612.25
375,3967096.0
376,4644570.0
377,4172553.5
378,4885108.5
379,5371194.0
380,6369759.0
381,8060626.0
382,7886108.0
383,7387660.0
384,7461592.5
385,7367146.5
386,8759099.0
387,9396520.0
388,8641883.0
389,8416348.0
390,9251356.0
391,9273827.0
392,9200137.0
393,9721076.0
394,9646112.0
395,9774392.0
396,9806449.0
397,9901664.0
398,9792002.0
399,9928964.0
400,9951870.0
401,4079938.75
402,9977692.0
403,9983659.0
404,9966239.0
405,7817868.5
406,9988727.0
407,9989342.0
408,9965711.0
409,9980141.0
410,9984623.0
411,9533969.0
412,9993566.0
413,9993184.0
414,9993421.0
415,9600083.0
416,9996356.0
417,9995655.0
418,9997140.0
419,9630458.0
420,9997640.0
421,9998294.0
422,9997038.0
423,9997485.0
424,9739763.0
425,3348076.25
426,9999646.0
427,9999651.0
428,9998630.0
429,9695559.0
430,9999585.0
431,9999067.0
432,9998831.0
433,9996141.0
434,9616519.0
435,9997129.0
436,9995377.0
437,9993510.0
438,9982989.0
439,9033695.0
440,9971753.0
441,9981180.0
442,9975041.0
443,9943597.0
444,6172169.5
445,9960290.0
446,9930861.0
447,9863507.0
448,9901279.0
449,9719657.0
450,9757271.0
451,9769554.0
452,4002393.5
453,3497429.75
454,9435188.0
455,9309494.0
456,9044816.0
457,7962791.5
458,8583393.0
459,7142197.0
460,7687062.0
461,3792472.75
462,5464445.0
463,3704958.75
464,5828356.5
465,4387620.0
466,2801665.75
467,3568488.75
468,3581090.25
469,3427575.5
470,3489288.5
471,2577960.0
472,2213598.75
473,2287196.25
474,3536941.0
475,2792520.0
476,3345806.5
