Step,Value
1,3459606.75
2,1819090.875
3,567520.9375
4,1869958.875
5,561920.625
6,1080083.0
7,7387802.0
8,3500281.25
9,1600655.0
10,4507923.5
11,707876.0625
12,4583628.0
13,2966124.0
14,869031.1875
15,2196293.25
16,1512024.875
17,7358241.0
18,1056513.375
19,1448155.5
20,6860152.0
21,5245270.0
22,1580671.875
23,829282.1875
24,2866955.75
25,994595.0625
26,944843.4375
27,1752016.0
28,7956395.0
29,196804.796875
30,5387646.5
31,4681669.5
32,6182350.0
33,3989863.5
34,3716054.75
35,5143148.5
36,4790371.5
37,1480940.375
38,889771.125
39,714071.8125
40,1878389.0
41,943266.3125
42,2766275.5
43,2717863.5
44,2352285.0
45,4115418.0
46,988731.25
47,2232864.0
48,3896956.25
49,1029427.625
50,3579703.75
51,915545.0625
52,1369764.75
53,1777165.5
54,1114323.75
55,627670.875
56,1891018.25
57,6623288.0
58,4874733.0
59,822667.1875
60,811524.25
61,738180.375
62,1969425.875
63,2343738.5
64,2469532.25
65,2583058.25
66,598341.0
67,6914583.0
68,3094514.0
69,6800340.0
70,3217326.75
71,1044611.0625
72,2975636.0
73,1586278.25
74,2139711.0
75,3468926.5
76,5116700.0
77,566849.5
78,1561112.125
79,998216.0
80,686814.25
81,2300791.25
82,6877309.5
83,2844955.5
84,1852689.625
85,1207146.0
86,5755901.5
87,2011827.5
88,2062140.875
89,3505769.25
90,1902243.75
91,158914.21875
92,1474044.625
93,450805.5
94,3794191.5
95,374733.96875
96,230510.359375
97,677342.25
98,720081.5
99,7766511.5
100,1464845.625
101,2725567.75
102,597609.0
103,181848.484375
104,6774224.0
105,814479.1875
106,6995026.5
107,1531024.375
108,1426419.625
109,4156895.0
110,1611164.625
111,1879335.5
112,6448910.0
113,2157772.25
114,9019290.0
115,4652889.0
116,5524212.0
117,2013532.5
118,238069.28125
119,3096274.75
120,349234.03125
121,3893491.25
122,4592923.0
123,5590169.5
124,1355770.875
125,290842.4375
126,530098.125
127,787845.125
128,745142.3125
129,1649550.625
130,2250629.25
131,917643.4375
132,6653447.5
133,469481.28125
134,4385767.5
135,3973308.0
136,5820373.5
137,8475549.0
138,3276196.5
139,2821064.0
140,239865.296875
141,1067482.75
142,2490164.5
143,830649.4375
144,1796055.75
145,5686317.5
146,486935.5625
147,1813726.375
148,5701158.0
149,1953293.375
150,3633798.25
151,790767.3125
152,1929973.375
153,4887520.0
154,185153.5625
155,1226352.625
156,5145169.5
157,3611051.25
158,1545722.5
159,4507167.5
160,1680035.75
161,6391395.5
162,8578335.0
163,1208335.125
164,2542244.0
165,3488146.0
166,675219.625
167,720797.0625
168,233819.59375
169,1380541.875
170,1769351.625
171,701505.625
172,3687222.0
173,5120891.5
174,485996.8125
175,4394735.5
176,893930.4375
177,1586387.0
178,2059119.25
179,1210552.625
180,1164886.0
181,709181.5625
182,1805020.375
183,364868.5
184,1758422.75
185,3021551.0
186,1080671.125
187,853532.25
188,4602014.0
189,4223690.5
190,3089070.5
191,2151264.0
192,1091356.25
193,1672288.125
194,1249722.5
195,3788066.5
196,3066805.25
197,1474306.625
198,47957.40234375
199,1084730.375
200,567856.875
201,8840857.0
202,1042301.375
203,1994057.125
204,4461850.0
205,2134324.5
206,903257.75
207,2417187.0
208,634027.0625
209,7005139.0
210,322957.34375
211,3409416.0
212,1906761.375
213,4013707.75
214,4099067.25
215,6147637.0
216,3939025.75
217,6078339.0
218,281435.4375
219,4294413.5
220,353557.90625
221,832438.25
222,1453139.625
223,1720538.75
224,1687098.5
225,2419421.25
226,1703198.0
227,2917526.75
228,184352.625
229,1713867.5
230,1284334.25
231,1635785.5
232,2127167.5
233,1415118.75
234,452843.3125
235,8299781.0
236,2577588.0
237,1136612.125
238,3887891.25
239,2198859.75
240,2129930.25
241,3822228.5
