Step,Value
1,726080.0625
2,1229578.5
3,7671209.5
4,4521087.0
5,8982995.0
6,11827086.0
7,3781858.0
8,8210462.5
9,2921059.75
10,2778474.5
11,1982359.5
12,750081.625
13,3462650.0
14,1348530.625
15,2838022.75
16,531907.625
17,742019.125
18,14317855.0
19,6387195.5
20,2004088.0
21,1144533.5
22,7675591.5
23,16141720.0
24,3263304.25
25,4870966.0
26,10624394.0
27,4995315.5
28,681702.5625
29,12865629.0
30,8768623.0
31,1808180.375
32,4796370.5
33,7517868.5
34,2620807.5
35,3454586.25
36,3428754.25
37,12096659.0
38,3297328.0
39,3730267.5
40,10367105.0
41,5454395.0
42,7669231.5
43,2653472.25
44,10014687.0
45,7991547.0
46,5488068.0
47,8872941.0
48,9492798.0
49,1457245.25
50,4404299.5
51,6655496.0
52,1938816.625
53,9332060.0
54,5039462.0
55,2981798.75
56,4936113.5
57,4655891.0
58,9093159.0
59,8444511.0
60,12835306.0
61,920655.375
62,9081479.0
63,10125245.0
64,9146853.0
65,9544259.0
66,9588982.0
67,3051897.5
68,3043204.25
69,2295537.25
70,3099927.0
71,11096458.0
72,8835059.0
73,2431992.75
74,14831185.0
75,10376928.0
76,6615523.0
77,7720632.0
78,2496453.25
79,2653319.25
80,4672757.5
81,7780851.5
82,1519341.125
83,7459340.0
84,10863646.0
85,4739919.5
86,3635311.75
87,7411506.0
88,5713799.5
89,4648228.5
90,11953168.0
91,1120429.5
92,15649956.0
93,768385.875
94,3911863.75
95,8080618.0
96,5493034.5
97,11220090.0
98,8829296.0
99,1093524.5
100,3740296.75
101,12931701.0
102,15952400.0
103,16553078.0
104,5996362.5
105,16957962.0
106,4878971.5
107,6337876.5
108,1082633.625
109,7334770.5
110,3274146.25
111,7690961.5
112,4425505.0
113,14276807.0
114,705414.25
115,2463642.0
116,4687530.5
117,12446395.0
118,12189747.0
119,1463966.125
120,15263352.0
121,10702031.0
122,6421130.5
123,2765710.25
124,6606706.0
125,1113609.125
126,18373518.0
127,5959633.0
128,835054.6875
129,5802526.0
130,2710687.75
131,7238556.5
132,2302134.5
133,9582248.0
134,1556068.25
135,1679363.25
136,5325100.5
137,609162.125
138,2595641.0
139,6503545.0
140,16159749.0
141,15599973.0
142,11777186.0
143,8839006.0
144,4157774.5
145,2419993.5
146,2919257.25
147,8657399.0
148,5627809.0
149,10397369.0
150,923253.3125
151,9438000.0
152,4383350.5
153,1030959.5
154,9503292.0
155,1888275.875
156,3303460.0
157,1026300.625
158,3700318.25
159,2744414.5
160,17135540.0
161,4011744.5
162,807712.125
163,9273785.0
164,12326519.0
165,1937037.5
166,17865822.0
167,9197437.0
168,10647193.0
169,6110342.5
170,7130936.5
171,5976389.0
172,10968047.0
173,8576358.0
174,1568269.625
175,4848075.0
176,14148751.0
177,2213156.25
178,2126424.0
179,10445683.0
180,6506169.5
181,11810323.0
182,8891868.0
183,4908361.5
184,6559220.0
185,6365852.5
