Step,Value
1,6177354.0
2,7522458.5
3,5581994.0
4,5828188.0
5,4954626.0
6,3050083.75
7,638410.0625
8,2708972.5
9,6768999.5
10,4067145.5
11,8242885.5
12,5025158.5
13,5253991.0
14,8396407.0
15,6326096.0
16,8223705.5
17,2225411.25
18,1777821.875
19,5266086.0
20,2071500.0
21,4149192.5
22,4576320.0
23,1190504.625
24,5454206.5
25,6530947.0
26,3763666.25
27,5688578.5
28,1686319.375
29,3428868.0
30,357669.875
31,4342816.0
32,1389667.5
33,2234711.25
34,4920442.5
35,3098238.75
36,3441993.25
37,2521549.75
38,7394379.5
39,7367316.5
40,2931575.25
41,6289504.0
42,3392544.5
43,5956774.0
44,2593122.0
45,1888663.0
46,6233781.0
47,3323815.75
48,1356380.25
49,8187358.0
50,4170860.25
51,5732818.0
52,7602731.5
53,3571144.75
54,6322892.5
55,7827837.5
56,5590300.0
57,1039535.3125
58,472545.90625
59,4959023.0
60,2860244.0
61,8776975.0
62,3482594.0
63,2613974.5
64,2958838.0
65,2612481.5
66,4630269.5
67,1509364.75
68,5330937.0
69,1986180.375
70,5183499.0
71,3428040.75
72,2631722.5
73,7165657.5
74,503645.625
75,1326153.375
76,1525135.0
77,5570199.0
78,7141769.0
79,7611262.0
80,6931002.0
81,3786356.5
82,2320262.75
83,3422543.0
84,2767450.0
85,6382159.5
86,2362933.5
87,4287557.0
88,5051313.5
89,4125966.25
90,2179143.5
91,9243321.0
92,757011.125
93,9134753.0
94,4191580.5
95,5584332.5
96,6989629.5
97,3742508.25
98,4886414.5
99,1654574.375
100,6621332.0
101,820846.0625
102,1496470.125
103,1612411.0
104,206692.09375
105,746322.0
106,516518.75
107,5267401.5
108,7993824.5
109,2157850.75
110,6706554.5
111,4272576.0
112,1274842.375
113,719822.0625
114,597482.0
115,4055148.75
116,2051486.25
117,1772875.375
118,3733133.75
119,6135895.5
120,2108875.0
121,725254.8125
122,2182551.25
123,2998704.25
124,5319627.0
125,9114364.0
126,305336.5
127,6189634.0
128,8792562.0
129,4902570.5
130,6240269.0
131,5063556.5
132,1808350.25
133,4234638.0
134,4691964.0
135,3845632.25
136,1167447.5
137,1046301.5
138,5320152.5
139,3533712.25
140,1658120.0
141,770074.9375
142,1137453.5
143,4312455.0
144,5870539.5
145,1714966.75
146,7964732.0
147,3385204.0
148,1205530.875
149,1984483.875
150,5948727.0
151,4104364.75
152,5383179.0
153,4313286.0
154,4790402.0
155,7842194.0
156,2749014.0
157,5828357.5
158,6302603.0
159,3069531.0
160,228977.625
161,1025762.3125
162,881978.5
163,2404832.0
164,833931.3125
165,5322430.0
166,537038.8125
167,3785935.75
168,5040911.5
169,5108129.0
170,4349182.0
171,5712203.0
172,594969.1875
173,1436458.875
174,8746275.0
175,2397653.75
176,1765470.5
177,5513654.5
178,6736983.5
179,3083701.75
180,2801753.0
181,2046409.875
182,3322000.25
