Step,Value
1,96.0755386352539
2,121.84635925292969
3,258.6620788574219
4,176.8479461669922
5,264.542724609375
6,319.8797912597656
7,115.59941864013672
8,215.82748413085938
9,157.285400390625
10,115.32424926757812
11,133.1920623779297
12,75.00541687011719
13,151.46266174316406
14,133.19631958007812
15,152.1654052734375
16,112.76673889160156
17,48.58750534057617
18,368.6607971191406
19,227.98731994628906
20,78.4686279296875
21,86.80616760253906
22,254.53399658203125
23,406.722900390625
24,151.93800354003906
25,200.43295288085938
26,305.8804626464844
27,197.1728515625
28,44.77081298828125
29,352.96881103515625
30,215.20703125
31,104.2048568725586
32,141.81991577148438
33,221.19920349121094
34,124.73978424072266
35,125.5837631225586
36,130.50210571289062
37,316.9194030761719
38,163.96624755859375
39,177.1894073486328
40,280.98974609375
41,201.601318359375
42,228.9886932373047
43,135.3367156982422
44,271.4216613769531
45,222.1826629638672
46,208.8813934326172
47,257.4519958496094
48,254.1890869140625
49,127.09403991699219
50,163.46145629882812
51,229.8760986328125
52,133.3351287841797
53,273.4063720703125
54,203.33912658691406
55,163.1476593017578
56,195.91726684570312
57,126.34794616699219
58,234.4546356201172
59,266.87469482421875
60,345.1163635253906
61,111.677490234375
62,265.7729797363281
63,283.8852233886719
64,260.1810607910156
65,263.27587890625
66,284.66510009765625
67,100.63985443115234
68,140.34780883789062
69,92.75485229492188
70,141.07861328125
71,312.82342529296875
72,250.05926513671875
73,144.9742431640625
74,355.9678039550781
75,269.0136413574219
76,187.25982666015625
77,260.57403564453125
78,158.6636505126953
79,163.31942749023438
80,207.9122772216797
81,243.66563415527344
82,74.9922866821289
83,234.32113647460938
84,299.9094543457031
85,199.0643310546875
86,134.33018493652344
87,242.15956115722656
88,213.5641632080078
89,171.68299865722656
90,315.5628967285156
91,137.6776580810547
92,388.5691223144531
93,127.01116943359375
94,156.0095977783203
95,261.3763732910156
96,213.36512756347656
97,306.889404296875
98,271.92950439453125
99,53.88010787963867
100,170.44369506835938
101,319.1932373046875
102,392.31988525390625
103,407.2667236328125
104,153.47389221191406
