Step,Value
1,8400000.0
2,1200000.0
3,2800000.0
4,3200000.0
5,6600000.0
6,4400000.0
7,2800000.0
8,8600000.0
9,2400000.0
10,4600000.0
11,600000.0
12,600000.0
13,5200000.0
14,5600000.0
15,3200000.0
16,2200000.0
17,1600000.0
18,2400000.0
19,5600000.0
20,5200000.0
21,4600000.0
22,1000000.0
23,1400000.0
24,1200000.0
25,1000000.0
26,200000.0
27,6200000.0
28,3600000.0
29,7400000.0
30,1600000.0
31,6000000.0
32,3600000.0
33,1800000.0
34,200000.0
35,2400000.0
36,1800000.0
37,2800000.0
38,1400000.0
39,800000.0
40,4400000.0
41,3200000.0
42,2800000.0
43,600000.0
44,600000.0
45,5600000.0
46,3200000.0
47,5800000.0
48,4800000.0
49,7200000.0
50,3800000.0
51,5800000.0
52,7400000.0
53,5600000.0
54,400000.0
55,3200000.0
56,5600000.0
57,8000000.0
58,1800000.0
59,8600000.0
60,2000000.0
61,200000.0
62,6600000.0
63,1600000.0
64,4200000.0
65,1800000.0
66,200000.0
67,200000.0
68,1400000.0
69,800000.0
70,8200000.0
71,1800000.0
72,2600000.0
73,3000000.0
74,1400000.0
75,2000000.0
76,4200000.0
77,6000000.0
78,2200000.0
79,2800000.0
80,200000.0
81,4000000.0
82,7600000.0
83,7600000.0
84,5800000.0
85,400000.0
86,800000.0
87,4800000.0
88,4000000.0
89,2000000.0
90,1000000.0
91,3600000.0
92,7000000.0
93,600000.0
94,1200000.0
95,4400000.0
96,7600000.0
97,4000000.0
98,3600000.0
99,8400000.0
100,7200000.0
101,1200000.0
102,4200000.0
103,7200000.0
104,6200000.0
105,4600000.0
106,1200000.0
107,200000.0
108,7600000.0
109,800000.0
110,1800000.0
111,1400000.0
112,400000.0
113,9400000.0
114,2400000.0
115,6200000.0
116,2200000.0
117,800000.0
118,3000000.0
119,200000.0
120,2600000.0
121,3400000.0
122,5000000.0
123,600000.0
124,6200000.0
125,2400000.0
126,3400000.0
127,7000000.0
128,6200000.0
129,3200000.0
130,200000.0
131,2800000.0
132,1400000.0
133,800000.0
134,2600000.0
135,1000000.0
136,1400000.0
137,8200000.0
138,6800000.0
139,2800000.0
140,5800000.0
141,7600000.0
142,8200000.0
143,4000000.0
144,2000000.0
145,3400000.0
146,6200000.0
147,1000000.0
148,2600000.0
149,800000.0
150,200000.0
151,4400000.0
152,6000000.0
153,1000000.0
154,6200000.0
155,4200000.0
156,4000000.0
157,3400000.0
158,1200000.0
159,2800000.0
160,2800000.0
161,4000000.0
162,2600000.0
163,3600000.0
164,6200000.0
165,2800000.0
166,800000.0
167,1400000.0
168,400000.0
169,6200000.0
170,1800000.0
171,400000.0
172,1400000.0
173,2400000.0
174,4800000.0
175,3200000.0
176,600000.0
177,5000000.0
178,1000000.0
179,4000000.0
180,3400000.0
181,4000000.0
182,3600000.0
183,2600000.0
184,600000.0
185,1200000.0
186,4000000.0
187,800000.0
188,5000000.0
189,4800000.0
190,3600000.0
191,1200000.0
192,5200000.0
193,800000.0
194,3200000.0
195,200000.0
196,2600000.0
197,2200000.0
198,600000.0
199,400000.0
200,200000.0
201,3200000.0
202,4400000.0
203,3200000.0
204,400000.0
205,9000000.0
206,6200000.0
207,6400000.0
208,1600000.0
209,3200000.0
210,4400000.0
211,2200000.0
212,2000000.0
213,5200000.0
214,3800000.0
215,200000.0
216,4400000.0
217,7400000.0
218,1400000.0
219,4400000.0
220,2800000.0
221,3200000.0
222,7600000.0
223,6000000.0
224,7000000.0
225,3800000.0
226,5600000.0
227,200000.0
228,1600000.0
229,1000000.0
230,2200000.0
231,200000.0
232,5600000.0
233,6200000.0
234,5400000.0
235,7600000.0
236,1000000.0
237,2000000.0
238,400000.0
239,2000000.0
240,2200000.0
241,3000000.0
242,5400000.0
243,5200000.0
244,1200000.0
245,4200000.0
246,6000000.0
