Step,Value
0,1493.0
1,44.0
2,26.0
3,29.0
4,21.0
5,1462.0
6,97.0
7,38.0
8,0.0
9,1442.0
10,0.0
11,48.0
12,40.0
13,1383.0
14,1949.0
15,47.0
16,50.0
17,20.0
18,28.0
19,23.0
20,0.0
21,46.0
22,21.0
23,1465.0
24,117.0
25,42.0
26,42.0
27,1465.0
28,0.0
29,46.0
30,0.0
31,30.0
32,29.0
33,35.0
34,49.0
35,30.0
36,42.0
37,1461.0
38,132.0
39,43.0
40,20.0
41,0.0
42,0.0
43,103.0
44,83.0
45,89.0
46,1945.0
47,0.0
48,76.0
49,1436.0
50,1372.0
51,118.0
52,1431.0
53,1393.0
54,116.0
55,158.0
56,94.0
57,44.0
58,35.0
59,0.0
60,49.0
61,47.0
62,17.0
63,10.0
64,1416.0
65,73.0
66,22.0
67,23.0
68,19.0
69,8.0
70,0.0
71,11.0
72,12.0
73,1353.0
74,32.0
75,1312.0
76,1271.0
77,32.0
78,16.0
79,0.0
80,21.0
81,43.0
82,21.0
83,0.0
84,45.0
85,46.0
86,37.0
87,29.0
88,41.0
89,40.0
90,33.0
91,34.0
92,44.0
93,40.0
94,1953.0
95,104.0
96,78.0
97,63.0
98,37.0
99,41.0
100,0.0
101,27.0
102,48.0
103,26.0
104,19.0
105,20.0
106,0.0
107,13.0
108,23.0
109,9.0
110,17.0
111,26.0
112,14.0
113,0.0
114,0.0
115,1446.0
116,32.0
117,37.0
118,21.0
119,24.0
120,41.0
121,16.0
122,41.0
123,54.0
124,1987.0
125,0.0
126,53.0
127,1405.0
128,87.0
129,45.0
130,50.0
131,49.0
132,0.0
133,55.0
134,1978.0
135,95.0
136,40.0
137,1954.0
138,6.0
139,0.0
140,28.0
141,0.0
142,13.0
143,13.0
144,19.0
145,7.0
146,23.0
147,16.0
148,18.0
149,0.0
150,22.0
151,16.0
152,23.0
153,1415.0
154,1393.0
155,43.0
156,0.0
157,14.0
158,1980.0
159,1.0
160,35.0
161,32.0
162,37.0
163,34.0
164,44.0
165,33.0
166,47.0
167,51.0
168,0.0
169,72.0
170,53.0
171,55.0
172,75.0
173,0.0
174,30.0
175,29.0
176,38.0
177,49.0
178,1508.0
179,1518.0
180,99.0
181,41.0
182,28.0
183,23.0
184,16.0
185,9.0
186,8.0
187,0.0
188,7.0
189,10.0
190,12.0
191,13.0
192,21.0
193,0.0
194,46.0
195,32.0
196,40.0
197,32.0
198,21.0
199,13.0
200,26.0
201,27.0
202,21.0
203,29.0
204,34.0
205,25.0
206,29.0
207,0.0
208,25.0
209,20.0
210,15.0
211,27.0
212,23.0
213,24.0
214,31.0
215,14.0
216,31.0
217,24.0
218,38.0
219,22.0
220,16.0
221,16.0
222,39.0
223,57.0
224,41.0
225,49.0
226,32.0
227,57.0
228,36.0
229,38.0
230,57.0
231,36.0
232,36.0
233,28.0
234,44.0
235,41.0
236,45.0
237,73.0
238,43.0
239,67.0
240,53.0
241,53.0
242,71.0
243,51.0
244,0.0
245,35.0
246,35.0
247,40.0
248,30.0
249,23.0
250,27.0
251,14.0
252,10.0
253,8.0
254,19.0
255,12.0
256,18.0
257,21.0
258,26.0
259,24.0
260,30.0
261,35.0
262,39.0
263,32.0
264,26.0
265,27.0
266,23.0
267,32.0
268,26.0
269,31.0
270,44.0
271,45.0
272,43.0
273,33.0
274,40.0
275,22.0
276,17.0
277,14.0
278,11.0
279,8.0
280,4.0
281,9.0
282,6.0
283,9.0
284,11.0
285,19.0
286,11.0
287,12.0
288,19.0
289,9.0
290,17.0
291,17.0
292,23.0
293,28.0
294,28.0
295,23.0
296,18.0
297,23.0
298,36.0
299,11.0
300,17.0
301,21.0
302,23.0
303,35.0
304,42.0
305,1456.0
306,62.0
307,64.0
308,39.0
309,48.0
310,35.0
311,31.0
312,18.0
313,32.0
314,34.0
315,55.0
316,47.0
317,1446.0
318,54.0
319,28.0
320,37.0
321,19.0
322,25.0
323,18.0
324,13.0
325,6.0
326,7.0
327,18.0
328,11.0
329,5.0
330,9.0
331,28.0
332,27.0
333,19.0
334,29.0
335,26.0
336,42.0
337,39.0
338,24.0
339,25.0
340,33.0
341,69.0
342,56.0
343,48.0
344,50.0
345,46.0
346,81.0
347,41.0
348,57.0
349,38.0
350,31.0
351,37.0
352,26.0
353,33.0
354,24.0
355,35.0
356,21.0
357,42.0
358,26.0
359,39.0
360,28.0
361,27.0
362,34.0
363,33.0
364,39.0
365,19.0
366,27.0
367,26.0
368,24.0
369,32.0
370,34.0
371,21.0
372,27.0
373,28.0
374,38.0
375,27.0
376,28.0
377,20.0
378,20.0
379,18.0
380,18.0
381,32.0
382,21.0
383,18.0
384,25.0
385,21.0
386,18.0
387,28.0
388,14.0
389,9.0
390,14.0
391,8.0
392,15.0
393,20.0
394,10.0
395,19.0
396,12.0
397,18.0
398,16.0
399,16.0
400,26.0
401,17.0
402,26.0
403,29.0
404,39.0
405,32.0
406,37.0
407,36.0
408,27.0
409,24.0
410,27.0
411,21.0
412,29.0
413,24.0
414,17.0
415,18.0
416,20.0
417,15.0
418,20.0
419,16.0
420,14.0
421,14.0
422,24.0
423,17.0
424,28.0
425,25.0
426,24.0
427,17.0
428,17.0
429,24.0
430,19.0
431,28.0
432,31.0
433,29.0
434,37.0
435,36.0
436,44.0
437,39.0
438,45.0
439,42.0
440,34.0
441,23.0
442,17.0
443,36.0
444,29.0
445,28.0
446,21.0
447,17.0
448,17.0
449,19.0
450,14.0
451,16.0
452,18.0
453,19.0
454,16.0
455,16.0
456,23.0
457,28.0
458,31.0
459,48.0
460,67.0
461,60.0
462,74.0
463,68.0
464,50.0
465,67.0
466,58.0
467,53.0
468,37.0
469,34.0
470,43.0
471,38.0
472,42.0
473,28.0
474,30.0
475,16.0
476,5.0
477,11.0
478,13.0
479,10.0
480,18.0
481,19.0
482,12.0
483,5.0
484,8.0
485,13.0
486,13.0
487,16.0
488,6.0
489,8.0
490,7.0
491,17.0
492,16.0
493,17.0
494,18.0
495,15.0
496,10.0
497,7.0
498,9.0
499,22.0
500,12.0
501,21.0
502,28.0
503,16.0
504,17.0
505,17.0
506,17.0
507,16.0
508,27.0
509,19.0
510,19.0
511,25.0
512,38.0
513,31.0
514,48.0
515,38.0
516,18.0
517,28.0
518,18.0
519,18.0
520,31.0
521,44.0
522,39.0
523,36.0
524,46.0
525,51.0
526,41.0
527,35.0
528,43.0
529,23.0
530,32.0
531,30.0
532,27.0
533,18.0
534,18.0
535,29.0
536,19.0
537,24.0
538,21.0
539,24.0
540,23.0
541,24.0
542,13.0
543,14.0
544,13.0
545,18.0
546,13.0
547,15.0
548,9.0
549,17.0
550,13.0
551,19.0
552,26.0
