Step,Value
0,1965.0
1,1964.0
2,1.0
3,0.0
4,0.0
5,1759.0
6,1964.0
7,1968.0
8,1973.0
9,1975.0
10,1970.0
11,1948.0
12,0.0
13,1973.0
14,1972.0
15,1948.0
16,1823.0
17,38.0
18,1925.0
19,1831.0
20,1971.0
21,1970.0
22,1959.0
23,1982.0
24,1989.0
25,1987.0
26,1965.0
27,1972.0
28,22.0
29,1975.0
30,23.0
31,1973.0
32,1965.0
33,1965.0
34,165.0
35,1978.0
36,33.0
37,1959.0
38,1973.0
39,1951.0
40,50.0
41,1973.0
42,127.0
43,1973.0
44,1983.0
45,1967.0
46,0.0
47,1981.0
48,1959.0
49,1969.0
50,40.0
51,1703.0
52,1946.0
53,1946.0
54,1946.0
55,1962.0
56,1966.0
57,1983.0
58,1974.0
59,61.0
60,1858.0
61,1981.0
62,341.0
63,1972.0
64,1968.0
65,1970.0
66,1864.0
67,62.0
68,1958.0
69,69.0
70,0.0
71,1962.0
72,27.0
73,1956.0
74,1966.0
75,1966.0
76,1974.0
77,71.0
78,1983.0
79,1984.0
80,1989.0
81,1981.0
82,1917.0
83,1970.0
84,1974.0
85,1973.0
86,1926.0
87,1969.0
88,156.0
89,1964.0
90,1942.0
91,0.0
92,1997.0
93,1928.0
94,1990.0
95,1980.0
96,1987.0
97,75.0
98,1958.0
99,15.0
100,1960.0
101,23.0
102,0.0
103,1949.0
104,1958.0
105,1961.0
106,1954.0
107,1957.0
108,1969.0
109,1971.0
110,1881.0
111,1967.0
112,1962.0
113,1992.0
114,179.0
115,1982.0
116,1981.0
117,1908.0
118,1987.0
119,1911.0
120,1956.0
121,1969.0
122,106.0
123,1966.0
124,1953.0
125,1947.0
126,1954.0
127,1970.0
128,1974.0
129,1972.0
130,1912.0
131,13.0
132,1953.0
133,1942.0
134,1966.0
135,13.0
136,0.0
137,1964.0
138,1967.0
139,1907.0
140,1984.0
141,62.0
142,1977.0
143,1971.0
144,1972.0
145,16.0
146,1984.0
147,1988.0
148,57.0
149,1980.0
150,1934.0
151,1976.0
152,1973.0
153,1964.0
154,1964.0
155,1930.0
156,1967.0
157,1905.0
158,1953.0
159,1965.0
160,1968.0
161,1954.0
162,1980.0
163,60.0
164,0.0
165,1958.0
166,91.0
167,0.0
168,1973.0
169,32.0
170,0.0
171,1964.0
172,1978.0
173,1973.0
174,1961.0
175,1968.0
176,1962.0
177,1935.0
178,39.0
179,1955.0
180,1973.0
181,1966.0
182,1971.0
183,1962.0
184,1974.0
185,1974.0
186,1972.0
187,1961.0
188,1970.0
189,50.0
190,1723.0
191,1931.0
192,1952.0
193,1943.0
194,85.0
195,1957.0
196,1874.0
197,1922.0
198,1978.0
199,1983.0
200,1941.0
201,1986.0
202,1921.0
203,55.0
204,1832.0
205,1903.0
206,1874.0
207,1941.0
208,1969.0
209,1978.0
210,1967.0
211,1984.0
212,1983.0
213,1969.0
214,1975.0
215,1970.0
216,1983.0
217,1980.0
218,1988.0
219,1972.0
220,1944.0
221,1977.0
222,1975.0
223,1945.0
224,1949.0
225,1952.0
226,1952.0
227,1937.0
228,1968.0
229,1921.0
230,1958.0
231,1982.0
232,1975.0
233,1946.0
234,1959.0
235,1976.0
236,1977.0
237,1978.0
238,1874.0
239,1974.0
240,3.0
241,1948.0
242,1962.0
243,10.0
244,1940.0
245,1960.0
246,1983.0
247,1972.0
248,1959.0
249,1984.0
250,1970.0
251,92.0
252,0.0
253,0.0
254,1927.0
255,5.0
256,1792.0
257,1955.0
258,158.0
259,1756.0
260,1971.0
261,1901.0
262,1.0
263,0.0
264,1952.0
265,1949.0
266,1972.0
267,1976.0
268,1971.0
269,1961.0
270,1970.0
271,1926.0
272,1968.0
273,1926.0
274,1928.0
275,1980.0
276,1987.0
277,1973.0
278,1972.0
279,1960.0
280,1922.0
281,1952.0
282,1967.0
283,1847.0
284,1943.0
285,25.0
286,0.0
287,1874.0
288,1956.0
289,1953.0
290,1961.0
291,1956.0
292,1962.0
293,1908.0
294,1982.0
295,1990.0
296,1989.0
297,1991.0
298,1992.0
299,1993.0
300,1982.0
301,1980.0
302,1980.0
303,1959.0
304,1977.0
305,1949.0
306,74.0
307,1933.0
308,1969.0
309,1940.0
310,1964.0
311,1973.0
312,1971.0
313,1950.0
314,1959.0
315,1949.0
316,1955.0
317,1936.0
318,1943.0
319,1954.0
320,1958.0
321,1954.0
322,1889.0
323,1972.0
324,1974.0
325,1904.0
326,224.0
327,1823.0
328,1976.0
329,1940.0
330,1908.0
331,1959.0
332,1967.0
333,1968.0
334,1984.0
335,1968.0
336,1980.0
337,1975.0
338,1974.0
339,1977.0
340,1973.0
341,1974.0
342,1953.0
343,1887.0
344,1948.0
345,1898.0
346,1957.0
347,1968.0
348,1965.0
349,1960.0
350,1982.0
351,1968.0
352,1963.0
353,1985.0
354,1989.0
355,1991.0
356,1984.0
357,1978.0
358,1968.0
359,1966.0
360,1969.0
361,1950.0
362,1965.0
363,1951.0
364,1939.0
365,1944.0
366,1957.0
367,1951.0
368,1976.0
369,1980.0
370,1960.0
371,1976.0
372,1968.0
373,1970.0
374,1962.0
375,1945.0
376,1946.0
377,1942.0
378,1966.0
379,1968.0
380,1951.0
381,1961.0
382,1953.0
383,1957.0
384,1982.0
385,1973.0
386,1988.0
387,1986.0
388,1965.0
389,1977.0
390,1977.0
391,1968.0
392,1975.0
393,1964.0
394,1959.0
395,1927.0
396,1956.0
397,1978.0
398,1964.0
399,1968.0
400,1973.0
401,1973.0
402,1849.0
403,1978.0
404,1971.0
405,1978.0
406,71.0
407,1952.0
408,1965.0
409,1972.0
410,1932.0
411,1966.0
412,1957.0
413,1974.0
414,1988.0
415,1967.0
416,1971.0
417,1975.0
418,1966.0
419,1965.0
420,1958.0
421,1970.0
422,1969.0
423,1968.0
424,1972.0
425,1960.0
426,1974.0
427,1967.0
428,1944.0
429,1963.0
430,1969.0
431,1960.0
432,1969.0
433,1971.0
434,1966.0
435,1971.0
436,1961.0
437,1967.0
438,1972.0
439,1987.0
440,1936.0
441,1964.0
442,1984.0
443,1979.0
444,1967.0
445,1976.0
446,1980.0
447,1986.0
448,1981.0
449,1969.0
450,1959.0
451,1951.0
452,1942.0
453,1966.0
454,1971.0
455,1930.0
456,1938.0
457,1964.0
458,1976.0
459,1984.0
460,1974.0
461,1936.0
462,1954.0
463,1961.0
464,1935.0
465,1959.0
466,1945.0
467,1947.0
468,1934.0
469,1947.0
470,1950.0
471,1956.0
472,1985.0
473,1975.0
474,1972.0
475,1978.0
476,1985.0
477,1981.0
478,1974.0
479,1963.0
480,1978.0
481,1966.0
482,1967.0
483,1966.0
484,1973.0
485,1962.0
486,1979.0
487,1961.0
488,1969.0
489,1955.0
490,1869.0
491,1927.0
492,1960.0
493,1964.0
494,1957.0
495,1961.0
496,1981.0
497,1970.0
498,1964.0
499,1961.0
500,1992.0
501,1991.0
502,1995.0
503,1989.0
504,1981.0
505,1993.0
506,1992.0
507,1979.0
508,1945.0
509,1979.0
510,1937.0
511,1943.0
512,1960.0
513,1970.0
514,1931.0
515,1950.0
516,1958.0
517,1944.0
518,1956.0
519,1961.0
520,1965.0
521,1964.0
522,1944.0
523,1958.0
524,1964.0
525,1969.0
526,1978.0
527,1971.0
528,1973.0
529,1976.0
530,1980.0
531,1985.0
532,1983.0
533,1981.0
534,1992.0
535,1992.0
536,1979.0
537,1992.0
538,1998.0
539,1990.0
540,1980.0
541,1973.0
542,1972.0
543,1961.0
544,1956.0
545,1963.0
546,1957.0
547,1964.0
548,1954.0
549,1958.0
550,1972.0
551,1955.0
552,1967.0
553,1967.0
554,1948.0
555,1892.0
556,1936.0
557,1954.0
558,1953.0
559,1968.0
560,1966.0
561,1959.0
562,1961.0
563,1836.0
564,1916.0
565,1983.0
566,1972.0
567,1988.0
568,1940.0
569,1975.0
570,1978.0
571,1982.0
572,1991.0
573,1988.0
574,1976.0
575,1964.0
576,1970.0
577,1960.0
578,1961.0
579,1975.0
580,1971.0
581,1967.0
582,1970.0
583,1974.0
584,1979.0
585,1985.0
586,1966.0
587,1958.0
588,1978.0
589,1950.0
590,1971.0
591,1963.0
592,1955.0
593,1962.0
594,1958.0
595,1963.0
596,1973.0
597,1980.0
598,1973.0
599,1978.0
600,1987.0
601,1983.0
602,1957.0
603,1959.0
604,1969.0
605,1961.0
606,1968.0
607,1918.0
608,1937.0
609,1932.0
610,1946.0
611,1956.0
612,1971.0
613,1970.0
614,1967.0
615,1979.0
616,1987.0
617,1989.0
618,1996.0
619,1980.0
620,1987.0
621,1982.0
622,1975.0
623,1985.0
624,1952.0
625,1962.0
626,1973.0
627,1985.0
628,1967.0
629,1981.0
630,1976.0
631,1971.0
632,1976.0
633,1971.0
634,1973.0
635,1974.0
636,1957.0
637,1970.0
638,1955.0
639,1956.0
640,1942.0
641,1949.0
642,1944.0
643,1945.0
644,1957.0
645,1970.0
646,1974.0
647,1978.0
648,1983.0
649,1978.0
650,1971.0
651,1979.0
652,1984.0
653,1986.0
654,1981.0
655,1975.0
656,1969.0
657,1972.0
658,1982.0
659,1989.0
660,1977.0
661,1993.0
662,1984.0
663,1976.0
664,1977.0
665,1966.0
666,1977.0
667,1989.0
668,1968.0
669,1940.0
670,1962.0
671,1956.0
672,1943.0
673,1951.0
674,1949.0
675,1940.0
676,1954.0
677,1949.0
678,1955.0
679,1952.0
680,1984.0
681,1991.0
682,1981.0
683,1979.0
684,1968.0
685,1936.0
686,1956.0
687,1966.0
688,1954.0
689,1915.0
690,1945.0
691,1934.0
692,1963.0
693,1962.0
694,1952.0
695,1987.0
696,1987.0
697,1992.0
698,1993.0
699,1984.0
700,1980.0
701,1974.0
702,1977.0
703,1976.0
704,1923.0
705,1966.0
706,1974.0
707,1968.0
708,1969.0
709,1939.0
710,1974.0
711,1972.0
712,1974.0
713,1978.0
714,1986.0
715,1980.0
716,1969.0
717,1973.0
718,1973.0
719,1962.0
720,1952.0
721,1957.0
722,1961.0
723,1946.0
724,1936.0
725,1938.0
726,1937.0
727,1972.0
728,1968.0
729,1950.0
730,1967.0
731,1961.0
732,1953.0
733,1966.0
734,1977.0
735,1955.0
736,1962.0
737,1940.0
738,1964.0
739,1974.0
740,1985.0
741,1968.0
742,1989.0
743,1988.0
744,1978.0
745,1979.0
746,1981.0
747,1976.0
748,1956.0
749,1971.0
750,1970.0
751,1966.0
752,1967.0
753,1979.0
754,1975.0
755,1960.0
756,1961.0
757,1971.0
758,1962.0
759,1966.0
760,1959.0
761,1984.0
762,1982.0
763,1968.0
764,1956.0
765,1948.0
766,1964.0
767,1957.0
768,1951.0
769,1970.0
770,1971.0
771,1958.0
772,1983.0
773,1977.0
774,1979.0
775,1976.0
776,1990.0
777,1984.0
778,1966.0
779,1963.0
780,1971.0
781,1964.0
782,1968.0
783,1953.0
784,1974.0
785,1941.0
786,1954.0
787,1970.0
788,1970.0
789,1972.0
790,1967.0
791,1970.0
792,1969.0
793,1940.0
794,1956.0
795,1959.0
796,1971.0
797,1968.0
798,1973.0
799,1977.0
800,1970.0
801,1973.0
802,1959.0
803,1963.0
804,1965.0
805,1938.0
806,1973.0
807,1987.0
808,1966.0
809,1972.0
810,1970.0
811,1964.0
812,1976.0
813,1958.0
814,1943.0
815,1942.0
816,1964.0
817,1944.0
818,1973.0
819,1974.0
820,1969.0
821,1971.0
822,1987.0
823,1983.0
824,1979.0
825,1972.0
826,1961.0
827,1956.0
828,1974.0
829,1964.0
830,1966.0
831,1963.0
832,1974.0
833,1971.0
834,1969.0
835,1956.0
836,1974.0
837,1980.0
838,1970.0
839,1975.0
840,1937.0
841,1973.0
842,1972.0
843,1973.0
844,1961.0
845,1972.0
846,1952.0
847,1942.0
848,1961.0
849,1951.0
850,1935.0
851,1976.0
852,1971.0
853,1963.0
854,1972.0
855,1957.0
856,1958.0
857,1964.0
858,1974.0
859,1949.0
860,1970.0
861,1959.0
862,1978.0
863,1966.0
864,1964.0
865,1966.0
866,1971.0
867,1974.0
868,1975.0
869,1974.0
870,1964.0
871,1971.0
872,1975.0
873,1985.0
874,1959.0
875,1967.0
876,1969.0
877,1946.0
878,1944.0
879,1948.0
880,1954.0
881,1915.0
882,1962.0
883,1974.0
884,1968.0
885,1957.0
886,1964.0
887,1940.0
888,1942.0
889,1953.0
890,1969.0
891,1958.0
892,1953.0
893,1972.0
894,1971.0
895,1968.0
896,1987.0
897,1978.0
898,1988.0
899,1988.0
900,1973.0
901,1991.0
902,1981.0
903,1961.0
904,1990.0
905,1980.0
906,1985.0
907,1972.0
908,1973.0
909,1929.0
910,1966.0
911,1965.0
912,1924.0
913,1948.0
