Step,Value
0,55238.1640625
1,4611848.5
2,178775.859375
3,9782641.0
4,115674.671875
5,6867895.5
6,2850783.5
7,99196.0078125
8,4387500.5
9,3642409.25
10,7477897.0
11,4217441.5
12,9779388.0
13,805216.9375
14,123880.78125
15,420408.8125
16,240963.375
17,9782649.0
18,265170.21875
19,9589054.0
20,150527.84375
21,125074.5859375
22,803433.1875
23,56883.5390625
24,185310.6875
25,291705.78125
26,78804.09375
27,2198872.5
28,9758773.0
29,490539.3125
30,9578248.0
31,2101246.5
32,44704.984375
33,5204095.0
34,9782649.0
35,4981011.0
36,286205.5
37,186223.734375
38,49265.2734375
39,9575033.0
40,6148173.0
41,7559534.5
42,5595656.5
43,5182896.5
44,4348157.5
45,5379183.5
46,4972381.5
47,739518.6875
48,8369187.0
49,1339107.25
50,9719775.0
51,9528856.0
52,4972381.5
53,126253.90625
54,3391635.5
55,988479.6875
56,718807.625
57,122468.2265625
58,4125136.25
59,5869733.5
60,9605129.0
61,236640.140625
62,9779500.0
63,3652014.75
64,1744697.875
65,82012.640625
66,52661.31640625
67,5106070.0
68,6931690.0
69,8979605.0
70,9782413.0
71,4404322.0
72,138602.078125
73,49921.375
74,199963.4375
75,7828779.0
76,59788.38671875
77,9766760.0
78,3907221.5
79,4586014.0
80,301301.8125
81,207200.78125
82,50122.3515625
83,54719.75
84,546317.9375
85,387654.375
86,2284545.25
87,4251866.5
88,4972381.5
89,3333333.5
90,4484546.0
91,6801449.0
92,7004614.0
93,118949.671875
94,7512301.0
95,8886603.0
96,1922043.875
97,9755356.0
98,2675508.75
99,5431122.0
100,2816577.25
101,9738411.0
102,114401.2890625
103,2240543.0
104,6563576.0
105,1804404.375
106,3916964.0
107,4628819.5
108,4555183.5
109,540021.1875
110,9072812.0
111,9338540.0
112,1716716.25
113,4895271.5
114,9779791.0
115,398859.375
116,965470.25
117,4557304.0
118,4036674.25
119,7706886.0
120,4972381.5
121,4774380.5
122,4086077.5
123,3722556.0
124,4509916.0
125,1694669.25
126,174325.046875
127,391000.46875
128,132478.90625
129,4972381.5
130,4290015.0
131,4876771.0
132,4696851.5
133,108675.4296875
134,4657567.5
135,7979976.0
136,4972381.5
137,2735346.5
138,4972381.5
139,4972381.5
140,4972381.5
141,4972381.5
142,4972381.5
143,4972381.5
144,5184650.5
145,4972381.5
146,4972381.5
147,4972381.5
148,4972381.5
149,4972381.5
150,4972381.5
151,4972381.5
152,4972381.5
153,4972381.5
154,4702765.0
155,4972381.5
156,4972381.5
157,4972381.5
158,5072172.5
159,4972381.5
160,4972381.5
161,4618336.0
162,4972381.5
163,4972381.5
164,4727667.5
165,4972381.5
166,4972381.5
167,4972381.5
168,4577352.0
169,4660508.5
170,4972381.5
171,4972381.5
172,4972381.5
173,5164268.0
174,4972381.5
175,4972381.5
176,4972381.5
177,4972381.5
178,4972381.5
179,4972381.5
180,4972381.5
181,4972381.5
182,4972381.5
183,4972381.5
184,4972381.5
185,4972381.5
186,5254420.5
187,4972381.5
188,4972381.5
189,4972381.5
190,4972381.5
191,4972381.5
192,4972381.5
193,4972381.5
194,4972381.5
195,269553.78125
196,4972381.5
197,4972381.5
198,4972381.5
199,4972381.5
200,4972381.5
201,4972381.5
202,4972381.5
203,4972381.5
204,4972381.5
205,5439824.0
206,4665917.0
207,4972381.5
208,4972381.5
209,4972381.5
210,4972381.5
211,4972381.5
212,5371113.5
213,4972381.5
214,4972381.5
215,4972381.5
216,4972381.5
217,4972381.5
218,4972381.5
219,4972381.5
220,4972381.5
221,4972381.5
222,4972381.5
223,4972381.5
224,5373491.5
225,4972381.5
226,4972381.5
227,4972381.5
228,4934006.0
229,4972381.5
230,4972381.5
231,4972381.5
232,4972381.5
233,4643813.0
234,4972381.5
235,4972381.5
236,4972381.5
237,4972381.5
238,4972381.5
239,4972381.5
240,4972381.5
241,5262056.0
242,4683812.0
243,4972381.5
244,4972381.5
245,4972381.5
246,4972381.5
247,4972381.5
248,4972381.5
249,4972381.5
250,4972381.5
251,4972381.5
252,4972381.5
253,4972381.5
254,4972381.5
255,4972381.5
256,4972381.5
257,4972381.5
258,4972381.5
259,4753787.0
260,4972381.5
261,4972381.5
262,4972381.5
263,4972381.5
264,4972381.5
265,4972381.5
266,4972381.5
267,4972381.5
268,4972381.5
269,4996571.5
270,5242911.5
271,4972381.5
272,4972381.5
273,4972381.5
274,4972381.5
275,4972381.5
276,4972381.5
277,4972381.5
278,5363230.0
279,4972381.5
280,4972381.5
281,4972381.5
282,4972381.5
283,4972381.5
284,4972381.5
285,4972381.5
286,4945399.0
287,4972381.5
288,4972381.5
289,4972381.5
290,4972381.5
291,4972381.5
292,4972381.5
293,4972381.5
294,4972381.5
295,4972381.5
296,4972381.5
297,4972381.5
298,4972381.5
299,4972381.5
300,4972381.5
301,4972381.5
302,4873515.0
303,4972381.5
304,4972381.5
305,4972381.5
306,4972381.5
307,4972381.5
308,4972381.5
309,4972381.5
310,4972381.5
311,4972381.5
312,4972381.5
313,4972381.5
314,4972381.5
315,4972381.5
316,4972381.5
317,4972381.5
318,4972381.5
319,4972381.5
320,4972381.5
321,4972381.5
322,4972381.5
323,4972381.5
324,5230787.0
325,5190614.5
326,4972381.5
327,4972381.5
328,4972381.5
329,4972381.5
330,4972381.5
331,4972381.5
332,4972381.5
333,4972381.5
334,4972381.5
335,4972381.5
336,4972381.5
337,4972381.5
338,4972381.5
339,4972381.5
340,4923131.5
341,4972381.5
342,4972381.5
343,4972381.5
344,4953597.0
345,4972381.5
346,4624549.0
347,4972381.5
348,4972381.5
349,4972381.5
350,4583559.0
351,4972381.5
352,4972381.5
353,4972381.5
354,4972381.5
355,4682225.5
356,5157239.5
357,4972381.5
358,4972381.5
359,4972381.5
360,4972381.5
361,4972381.5
362,4972381.5
363,4972381.5
364,4972381.5
365,4972381.5
366,5082462.0
367,4972381.5
368,4972381.5
369,4972381.5
370,4972381.5
371,4529763.5
372,4972381.5
373,4972381.5
374,4972381.5
375,4972381.5
376,4972381.5
377,8206191.0
378,1722894.5
379,4959468.0
380,3486215.0
381,3333333.5
382,3333333.5
383,4762902.5
384,3333333.5
385,3405836.25
386,3787766.75
387,4972381.5
388,4972381.5
389,4972381.5
390,4457762.0
391,4972381.5
392,4972381.5
393,4972381.5
394,4972381.5
395,4972381.5
396,4972381.5
397,4972381.5
398,4972381.5
399,4972381.5
400,4972381.5
401,4972381.5
402,4972381.5
403,4972381.5
404,4972381.5
405,5322022.0
406,4972381.5
407,4972381.5
408,4972381.5
409,4972381.5
410,4972381.5
411,4972381.5
412,4972381.5
413,4972381.5
414,4972381.5
415,4972381.5
416,4972381.5
417,4972381.5
418,4810091.0
419,4972381.5
420,4972381.5
421,4972381.5
422,4972381.5
423,4972381.5
424,4972381.5
425,4972381.5
426,4972381.5
427,4972381.5
428,4972381.5
429,4972381.5
430,4972381.5
431,4972381.5
432,4972381.5
433,4972381.5
