Step,Value
0,1965.0
1,1.0
2,0.0
3,0.0
4,0.0
5,1724.0
6,1973.0
7,1955.0
8,1979.0
9,1979.0
10,1972.0
11,1957.0
12,57.0
13,1951.0
14,1965.0
15,1967.0
16,1947.0
17,1930.0
18,1949.0
19,1852.0
20,1974.0
21,1909.0
22,1982.0
23,1972.0
24,1994.0
25,1982.0
26,1981.0
27,0.0
28,0.0
29,1980.0
30,1939.0
31,1977.0
32,1881.0
33,1967.0
34,134.0
35,1968.0
36,1950.0
37,1967.0
38,1967.0
39,1925.0
40,18.0
41,1974.0
42,103.0
43,1972.0
44,1986.0
45,1967.0
46,81.0
47,1969.0
48,1960.0
49,1912.0
50,1904.0
51,1951.0
52,1953.0
53,1945.0
54,1961.0
55,1928.0
56,1966.0
57,1973.0
58,1974.0
59,95.0
60,0.0
61,0.0
62,0.0
63,1976.0
64,1978.0
65,1974.0
66,1966.0
67,158.0
68,1963.0
69,63.0
70,1920.0
71,1960.0
72,50.0
73,1963.0
74,1973.0
75,53.0
76,1973.0
77,28.0
78,1978.0
79,1976.0
80,1985.0
81,26.0
82,1918.0
83,1971.0
84,1969.0
85,1960.0
86,1954.0
87,21.0
88,0.0
89,1980.0
90,131.0
91,0.0
92,1996.0
93,1990.0
94,1990.0
95,36.0
96,1957.0
97,1980.0
98,1960.0
99,22.0
100,1955.0
101,124.0
102,0.0
103,1956.0
104,26.0
105,1941.0
106,1939.0
107,1951.0
108,1979.0
109,1971.0
110,3.0
111,0.0
112,0.0
113,1983.0
114,40.0
115,1962.0
116,1982.0
117,1954.0
118,1977.0
119,0.0
120,1972.0
121,1963.0
122,138.0
123,1968.0
124,1952.0
125,1943.0
126,1960.0
127,1969.0
128,1975.0
129,1978.0
130,1978.0
131,25.0
132,1962.0
133,1963.0
134,1964.0
135,0.0
136,0.0
137,1969.0
138,1976.0
139,12.0
140,1985.0
141,1961.0
142,0.0
143,1977.0
144,1971.0
145,189.0
146,1980.0
147,1986.0
148,188.0
149,1976.0
150,143.0
151,1981.0
152,1965.0
153,1961.0
154,1965.0
155,1838.0
156,1959.0
157,14.0
158,1952.0
159,1969.0
160,1970.0
161,1968.0
162,1989.0
163,1967.0
164,0.0
165,1878.0
166,19.0
167,0.0
168,1963.0
169,83.0
170,1922.0
171,1973.0
172,1980.0
173,1954.0
174,1969.0
175,1969.0
176,1943.0
177,1963.0
178,1969.0
179,1962.0
180,1970.0
181,1976.0
182,1969.0
183,1968.0
184,1979.0
185,1968.0
186,1972.0
187,1963.0
188,1964.0
189,1954.0
190,1966.0
191,1941.0
192,1950.0
193,1939.0
194,42.0
195,1946.0
196,1972.0
197,1960.0
