Step,Value
0,55238.1640625
1,4609720.0
2,125966.96875
3,9782636.0
4,115423.984375
5,6612658.0
6,2675137.75
7,103800.4765625
8,4787056.5
9,3775742.75
10,7276531.5
11,4139410.75
12,9778266.0
13,753269.8125
14,122253.1953125
15,525653.75
16,132622.84375
17,9782649.0
18,281918.5625
19,9459038.0
20,178463.296875
21,121403.0234375
22,623916.25
23,60020.5859375
24,210201.96875
25,325268.40625
26,80694.8984375
27,1150723.0
28,9750766.0
29,418859.875
30,9665489.0
31,2014274.75
32,40076.59375
33,5422471.0
34,9782649.0
35,5695652.5
36,307482.71875
37,178225.5625
38,50982.70703125
39,9563020.0
40,5954036.0
41,8304406.5
42,5338133.5
43,5454176.0
44,4132370.75
45,5366797.5
46,4912815.0
47,852451.0
48,7838455.0
49,1200897.125
50,9775842.0
51,9362480.0
52,4957561.0
53,85845.0859375
54,2872867.0
55,540966.375
56,717509.25
57,138430.734375
58,3405423.75
59,4972381.5
60,9688232.0
61,197018.828125
62,9779058.0
63,3594436.0
64,1710052.875
65,81224.640625
66,58502.6328125
67,4856940.5
68,6809863.5
69,8620301.0
70,9781425.0
71,4083830.75
72,138031.6875
73,52214.0546875
74,213138.40625
75,8020966.0
76,58747.578125
77,9762249.0
78,4160882.25
79,4479649.0
80,182955.96875
81,200940.296875
82,50401.39453125
83,54166.66796875
84,635714.8125
85,416985.09375
86,2170776.75
87,3978911.25
88,4972381.5
89,3333333.5
90,4159485.5
91,6079516.0
92,7404517.5
93,143434.625
94,7492026.5
95,8759406.0
96,2202229.75
97,9755487.0
98,3208206.5
99,4096083.0
100,4472699.5
101,9780999.0
102,137227.359375
103,814394.375
104,4457050.5
105,117624.3984375
106,1695610.125
107,700641.5625
108,797952.4375
109,159576.1875
110,9163018.0
111,9706906.0
112,602278.625
113,1137174.75
114,9776283.0
115,1133473.5
116,192988.359375
117,9669785.0
118,899480.125
119,9745102.0
120,5165971.0
121,2189053.5
122,217705.203125
123,1022194.25
124,188269.953125
125,214274.921875
126,872295.75
127,1291986.5
128,109797.359375
129,777687.375
130,289170.8125
131,5473016.5
132,5753473.5
133,78546.3671875
134,6460909.0
135,8672548.0
136,9780102.0
137,1207392.375
138,469952.96875
139,2765770.5
140,1874241.25
141,971925.1875
142,4970749.0
143,2469817.25
144,6328713.5
145,9603438.0
146,170749.09375
147,5868084.0
148,9745274.0
149,8351846.5
150,9782532.0
151,3092103.5
152,8177508.0
153,6440691.5
154,1155645.5
155,165679.171875
156,3935845.5
157,1063711.875
158,48208.58203125
159,4072507.5
160,2767320.25
161,970076.125
162,7037422.5
163,9781132.0
164,9119089.0
165,9588534.0
166,8617995.0
167,9457879.0
168,7868613.0
169,1122421.875
170,9739648.0
171,4419049.5
172,7727530.5
173,3272031.75
174,9501222.0
175,9205266.0
176,499991.0
177,9763698.0
178,1981483.0
179,898388.125
180,8825940.0
181,455019.125
182,4599823.0
183,1609824.25
184,6140593.5
185,55185.9375
186,163366.109375
187,4266833.5
188,2178165.5
189,391037.34375
190,725774.0
191,6498636.5
192,524152.4375
193,132489.796875
194,347190.0625
195,138008.390625
196,8760141.0
197,8989999.0
198,5880809.0
199,790034.375
200,8867553.0
201,4281847.0
202,9251999.0
203,9343921.0
204,9557994.0
205,7220977.5
206,9618675.0
207,9176911.0
208,4314310.0
209,471065.96875
210,9360254.0
211,1141947.75
212,9198774.0
213,6024189.5
214,3541594.25
215,3905532.0
216,105495.2890625
217,6632594.5
218,946415.8125
219,86470.6484375
220,986530.4375
221,203350.859375
222,414080.40625
223,2611836.25
224,966467.8125
225,200847.125
226,260688.59375
227,206100.140625
228,386225.90625
229,2014118.25
230,384576.875
231,6781593.0
232,446176.9375
233,299626.625
234,2288598.25
235,5076521.5
236,1580787.625
237,6103003.5
238,7944714.0
239,4282802.0
240,8042345.5
241,8382203.0
242,1334304.625
243,4183014.25
244,2592010.5
245,6855886.5
246,7103214.5
247,394410.15625
248,6799692.5
249,1357315.375
250,2465467.5
251,9780033.0
252,9536460.0
253,6561638.0
254,7679037.0
255,3555539.0
256,6906958.0
257,6089057.5
258,813169.1875
259,9181529.0
260,4769237.5
261,2832337.0
262,9175817.0
263,9077743.0
264,9210241.0
265,6536348.0
266,3212682.25
267,2042890.375
268,6227388.5
269,2485364.0
270,2003790.875
271,268749.65625
272,1556918.5
273,7926318.0
274,8756465.0
275,4158705.5
276,762105.5
277,8974102.0
278,8850555.0
279,1015875.6875
280,9654943.0
281,2368851.0
282,5516437.5
283,9021229.0
284,7502368.0
285,9577576.0
286,4820518.0
287,6668841.0
288,5195930.0
289,859103.75
290,3477143.75
291,8078536.0
292,1143419.25
293,6213722.0
294,2278300.75
295,774821.25
296,4152899.5
297,5773077.5
298,4845817.0
299,7269677.5
300,7594411.0
301,7525599.5
302,5807575.0
303,9521567.0
304,7361557.0
305,5468146.0
306,9602838.0
307,7251062.5
308,3464543.5
309,9200076.0
310,1278070.75
311,796581.5625
312,4852316.5
313,2686892.25
314,1368332.625
315,2785071.75
316,4866117.0
317,4725717.0
318,4812335.0
319,2211800.0
320,7984823.0
321,6665566.5
322,6301843.5
323,6766881.5
324,6657653.0
325,4076450.5
326,5577069.0
327,5929328.0
328,2171783.25
329,7559697.5
330,5752290.5
331,4390295.0
332,3106475.5
333,2930030.25
334,2770669.75
335,2804027.25
336,3049574.5
337,8555078.0
338,910819.3125
339,2597970.0
340,1566800.5
341,5391195.5
342,8885747.0
343,7838467.5
344,489560.8125
345,5092849.0
346,4165182.5
347,1249653.5
348,4638301.5
349,4741322.5
350,4294172.0
351,5484180.5
352,3478862.75
353,3093206.0
354,3599796.5
355,4004696.0
356,1630114.875
357,3720887.25
358,7344884.5
359,2746544.0
360,2085802.75
361,2187350.0
362,2256057.25
363,3051448.5
364,5661988.5
365,6186234.5
366,7128692.5
367,4787396.0
368,6265316.0
369,7307722.0
370,8518469.0
371,4991283.5
372,2790482.0
373,4110829.75
374,4819060.5
375,3215160.0
376,3483109.75
377,7002120.0
378,1390710.375
379,4149394.75
380,6600476.5
381,6324911.0
382,8253773.5
383,6827951.0
384,5082438.0
385,5537884.0
386,1889360.5
387,3506247.0
388,8003887.0
389,4844796.5
390,3887779.5
391,5208008.5
392,6312344.0
393,6513759.5
394,3205582.0
395,5702788.0
396,5100566.5
397,2308552.0
398,2745792.0
399,2182511.75
400,281715.9375
401,1080616.625
402,8253180.0
403,5522198.0
404,5394346.5
405,5638392.5
406,5372894.0
407,6096486.5
408,7346745.5
409,6437591.5
410,5023942.5
411,4957023.5
412,6641799.0
413,2749479.5
414,1620233.625
415,2260586.25
416,2581364.0
417,2661876.5
418,3949830.25
419,3558914.0
420,6030149.0
421,1068864.375
422,3476950.75
423,4316002.5
424,5404308.5
425,7667707.0
426,4449616.0
427,4024119.75
428,4972513.5
429,7945870.0
430,2632570.0
431,5915089.0
432,4582789.0
433,8197660.0
434,2750074.75
435,7907547.5
436,4626007.0
437,7487939.5
438,2444576.5
439,2487980.0
440,7037776.0
441,3423574.5
442,6374975.5
443,6755268.0
444,9178595.0
445,5351357.5
446,5355627.5
447,4992334.5
448,3843191.0
449,5104635.5
450,2209663.75
451,2770471.25
452,5787353.0
453,7236802.0
454,7633651.5
455,7655335.5
456,3911579.75
457,6988386.0
458,4414934.5
459,5716711.5
460,5510157.5
461,5590568.0
462,5614360.5
463,5704888.0
464,8166161.0
465,5314387.5
466,6279558.0
467,4845180.0
468,1781234.875
469,4082487.0
470,7203351.5
471,6432445.5
472,4859838.5
473,8795570.0
474,7418281.5
475,5175245.5
476,6235875.0
477,5869116.0
478,3464869.75
479,7540893.0
480,2669548.75
481,7617008.0
482,6579658.0
483,5072595.5
484,6402109.5
485,2224638.5
486,1452976.625
487,4815110.5
488,2180214.75
489,5314269.5
490,7445289.5
491,6253780.5
492,4149614.25
493,5686679.0
494,4488877.0
495,5428202.0
496,5908615.5
497,5207658.0
498,5954087.5
499,8317780.5
500,5096174.0
501,7984019.0
502,3127641.5
503,4956940.5
504,4124270.0
505,1930336.375
506,6257038.0
507,6899886.5
508,2692291.5
509,6401731.0
510,4379034.5
511,5839777.0
512,5044187.5
513,6297075.0
514,6423715.5
515,3933902.5
516,3285541.25
517,7984481.5
518,6902384.0
519,5629813.0
520,6035915.5
521,5118584.0
522,1535613.5
523,6295071.0
524,6765511.0
525,1799208.375
526,5954814.0
527,3074894.5
528,3302796.75
529,3302600.0
530,4320136.0
531,3151402.75
532,5304609.5
533,6234371.0
534,3326216.75
535,2332284.25
536,8948109.0
537,5038411.5
538,6524320.0
539,7066247.5
540,7587402.5
541,5287981.5
542,4858831.0
543,1812707.0
544,4046648.25
545,3937969.75
546,2985979.25
547,5724070.5
548,2569002.75
549,6249414.5
550,1718124.125
551,4155266.0
552,4617069.5
553,4352191.5
554,3691940.0
555,9002584.0
556,6381545.5
557,2765278.5
558,5257831.0
559,3074247.0
560,5697115.0
561,5327155.0
562,5354495.0
563,7817270.0
564,8061017.5
565,3984585.75
566,7250883.5
567,3954650.25
568,6744612.5
569,6139567.0
570,5042796.0
571,4254234.0
572,2180364.75
573,7228205.0
574,8657469.0
575,3710305.0
576,8177001.0
577,5592746.5
578,7952672.0
579,6333801.0
580,5649535.0
581,8651951.0
582,7815416.0
583,6615581.0
584,2180924.75
585,6097373.0
586,6100124.0
587,2979400.25
588,6769967.0
589,5728728.0
590,6125524.5
591,8207546.5
592,4806285.5
593,3845213.25
594,2334826.75
595,6481419.0
596,7672050.5
597,6450716.5
598,6546905.0
599,4926234.0
600,4853748.0
601,6621753.5
602,5119279.0
603,4604583.0
604,7383409.5
605,7860967.5
606,4765752.0
607,3056374.25
608,4662674.0
609,5083723.5
610,3163326.0
611,5153501.0
612,6162622.0
613,3686452.25
614,3050102.25
615,4080439.75
616,5682293.0
617,7396897.5
618,5097224.5
619,4295201.5
620,6753270.0
621,4573858.5
622,6291703.0
623,6270985.5
624,5519763.0
625,7614084.5
626,2880893.75
627,5588732.5
628,7245704.5
629,3961792.0
630,3614061.0
631,7433082.5
632,4837979.0
633,5872147.5
634,8449393.0
635,3240601.0
636,1716402.125
637,7084821.5
638,7311533.5
639,5129838.0
640,8628967.0
641,3553319.5
642,7159173.0
643,6028254.0
644,3424457.25
645,9043734.0
646,5007117.0
647,8330196.5
648,5905584.0
649,5315708.5
650,1863839.0
651,6289293.0
652,3601631.0
653,4815158.0
654,8425583.0
655,4767123.5
656,2826405.5
657,7187882.0
658,4607987.0
659,5970322.5
660,5852889.0
661,4418603.0
662,5098472.0
663,7862945.0
664,2016388.125
665,7286092.5
666,8510576.0
667,6496257.0
668,6835867.0
669,6715893.0
670,3507572.5
671,6841014.0
672,7018876.0
673,5144519.0
674,5655948.0
675,4628164.0
676,7720699.5
677,4600593.5
678,3866151.75
679,6690600.0
680,6602733.5
681,5051566.5
682,1251693.125
683,6534482.0
684,4621956.0
685,8253122.0
686,6603470.0
687,5969947.0
688,4539335.5
689,7350068.0
690,7698540.0
691,5538060.0
692,5108608.0
693,3345492.25
694,6246977.5
695,4105741.75
696,6245284.0
697,5130471.5
698,6920998.0
699,5894410.0
700,5394091.5
701,3842913.0
702,6786896.5
703,4646972.0
704,9412767.0
705,7695436.5
706,6775519.5
707,4627441.0
708,4593408.0
709,8238512.5
710,6809718.0
711,8210994.5
712,4400654.0
713,5497771.0
714,3265189.0
715,4122680.75
716,6259129.5
717,1562452.875
718,3200482.25
719,4410776.5
720,4467343.5
721,4697212.0
722,5800279.0
723,3754392.0
724,4609898.5
725,6546165.0
726,6629698.5
727,3790891.25
728,4912978.5
729,5778627.0
730,5874698.0
731,6598056.5
732,8247314.0
733,7151619.0
734,4973920.5
735,6619915.0
736,8592808.0
737,6576879.0
738,7558654.0
739,5364165.5
740,4602013.0
741,6117151.0
742,5461841.0
743,2923259.25
744,3807579.75
745,6262036.5
746,5953426.0
747,5092054.5
748,5819140.5
749,6196545.5
750,6449134.5
751,6886401.0
752,5972242.5
753,1367455.875
754,6683063.0
755,7978835.5
756,4183630.75
757,6651988.5
758,6092236.5
759,6930856.5
760,5111819.0
761,9199333.0
762,4341913.0
763,6901449.0
764,6397552.5
765,6258790.5
766,3934783.0
767,5785245.5
768,2480447.5
769,7936221.5
770,4398460.5
771,6344906.0
772,6576762.0
773,4403866.0
774,1849138.0
775,6218745.5
776,6370743.0
777,4473234.5
778,3725316.5
779,1901810.375
780,6540022.5
781,6731191.5
782,6374171.0
783,5447619.0
784,5092444.0
785,6798229.0
786,7566147.0
787,5938538.5
788,6493901.0
789,7238596.0
790,6935551.0
791,5743705.0
792,4044660.0
793,7468754.5
794,6956133.0
795,5750725.5
796,3682020.25
797,6503962.5
798,2855720.0
799,5126110.5
800,5650128.5
801,5933913.0
802,5028047.5
803,3711673.0
804,6897471.5
805,8707082.0
806,7784577.5
807,5805127.5
808,6831997.5
809,4615041.5
810,3758317.75
811,6441889.0
812,5468343.0
813,5498194.0
814,5183418.5
815,6687099.5
816,5176952.0
817,6760553.0
818,6259675.0
819,5749336.0
820,6921636.5
821,6530657.0
822,7768661.0
823,6791557.0
824,7314141.5
825,3558010.5
826,5441782.5
827,7691003.0
828,3775296.25
829,5926517.0
830,6685570.5
831,6767118.5
832,3745075.25
833,7034204.5
834,7650724.5
835,7003896.0
836,7868856.0
837,5186661.0
838,6045308.5
839,7463060.0
840,8771799.0
841,5876509.5
842,7816428.5
843,5355049.5
844,4682689.5
845,6344790.0
846,7391223.5
847,7798653.0
848,7480470.0
849,4551636.0
850,9356509.0
851,4446487.5
852,7130038.0
853,6180230.5
854,6961061.5
855,6505639.0
856,5681845.0
857,6423494.0
858,6393201.0
859,7339164.5
860,3762747.0
861,6447493.5
862,7295149.5
863,8432761.0
864,5129858.5
865,5143382.0
866,7086638.0
867,6386865.0
868,5900514.5
869,5086465.0
870,5103159.5
871,5480823.0
872,4935713.5
873,4625910.0
874,4327264.5
875,4150519.75
876,7161730.0
877,6054651.5
878,5537286.0
879,5852642.5
880,5145297.5
881,5852980.5
882,4709036.5
883,5860029.0
884,5700431.0
885,4726021.0
886,6897702.0
887,6958053.0
888,7024607.0
889,5782187.5
890,5019549.0
891,5451010.0
892,4189070.25
893,6985895.5
894,7127858.5
895,7966295.0
896,5760644.0
897,7364217.5
898,4236355.0
899,5596108.0
900,7637825.0
901,6959437.0
902,7951166.5
903,9044575.0
904,7283783.5
905,4924144.0
906,4058436.5
907,4012064.75
908,8317725.0
909,8089130.5
910,6597292.0
911,3289381.75
912,6708558.0
913,5501383.0
914,6490040.5
915,5308060.0
916,6494433.5
917,6089266.0
918,4134468.5
919,4426621.0
920,6309762.0
921,6517349.5
922,6386679.5
923,6396005.5
924,4955134.0
925,7384218.0
926,7133828.0
927,7773651.5
928,6274513.5
929,5283684.5
930,8289349.5
931,6533131.5
932,7199993.5
933,6373642.0
934,7483310.0
935,7717638.5
936,5114996.5
937,8701681.0
938,6615302.0
939,4063583.25
940,6970181.5
941,6368514.5
942,7601023.5
943,5811379.0
944,6410742.5
945,5389407.5
946,6296926.5
947,5506334.5
948,6017176.0
949,6154589.0
950,7249517.5
951,5459423.0
952,5846302.5
953,6145585.0
954,6348008.0
955,6475370.5
956,5644684.5
957,5184991.5
958,5997057.0
959,6920254.0
960,7093875.0
961,6255105.0
962,5591979.5
963,6704976.5
964,5947238.0
965,4724027.0
966,6853333.5
967,2230494.5
968,3697047.0
969,7101485.0
970,7782749.0
971,7975639.5
972,7061064.0
973,6124705.5
974,6381384.0
975,5797547.0
976,8426304.0
977,5290285.0
978,7419132.0
979,7097624.5
980,7197634.0
981,6393780.5
982,4443317.0
983,8249757.5
984,3468409.75
985,3054596.5
986,6821393.5
987,5826982.5
988,7396751.0
989,7477432.5
990,7385254.0
991,7279572.5
992,5267474.5
993,7743269.0
994,8106269.0
995,6379406.0
996,5629636.5
997,6893485.0
998,5905686.0
999,5318049.0
1000,6750868.5
1001,7564719.5
1002,5960325.5
1003,5602442.5
1004,7129439.5
1005,4795749.5
1006,6144204.0
1007,6683401.5
1008,4896216.5
1009,7386486.5
1010,5365990.5
1011,4157299.0
1012,6942877.0
1013,6552942.5
1014,6427647.5
1015,6745029.5
1016,6644712.0
1017,6254202.5
1018,6849725.0
1019,5017473.5
1020,7780450.5
1021,6394458.5
1022,5678707.0
1023,8102330.0
1024,6639260.0
1025,7349606.0
1026,4854091.0
1027,6937910.5
1028,4555941.0
1029,6963597.5
1030,8541612.0
1031,6867360.5
1032,8625232.0
1033,6511727.0
1034,7432697.0
1035,8717775.0
1036,7343500.5
1037,7730674.5
1038,8616719.0
1039,4784002.5
1040,7200560.5
1041,5172643.5
1042,6126274.5
1043,6208179.0
1044,6360278.0
1045,5472185.0
1046,5041696.5
1047,6798694.0
1048,4867729.0
1049,3719696.75
1050,5668949.5
1051,6939724.5
1052,6740240.5
1053,6612435.5
1054,7946419.5
1055,7857512.0
1056,8411453.0
1057,4577873.0
1058,8490764.0
1059,7789589.0
1060,7058340.5
1061,8009673.0
1062,6488427.5
1063,8509519.0
1064,7590948.5
1065,7120827.5
1066,7580761.5
1067,8589430.0
1068,7822140.0
1069,4659564.0
1070,7708710.5
1071,5700109.0
1072,7206340.5
1073,7714397.5
1074,5951892.5
1075,7228830.5
1076,7331725.5
1077,7234401.0
1078,3100011.25
1079,5642549.5
1080,7791381.0
1081,5449539.0
1082,7127260.0
1083,3804062.25
1084,5668369.5
1085,6092704.0
1086,4905972.0
1087,4475905.5
