Step,Value
0,1489.0
1,42.0
2,1491.0
3,115.0
4,1472.0
5,53.0
6,34.0
7,1349.0
8,95.0
9,29.0
10,29.0
11,17.0
12,36.0
13,6.0
14,1972.0
15,2.0
16,1472.0
17,77.0
18,0.0
19,41.0
20,1975.0
21,1448.0
22,41.0
23,1474.0
24,1.0
25,0.0
26,1461.0
27,65.0
28,29.0
29,0.0
30,20.0
31,30.0
32,1400.0
33,86.0
34,49.0
35,39.0
36,0.0
37,1417.0
38,1421.0
39,109.0
40,78.0
41,96.0
42,112.0
43,72.0
44,76.0
45,99.0
46,98.0
47,119.0
48,115.0
49,48.0
50,96.0
51,71.0
52,66.0
53,1437.0
54,58.0
55,19.0
56,25.0
57,1973.0
58,85.0
59,63.0
60,41.0
61,0.0
62,37.0
63,21.0
64,24.0
65,1404.0
66,1376.0
67,39.0
68,9.0
69,9.0
70,21.0
71,8.0
72,1470.0
73,1450.0
74,0.0
75,18.0
76,1461.0
77,42.0
78,24.0
79,16.0
80,0.0
81,0.0
82,1429.0
83,1460.0
84,71.0
85,0.0
86,33.0
87,39.0
88,51.0
89,44.0
90,39.0
91,47.0
92,30.0
93,1435.0
94,138.0
95,81.0
96,68.0
97,70.0
98,48.0
99,39.0
100,50.0
101,75.0
102,1466.0
103,76.0
104,22.0
105,1442.0
106,69.0
107,1.0
108,26.0
109,1348.0
110,35.0
111,35.0
112,0.0
113,14.0
114,33.0
115,7.0
116,0.0
117,45.0
118,8.0
119,41.0
120,33.0
121,34.0
122,0.0
123,50.0
124,0.0
125,0.0
126,18.0
127,32.0
128,1974.0
129,138.0
130,0.0
131,55.0
132,72.0
133,1944.0
134,130.0
135,40.0
136,53.0
137,55.0
138,0.0
139,32.0
140,20.0
141,6.0
142,21.0
143,12.0
144,21.0
145,13.0
146,1989.0
147,36.0
148,27.0
149,17.0
150,23.0
151,19.0
152,15.0
153,33.0
154,13.0
155,1336.0
156,20.0
157,5.0
158,1424.0
159,47.0
160,45.0
161,30.0
162,29.0
163,67.0
164,45.0
165,46.0
166,57.0
167,63.0
168,74.0
169,56.0
170,46.0
171,58.0
172,99.0
173,49.0
174,69.0
175,39.0
176,0.0
177,69.0
178,39.0
179,2.0
180,10.0
181,0.0
182,16.0
183,17.0
184,12.0
185,1392.0
186,1403.0
187,39.0
188,16.0
189,0.0
190,0.0
191,19.0
192,0.0
193,1392.0
194,0.0
195,1393.0
196,45.0
197,44.0
198,31.0
199,15.0
200,40.0
201,33.0
202,33.0
203,36.0
204,44.0
205,37.0
206,39.0
207,26.0
208,34.0
209,0.0
210,23.0
211,33.0
212,22.0
213,25.0
214,48.0
215,21.0
216,1339.0
217,67.0
218,35.0
219,1310.0
220,79.0
221,0.0
222,0.0
223,55.0
224,50.0
225,0.0
226,0.0
227,0.0
228,0.0
229,40.0
230,0.0
231,46.0
232,0.0
233,0.0
234,49.0
235,30.0
236,43.0
237,74.0
238,53.0
239,51.0
240,56.0
241,43.0
242,61.0
243,56.0
244,39.0
245,40.0
246,35.0
247,0.0
248,45.0
249,36.0
250,20.0
251,19.0
252,9.0
253,12.0
254,11.0
255,22.0
256,7.0
257,19.0
258,5.0
259,23.0
260,31.0
261,34.0
262,27.0
263,26.0
264,33.0
265,26.0
266,18.0
267,28.0
268,28.0
269,33.0
270,43.0
271,0.0
272,38.0
273,26.0
274,45.0
275,22.0
276,5.0
277,28.0
278,4.0
279,10.0
280,15.0
281,11.0
282,9.0
283,11.0
284,8.0
285,23.0
286,9.0
287,10.0
288,18.0
289,4.0
290,18.0
291,29.0
292,38.0
293,37.0
294,30.0
295,8.0
296,17.0
297,27.0
298,22.0
299,21.0
300,25.0
301,14.0
302,22.0
303,43.0
304,46.0
305,27.0
306,33.0
307,25.0
308,41.0
309,27.0
310,43.0
311,9.0
312,21.0
313,63.0
314,33.0
315,39.0
316,43.0
317,43.0
318,32.0
319,28.0
320,30.0
321,27.0
322,16.0
323,27.0
324,17.0
325,6.0
326,7.0
327,12.0
328,11.0
329,15.0
330,7.0
331,22.0
332,27.0
333,23.0
334,31.0
335,33.0
336,23.0
337,32.0
338,21.0
339,21.0
340,33.0
341,38.0
342,51.0
343,44.0
344,0.0
345,76.0
346,86.0
347,72.0
348,64.0
349,41.0
350,45.0
351,42.0
352,40.0
353,31.0
354,35.0
355,39.0
356,25.0
357,31.0
358,28.0
359,21.0
360,26.0
361,33.0
362,21.0
363,37.0
364,34.0
365,23.0
366,20.0
367,14.0
368,30.0
369,30.0
370,33.0
371,28.0
372,26.0
373,31.0
374,40.0
375,29.0
376,32.0
377,20.0
378,16.0
379,22.0
380,31.0
381,27.0
382,15.0
383,15.0
384,26.0
385,23.0
386,24.0
387,21.0
388,12.0
389,13.0
390,8.0
391,11.0
392,9.0
393,17.0
394,12.0
395,14.0
396,21.0
397,12.0
398,22.0
399,30.0
400,0.0
401,29.0
402,34.0
403,28.0
404,29.0
405,45.0
406,40.0
407,20.0
408,32.0
409,27.0
410,21.0
411,19.0
412,28.0
413,33.0
414,15.0
415,19.0
416,32.0
417,28.0
418,21.0
419,15.0
420,32.0
421,13.0
422,31.0
423,26.0
424,31.0
425,22.0
426,26.0
427,23.0
428,18.0
429,23.0
430,23.0
431,20.0
432,26.0
433,29.0
434,25.0
435,47.0
436,40.0
437,37.0
438,50.0
439,49.0
440,49.0
441,31.0
442,17.0
443,29.0
444,16.0
445,21.0
446,15.0
447,24.0
448,9.0
449,30.0
450,14.0
451,19.0
452,14.0
453,22.0
454,18.0
455,17.0
456,18.0
457,31.0
458,56.0
459,45.0
460,49.0
461,53.0
462,64.0
463,54.0
464,71.0
465,61.0
466,69.0
467,65.0
468,33.0
469,46.0
470,37.0
471,30.0
472,39.0
473,26.0
474,26.0
475,13.0
476,15.0
477,24.0
478,14.0
479,9.0
480,20.0
481,14.0
482,7.0
483,9.0
484,12.0
485,11.0
486,7.0
487,14.0
488,9.0
489,8.0
490,11.0
491,13.0
492,14.0
493,13.0
494,17.0
495,28.0
496,12.0
497,4.0
498,15.0
499,7.0
500,9.0
501,18.0
502,18.0
503,10.0
504,13.0
505,13.0
506,24.0
507,20.0
508,23.0
509,29.0
510,23.0
511,24.0
512,38.0
513,40.0
514,36.0
515,33.0
516,22.0
517,22.0
518,25.0
519,32.0
520,26.0
521,41.0
522,40.0
523,34.0
524,42.0
525,53.0
526,52.0
527,54.0
528,41.0
529,26.0
530,25.0
531,27.0
532,25.0
533,20.0
534,23.0
535,20.0
536,34.0
537,23.0
538,31.0
539,20.0
540,24.0
541,25.0
542,18.0
543,14.0
544,16.0
545,18.0
546,17.0
547,10.0
548,9.0
549,15.0
550,19.0
551,23.0
552,18.0
553,21.0
554,19.0
555,28.0
556,41.0
557,29.0
558,42.0
559,35.0
560,19.0
561,42.0
562,36.0
563,35.0
564,29.0
565,21.0
566,18.0
567,25.0
568,31.0
569,28.0
570,30.0
571,28.0
572,38.0
573,30.0
574,25.0
575,29.0
576,21.0
577,26.0
578,33.0
579,28.0
580,32.0
581,37.0
582,11.0
583,26.0
584,28.0
585,22.0
586,24.0
587,23.0
588,19.0
589,32.0
590,26.0
591,27.0
592,24.0
593,35.0
594,37.0
595,42.0
596,45.0
597,34.0
598,24.0
599,23.0
600,30.0
601,28.0
602,18.0
603,22.0
604,26.0
605,18.0
606,12.0
607,18.0
608,12.0
609,12.0
610,16.0
611,13.0
612,13.0
613,14.0
614,23.0
615,26.0
616,30.0
617,29.0
618,26.0
619,27.0
620,21.0
621,32.0
622,21.0
623,32.0
624,13.0
625,14.0
626,14.0
627,25.0
628,22.0
629,17.0
630,20.0
631,33.0
632,25.0
633,18.0
634,28.0
635,34.0
636,22.0
637,18.0
638,22.0
639,14.0
640,18.0
641,18.0
642,8.0
643,15.0
644,14.0
645,19.0
646,22.0
647,21.0
648,27.0
649,35.0
650,46.0
651,26.0
652,26.0
653,31.0
654,30.0
655,23.0
656,19.0
657,19.0
658,39.0
659,33.0
660,42.0
661,45.0
662,47.0
663,31.0
664,33.0
665,45.0
666,36.0
667,18.0
668,24.0
669,21.0
670,20.0
671,15.0
672,27.0
673,17.0
674,22.0
675,25.0
676,29.0
677,25.0
678,23.0
679,26.0
680,27.0
681,19.0
682,21.0
683,27.0
684,17.0
685,24.0
686,28.0
687,31.0
688,35.0
689,25.0
690,37.0
691,34.0
692,39.0
693,29.0
694,30.0
695,47.0
696,43.0
697,47.0
698,35.0
699,34.0
700,28.0
701,25.0
702,26.0
703,29.0
704,51.0
705,32.0
706,38.0
707,30.0
708,22.0
709,16.0
710,10.0
711,21.0
712,15.0
713,31.0
714,14.0
715,20.0
716,17.0
717,7.0
718,13.0
719,22.0
720,20.0
721,16.0
722,28.0
723,27.0
724,51.0
725,54.0
726,60.0
727,61.0
728,42.0
729,38.0
730,28.0
731,30.0
732,27.0
733,28.0
734,21.0
735,25.0
736,19.0
737,19.0
738,19.0
739,33.0
740,17.0
741,27.0
742,21.0
743,13.0
744,15.0
745,8.0
746,18.0
747,13.0
748,23.0
749,26.0
750,27.0
751,25.0
752,30.0
753,28.0
754,52.0
755,37.0
756,55.0
757,45.0
758,48.0
759,42.0
760,39.0
761,39.0
762,49.0
763,40.0
764,29.0
765,25.0
766,19.0
767,39.0
768,17.0
769,30.0
770,36.0
771,41.0
772,31.0
773,44.0
774,50.0
775,49.0
776,17.0
777,18.0
778,22.0
779,15.0
780,14.0
781,22.0
782,16.0
783,14.0
784,24.0
785,10.0
786,9.0
787,7.0
788,7.0
789,13.0
790,3.0
791,7.0
792,19.0
793,23.0
794,17.0
795,18.0
796,17.0
797,21.0
798,31.0
799,29.0
800,26.0
801,32.0
802,34.0
803,37.0
804,38.0
805,37.0
806,45.0
807,39.0
808,33.0
809,37.0
810,30.0
811,44.0
812,29.0
813,28.0
814,32.0
815,32.0
816,17.0
817,18.0
818,10.0
819,23.0
820,25.0
821,14.0
822,10.0
823,13.0
824,14.0
825,14.0
826,21.0
827,9.0
828,2.0
829,9.0
830,4.0
831,9.0
832,7.0
833,5.0
834,6.0
835,11.0
836,19.0
837,9.0
838,14.0
839,11.0
840,18.0
841,4.0
842,9.0
843,8.0
844,16.0
845,26.0
846,35.0
847,30.0
848,25.0
849,23.0
850,23.0
851,20.0
852,31.0
853,39.0
854,20.0
855,20.0
856,18.0
857,13.0
858,11.0
859,12.0
860,16.0
861,14.0
862,20.0
863,7.0
864,20.0
865,9.0
866,17.0
867,19.0
868,19.0
869,16.0
870,13.0
871,19.0
872,23.0
873,16.0
874,20.0
875,33.0
876,11.0
877,28.0
878,28.0
879,36.0
880,31.0
881,36.0
882,44.0
883,43.0
884,49.0
885,62.0
886,65.0
887,46.0
888,35.0
889,44.0
890,28.0
891,27.0
892,24.0
893,27.0
894,26.0
895,17.0
896,18.0
897,18.0
898,15.0
899,26.0
900,15.0
901,15.0
902,18.0
903,21.0
904,22.0
905,26.0
906,6.0
907,11.0
908,16.0
909,12.0
910,27.0
911,28.0
912,10.0
913,15.0
914,20.0
915,22.0
916,24.0
917,15.0
918,28.0
919,26.0
920,15.0
921,23.0
922,13.0
923,12.0
924,15.0
925,9.0
926,3.0
927,9.0
928,12.0
929,10.0
930,13.0
931,9.0
932,18.0
933,10.0
934,18.0
935,22.0
936,31.0
937,27.0
938,33.0
939,20.0
940,16.0
941,22.0
942,31.0
943,23.0
944,37.0
945,32.0
946,41.0
947,26.0
948,28.0
949,40.0
950,24.0
951,18.0
952,21.0
953,19.0
954,16.0
955,13.0
956,13.0
957,9.0
958,22.0
959,10.0
960,14.0
961,19.0
962,13.0
963,18.0
964,29.0
965,8.0
966,13.0
967,13.0
968,21.0
969,13.0
970,19.0
971,13.0
972,21.0
973,27.0
974,24.0
975,19.0
976,28.0
977,20.0
978,23.0
