Step,Value
0,235424.21875
1,235424.21875
2,6635338.0
3,232610.65625
4,5314006.0
5,212818.734375
6,5345907.0
7,6842420.5
8,236228.390625
9,5700124.0
10,7223597.0
11,7034230.5
12,7158121.5
13,6855253.5
14,7243359.5
15,231737.40625
16,6296389.0
17,177656.96875
18,6028808.5
19,5837839.0
20,6542578.5
21,192782.34375
22,21071.697265625
23,5085032.5
24,164578.34375
25,4893327.5
26,5469148.0
27,141809.0
28,5256992.5
29,6318161.0
30,6607588.0
31,6898007.5
32,6806044.5
33,203658.21875
34,5401922.5
35,6635837.0
36,6347834.0
37,5994049.0
38,126931.125
39,8940.33203125
40,4713544.0
41,5120116.0
42,4407632.5
43,4103781.25
44,5008951.0
45,5206036.0
46,4897108.0
47,4726714.0
48,4585579.5
49,4984927.5
50,5383431.5
51,5298687.5
52,5181882.0
53,5615278.0
54,199009.921875
55,5251096.0
56,5385596.5
57,4978600.0
58,172733.28125
59,4789675.0
60,5423931.0
61,6232855.5
62,5764921.0
63,6960535.0
64,6796273.0
65,7246023.5
66,235817.84375
67,6409.46923828125
68,6655998.5
69,8216061.0
70,8591080.0
71,8266763.5
72,8377285.0
73,255514.859375
74,12702.6806640625
75,6040669.0
76,7920225.0
77,279170.46875
78,7348651.5
79,8042922.5
80,7851791.0
81,6088345.0
82,5823097.5
83,142732.84375
84,12462.408203125
85,4976452.5
86,6279782.0
87,5803594.5
88,6201150.5
89,5825994.0
90,5906500.0
91,6049177.5
92,5995137.0
93,6542298.0
94,212200.28125
95,5113633.5
96,5803155.0
97,5356992.0
98,5417797.0
99,5676076.5
100,5823045.0
101,5830558.0
102,5709822.5
103,182396.71875
104,5440557.5
105,6625665.5
106,225153.21875
107,5758380.0
108,6352703.5
109,6190872.5
110,194838.125
111,6244284.5
112,6656362.0
113,7146416.0
114,7104693.0
115,7003049.5
116,7005067.5
117,6311123.0
118,6546072.0
119,6979335.5
120,6799867.0
121,6453248.5
122,6839164.5
123,5690904.0
124,5994767.0
125,5422432.5
126,5167761.5
127,6270843.5
128,6060052.5
129,198328.921875
130,4255809.5
131,4689564.0
132,5572862.5
133,5681246.5
134,169384.828125
135,4606771.5
136,5976930.5
137,6270030.5
138,6067828.5
139,5835083.5
140,6331842.5
141,7021629.5
142,7829315.5
143,7984133.0
144,7798555.0
145,7500425.5
146,7839737.5
147,246194.59375
148,6377918.5
149,7272671.5
150,7388167.5
151,7233929.0
152,6684089.5
153,6968172.0
154,7386156.5
155,7393971.5
156,245988.859375
157,7003002.5
158,8180706.0
159,222190.390625
160,6248917.0
161,5938212.0
162,6379344.0
163,6510354.0
164,6042019.0
165,6041035.0
166,6156045.0
167,5471992.0
168,5694689.0
169,5623619.5
170,5199062.5
171,5288414.0
172,5436705.0
173,5155500.0
174,5455889.0
175,5914104.5
176,6462984.0
177,6029194.0
178,5935481.0
179,6601634.0
180,6781243.0
181,6991878.5
182,6647481.5
183,7338624.0
184,7530554.5
185,8493720.0
186,259050.828125
187,27245.966796875
188,6810522.5
189,8230664.0
190,8259826.5
191,7997089.5
192,7669640.5
193,7132523.0
194,181975.859375
195,4838780.5
196,156090.96875
197,5854341.0
198,5856829.5
199,6870964.5
200,6610509.5
201,6353208.5
202,6386449.0
203,6688353.5
204,6020433.5
205,6060419.5
206,5805257.0
207,6105484.5
208,6390513.0
209,6334877.0
210,6447918.0
211,6620831.5
212,6590562.0
213,6414562.0
214,6845614.5
215,6776679.5
216,7110145.5
217,210500.84375
218,5863229.0
219,6528420.0
220,227851.875
221,5005299.0
222,5522032.5
223,5818505.5
224,5727181.5
