Step,Value
0,1489.0
1,42.0
2,1491.0
3,115.0
4,1472.0
5,53.0
6,34.0
7,1349.0
8,95.0
9,29.0
10,29.0
11,17.0
12,36.0
13,6.0
14,1972.0
15,2.0
16,0.0
17,35.0
18,0.0
19,33.0
20,1971.0
21,1468.0
22,62.0
23,1469.0
24,0.0
25,0.0
26,1455.0
27,61.0
28,51.0
29,0.0
30,27.0
31,22.0
32,1450.0
33,81.0
34,70.0
35,36.0
36,0.0
37,0.0
38,1459.0
39,134.0
40,72.0
41,99.0
42,123.0
43,88.0
44,74.0
45,104.0
46,83.0
47,75.0
48,111.0
49,63.0
50,81.0
51,61.0
52,98.0
53,1446.0
54,131.0
55,71.0
56,43.0
57,1983.0
58,110.0
59,73.0
60,53.0
61,0.0
62,34.0
63,26.0
64,22.0
65,1302.0
66,1314.0
67,37.0
68,23.0
69,9.0
70,13.0
71,10.0
72,1475.0
73,1455.0
74,0.0
75,7.0
76,1466.0
77,61.0
78,27.0
79,19.0
80,0.0
81,0.0
82,1402.0
83,1433.0
84,34.0
85,0.0
86,25.0
87,29.0
88,54.0
89,39.0
90,35.0
91,31.0
92,27.0
93,1428.0
94,112.0
95,77.0
96,48.0
97,72.0
98,36.0
99,36.0
100,54.0
101,76.0
102,1484.0
103,89.0
104,33.0
105,1447.0
106,69.0
107,0.0
108,0.0
109,1301.0
110,36.0
111,36.0
112,0.0
113,1456.0
114,52.0
115,10.0
116,1981.0
117,84.0
118,0.0
119,45.0
120,41.0
121,50.0
122,1513.0
123,116.0
124,1390.0
125,1454.0
126,39.0
127,39.0
128,1974.0
129,99.0
130,37.0
131,27.0
132,51.0
133,1942.0
134,104.0
135,39.0
136,53.0
137,56.0
138,22.0
139,44.0
140,18.0
141,0.0
142,16.0
143,2.0
144,16.0
145,15.0
146,1984.0
147,57.0
148,23.0
149,21.0
150,36.0
151,31.0
152,22.0
153,21.0
154,0.0
155,1411.0
156,19.0
157,13.0
158,1396.0
159,38.0
160,44.0
161,35.0
162,25.0
163,41.0
164,29.0
165,45.0
166,46.0
167,44.0
168,58.0
169,0.0
170,65.0
171,0.0
172,106.0
173,39.0
174,56.0
175,46.0
176,0.0
177,38.0
178,33.0
179,28.0
180,16.0
181,32.0
182,12.0
183,9.0
184,13.0
185,1376.0
186,0.0
187,15.0
188,11.0
189,2.0
190,21.0
191,20.0
192,28.0
193,0.0
194,40.0
195,1400.0
196,68.0
197,43.0
198,21.0
199,0.0
200,29.0
201,38.0
202,20.0
203,37.0
204,38.0
205,39.0
206,31.0
207,37.0
208,32.0
209,0.0
210,30.0
211,1.0
212,25.0
213,22.0
214,31.0
215,27.0
216,1345.0
217,56.0
218,51.0
219,1336.0
220,51.0
221,0.0
222,18.0
223,41.0
224,32.0
225,0.0
226,2.0
227,0.0
228,48.0
229,23.0
230,47.0
231,35.0
232,22.0
233,54.0
234,42.0
235,44.0
236,46.0
237,53.0
238,46.0
239,45.0
240,61.0
241,50.0
242,0.0
243,30.0
244,0.0
245,36.0
246,52.0
247,1972.0
248,71.0
249,0.0
250,13.0
251,8.0
252,13.0
253,11.0
254,19.0
255,15.0
256,13.0
257,14.0
258,31.0
259,37.0
260,30.0
261,42.0
262,29.0
263,27.0
264,42.0
265,29.0
266,26.0
267,27.0
268,31.0
269,30.0
270,35.0
271,28.0
272,32.0
273,21.0
274,30.0
275,20.0
276,20.0
277,16.0
278,13.0
279,0.0
280,13.0
281,13.0
282,6.0
283,8.0
284,12.0
285,17.0
286,11.0
287,10.0
288,17.0
289,12.0
290,17.0
291,17.0
292,39.0
293,23.0
294,29.0
295,34.0
296,23.0
297,28.0
298,36.0
299,21.0
300,24.0
301,29.0
302,22.0
303,31.0
304,39.0
305,28.0
306,36.0
307,35.0
308,43.0
309,22.0
310,39.0
311,20.0
312,24.0
313,43.0
314,31.0
315,55.0
316,48.0
317,47.0
318,43.0
319,19.0
320,20.0
321,14.0
322,14.0
323,22.0
324,12.0
325,10.0
326,13.0
327,10.0
328,14.0
329,14.0
330,24.0
331,32.0
332,25.0
333,33.0
334,30.0
335,32.0
336,42.0
337,45.0
338,0.0
339,33.0
340,33.0
341,43.0
342,56.0
343,30.0
344,43.0
345,63.0
346,79.0
347,51.0
348,55.0
349,34.0
350,42.0
351,47.0
352,31.0
353,45.0
354,46.0
355,30.0
356,19.0
357,28.0
358,19.0
359,22.0
360,24.0
361,37.0
362,29.0
363,59.0
364,35.0
365,18.0
366,30.0
367,24.0
368,23.0
369,31.0
370,29.0
371,33.0
372,26.0
373,35.0
374,38.0
375,32.0
376,29.0
377,24.0
378,17.0
379,22.0
380,19.0
381,21.0
382,25.0
383,21.0
384,16.0
385,20.0
386,27.0
387,10.0
388,11.0
389,10.0
390,15.0
391,5.0
392,17.0
393,10.0
394,18.0
395,25.0
396,21.0
397,23.0
398,16.0
399,18.0
400,0.0
401,25.0
402,29.0
403,31.0
404,43.0
405,46.0
406,33.0
407,33.0
408,28.0
409,25.0
410,26.0
411,17.0
412,22.0
413,22.0
414,17.0
415,17.0
416,18.0
417,26.0
418,21.0
419,17.0
420,23.0
421,19.0
422,18.0
423,24.0
424,30.0
425,17.0
426,24.0
427,19.0
428,22.0
429,28.0
430,31.0
431,28.0
432,23.0
433,28.0
434,45.0
435,47.0
436,40.0
437,43.0
438,51.0
439,30.0
440,35.0
441,22.0
442,23.0
443,34.0
444,20.0
445,24.0
446,19.0
447,13.0
448,10.0
449,25.0
450,14.0
451,13.0
452,23.0
453,23.0
454,21.0
455,19.0
456,29.0
457,38.0
458,35.0
459,47.0
460,55.0
461,58.0
462,98.0
463,54.0
464,71.0
465,50.0
466,52.0
467,58.0
468,30.0
469,45.0
470,47.0
471,48.0
472,54.0
473,25.0
474,22.0
475,14.0
476,14.0
477,13.0
478,8.0
479,11.0
480,11.0
481,9.0
482,12.0
483,10.0
484,13.0
485,14.0
486,8.0
487,11.0
488,11.0
489,5.0
490,4.0
491,13.0
492,14.0
493,16.0
494,19.0
495,22.0
496,18.0
497,11.0
498,13.0
499,17.0
500,11.0
501,25.0
502,20.0
503,15.0
504,16.0
505,27.0
506,18.0
507,12.0
508,26.0
509,26.0
510,26.0
511,30.0
512,35.0
513,34.0
514,50.0
515,48.0
516,19.0
517,38.0
518,26.0
519,31.0
520,26.0
521,36.0
522,38.0
523,38.0
524,58.0
525,54.0
526,38.0
527,48.0
528,35.0
529,29.0
530,19.0
531,26.0
532,32.0
533,17.0
534,16.0
535,24.0
536,35.0
537,29.0
538,27.0
539,20.0
540,18.0
541,14.0
542,19.0
543,16.0
544,19.0
545,22.0
546,9.0
547,10.0
548,10.0
549,12.0
550,16.0
551,27.0
552,28.0
553,29.0
554,45.0
555,43.0
556,37.0
557,34.0
558,47.0
559,28.0
560,31.0
561,33.0
562,40.0
563,29.0
564,28.0
565,24.0
566,35.0
567,30.0
568,43.0
569,30.0
570,23.0
571,38.0
572,31.0
573,37.0
574,27.0
575,40.0
576,37.0
577,34.0
578,18.0
579,34.0
580,33.0
581,19.0
582,23.0
583,23.0
584,22.0
585,27.0
586,24.0
587,24.0
588,31.0
589,25.0
590,29.0
591,29.0
592,31.0
593,39.0
594,35.0
595,29.0
596,41.0
597,30.0
598,29.0
599,14.0
600,27.0
601,25.0
602,29.0
603,22.0
604,25.0
605,21.0
606,14.0
607,17.0
608,18.0
609,20.0
610,10.0
611,16.0
612,21.0
613,21.0
614,21.0
615,20.0
616,26.0
617,28.0
618,24.0
619,27.0
620,23.0
621,29.0
622,26.0
623,38.0
624,20.0
625,19.0
626,20.0
627,30.0
628,23.0
629,13.0
630,27.0
631,15.0
632,27.0
633,24.0
634,18.0
635,22.0
636,4.0
637,24.0
638,19.0
639,15.0
640,22.0
641,8.0
642,5.0
643,9.0
644,15.0
645,23.0
646,21.0
647,22.0
648,33.0
649,32.0
650,36.0
651,34.0
652,30.0
653,26.0
654,25.0
655,25.0
656,22.0
657,16.0
658,11.0
659,39.0
660,32.0
661,46.0
662,51.0
663,48.0
664,37.0
665,44.0
666,23.0
667,17.0
668,18.0
669,12.0
670,19.0
671,19.0
672,19.0
673,25.0
674,29.0
675,37.0
676,15.0
677,21.0
678,21.0
679,24.0
680,28.0
681,42.0
682,17.0
683,15.0
684,18.0
685,25.0
686,31.0
687,24.0
688,24.0
689,25.0
690,38.0
691,39.0
692,35.0
693,29.0
694,24.0
695,59.0
696,51.0
697,50.0
698,32.0
699,28.0
700,24.0
701,26.0
702,27.0
703,30.0
704,51.0
705,38.0
706,32.0
707,40.0
708,18.0
709,24.0
710,15.0
711,14.0
712,30.0
713,21.0
714,15.0
715,14.0
716,26.0
717,14.0
718,14.0
719,25.0
720,22.0
721,22.0
722,33.0
723,34.0
724,41.0
725,54.0
726,71.0
727,51.0
728,41.0
729,41.0
730,23.0
731,33.0
732,26.0
733,28.0
734,24.0
735,34.0
736,15.0
737,19.0
738,25.0
739,23.0
740,19.0
741,13.0
742,18.0
743,22.0
744,13.0
745,15.0
746,13.0
747,15.0
748,16.0
749,28.0
750,27.0
751,26.0
752,27.0
753,24.0
754,38.0
755,35.0
756,52.0
757,44.0
758,37.0
759,45.0
760,45.0
761,42.0
762,52.0
763,38.0
764,30.0
765,26.0
766,44.0
767,29.0
768,29.0
769,32.0
770,33.0
771,50.0
772,37.0
773,40.0
774,41.0
775,35.0
776,18.0
777,15.0
778,18.0
779,14.0
780,11.0
781,17.0
782,17.0
783,20.0
784,21.0
785,12.0
786,9.0
787,8.0
788,11.0
789,5.0
790,11.0
791,8.0
792,15.0
793,16.0
794,16.0
795,30.0
796,16.0
797,23.0
798,16.0
799,27.0
800,40.0
801,27.0
802,30.0
803,46.0
804,42.0
805,41.0
806,30.0
807,43.0
808,37.0
809,25.0
810,36.0
811,29.0
812,32.0
813,29.0
814,26.0
815,28.0
816,15.0
817,18.0
818,12.0
819,10.0
820,10.0
821,19.0
822,13.0
823,18.0
824,9.0
825,9.0
826,15.0
827,11.0
828,6.0
829,7.0
830,5.0
831,7.0
832,10.0
833,9.0
834,5.0
835,11.0
836,13.0
837,18.0
838,6.0
839,18.0
840,20.0
841,6.0
842,11.0
843,12.0
844,18.0
845,21.0
846,25.0
847,27.0
848,23.0
849,22.0
850,21.0
851,36.0
852,33.0
853,39.0
854,32.0
855,26.0
856,15.0
857,15.0
858,9.0
859,12.0
860,14.0
861,11.0
862,21.0
863,11.0
864,14.0
865,14.0
866,17.0
867,7.0
868,15.0
869,15.0
870,12.0
871,16.0
872,19.0
873,14.0
874,15.0
875,18.0
876,17.0
877,30.0
878,34.0
879,41.0
880,26.0
881,47.0
882,36.0
883,25.0
884,47.0
885,61.0
886,52.0
887,39.0
888,33.0
889,27.0
890,38.0
891,31.0
892,19.0
893,26.0
894,25.0
895,26.0
896,22.0
897,19.0
898,26.0
899,22.0
900,26.0
901,17.0
902,18.0
903,16.0
904,15.0
905,19.0
906,7.0
907,15.0
908,7.0
909,16.0
910,21.0
911,21.0
912,21.0
913,30.0
914,19.0
915,40.0
916,18.0
917,21.0
918,25.0
919,23.0
920,21.0
921,13.0
922,11.0
923,13.0
924,9.0
925,14.0
926,8.0
927,10.0
928,10.0
929,13.0
930,14.0
931,19.0
932,22.0
933,17.0
934,7.0
935,22.0
936,21.0
937,25.0
938,31.0
939,23.0
940,23.0
941,22.0
942,22.0
943,24.0
944,35.0
945,35.0
946,47.0
947,34.0
948,27.0
949,25.0
950,27.0
951,26.0
952,19.0
953,14.0
954,20.0
955,21.0
956,14.0
957,14.0
958,19.0
959,16.0
960,15.0
961,16.0
962,23.0
963,21.0
964,27.0
965,9.0
966,17.0
967,19.0
968,17.0
969,11.0
970,17.0
971,18.0
972,31.0
973,23.0
974,22.0
975,26.0
976,34.0
977,16.0
