Step,Value
0,2816000.0
1,2816000.0
2,3840000.0
3,6451200.0
4,6144000.0
5,7475200.0
6,4044800.0
7,921600.0
8,3993600.0
9,3123200.0
10,5939200.0
11,2560000.0
12,3891200.0
13,4505600.0
14,6502400.0
15,7065600.0
16,6246400.0
17,6809600.0
18,7219200.0
19,2560000.0
20,3276800.0
21,3993600.0
22,1945600.0
23,1996800.0
24,2918400.0
25,3020800.0
26,3430400.0
27,3532800.0
28,4812800.0
29,2764800.0
30,4300800.0
31,2150400.0
32,2969600.0
33,1484800.0
34,7628800.0
35,3020800.0
36,3532800.0
37,3532800.0
38,1638400.0
39,2304000.0
40,1843200.0
41,4454400.0
42,3635200.0
43,3942400.0
44,4915200.0
45,1228800.0
46,7270400.0
47,8396800.0
48,6092800.0
49,5939200.0
50,4608000.0
51,5120000.0
52,2662400.0
53,2560000.0
54,2560000.0
55,3379200.0
56,2048000.0
57,819200.0
58,5120000.0
59,3686400.0
60,3635200.0
61,3532800.0
62,1484800.0
63,5120000.0
64,4710400.0
65,5068800.0
66,4505600.0
67,4761600.0
68,4147200.0
69,3020800.0
70,460800.0
71,3635200.0
72,2304000.0
73,2560000.0
74,3891200.0
75,3840000.0
76,3635200.0
77,8294400.0
78,4864000.0
79,3174400.0
80,3584000.0
81,1792000.0
82,0.0
83,1689600.0
84,1996800.0
85,2304000.0
86,0.0
87,4556800.0
88,4147200.0
89,6246400.0
90,6656000.0
91,5990400.0
92,5990400.0
93,6041600.0
94,4966400.0
95,8243200.0
96,7219200.0
97,2764800.0
98,4198400.0
99,3225600.0
100,2764800.0
101,3174400.0
102,3328000.0
103,1843200.0
104,3891200.0
105,2969600.0
106,153600.0
107,2508800.0
108,4403200.0
109,5273600.0
110,6963200.0
111,6195200.0
112,7168000.0
113,0.0
114,3174400.0
115,3123200.0
116,2304000.0
117,3993600.0
118,5683200.0
119,7628800.0
120,4147200.0
121,4403200.0
122,4096000.0
123,5888000.0
124,3481600.0
125,3020800.0
126,2304000.0
127,3584000.0
128,4454400.0
129,5683200.0
130,4864000.0
131,1587200.0
132,1382400.0
133,1484800.0
134,1843200.0
135,3225600.0
136,4198400.0
137,4864000.0
138,5990400.0
139,8550400.0
140,5478400.0
141,5785600.0
142,6348800.0
143,5939200.0
144,2764800.0
145,2252800.0
146,768000.0
147,204800.0
148,1996800.0
149,3737600.0
150,3481600.0
151,6451200.0
152,4659200.0
153,307200.0
154,0.0
155,1740800.0
156,3481600.0
157,7116800.0
158,3840000.0
159,4812800.0
160,3891200.0
161,5478400.0
162,5171200.0
163,2713600.0
164,358400.0
165,4198400.0
166,4249600.0
167,4864000.0
168,6451200.0
169,4608000.0
170,8755200.0
171,8140800.0
172,8243200.0
173,7628800.0
174,5120000.0
175,4352000.0
176,5324800.0
177,5273600.0
178,3635200.0
179,2406400.0
180,2662400.0
181,5580800.0
182,5939200.0
183,5324800.0
184,4915200.0
185,3942400.0
186,2662400.0
187,972800.0
188,921600.0
189,3788800.0
190,3430400.0
191,2611200.0
192,3072000.0
193,3072000.0
194,2662400.0
195,3532800.0
196,2867200.0
197,3891200.0
198,5017600.0
199,8704000.0
200,5120000.0
201,8550400.0
202,7014400.0
203,5120000.0
204,1945600.0
205,6144000.0
206,3328000.0
207,2252800.0
208,153600.0
209,0.0
210,0.0
211,2816000.0
212,5427200.0
213,4096000.0
214,9216000.0
215,5529600.0
216,5120000.0
217,4710400.0
218,4915200.0
219,6656000.0
220,3635200.0
221,4710400.0
222,4147200.0
223,4812800.0
224,4864000.0
225,2662400.0
226,7321600.0
227,7219200.0
228,4966400.0
229,9472000.0
230,4556800.0
231,5478400.0
232,5171200.0
233,3276800.0
234,4966400.0
235,4147200.0
236,2918400.0
237,1996800.0
238,3328000.0
239,3225600.0
240,4710400.0
241,3430400.0
242,4249600.0
243,4352000.0
244,3686400.0
245,4147200.0
246,3072000.0
247,2201600.0
248,3481600.0
249,7526400.0
250,6860800.0
251,4454400.0
252,5427200.0
253,6809600.0
254,7680000.0
255,3737600.0
256,7833600.0
257,6963200.0
258,5529600.0
259,5017600.0
260,5939200.0
261,4198400.0
262,3430400.0
263,1638400.0
264,972800.0
265,1587200.0
266,1843200.0
267,921600.0
268,1536000.0
269,3328000.0
270,3430400.0
271,3123200.0
272,3123200.0
273,768000.0
274,3328000.0
