Step,Value
1,1695468.125
2,14474816.0
3,2663508.25
4,16123433.0
5,2224042.0
6,8983340.0
7,2128260.5
8,14359257.0
9,2291835.75
10,6868133.5
11,2555035.25
12,5911951.0
13,1200168.0
14,1405450.375
15,7752980.0
16,7530245.0
17,3264576.0
18,13797592.0
19,1538949.5
20,2864765.5
21,3538302.25
22,8580402.0
23,1550311.125
24,4712093.0
25,1290624.25
26,1062513.5
27,6290733.0
28,6276611.5
29,7418354.0
30,8661208.0
31,3131986.5
32,12046769.0
33,327468.25
34,5380380.0
35,7410046.0
36,7027102.0
37,12014633.0
38,1619561.875
39,433773.375
40,1005322.875
41,2262627.5
42,1232218.25
43,352359.125
44,15358304.0
45,11599662.0
46,8571079.0
47,3570676.75
48,4385536.0
49,2899571.25
50,6172772.0
51,8591781.0
52,6038636.5
53,1522935.0
54,13219296.0
55,7525380.5
56,10370315.0
57,10482751.0
58,17526920.0
59,11104695.0
60,4690135.0
61,5860935.0
62,385792.28125
63,7166003.5
64,9716742.0
65,9280542.0
66,7295810.0
67,1157587.25
68,11376529.0
69,5453093.5
70,8643360.0
71,9313086.0
72,1769008.75
73,9644482.0
74,16104330.0
75,4170079.5
76,4986815.5
77,4614424.5
78,1025731.1875
79,10924485.0
80,2759375.5
81,4116137.5
82,2460436.25
83,8426275.0
84,8084572.5
85,12773163.0
86,3573552.0
87,686280.875
88,4034805.5
89,8323640.0
90,624257.625
91,4376005.0
92,10448207.0
93,9243071.0
94,6463393.5
95,9189011.0
96,14320251.0
97,12097350.0
98,918000.1875
99,3001406.25
100,6300086.0
101,8790974.0
102,909109.0625
103,5707382.5
104,5289748.5
105,12617047.0
106,97309.4140625
107,15816711.0
108,11363292.0
109,10602677.0
110,229950.75
111,4042885.25
112,493204.71875
113,9290230.0
114,11406502.0
115,15056916.0
116,1455661.25
117,3745648.75
118,2937311.25
119,8204673.0
120,10284610.0
121,13707289.0
122,11352412.0
123,8806764.0
124,4659591.5
125,1331428.5
126,1284304.25
127,5049379.0
128,1946056.125
129,6388771.0
130,3512994.0
131,7088362.5
132,5422755.0
133,7112707.5
134,10740025.0
135,1725561.75
136,5197586.5
137,2667993.0
138,4970820.0
139,9774136.0
140,6219724.0
141,9647434.0
142,5188401.5
143,60846.609375
144,2063663.0
145,10950878.0
146,5029543.0
147,5128177.0
148,4934203.5
149,4542431.5
150,2014354.875
151,1157517.625
152,8115502.0
153,8680986.0
154,2308520.0
155,7566482.5
156,1075101.625
157,385857.9375
158,17535960.0
159,12171770.0
160,8813511.0
161,8317361.5
162,13249304.0
163,5393281.0
164,874667.3125
165,15247635.0
166,5514498.5
167,4375481.5
168,11485404.0
169,172008.984375
170,8894433.0
171,5878222.0
172,278642.59375
173,6140161.0
174,2276114.25
175,14731143.0
176,1637099.625
177,10129349.0
178,7372058.0
179,8902517.0
180,5025848.5
181,5846287.5
182,11089410.0
183,1964762.5
184,16155705.0
185,6554740.0
186,14592018.0
187,1389747.0
188,1067821.125
189,5936475.5
190,2569252.0
191,10320177.0
192,7856894.0
193,4090138.75
194,4767776.0
195,16563841.0
196,11269674.0
197,773173.4375
198,13530886.0
199,4523926.5
200,11789032.0
201,5839082.0
202,11342818.0
203,3809242.0
204,8018359.5
205,3359227.25
206,2435075.75
207,1558394.125
208,4294478.5
209,3018736.25
210,12350537.0
211,1085132.0
212,9033499.0
213,11477631.0
214,12199122.0
215,8607403.0
216,4053839.25
217,5776024.5
218,9276739.0
219,6542983.0
220,1304210.0
221,13368216.0
222,281126.4375
223,9742762.0
224,2784842.25
225,4211863.5
226,4021414.5
227,2495680.0
228,8046512.0
229,1494247.875
230,8461199.0
231,5917487.5
232,2031116.0
233,11233653.0
234,3183745.75
235,5635934.0
236,7577166.5
237,11050968.0
238,6815607.0
239,9110798.0
240,8011081.0
241,5111435.0
242,3791103.25
243,1264976.0
244,846780.625
245,12883303.0
246,6240641.5
247,6830283.0
248,6947362.0
249,4778249.5
250,12957138.0
251,13304477.0
252,2481535.0
253,984088.0625
254,3140643.5
255,5031116.0
256,3067523.25
257,1219181.625
258,1887057.125
259,9375382.0
260,7902591.0
261,2544743.5
262,1958641.875
263,6537916.0
264,7122428.0
265,6317516.0
266,13387758.0
267,4147530.5
268,12818251.0
269,3515352.0
270,5322478.0
271,4530143.5
272,10394609.0
273,5414742.0
274,6715371.5
275,2718874.25
276,3434341.5
277,4947920.0
278,1862147.25
279,13708540.0
280,3985701.25
281,9392947.0
282,1716206.875
283,4711286.0
284,5148396.5
285,4449318.5
286,4762850.5
287,964141.3125
288,868305.875
289,8088850.5
290,2495003.5
291,5404351.5
292,10369667.0
293,2628055.5
294,6846167.5
295,7147565.0
296,9638991.0
297,13571362.0
298,2868490.25
299,6047560.5
300,3209779.25
301,5854780.0
302,2003210.125
303,5186954.5
304,2503767.5
305,8959550.0
306,11675178.0
307,3992358.5
308,10180401.0
309,9440654.0
310,17519394.0
311,11472182.0
312,2731628.5
313,712271.75
314,3442888.0
315,9884349.0
316,10248057.0
317,3127563.25
318,6597884.5
319,2623759.0
320,5748188.5
321,2544216.5
322,2542618.75
323,4755346.0
324,3321325.75
325,624719.25
326,13836454.0
327,12337488.0
328,13269311.0
329,1207564.375
330,11729439.0
331,12765132.0
332,701257.375
333,10122722.0
334,3040862.5
335,4954193.5
336,2314968.5
337,5137856.0
338,2010128.625
339,3840648.75
340,3764815.0
341,3217567.0
342,8115782.0
343,3124959.5
344,7408417.5
345,10344576.0
346,5054532.5
347,3610068.75
348,1353924.0
349,8697688.0
350,8605157.0
351,2016016.75
352,6954421.0
353,10570247.0
354,8783983.0
355,5000463.5
356,2020082.625
357,13254281.0
358,7332569.0
359,7248128.5
360,4516259.5
361,2644863.75
362,9839876.0
363,5138971.0
