Step,Value
1,847734.0625
2,7073627.0
3,1260600.0
4,8008174.5
5,1076204.0
6,4499531.0
7,997072.5625
8,7152160.5
9,1123713.375
10,3445541.25
11,1188315.25
12,2956511.5
13,596969.8125
14,748347.6875
15,3744023.5
16,3784262.75
17,1688077.875
18,6815982.5
19,751849.5625
20,1428556.625
21,1718442.125
22,4223261.0
23,795430.0
24,2225879.0
25,678422.6875
26,563367.0
27,3188360.0
28,3171785.0
29,3716037.25
30,4336276.5
31,1522861.75
32,5973748.5
33,162747.578125
34,2745329.5
35,3653881.5
36,3466880.25
37,5991916.0
38,758302.5625
39,222225.359375
40,500783.6875
41,1137431.25
42,579556.625
43,195974.0
44,7575462.5
45,5832209.5
46,4337509.5
47,1711017.875
48,2253499.75
49,1504141.75
50,3048533.75
51,4287840.0
52,3060478.0
53,764820.875
54,6459103.0
55,3720054.75
56,5181036.5
57,5180062.0
58,8724106.0
59,5525990.0
60,2264258.5
61,2830142.75
62,202518.578125
63,3515470.0
64,4838971.5
65,4564431.5
66,3630624.0
67,626358.75
68,5565485.0
69,2705903.25
70,4319755.5
71,4515524.0
72,857005.5
73,4839970.5
74,7981825.5
75,2141735.5
76,2539673.75
77,2424350.5
78,489216.625
79,5378537.0
80,1400167.75
81,2192527.25
82,1142199.5
83,4120292.25
84,4033931.0
85,6327873.0
86,1794262.25
87,372751.03125
88,2044792.625
89,3919187.75
90,371558.1875
91,2259299.75
92,5140735.5
93,3914753.25
94,3295061.0
95,4618200.0
96,6793598.5
97,6024540.5
98,505699.75
99,1435908.25
100,3100068.5
101,4380689.0
102,442630.96875
103,2883747.75
104,2575064.5
105,6298818.5
106,51955.49609375
107,7901379.0
108,5592965.0
109,5177874.0
110,107558.9296875
111,1861055.5
112,256446.53125
113,4637885.5
114,5566529.0
115,7430086.0
116,680834.25
117,1918932.25
118,1534514.75
119,3944683.75
120,5096730.5
121,6829206.0
122,5512285.0
123,4446700.0
124,2161736.75
125,625767.875
126,669372.3125
127,2470992.75
128,996096.875
129,3027615.25
130,1687948.875
131,3316204.5
132,2428380.0
133,3241807.5
134,4885116.0
135,869162.1875
136,2495167.25
137,1149867.125
138,2262608.25
139,4405989.0
140,2942780.75
141,4320848.5
142,2353285.5
143,41643.7734375
144,799094.8125
145,4863220.0
146,2428862.0
147,2463813.75
148,2354131.25
149,2116092.25
150,953718.4375
151,612976.875
152,3553731.5
153,3836182.25
154,1013435.75
155,3259641.5
156,537383.9375
157,212848.5625
158,8253914.0
159,5535309.5
160,4043234.25
161,3701866.5
162,5951789.0
163,2579193.5
164,421012.625
165,7247771.0
166,2645152.5
167,2118086.5
168,4896641.0
169,108054.2421875
170,3839044.5
171,2688318.25
172,158527.203125
173,2903443.5
174,929141.5625
175,6946828.5
176,801995.9375
177,4531599.5
178,3315639.5
179,4138584.75
180,2300063.75
181,2784162.25
182,5005859.5
183,925581.625
184,7712659.0
