Step,Value
1,9823954.0
2,1424137.5
3,4936142.0
4,58276.671875
5,9653226.0
6,67535.359375
7,4641440.5
8,152379.515625
9,6257253.5
10,24550.8828125
11,8977798.0
12,3219643.0
13,7083658.0
14,383410.9375
15,6480413.0
16,817545.5625
17,1048481.8125
18,724331.6875
19,9169323.0
20,9361296.0
21,8915944.0
22,4187710.0
23,8379500.5
24,7179412.0
25,34155.80078125
26,4711027.5
27,1607161.875
28,678366.9375
29,40231.1015625
30,2422761.25
31,4632623.5
32,189540.234375
33,7441541.5
34,5130502.0
35,7283294.0
36,6909931.5
37,126734.7109375
38,9387221.0
39,5914320.5
40,9882166.0
41,9496272.0
42,9760717.0
43,158774.59375
44,235059.015625
45,692460.5625
46,843004.1875
47,8808932.0
48,577408.25
49,2339482.5
50,7687925.0
51,355166.6875
52,1607193.5
53,9885107.0
54,1518488.5
55,5997250.5
56,875214.875
57,276270.78125
58,85600.2578125
59,224077.421875
60,8276838.5
61,5378883.5
62,6854415.0
63,7679822.5
64,267306.84375
65,2226851.0
66,1913625.625
67,31933.1484375
68,2924592.25
69,1947091.875
70,118071.0546875
71,4206638.0
72,7435308.0
73,1479417.5
74,196559.6875
75,3362276.5
76,50737.671875
77,1712843.5
78,6095862.5
79,2316483.0
80,9196475.0
81,1805484.75
82,7592626.0
83,2365337.5
84,176552.40625
85,361574.25
86,889284.8125
87,319242.8125
88,1943515.0
89,5520314.5
90,1441614.0
91,1383447.0
92,949590.0
93,5204356.5
94,1211176.5
95,518460.9375
96,4785361.0
97,113973.765625
98,6312334.0
99,1890983.875
100,6498899.0
101,2912223.0
102,3784315.5
103,380278.78125
104,89019.546875
105,301337.65625
106,5398422.5
107,3134386.0
108,5421990.0
109,1400315.0
110,9345561.0
111,436237.03125
112,912869.625
113,124630.921875
114,7874480.0
115,5989575.0
116,363979.59375
117,6853336.5
118,448837.90625
119,66089.1640625
120,396143.125
121,37990.18359375
122,6993984.5
123,133789.125
124,1282620.25
125,4677540.5
126,5736958.0
127,144965.65625
128,7571143.0
129,2473828.75
130,68801.3515625
131,724590.1875
132,4212133.0
133,2097981.75
134,7132552.5
135,502944.21875
136,781640.125
137,666894.75
138,1119775.5
139,8284667.0
140,2281650.5
141,212250.84375
142,265724.6875
143,147665.296875
144,937852.25
145,160652.4375
146,7018707.5
147,293393.4375
148,1027945.9375
149,579337.9375
150,2525449.0
151,9623963.0
152,3020367.0
153,3033867.0
154,793872.625
155,3953641.25
156,330592.46875
157,2780773.25
158,1576196.375
159,423881.21875
160,1520709.0
161,8739029.0
162,2391954.25
163,8639744.0
164,1467920.875
165,5961101.0
166,7914393.5
167,1010661.1875
168,193002.40625
169,123801.6875
170,7676241.5
171,106743.515625
172,1594716.0
173,360289.625
174,198881.046875
175,6592262.0
176,7786401.0
177,5271385.5
178,8588455.0
179,434699.34375
180,89369.96875
181,427392.90625
182,636573.375
183,245378.578125
184,4610186.5
185,7172717.5
186,1012860.5625
187,3261889.75
188,6988825.0
189,2218490.75
190,2317301.75
191,727226.6875
192,4920194.0
193,215725.921875
194,4276597.5
195,70366.171875
196,7912149.0
197,4428965.0
198,8732111.0
199,292678.21875
200,4910161.0
201,356852.8125
202,1807370.875
203,48249.65234375
204,4619643.0
205,193677.875
206,2816459.75
207,834674.8125
208,122676.9296875
209,1812835.875
210,3453331.0
211,5348026.0
212,7367479.0
213,666536.0
214,1041208.8125
215,105887.53125
216,1803051.625
217,7369491.0
218,63789.95703125
219,442373.53125
220,54153.0390625
221,1109559.0
222,5364576.0
223,2918252.25
224,2794897.5
225,328808.4375
226,1221798.75
227,9402215.0
228,768425.9375
229,8357523.5
230,36613.66796875
231,248587.5625
232,2917687.25
233,3657763.5
234,7248571.5
235,1148827.25
236,5943622.5
237,90528.671875
238,522196.9375
239,1225088.125
240,534924.5
241,953497.5625
242,1088257.25
243,1643461.375
244,8939057.0
245,891631.125
246,79798.875
247,2296353.5
248,7704654.5
249,201304.796875
250,857772.0
251,467432.40625
252,2495651.75
253,9187724.0
254,7201237.0
255,3529890.5
256,242994.0
257,9883912.0
258,532745.1875
259,326853.78125
260,1956247.875
261,4546276.5
262,9907673.0
263,74391.6328125
264,7959997.0
265,3330290.5
266,1748832.375
267,1516332.375
268,391689.21875
269,76962.7734375
270,9670046.0
271,239627.515625
272,1316306.625
273,71190.2109375
274,115580.5390625
275,4868556.5
276,458970.28125
277,3129124.25
278,3915232.75
279,3763159.75
280,1952665.5
281,8351747.0
282,2053278.125
283,129792.203125
284,6895919.5
285,2308567.5
286,4223685.5
287,1042066.75
288,9410948.0
289,5394249.0
290,3574891.75
291,286413.6875
292,2818986.0
293,8014476.5
294,705519.6875
295,6528971.0
296,86460.96875
297,1705820.75
298,3776416.0
299,5191483.0
300,7875931.5
301,8392053.0
302,2040618.25
303,2075105.0
304,6031216.0
305,4084613.5
306,6023292.5
307,1184941.125
308,594964.0625
309,3846323.5
310,1194817.75
311,5262459.5
312,3303079.5
313,414274.8125
314,7760458.0
315,2787642.0
316,362860.6875
317,744299.375
318,325838.09375
319,317227.78125
320,283330.25
321,2874499.5
322,8517514.0
323,156805.75
324,680359.25
325,219898.09375
326,2337590.25
327,175146.390625
328,702554.9375
329,3397665.5
330,260921.671875
331,5557393.0
