Step,Value
1,51763200.0
2,51763200.0
3,46796800.0
4,44236800.0
5,47974400.0
6,36454400.0
7,47052800.0
8,42752000.0
9,36198400.0
10,44083200.0
11,39321600.0
12,40550400.0
13,45977600.0
14,29030400.0
15,5427200.0
16,46643200.0
17,53606400.0
18,42393600.0
19,42803200.0
20,32972800.0
21,38860800.0
22,32614400.0
23,33433600.0
24,20428800.0
25,29952000.0
26,32716800.0
27,23808000.0
28,35430400.0
29,33587200.0
30,37888000.0
31,33945600.0
32,39168000.0
33,40857600.0
34,38195200.0
35,46182400.0
36,51507200.0
37,52224000.0
38,46899200.0
39,49612800.0
40,37990400.0
41,8550400.0
42,1894400.0
43,38195200.0
44,28006400.0
45,32614400.0
46,31488000.0
47,40704000.0
48,35174400.0
49,38502400.0
50,40499200.0
51,47462400.0
52,43059200.0
53,43571200.0
54,36352000.0
55,42956800.0
56,46438400.0
57,49510400.0
58,42854400.0
59,45209600.0
60,42649600.0
61,38348800.0
62,37273600.0
63,27904000.0
64,36096000.0
65,38502400.0
66,41420800.0
67,38041600.0
68,31539200.0
69,41369600.0
70,40857600.0
71,43520000.0
72,50278400.0
73,53043200.0
74,49664000.0
75,48332800.0
76,43878400.0
77,39372800.0
78,45363200.0
79,36761600.0
80,43827200.0
81,47564800.0
82,36300800.0
83,41472000.0
84,41318400.0
85,40038400.0
86,33126400.0
87,39321600.0
88,29491200.0
89,44083200.0
90,38144000.0
91,34406400.0
92,42240000.0
93,50329600.0
94,51097600.0
95,49766400.0
96,46745600.0
97,49203200.0
98,38092800.0
99,39116800.0
100,39680000.0
101,32409600.0
102,39987200.0
103,29798400.0
104,37632000.0
105,37171200.0
106,40704000.0
107,39577600.0
108,39731200.0
109,50790400.0
110,45107200.0
111,34048000.0
112,36710400.0
113,40550400.0
114,37632000.0
115,30208000.0
116,36608000.0
117,41318400.0
118,30412800.0
119,37017600.0
120,33433600.0
121,33843200.0
122,37580800.0
123,38144000.0
124,26675200.0
125,39475200.0
126,47564800.0
127,38502400.0
128,54374400.0
129,44339200.0
130,46745600.0
131,42956800.0
132,39936000.0
133,42342400.0
134,38195200.0
135,45004800.0
136,43059200.0
137,42496000.0
138,43571200.0
139,47206400.0
140,36761600.0
141,52582400.0
142,52377600.0
143,44851200.0
144,46438400.0
145,55654400.0
146,47001600.0
147,40345600.0
148,38195200.0
149,39116800.0
150,29184000.0
151,45875200.0
152,36812800.0
153,41267200.0
154,44953600.0
155,42342400.0
156,36710400.0
157,41267200.0
158,38502400.0
159,26572800.0
160,39628800.0
161,39628800.0
162,34867200.0
163,46592000.0
164,49408000.0
165,42291200.0
166,49715200.0
167,44800000.0
168,41984000.0
169,41113600.0
170,36812800.0
171,39219200.0
172,34355200.0
173,37939200.0
174,32870400.0
175,35686400.0
176,38502400.0
177,28262400.0
178,43008000.0
179,30208000.0
180,10496000.0
