Step,Value
1,83840.0
2,83840.0
3,66240.0
4,72320.0
5,27200.0
6,75200.0
7,28480.0
8,78080.0
9,28800.0
10,71680.0
11,28800.0
12,72320.0
13,68800.0
14,68800.0
15,73920.0
16,74560.0
17,66240.0
18,75840.0
19,66560.0
20,71040.0
21,71360.0
22,64320.0
23,71040.0
24,75840.0
25,71680.0
26,28800.0
27,74240.0
28,81920.0
29,72640.0
30,30400.0
31,75200.0
32,73280.0
33,75520.0
34,74880.0
35,77120.0
36,76160.0
37,76480.0
38,28480.0
39,74880.0
40,82240.0
41,72000.0
42,69760.0
43,73600.0
44,31680.0
45,82240.0
46,80320.0
47,80960.0
48,74880.0
49,73920.0
50,72640.0
51,76800.0
52,74240.0
53,77760.0
54,76160.0
55,75840.0
56,78400.0
57,79040.0
58,73280.0
59,30400.0
60,66560.0
61,76160.0
62,77440.0
63,73280.0
64,76160.0
65,75840.0
66,79040.0
67,78400.0
68,32000.0
69,76160.0
70,77120.0
71,30400.0
72,85440.0
73,75200.0
74,83200.0
75,76800.0
76,76480.0
77,32000.0
78,82240.0
79,75840.0
80,79680.0
81,74880.0
82,84480.0
83,84800.0
84,84160.0
85,87360.0
86,86720.0
87,90560.0
88,84160.0
89,77120.0
90,78400.0
91,87680.0
92,79360.0
93,86400.0
94,80960.0
95,85120.0
96,77120.0
97,80000.0
98,35200.0
99,89280.0
100,87040.0
101,92800.0
102,82560.0
103,83840.0
104,86400.0
105,33600.0
106,88000.0
107,89600.0
108,86720.0
109,87360.0
110,94080.0
111,94720.0
112,94720.0
113,86720.0
114,36800.0
115,83200.0
116,85760.0
117,96640.0
118,89600.0
119,93760.0
120,35200.0
121,91840.0
122,36800.0
123,85440.0
124,33600.0
125,83520.0
126,77760.0
127,80960.0
128,30400.0
129,73600.0
130,72960.0
131,30400.0
132,80960.0
133,71680.0
134,70720.0
135,78080.0
136,70720.0
137,66560.0
138,70080.0
139,71360.0
140,71360.0
141,60480.0
142,59840.0
143,66880.0
144,27200.0
145,68800.0
146,30080.0
147,84800.0
148,88640.0
149,89920.0
150,85440.0
151,83840.0
152,87040.0
153,81920.0
154,80960.0
155,82240.0
156,86400.0
157,82240.0
158,87680.0
159,78720.0
160,82240.0
161,78080.0
162,77120.0
163,74560.0
164,75200.0
165,83200.0
166,76160.0
167,80640.0
168,78720.0
169,81280.0
170,33280.0
171,81280.0
172,33600.0
173,89920.0
174,88320.0
175,84800.0
176,89920.0
177,88320.0
178,85120.0
179,85760.0
180,88000.0
181,35200.0
182,82880.0
183,83520.0
184,72320.0
185,78400.0
186,83520.0
187,73280.0
188,66240.0
189,72640.0
190,72000.0
191,64000.0
192,65280.0
193,71680.0
194,78400.0
195,75520.0
196,32000.0
197,80320.0
198,75840.0
199,79040.0
200,84160.0
201,87040.0
202,84160.0
203,85440.0
204,35200.0
205,86400.0
206,88320.0
207,90240.0
208,92160.0
209,40000.0
210,92480.0
211,101440.0
212,96000.0
213,99520.0
214,102080.0
215,96640.0
216,41600.0
217,98880.0
218,100160.0
219,41600.0
220,106880.0
221,40000.0
222,105600.0
223,106880.0
224,104000.0
225,105280.0
226,101440.0
227,111360.0
228,105600.0
229,108800.0
230,112320.0
231,44800.0
232,118720.0
233,108160.0
234,115840.0
235,111680.0
236,116480.0
237,111040.0
238,41600.0
239,103360.0
240,109440.0
241,105280.0
242,101440.0
243,103680.0
244,99520.0
245,91840.0
246,90880.0
247,36800.0
248,91840.0
249,94400.0
250,92800.0
251,95360.0
252,94720.0
253,100480.0
254,91200.0
255,87040.0
256,93440.0
257,95040.0
258,91520.0
259,84480.0
260,92160.0
261,82240.0
262,88960.0
263,93760.0
264,33600.0
265,87040.0
266,89920.0
267,82880.0
268,85440.0
269,80640.0
270,32000.0
271,76480.0
272,75840.0
273,73920.0
274,30400.0
275,0.0
276,76800.0
277,73600.0
278,75520.0
279,78080.0
280,73600.0
281,74560.0
282,73280.0
283,77760.0
284,30080.0
285,72640.0
286,72000.0
287,78400.0
288,74240.0
289,84160.0
290,74880.0
291,73280.0
292,83520.0
293,81280.0
294,82560.0
295,86400.0
296,89600.0
297,33600.0
298,79360.0
299,75200.0
300,75200.0
301,71040.0
302,77120.0
303,70400.0
304,76480.0
305,73280.0
306,78720.0
307,75200.0
308,74880.0
309,79360.0
310,73920.0
311,67520.0
312,72320.0
313,70400.0
314,87680.0
315,85120.0
316,90240.0
317,88320.0
318,81600.0
319,79680.0
320,80320.0
321,89280.0
322,91520.0
323,88000.0
324,33600.0
325,86400.0
326,76480.0
327,79360.0
328,32000.0
329,74880.0
330,69440.0
331,70720.0
332,64960.0
333,67520.0
334,70400.0
335,30400.0
336,71040.0
337,73920.0
338,69760.0
339,68800.0
340,65600.0
341,72640.0
342,68480.0
343,70080.0
344,67520.0
345,68480.0
346,71360.0
347,73280.0
348,28800.0
349,65600.0
350,62400.0
351,67200.0
352,73600.0
353,27200.0
354,67840.0
355,64640.0
356,72640.0
357,64320.0
358,74880.0
359,71040.0
360,80960.0
361,74880.0
362,70400.0
363,70080.0
364,28800.0
365,69120.0
366,25600.0
367,64320.0
368,68480.0
369,64960.0
370,56000.0
371,59520.0
372,48320.0
373,52480.0
374,44480.0
375,44160.0
376,17600.0
377,43520.0
378,45120.0
379,50240.0
380,47360.0
381,52800.0
382,45760.0
383,53120.0
384,42240.0
385,44480.0
386,45760.0
387,56000.0
388,53760.0
389,54400.0
390,53760.0
391,50880.0
392,48000.0
393,49600.0
394,46080.0
395,19200.0
396,0.0
397,48640.0
398,46720.0
399,40000.0
400,41280.0
401,45760.0
402,40000.0
403,40960.0
404,45760.0
405,51520.0
406,20800.0
407,55040.0
408,57920.0
409,62720.0
410,59840.0
411,60800.0
412,54400.0
413,57280.0
414,57600.0
415,67200.0
416,72320.0
417,28800.0
418,68480.0
419,68160.0
420,70080.0
421,79040.0
422,70080.0
423,71680.0
424,75520.0
425,31680.0
426,74240.0
427,77760.0
428,71040.0
429,80320.0
430,81600.0
431,85760.0
432,88960.0
433,87040.0
434,102720.0
435,108480.0
436,102080.0
437,101120.0
438,97600.0
439,107840.0
440,99840.0
441,107520.0
442,104000.0
443,105280.0
444,110080.0
445,109120.0
446,106880.0
447,109440.0
448,104320.0
449,109120.0
450,110720.0
451,117440.0
452,46080.0
453,109760.0
454,104000.0
455,109120.0
456,114240.0
457,98880.0
458,113920.0
459,112640.0
460,111040.0
461,111680.0
462,99840.0
463,105280.0
464,100160.0
465,41600.0
466,100800.0
467,101760.0
468,95360.0
469,104000.0
470,39680.0
471,95040.0
472,41600.0
473,101120.0
474,41600.0
475,0.0
476,98240.0
477,100480.0
478,96640.0
479,98240.0
480,98560.0
481,103680.0
482,110400.0
483,112960.0
484,115520.0
485,120640.0
486,108800.0
487,106240.0
488,103360.0
489,103360.0
490,105280.0
491,105280.0
492,100480.0
493,43200.0
494,104640.0
495,102720.0
496,99200.0
497,106560.0
498,102080.0
499,104960.0
500,96000.0
501,38400.0
502,93760.0
503,98240.0
504,94080.0
505,94080.0
506,96320.0
507,87360.0
508,92160.0
509,95040.0
510,93760.0
511,87040.0
512,79680.0
513,80960.0
514,83520.0
515,81600.0
516,82240.0
517,72000.0
518,78080.0
519,65280.0
520,69120.0
521,75200.0
522,61760.0
523,63360.0
524,61120.0
525,62720.0
526,62720.0
527,60160.0
528,63680.0
529,63360.0
530,69440.0
531,68480.0
532,62720.0
533,62720.0
534,68480.0
535,73280.0
536,66560.0
537,75840.0
538,66880.0
539,71680.0
540,67840.0
541,65600.0
542,28800.0
543,0.0
544,73920.0
545,76800.0
546,28480.0
547,70720.0
548,28800.0
549,65600.0
550,68160.0
551,59840.0
552,65280.0
553,56000.0
554,58240.0
555,60480.0
556,57600.0
557,56640.0
558,66880.0
559,61760.0
560,64000.0
561,63360.0
562,25600.0
563,57600.0
564,57600.0
565,56320.0
566,60480.0
567,55680.0
568,22400.0
569,0.0
570,57280.0
571,22400.0
572,54080.0
573,53440.0
574,54080.0
575,46400.0
576,53120.0
577,62400.0
578,25600.0
579,69760.0
580,59200.0
581,60480.0
582,25280.0
583,61440.0
584,64000.0
585,25600.0
586,61760.0
587,66880.0
588,63360.0
589,72960.0
590,30400.0
591,70400.0
592,28800.0
593,70720.0
594,71360.0
595,28800.0
596,0.0
597,72960.0
598,66240.0
599,70080.0
600,72320.0
601,72640.0
602,72320.0
603,28800.0
604,73280.0
605,73920.0
606,79680.0
607,78400.0
608,34880.0
609,91840.0
610,90240.0
611,88320.0
612,92480.0
613,89920.0
614,41600.0
615,0.0
616,0.0
617,0.0
618,91520.0
619,86400.0
620,96960.0
621,91840.0
622,35200.0
623,85120.0
624,85440.0
625,80960.0
626,83520.0
627,89600.0
628,85120.0
629,86080.0
630,89280.0
631,32000.0
632,82240.0
633,30720.0
634,78080.0
635,75200.0
636,30400.0
637,76160.0
638,72640.0
639,68480.0
640,73280.0
641,65600.0
642,68160.0
643,63040.0
644,65920.0
645,66880.0
646,64640.0
647,66240.0
648,74880.0
649,75840.0
650,69440.0
651,73280.0
652,32000.0
653,81280.0
654,79680.0
655,88320.0
656,73280.0
657,75520.0
658,67200.0
659,73600.0
660,68800.0
661,68160.0
662,70720.0
663,70720.0
664,73600.0
665,77760.0
666,73920.0
667,73280.0
668,81600.0
669,84800.0
670,81600.0
671,72640.0
672,81280.0
673,76480.0
674,72320.0
675,73600.0
676,82880.0
677,82560.0
678,85440.0
679,91840.0
680,88000.0
681,88320.0
682,88320.0
683,93760.0
684,95040.0
685,36800.0
686,89600.0
687,96320.0
688,84480.0
689,90240.0
690,79680.0
691,84160.0
692,80320.0
693,80320.0
694,78080.0
695,70400.0
696,81920.0
697,78080.0
698,72000.0
699,83200.0
700,80320.0
701,83200.0
