Step,Value
1,199898.5
2,77620.140625
3,7716348.0
4,314339.25
5,349937.0
6,10651116.0
7,7339493.0
8,839501.6875
9,7354442.5
10,11066275.0
11,230158.734375
12,11284908.0
13,5957246.0
14,19169738.0
15,250716.90625
16,10642745.0
17,17477520.0
18,242725.6875
19,1408485.625
20,868287.0625
21,1224900.375
22,1129489.875
23,3335594.25
24,63587.9609375
25,19352928.0
26,10933903.0
27,11763034.0
28,14755238.0
29,12750643.0
30,3718223.5
31,8197366.0
32,2056007.25
33,5180737.5
34,5182308.0
35,747213.9375
36,955144.75
37,3558143.75
38,74150.859375
39,8181885.5
40,122472.828125
41,683987.3125
42,102112.5390625
43,19637726.0
44,702986.625
45,5148139.0
46,8685240.0
47,459237.96875
48,17596920.0
49,14546864.0
50,1190993.5
51,9059254.0
52,12352924.0
53,98759.4453125
54,155442.796875
55,1329316.75
56,3269215.75
57,6343018.0
58,164367.140625
59,3327842.75
60,677289.8125
61,3903930.5
62,6582349.5
63,528115.5
64,6497299.5
65,2384309.5
66,8150788.0
67,19678072.0
68,159135.53125
69,10925720.0
70,11306673.0
71,587884.5625
72,4865880.5
73,3701202.25
74,162094.234375
75,10882245.0
76,17562414.0
77,12597852.0
78,7676090.5
79,467745.4375
80,1239981.0
81,14506478.0
82,865258.0625
83,5379237.5
84,11575266.0
85,760975.1875
86,12765639.0
87,19326902.0
88,15265137.0
89,69025.9453125
90,17186464.0
91,15080310.0
92,7160191.0
93,130125.890625
94,12792780.0
95,6370154.5
96,31376.888671875
97,3033391.25
98,3098757.5
99,13367858.0
100,7092924.0
101,351330.9375
102,11989456.0
103,155275.328125
104,19352136.0
105,833332.0
106,310754.75
107,5857258.0
108,4310754.0
109,10359964.0
110,1207177.375
111,17586376.0
112,3749708.5
113,19385974.0
114,580603.25
115,7573669.5
116,8129434.5
117,6126146.5
118,1916682.875
119,4114534.0
120,210064.703125
121,8885392.0
122,3367412.5
123,19546146.0
124,4893388.0
125,9225938.0
126,8310503.0
127,1243451.125
128,165025.828125
129,5126011.0
130,278336.5625
131,182907.953125
132,2932455.75
133,5021580.0
134,1618784.375
135,237807.65625
136,1049019.125
137,16865968.0
138,7055965.0
139,3452161.75
140,12205341.0
141,8420728.0
142,6779564.5
143,18785760.0
144,484507.21875
145,13023020.0
146,4738499.5
147,13220177.0
148,15813766.0
149,18557838.0
150,12582958.0
151,76414.7109375
152,4195105.0
153,8812864.0
154,771613.0625
155,10746949.0
156,7849638.5
157,14128138.0
158,16839336.0
159,10272703.0
160,15295194.0
161,2448606.5
162,13528258.0
163,423461.53125
164,2361672.5
165,674929.0
166,3731368.5
167,3410933.5
168,7802611.0
169,4874312.5
170,3180756.25
171,19413600.0
172,12461483.0
173,18185318.0
174,222475.453125
175,4912609.0
176,4042657.0
177,5366168.0
178,2465464.0
179,18802090.0
180,17594352.0
181,18761080.0
182,9312100.0
183,7382258.0
184,9140803.0
185,333372.34375
186,4917914.5
187,13651031.0
188,5978535.5
189,14644573.0
190,15126100.0
191,8463780.0
192,4788342.0
193,18421852.0
194,10573421.0
195,5592994.0
196,2078217.625
197,10379603.0
198,2028601.375
199,19029246.0
200,9397697.0
201,17904342.0
202,1333951.375
203,1440189.375
204,11926881.0
205,13625315.0
206,3793900.5
207,17962594.0
208,5330817.5
209,636410.6875
210,3570751.5
211,1961642.375
212,2260236.25
213,16710202.0
214,349916.21875
215,4971848.0
216,8732904.0
217,6370105.0
218,698415.3125
219,9809480.0
220,566242.6875
221,4864658.0
222,5746479.5
223,10891147.0
224,3000154.5
225,11251231.0
226,5333450.5
227,95870.859375
