Step,Value
1,192288.8125
2,192288.8125
3,10608.236328125
4,4247138.0
5,142388.859375
6,9131.4248046875
7,3876318.5
8,4433919.5
9,5231945.5
10,5209140.0
11,5069738.5
12,152021.265625
13,4741137.0
14,4986650.0
15,5013607.5
16,156526.015625
17,5157282.5
18,5859358.0
19,148218.71875
20,3665806.75
21,4256101.0
22,4393331.0
23,4380190.5
24,4488101.5
25,121839.75
26,3845450.75
27,3977669.75
28,3709347.5
29,4032110.5
30,3994864.5
31,3835103.0
32,3659572.25
33,3861380.5
34,3862121.5
35,3871549.25
36,3793537.0
37,3797232.25
38,4302771.0
39,155542.875
40,3962501.75
41,168717.125
42,4397060.5
43,125446.7265625
44,4575768.0
45,4804199.0
46,5236789.5
47,5268969.5
48,5329008.5
49,5508087.0
50,5351915.0
51,5504912.5
52,4893243.0
53,5082978.0
54,163087.328125
55,19430.78125
56,4786280.5
57,4992317.0
58,5102052.0
59,143642.734375
60,3997850.75
61,3869132.75
62,3915396.5
63,4100100.25
64,3936325.25
65,3854879.5
66,3996926.0
67,4395167.0
68,4487402.0
69,145216.5625
70,3830470.0
71,4421291.5
72,4041724.5
73,4806800.0
74,3946817.25
75,147963.859375
76,3875831.75
77,4565215.5
78,4891990.5
79,5318133.5
80,4655027.0
81,5330549.5
82,5476983.5
83,5742292.0
84,5899964.0
85,6092790.0
86,5755262.0
87,5558735.5
88,6058494.0
89,5857172.0
90,165031.21875
91,4922164.0
92,5435451.0
93,5434143.0
94,174109.875
95,4658776.0
96,5092968.0
97,161923.9375
98,4176871.75
99,4786895.5
100,3768637.25
101,3685288.25
102,3604293.0
103,3307400.5
104,119463.3125
105,3477752.5
106,3816222.5
107,106877.1328125
108,2680763.75
109,3255242.0
110,4094286.0
111,4720495.5
112,4721662.5
113,5231880.0
114,5080333.5
115,4624476.5
116,5068006.0
117,5314565.0
118,5015389.0
119,5256493.0
120,4995223.0
121,141073.578125
122,4187850.25
123,4782049.0
124,4651011.5
125,4729429.0
126,4956543.0
127,4875187.5
128,5218271.5
129,155666.484375
130,4062043.25
131,117870.859375
132,9623.0595703125
133,3621251.75
134,3685235.5
135,4049945.5
136,111990.453125
137,3740731.25
138,4211062.5
139,4603128.0
140,4760968.0
141,4558459.0
142,4289211.0
143,4344275.0
144,3875474.5
145,3941806.25
146,4296259.5
147,4224617.5
148,4373080.0
149,4347069.0
150,4608023.5
151,4527799.0
152,160720.109375
153,3810243.75
154,4827220.5
155,4652106.0
156,5309948.5
157,5031769.5
158,5058346.0
159,5262832.5
160,5493307.0
161,6027452.5
162,5482497.0
163,5567619.5
164,5067131.5
165,5097667.5
166,4477469.0
167,4510113.5
168,4059925.0
169,4753824.5
170,4354817.0
171,3875599.25
172,2955698.75
173,2921380.25
174,2920225.75
175,97050.921875
176,3023349.5
177,3241691.5
178,2984637.5
179,2672161.0
180,3047311.5
181,3044926.75
182,3663641.5
183,3298934.25
184,3458834.75
185,3949062.0
186,118386.859375
187,3804953.5
188,5071720.0
189,4420918.5
190,4945003.0
191,5184267.5
192,5297222.5
193,5125312.0
194,5038483.0
195,4611624.0
196,4645902.0
197,4607688.5
198,4763669.0
199,4924064.0
200,4969600.5
201,4579031.0
202,4764986.5
203,4764215.0
204,5222588.5
205,5544409.5
206,5672268.0
207,5928693.0
208,5533416.0
209,5355833.5
210,4709140.5
211,5092336.5
212,5312693.5
213,5156250.0
214,5016702.0
215,167593.515625
216,4677437.0
217,5205717.5
218,5542331.5
219,4872406.5
220,5705235.5
221,4799187.0
222,4938861.5
223,4991994.0
224,4945973.0
225,5054997.0
226,5255108.5
227,4944634.5
228,151475.28125
229,3554264.25
230,4611303.0
231,4494970.5
232,4261719.0
233,4728367.0
234,4433945.0
235,4651228.5
236,4288867.0
237,135327.125
238,3088957.5
239,3767603.25
240,3880759.5
241,4300737.0
242,4341621.5
243,4144377.25
244,4397024.5
245,4652496.0
246,4649157.0
247,5562154.0
248,5424790.5
249,5060362.5
250,5373428.5
251,5090298.0
252,5200959.5
253,5261752.0
254,5577086.5
255,5216488.0
256,4962789.0
257,4847596.5
258,134094.40625
259,4581457.5
260,5128314.5
261,4808050.5
262,5041287.5
263,136085.046875
264,0.0
265,3548556.0
266,4461680.0
267,4147015.5
268,3837107.5
269,3411653.5
270,122115.71875
271,3406204.5
272,3985640.25
273,4056135.25
274,4009896.0
275,118695.0703125
276,3417359.75
277,4113096.25
278,4678114.5
279,4363811.0
280,4124594.25
281,3855893.5
282,128268.46875
283,3646719.25
284,4989074.0
285,4766772.0
286,5357599.0
287,5647797.0
288,4956980.5
289,5148474.5
290,5242135.0
291,5367442.0
292,5083942.5
293,4584814.5
294,4677396.5
295,4753961.0
296,4594058.0
297,145679.28125
298,4310280.0
299,4333712.0
300,4536566.5
301,4787463.5
302,4146161.0
303,4572241.0
304,4339651.0
305,4180486.0
306,4221003.0
307,4535804.5
308,4936776.5
309,4737124.5
310,4237246.5
311,4734723.5
312,4795536.5
313,5038190.0
314,4871286.5
315,4702829.0
316,157319.953125
317,4441255.0
318,139229.796875
319,3947422.0
320,4306415.0
321,5163659.5
322,5397935.5
323,5198106.0
324,4852021.0
325,5030230.5
326,4995091.0
327,4339681.5
328,4182875.0
329,4146648.0
330,4272994.5
331,3965304.25
332,4278718.5
333,4723229.5
334,5190308.0
335,5247689.0
336,4997153.5
337,4719514.0
338,4488035.5
339,4713565.0
340,4356334.0
341,4461807.5
342,5152829.5
343,5295771.0
344,5271994.0
345,5525722.0
346,5437396.0
347,5182421.5
348,5037446.5
349,4494173.5
350,102032.3203125
351,3731862.25
352,4513316.5
353,4429268.5
354,4484700.0
355,4336192.5
356,4714849.5
357,4053074.0
358,138329.828125
359,3220017.5
360,4220619.0
361,126946.3671875
362,3044063.5
363,3860657.0
364,127926.375
365,3447755.25
366,4165009.25
367,5229221.0
368,5276650.5
369,6071409.5
370,5513292.0
371,5332646.0
372,5481060.5
373,5799923.0
374,5919753.0
375,5761018.5
376,6192445.0
377,6114737.0
378,5659447.0
379,6008933.0
380,5490837.5
381,5739360.0
382,6174761.0
383,5722788.5
384,5448075.5
385,159764.875
386,4867590.0
387,4701221.0
388,5025905.0
389,4440743.0
390,4438431.0
391,4252996.5
392,4265156.0
393,4413082.0
394,4064404.0
395,4237996.5
396,4460483.5
397,4212841.0
398,4157964.25
399,134438.203125
400,3317071.5
401,3935015.75
402,3671019.75
403,3632997.0
404,3419623.0
405,3196240.25
406,107754.78125
407,3301787.75
408,3911193.75
409,3987112.5
410,4268334.5
411,4258520.0
412,3961422.5
413,3809930.0
414,3712967.5
415,3743496.75
416,3601532.0
417,3725076.25
418,4287033.0
419,4317366.0
420,4462661.5
421,4232549.0
422,4661050.0
423,4851877.0
424,4596744.5
425,5145314.0
426,4777873.0
427,4381429.5
428,4685107.0
429,5494101.5
430,5939791.0
431,5566495.0
432,5416151.0
433,163281.09375
434,4449352.0
435,4299553.5
436,130335.9609375
437,2874776.25
438,3732306.75
439,125945.484375
440,3674048.75
441,4360956.5
442,97761.6328125
443,2851677.0
444,3966778.75
445,4312690.0
446,3835811.25
447,4450846.5
448,3936577.25
449,105824.1171875
450,3307239.5
451,4225416.0
452,4503077.0
453,4557708.5
454,4981194.5
455,4868567.5
456,4790360.0
457,4407680.0
458,4561095.0
459,5028646.5
460,5824559.0
461,6107834.0
462,5757529.0
463,5202551.0
464,4742837.0
465,146122.625
