Step,Value
1,3000000.0
2,400000.0
3,5400000.0
4,1000000.0
5,3800000.0
6,3200000.0
7,1200000.0
8,7600000.0
9,5800000.0
10,800000.0
11,4200000.0
12,2800000.0
13,3400000.0
14,800000.0
15,8000000.0
16,400000.0
17,7000000.0
18,9000000.0
19,7000000.0
20,2000000.0
21,3200000.0
22,600000.0
23,800000.0
24,4600000.0
25,4600000.0
26,4000000.0
27,1400000.0
28,2600000.0
29,3600000.0
30,8200000.0
31,200000.0
32,2400000.0
33,8000000.0
34,8200000.0
35,2600000.0
36,5800000.0
37,400000.0
38,1000000.0
39,3000000.0
40,400000.0
41,1600000.0
42,1400000.0
43,4800000.0
44,3600000.0
45,1400000.0
46,1400000.0
47,1200000.0
48,3600000.0
49,800000.0
50,3200000.0
51,3400000.0
52,800000.0
53,800000.0
54,1000000.0
55,4600000.0
56,2000000.0
57,3000000.0
58,7000000.0
59,200000.0
60,400000.0
61,6600000.0
62,5400000.0
63,4200000.0
64,3600000.0
65,4400000.0
66,1200000.0
67,7000000.0
68,2200000.0
69,800000.0
70,1800000.0
71,7200000.0
72,4400000.0
73,4200000.0
74,7000000.0
75,4200000.0
76,6600000.0
77,2400000.0
78,1600000.0
79,3400000.0
80,4000000.0
81,2000000.0
82,5800000.0
83,1600000.0
84,6000000.0
85,3000000.0
86,5800000.0
87,5000000.0
88,5600000.0
89,3200000.0
90,6800000.0
91,800000.0
92,1600000.0
93,5400000.0
94,400000.0
95,2600000.0
96,1800000.0
97,4600000.0
98,5200000.0
99,4200000.0
100,8600000.0
101,1200000.0
102,2200000.0
103,1400000.0
104,7000000.0
105,400000.0
106,4200000.0
107,6800000.0
108,7000000.0
109,2400000.0
110,4200000.0
111,200000.0
112,7400000.0
113,800000.0
114,3200000.0
115,2200000.0
116,400000.0
117,7400000.0
118,2800000.0
119,1000000.0
120,8800000.0
121,2800000.0
122,1800000.0
123,600000.0
124,4200000.0
125,4800000.0
126,2000000.0
127,5600000.0
128,3200000.0
129,1600000.0
130,2800000.0
131,7600000.0
132,8000000.0
133,200000.0
134,1400000.0
135,1000000.0
136,1600000.0
137,5800000.0
138,3000000.0
139,2400000.0
140,3800000.0
141,5400000.0
142,5400000.0
143,200000.0
144,3600000.0
145,3200000.0
146,4000000.0
147,2000000.0
148,2000000.0
149,1600000.0
150,4000000.0
151,1800000.0
152,400000.0
153,3000000.0
154,4400000.0
155,2200000.0
156,5800000.0
157,3000000.0
158,3000000.0
159,600000.0
160,3200000.0
161,5600000.0
162,4600000.0
163,2800000.0
164,4200000.0
165,1200000.0
166,5600000.0
167,4600000.0
168,7800000.0
169,200000.0
170,1600000.0
171,4600000.0
172,400000.0
173,200000.0
174,6000000.0
175,5800000.0
176,5200000.0
177,5800000.0
178,4400000.0
179,3200000.0
180,7400000.0
181,800000.0
182,1600000.0
183,1600000.0
184,6200000.0
185,5000000.0
186,3600000.0
187,1600000.0
188,3200000.0
189,6800000.0
190,2600000.0
191,4400000.0
192,5400000.0
193,5000000.0
194,7400000.0
195,3800000.0
196,2400000.0
197,4400000.0
198,1800000.0
199,4800000.0
200,1200000.0
201,4800000.0
202,5600000.0
203,2400000.0
204,1000000.0
205,3000000.0
206,1000000.0
207,4800000.0
208,4000000.0
209,400000.0
210,1800000.0
211,7600000.0
212,600000.0
213,7200000.0
214,1200000.0
215,1000000.0
216,8600000.0
217,600000.0
218,2000000.0
219,1800000.0
220,5000000.0
221,800000.0
222,5800000.0
223,1000000.0
224,1400000.0
225,3000000.0
226,2000000.0
227,3800000.0
228,4200000.0
229,1200000.0
230,1600000.0
231,600000.0
232,1000000.0
233,4800000.0
234,2200000.0
235,1600000.0
236,1600000.0
237,1000000.0
238,2200000.0
239,800000.0
240,6600000.0
241,1600000.0
242,4200000.0
243,3200000.0
244,3400000.0
245,1400000.0
246,7800000.0
247,200000.0
248,1200000.0
249,1600000.0
250,1600000.0
251,3400000.0
252,600000.0
253,1000000.0
254,4800000.0
255,200000.0
256,3600000.0
257,1600000.0
258,5400000.0
259,2000000.0
260,600000.0
261,1600000.0
262,5800000.0
263,5400000.0
264,2200000.0
265,1600000.0
266,3400000.0
267,1400000.0
268,3600000.0
269,2800000.0
270,1000000.0
271,2600000.0
272,3800000.0
273,200000.0
274,3600000.0
275,5200000.0
276,1600000.0
277,1800000.0
278,1800000.0
279,1200000.0
280,1800000.0
281,1400000.0
282,5600000.0
283,1200000.0
284,800000.0
285,6800000.0
286,3800000.0
287,2000000.0
