Step,Value
1,6000000.0
2,2200000.0
3,5000000.0
4,9600000.0
5,6000000.0
6,3800000.0
7,4800000.0
8,7000000.0
9,12400000.0
10,4400000.0
11,17200000.0
12,5400000.0
13,7600000.0
14,200000.0
15,2400000.0
16,5000000.0
17,4400000.0
18,13400000.0
19,14800000.0
20,1600000.0
21,10800000.0
22,6400000.0
23,6000000.0
24,7800000.0
25,7400000.0
26,5400000.0
27,5200000.0
28,5400000.0
29,5600000.0
30,1200000.0
31,2800000.0
32,11400000.0
33,8000000.0
34,14800000.0
35,1600000.0
36,7800000.0
37,10600000.0
38,2000000.0
39,5000000.0
40,5000000.0
41,1400000.0
42,12400000.0
43,4600000.0
44,5800000.0
45,1600000.0
46,2000000.0
47,7000000.0
48,11200000.0
49,11200000.0
50,2400000.0
51,4200000.0
52,11800000.0
53,7000000.0
54,2000000.0
55,3400000.0
56,1200000.0
57,2000000.0
58,13400000.0
59,9400000.0
60,13200000.0
61,3400000.0
62,5400000.0
63,13000000.0
64,9800000.0
65,9000000.0
66,16000000.0
67,9400000.0
68,12600000.0
69,5400000.0
70,15400000.0
71,13800000.0
72,12600000.0
73,11800000.0
74,15600000.0
75,10200000.0
76,8800000.0
77,9000000.0
78,1600000.0
79,16800000.0
80,10200000.0
81,18400000.0
82,3200000.0
83,2200000.0
84,4800000.0
85,2000000.0
86,13200000.0
87,16000000.0
88,12000000.0
89,3800000.0
90,3600000.0
91,6200000.0
92,600000.0
93,8200000.0
94,4400000.0
95,2400000.0
96,4600000.0
97,5800000.0
98,4000000.0
99,7800000.0
100,4600000.0
101,6200000.0
102,2000000.0
103,5200000.0
104,14200000.0
105,5400000.0
106,2800000.0
107,6800000.0
108,3000000.0
109,9600000.0
110,200000.0
111,11200000.0
112,6600000.0
113,2200000.0
114,4800000.0
115,7800000.0
116,6400000.0
117,1000000.0
118,14600000.0
119,1200000.0
120,3200000.0
121,7000000.0
122,11600000.0
123,6800000.0
124,7400000.0
125,12000000.0
126,3800000.0
127,9200000.0
128,1600000.0
129,16000000.0
130,6600000.0
131,7800000.0
132,11000000.0
133,3200000.0
134,2800000.0
135,5800000.0
136,2600000.0
137,10000000.0
138,2000000.0
139,15000000.0
140,12600000.0
141,200000.0
142,5000000.0
143,2000000.0
144,11600000.0
145,5800000.0
146,8400000.0
147,5400000.0
148,10400000.0
149,800000.0
150,10800000.0
151,4400000.0
152,6800000.0
153,200000.0
154,8600000.0
155,12000000.0
156,7800000.0
157,6800000.0
158,4800000.0
159,9200000.0
160,1600000.0
161,2600000.0
162,11200000.0
163,600000.0
164,6400000.0
165,15400000.0
166,14000000.0
167,5400000.0
168,1000000.0
169,2800000.0
170,800000.0
171,5400000.0
172,5000000.0
173,1200000.0
174,600000.0
175,4800000.0
